Date,open,high,low,close,volume
2019-02-26,4.625,4.7399,4.36,4.36,2000312.0
2019-02-27,4.4,4.5,4.3,4.3,1537035.0
2019-02-28,4.42,4.65,4.4,4.46,1192620.0
2019-03-01,4.47,4.64,4.45,4.58,948485.0
2019-03-04,4.48,4.5,4.27,4.29,1698486.0
2019-03-05,4.58,4.65,4.495,4.57,1564902.0
2019-03-06,4.61,4.67,4.52,4.65,804654.0
2019-03-07,4.665,4.82,4.66,4.75,1945770.0
2019-03-08,4.75,4.9,4.75,4.86,1696623.0
2019-03-11,4.805,4.83,4.59,4.62,1479280.0
2019-03-12,4.695,4.74,4.55,4.6,740219.0
2019-03-13,4.57,4.64,4.44,4.5,1944879.0
2019-03-14,4.525,4.59,4.31,4.5,2032321.0
2019-03-15,4.565,4.75,4.55,4.66,1404853.0
2019-03-18,4.79,4.9,4.74,4.88,2037188.0
2019-03-19,4.88,5.04,4.87,4.99,2988998.0
2019-03-20,4.99,5.15,4.78,4.92,3458407.0
2019-03-21,4.985,5.0,4.67,4.81,1974385.0
2019-03-22,4.81,4.89,4.75,4.7925,1210021.0
2019-03-25,4.745,4.78,4.56,4.57,2479709.0
2019-03-26,4.57,4.69,4.48,4.56,1411270.0
2019-03-27,4.79,4.87,4.6,4.62,2314945.0
2019-03-28,4.65,4.68,4.51,4.54,2104375.0
2019-03-29,4.71,4.83,4.55,4.78,2937412.0
2019-04-01,4.85,5.03,4.85,4.97,2733632.0
2019-04-02,5.66,5.83,5.52,5.74,6062036.0
2019-04-03,5.93,6.59,5.93,6.19,10002384.0
2019-04-04,6.2,6.2,5.72,5.82,5258418.0
2019-04-05,6.015,6.33,5.98,6.26,4754696.0
2019-04-08,6.49,6.85,6.42,6.83,7401626.0
2019-04-09,6.89,6.9,6.55,6.64,3215030.0
2019-04-10,6.76,7.48,6.72,7.32,6818954.0
2019-04-11,6.75,6.77,6.54,6.66,5589855.0
2019-04-12,6.75,6.84,6.36,6.49,3285027.0
2019-04-15,6.49,6.64,6.125,6.14,4127698.0
2019-04-16,6.25,6.73,6.03,6.69,4027700.0
2019-04-17,6.68,6.89,6.53,6.71,2257588.0
2019-04-18,6.85,6.97,6.75,6.9,2315407.0
2019-04-22,6.97,7.09,6.81,7.07,4231614.0
2019-04-23,7.3,7.49,6.679,7.39,5335155.0
2019-04-24,7.14,7.19,6.72,6.79,5180327.0
2019-04-25,6.94,7.1,6.63,6.98,3404028.0
2019-04-26,6.33,6.59,6.22,6.28,4666770.0
2019-04-29,6.27,6.48,6.11,6.21,2537342.0
2019-04-30,6.35,6.695,6.35,6.61,2461578.0
2019-05-01,6.69,6.96,6.6,6.75,2152133.0
2019-05-02,6.87,7.1,6.78,6.85,2728799.0
2019-05-03,7.34,7.67,7.21,7.325,6058170.0
2019-05-06,7.25,7.61,7.02,7.52,3350629.0
2019-05-07,7.69,8.02,7.6,7.81,5468593.0
2019-05-08,7.87,7.95,7.67,7.84,2924494.0
2019-05-09,7.995,8.257,7.91,8.23,4997935.0
2019-05-10,8.49,8.76,8.35,8.6,6937326.0
2019-05-13,9.75,10.45,9.39,10.21,14290923.0
2019-05-14,10.63,11.0,9.11,9.48,14497929.0
2019-05-15,10.0,10.67,9.71,10.55,8803876.0
2019-05-16,10.1,10.48,9.81,9.94,5588015.0
2019-05-17,8.84,9.45,8.75,9.23,7544646.0
2019-05-20,9.99,10.19,9.69,9.95,4876563.0
2019-05-21,10.1,10.45,9.96,10.4,3218243.0
2019-05-22,10.18,10.44,10.0,10.17,2509099.0
2019-05-23,9.85,10.28,9.75,9.99,3149799.0
2019-05-24,10.17,10.85,10.17,10.7,5955619.0
2019-05-28,11.35,11.62,11.31,11.44,6350100.0
2019-05-29,11.43,11.8,11.41,11.63,4915311.0
2019-05-30,11.76,12.58,11.07,11.63,8721398.0
2019-05-31,11.3,11.6,11.05,11.06,5095864.0
2019-06-03,11.15,11.4,10.26,10.77,5840229.0
2019-06-04,9.9,10.3,9.11,9.12,8929316.0
2019-06-05,9.64,9.96,9.17,9.82,4474476.0
2019-06-06,9.7,9.7,9.03,9.25,3853108.0
2019-06-07,9.74,10.53,9.71,10.36,6225617.0
2019-06-10,10.46,10.6,9.92,10.25,3064762.0
2019-06-11,9.95,10.1,9.76,9.8,2637090.0
2019-06-12,9.96,10.72,9.94,10.45,4504573.0
2019-06-13,10.55,10.88,10.5,10.75,2761519.0
2019-06-14,10.94,11.2,10.8,10.8,3646890.0
2019-06-17,11.92,12.37,11.8,12.0,7286212.0
2019-06-18,12.02,12.1,11.22,11.46,5309525.0
2019-06-19,11.46,12.05,11.45,11.46,3375282.0
2019-06-20,12.17,12.78,12.05,12.73,5750221.0
2019-06-21,13.18,13.75,12.9,13.55,8635401.0
2019-06-24,14.49,15.57,14.47,14.64,11608336.0
2019-06-25,15.3,15.44,14.03,14.88,10066514.0
2019-06-26,16.21,17.4,15.93,17.08,16993552.0
2019-06-27,15.0,15.47,13.32,13.82,20363154.0
2019-06-28,14.83,15.48,14.56,15.13,9134145.0
2019-07-01,13.75,13.75,12.51,12.73,12583913.0
2019-07-02,12.1,13.97,11.99,13.96,9980448.0
2019-07-03,14.69,14.86,14.37,14.7,6680682.0
2019-07-05,14.6,14.94,14.2575,14.67,3711556.0
2019-07-08,15.48,15.8,15.21,15.73,5874458.0
2019-07-09,16.0,16.52,15.61,16.35,7491179.0
2019-07-10,16.98,17.17,15.02,15.24,11225300.0
2019-07-11,14.62,15.56,14.6,14.89,6257209.0
2019-07-12,15.22,15.55,14.74,14.85,3905566.0
2019-07-15,13.25,14.85,13.06,14.46,10239210.0
2019-07-16,13.89,14.15,12.54,12.61,13467015.0
2019-07-17,12.29,13.52,12.29,12.85,7248504.0
2019-07-18,12.5,13.96,12.37,13.67,7781268.0
2019-07-19,13.51,13.67,13.11,13.23,3326612.0
2019-07-22,13.34,13.7,12.91,13.09,4296650.0
2019-07-23,12.65,13.19,12.55,13.18,4654966.0
2019-07-24,12.71,13.2099,12.27,12.27,5743286.0
2019-07-25,13.02,13.04,12.54,12.59,2795933.0
2019-07-26,12.6,12.64,12.12,12.49,2771969.0
2019-07-29,12.18,12.39,12.1,12.16,3132322.0
2019-07-30,12.19,12.98,12.19,12.77,3821742.0
2019-07-31,13.28,13.94,13.25,13.64,6274392.0
2019-08-01,13.74,14.0,12.63,13.98,3855499.0
2019-08-02,14.3,14.85,14.15,14.18,6327041.0
2019-08-05,15.7,15.75,14.18,14.6,10188793.0
2019-08-06,14.7,15.26,14.45,14.77,4507728.0
2019-08-07,15.31,15.5,14.34,14.97,4709857.0
2019-08-08,14.95,14.99,14.3,14.5,3023997.0
2019-08-09,14.65,14.98,14.57,14.88,2142664.0
2019-08-12,14.49,14.79,14.2,14.6,1990869.0
2019-08-13,14.21,14.21,13.23,13.52,5158724.0
2019-08-14,13.44,13.44,12.04,12.28,7490092.0
2019-08-15,12.25,12.88,12.15,12.71,3495377.0
2019-08-16,12.7,13.53,12.5,13.45,3253466.0
2019-08-19,14.0,14.25,13.68,13.74,4559696.0
2019-08-20,13.76,13.76,13.3,13.5,1519522.0
2019-08-21,12.74,13.28,12.48,13.08,3894004.0
2019-08-22,13.03,13.47,12.91,13.23,1667602.0
2019-08-23,13.25,13.8,13.25,13.44,2188934.0
2019-08-26,13.4,13.47,13.0,13.01,1734976.0
2019-08-27,12.99,12.99,12.57,12.73,1875819.0
2019-08-28,12.67,13.06,11.72,11.86,5716826.0
2019-08-29,11.53,11.8,11.51,11.6,3569472.0
2019-08-30,11.63,11.93,11.63,11.72,1357644.0
2019-09-03,12.86,13.21,12.76,12.93,4592787.0
2019-09-04,12.8,13.18,12.51,13.17,2540591.0
