Date,open,high,low,close,volume
2015-04-27,22.24,22.24,22.23,22.23,455.0
2015-04-28,21.93,21.93,21.73,21.73,604.0
2015-04-29,21.54,21.58,21.22,21.55,1968.0
2015-04-30,21.16,21.16,20.95,20.95,3340.0
2015-05-01,20.84,20.84,20.79,20.79,351.0
2015-05-04,20.66,21.09,20.58,21.01,4612.0
2015-05-05,20.77,20.77,20.77,20.77,110.0
2015-05-06,20.61,20.64,20.61,20.64,1274.0
2015-05-07,20.76,20.86,20.76,20.86,303.0
2015-05-08,20.87,20.89,20.84,20.84,520.0
2015-05-11,20.91,21.0,20.91,21.0,1307.0
2015-05-12,20.9,20.9,20.9,20.9,114.0
2015-05-13,21.01,21.01,21.01,21.01,151.0
2015-05-14,21.18,21.18,21.18,21.18,151.0
2015-05-15,21.13,21.13,21.13,21.13,400.0
2015-05-18,21.24,21.24,21.24,21.24,282.0
2015-05-19,21.28,21.28,21.26,21.26,824.0
2015-05-20,21.22,21.22,21.22,21.22,460.0
2015-05-21,21.48,21.48,21.41,21.41,1362.0
2015-05-22,21.52,21.52,21.45,21.45,257.0
2015-05-26,21.45,21.45,21.24,21.31,3421.0
2015-05-27,21.32,21.32,21.32,21.32,684.0
2015-05-28,21.58,21.58,21.58,21.58,135.0
2015-05-29,21.42,21.59,21.42,21.59,600.0
2015-06-01,21.47,21.53,21.47,21.52,1020.0
2015-06-02,21.45,21.55,21.45,21.55,2040.0
2015-06-03,21.62,21.68,21.61,21.68,380.0
2015-06-04,21.6,21.6,21.6,21.6,2580.0
2015-06-05,21.62,21.62,21.62,21.62,1476.0
2015-06-08,21.82,21.84,21.6,21.6,1030.0
2015-06-09,21.46,21.46,21.46,21.46,268.0
2015-06-10,21.54,21.85,21.54,21.85,250.0
2015-06-11,21.79,21.8,21.75,21.78,2603.0
2015-06-12,21.7,21.7,21.65,21.65,523.0
2015-06-15,21.6,21.6,21.37,21.37,400.0
2015-06-16,21.64,21.64,21.62,21.62,250.0
2015-06-17,21.86,21.86,21.83,21.83,450.0
2015-06-18,22.05,22.05,22.05,22.05,200.0
2015-06-19,22.01,22.01,22.0,22.0,4750.0
2015-06-22,22.05,22.05,22.05,22.05,218.0
2015-06-23,22.23,22.23,22.23,22.23,200.0
2015-06-24,21.94,21.94,21.94,21.94,170.0
2015-06-25,22.1,22.1,21.9,21.9,8049.0
2015-06-26,21.8,21.8,21.71,21.74,3279.0
2015-06-29,21.5,21.5,21.16,21.16,5123.0
2015-06-30,21.47,21.47,21.29,21.35,3270.0
2015-07-01,21.4,21.4,21.24,21.31,11220.0
2015-07-02,21.29,21.29,21.24,21.24,903.0
2015-07-06,21.2,21.2,21.09,21.09,1645.0
2015-07-07,21.0,21.0,20.74,20.98,1537.0
2015-07-08,20.78,20.78,20.78,20.78,112.0
2015-07-09,20.95,20.95,20.95,20.95,150.0
2015-07-10,21.12,21.17,21.1,21.17,6060.0
2015-07-13,21.31,21.44,21.31,21.44,3221.0
2015-07-14,21.57,21.57,21.56,21.56,280.0
2015-07-15,21.71,21.71,21.41,21.41,2242.0
2015-07-16,21.86,21.86,21.84,21.84,886.0
2015-07-17,21.94,21.94,21.92,21.92,374.0
2015-07-20,21.95,21.95,21.92,21.95,1471.0
2015-07-21,21.94,21.94,21.87,21.87,785.0
2015-07-22,21.79,21.79,21.62,21.65,2600.0
2015-07-23,21.84,21.84,21.8,21.8,294.0
2015-07-24,21.9,21.9,21.9,21.9,180.0
2015-07-27,21.57,21.65,21.57,21.65,300.0
2015-07-28,21.52,21.97,21.52,21.97,3494.0
2015-07-29,21.82,21.82,21.82,21.82,150.0
2015-07-30,21.69,21.69,21.65,21.65,2719.0
2015-07-31,21.63,21.64,21.5,21.5,3395.0
2015-08-03,21.11,21.11,21.11,21.11,172.0
2015-08-04,21.08,21.08,21.05,21.05,444.0
2015-08-05,21.26,21.26,21.1,21.13,2250.0
2015-08-06,20.75,20.8,20.7,20.8,1430.0
2015-08-07,20.77,20.77,20.77,20.8,176.0
2015-08-10,20.86,21.3,20.86,21.28,610.0
2015-08-11,20.91,20.99,20.91,20.99,473.0
2015-08-12,20.55,20.8,20.55,20.8,1600.0
2015-08-13,20.98,20.98,20.98,20.98,150.0
2015-08-14,20.96,20.96,20.96,20.96,174.0
2015-08-17,21.11,21.11,21.11,21.11,150.0
2015-08-18,20.98,20.98,20.98,20.98,167.0
2015-08-19,20.8,20.8,20.75,20.75,933.0
2015-08-20,20.03,20.03,19.89,19.89,1371.0
2015-08-21,19.57,19.7,19.52,19.64,3837.0
2015-08-24,17.75,18.97,17.51,18.77,10061.0
2015-08-25,19.3,19.38,19.3,18.96,250.0
2015-08-26,19.12,19.44,19.0,19.0,540.0
2015-08-27,19.76,20.15,19.76,20.04,2600.0
2015-08-28,20.2,20.35,20.2,20.24,2748.0
2015-08-31,20.07,20.13,20.04,20.1,4737.0
2015-09-01,19.5,19.5,19.36,19.37,461.0
2015-09-02,19.37,19.58,19.37,19.58,630.0
2015-09-03,19.81,19.81,19.81,19.81,100.0
2015-09-04,19.42,19.42,19.42,19.42,160.0
2015-09-08,20.02,20.02,20.02,19.42,129.0
2015-09-09,20.42,20.42,20.09,20.09,1775.0
2015-09-10,20.01,20.01,20.01,20.01,100.0
2015-09-11,20.11,20.11,20.11,20.11,150.0
2015-09-14,19.97,20.11,19.97,20.07,896.0
2015-09-15,20.33,20.33,20.33,20.33,1115.0
2015-09-16,20.57,20.57,20.57,20.57,194.0
2015-09-17,20.75,20.75,20.75,20.57,100.0
2015-09-18,20.5,20.56,20.43,20.43,10652.0
2015-09-21,20.3,20.3,20.3,20.3,2397.0
2015-09-22,19.88,19.88,19.88,19.88,201.0
2015-09-23,20.07,20.07,19.84,19.84,443.0
2015-09-24,19.82,19.82,19.61,19.61,351.0
2015-09-25,19.73,19.73,19.4,19.4,1488.0
2015-09-28,19.0,19.0,19.0,19.0,581.0
2015-09-29,18.69,18.69,18.69,18.69,100.0
2015-09-30,18.79,18.79,18.79,18.79,100.0
2015-10-01,18.53,18.53,18.53,18.53,1276.0
2015-10-02,18.74,19.08,18.74,19.08,602.0
2015-10-05,19.52,19.52,19.52,19.52,100.0
2015-10-06,19.23,19.23,19.23,19.23,100.0
2015-10-07,19.51,19.51,19.51,19.51,100.0
2015-10-08,19.39,19.39,19.39,19.39,201.0
2015-10-09,19.79,19.82,19.79,19.82,303.0
2015-10-12,19.67,19.67,19.67,19.67,100.0
2015-10-13,19.6,19.6,19.6,19.6,102.0
2015-10-14,19.5,19.5,19.5,19.5,100.0
2015-10-15,19.52,19.52,19.52,19.52,102.0
2015-10-16,19.79,19.9,19.79,19.81,545.0
2015-10-19,19.8,19.81,19.74,19.81,602.0
2015-10-20,19.49,19.49,19.49,19.49,106.0
2015-10-21,19.66,19.66,19.66,19.66,110.0
2015-10-22,19.37,19.45,19.32,19.45,1115.0
2015-10-23,19.81,19.81,19.81,19.81,100.0
2015-10-26,19.78,19.78,19.78,19.78,114.0
2015-10-27,19.64,19.64,19.61,19.61,207.0
2015-10-28,19.82,19.82,19.82,19.82,206.0
2015-10-29,19.82,19.98,19.72,19.72,6269.0
2015-10-30,19.96,20.02,19.9,19.9,705.0
2015-11-02,19.93,20.47,19.93,20.46,3460.0
2015-11-03,20.45,20.45,20.45,20.45,517.0
2015-11-04,20.5,20.97,20.5,20.83,2083.0
2015-11-05,20.66,20.66,20.66,20.66,100.0
2015-11-06,20.84,20.89,20.83,20.84,453.0
2015-11-09,20.59,20.68,20.58,20.68,530.0
2015-11-10,20.44,20.44,20.43,20.43,200.0
2015-11-11,20.33,20.39,20.31,20.39,720.0
2015-11-12,20.22,20.22,20.04,20.04,2062.0
2015-11-13,19.94,19.94,19.82,19.82,977.0
2015-11-16,19.92,19.92,19.92,19.92,198.0
2015-11-17,20.11,20.11,19.94,19.94,207.0
2015-11-18,20.19,20.19,20.19,20.19,950.0
2015-11-19,20.25,20.52,20.25,20.51,1319.0
2015-11-20,20.65,20.65,20.65,20.65,335.0
2015-11-23,20.68,20.68,20.68,20.68,105.0
2015-11-24,20.64,20.64,20.63,20.63,1000.0
2015-11-25,20.81,20.9,20.81,20.9,213.0
2015-11-27,21.27,21.27,21.27,21.27,194.0
2015-11-30,21.2,21.2,21.2,21.2,581.0
2015-12-01,21.27,21.31,21.25,21.31,550.0
2015-12-02,21.4,21.4,21.35,21.36,2295.0
2015-12-03,20.88,20.91,20.85,20.85,500.0
2015-12-04,21.06,21.06,21.05,21.05,429.0
2015-12-07,21.14,21.14,20.77,20.79,1368.0
2015-12-08,20.72,20.99,20.72,20.99,1042.0
2015-12-09,20.95,21.6,20.71,20.71,2048.0
2015-12-10,21.07,21.07,21.07,21.07,100.0
2015-12-11,21.06,21.06,20.92,20.92,405.0
2015-12-14,20.27,20.41,19.99,20.21,865.0
2015-12-15,20.75,20.75,20.49,20.55,1162.0
2015-12-16,20.8,20.8,20.78,20.78,1137.0
2015-12-17,20.84,21.11,20.84,20.99,570.0
2015-12-18,21.0,21.0,20.86,20.93,1499.0
