Date,open,high,low,close,volume
2015-04-27,19.61,20.17,19.54,19.76,53793754.0
2015-04-28,19.88,20.56,19.88,20.53,57713312.0
2015-04-29,20.53,20.9,20.39,20.72,47185320.0
2015-04-30,20.18,20.25,19.86,20.11,52125882.0
2015-05-01,19.91,20.27,19.89,20.27,26553838.0
2015-05-04,20.59,20.65,20.28,20.41,19095202.0
2015-05-05,20.62,20.71,20.1,20.22,30045011.0
2015-05-06,20.32,20.35,19.66,19.71,42192252.0
2015-05-07,19.53,19.84,19.28,19.83,43080468.0
2015-05-08,19.94,20.06,19.64,19.97,22058412.0
2015-05-11,19.94,20.16,19.78,20.02,14718082.0
2015-05-12,20.08,20.34,20.07,20.29,32114918.0
2015-05-13,20.59,20.89,20.56,20.78,47749096.0
2015-05-14,20.99,21.25,20.71,20.82,46336691.0
2015-05-15,20.64,20.97,20.52,20.72,24324370.0
2015-05-18,20.86,20.93,20.65,20.75,16680469.0
2015-05-19,20.46,20.46,19.99,20.0,44131314.0
2015-05-20,20.06,20.31,20.02,20.08,22810580.0
2015-05-21,20.0,20.12,19.89,19.94,15811384.0
2015-05-22,19.95,20.06,19.82,19.83,20616217.0
2015-05-26,19.47,19.48,19.18,19.24,47069150.0
2015-05-27,19.32,19.45,19.17,19.44,24945376.0
2015-05-28,19.34,19.64,19.15,19.6,27724875.0
2015-05-29,19.65,19.79,19.48,19.58,16270634.0
2015-06-01,19.83,19.91,19.45,19.49,24699617.0
2015-06-02,19.64,19.87,19.57,19.78,32519617.0
2015-06-03,19.62,19.73,19.31,19.41,36398184.0
2015-06-04,19.16,19.2,19.04,19.07,25762916.0
2015-06-05,18.82,19.0,18.67,18.83,29024575.0
2015-06-08,18.87,19.03,18.71,19.02,41120194.0
2015-06-09,19.08,19.22,18.76,18.77,24293672.0
2015-06-10,19.04,19.14,18.88,18.96,30077916.0
2015-06-11,18.8,18.86,18.63,18.74,19958561.0
2015-06-12,18.68,18.77,18.5,18.56,18777851.0
2015-06-15,18.51,18.83,18.42,18.59,27974501.0
2015-06-16,18.43,18.49,18.3,18.34,28665955.0
2015-06-17,18.26,18.88,18.23,18.83,54023735.0
2015-06-18,19.14,19.18,18.99,19.09,34238724.0
2015-06-19,19.03,19.07,18.52,18.65,35777050.0
2015-06-22,18.41,18.52,18.32,18.33,25475179.0
2015-06-23,18.25,18.52,18.25,18.37,21815659.0
2015-06-24,18.3,18.48,18.25,18.36,14847076.0
2015-06-25,18.32,18.45,18.17,18.18,29459767.0
2015-06-26,18.15,18.26,18.06,18.11,18795044.0
2015-06-29,18.17,18.23,17.9,17.91,27977010.0
2015-06-30,17.83,18.04,17.67,17.76,30695050.0
2015-07-01,17.68,17.71,17.26,17.29,35110287.0
2015-07-02,17.39,17.67,17.37,17.63,35471167.0
2015-07-06,17.5,18.03,17.39,17.83,34366176.0
2015-07-07,17.44,17.46,16.95,16.99,66115052.0
2015-07-08,17.16,17.28,16.84,16.86,20885150.0
2015-07-09,17.13,17.19,16.77,16.93,12408184.0
2015-07-10,16.98,17.0,16.63,16.75,29881329.0
2015-07-13,16.53,16.81,16.4,16.78,16468967.0
2015-07-14,16.78,16.94,16.68,16.7,14678511.0
2015-07-15,16.53,16.58,16.27,16.31,37296381.0
2015-07-16,16.28,16.28,16.1,16.15,20570867.0
2015-07-17,16.05,16.05,15.37,15.43,62464071.0
2015-07-20,14.7,14.77,13.75,13.78,159145721.0
2015-07-21,14.06,14.53,14.02,14.12,87496343.0
2015-07-22,13.82,14.28,13.66,14.08,36192312.0
2015-07-23,14.24,14.3,13.51,13.62,66955709.0
2015-07-24,13.41,14.13,13.17,14.07,138390406.0
2015-07-27,13.9,14.37,13.44,13.56,73939979.0
2015-07-28,13.73,13.84,13.54,13.69,37372407.0
2015-07-29,13.69,14.07,13.54,13.97,55634147.0
2015-07-30,13.66,13.82,13.4,13.47,73023003.0
2015-07-31,13.84,13.97,13.58,13.75,38556473.0
2015-08-03,13.64,13.68,13.18,13.28,58903432.0
2015-08-04,13.47,13.54,13.18,13.29,45169057.0
2015-08-05,13.42,13.54,13.01,13.09,40266780.0
2015-08-06,13.21,13.69,13.11,13.37,69034892.0
2015-08-07,13.42,13.85,13.32,13.42,50330322.0
2015-08-10,13.57,14.29,13.36,14.26,86026976.0
2015-08-11,14.44,14.53,13.94,14.52,53731885.0
2015-08-12,14.81,15.53,14.78,15.49,120042511.0
2015-08-13,15.05,15.21,14.54,14.66,101606457.0
2015-08-14,14.92,14.99,14.36,14.46,31581466.0
2015-08-17,14.8,15.11,14.75,15.02,66024028.0
2015-08-18,14.74,14.92,14.51,14.77,52877640.0
2015-08-19,14.9,15.28,14.88,15.2,63913648.0
2015-08-20,15.69,16.05,15.57,15.81,83346104.0
2015-08-21,16.14,16.16,15.24,15.38,74284529.0
2015-08-24,15.16,15.6,14.07,14.14,107627699.0
2015-08-25,14.52,14.53,13.58,13.69,65919674.0
2015-08-26,13.48,13.49,12.96,13.05,87657948.0
2015-08-27,13.1,13.9,13.01,13.79,109350294.0
2015-08-28,13.76,14.4,13.75,14.24,89387074.0
2015-08-31,13.94,14.11,13.59,14.1,54103082.0
2015-09-01,14.21,14.37,13.67,13.69,55706461.0
2015-09-02,13.76,13.9,13.33,13.63,37632235.0
2015-09-03,13.39,14.03,13.36,13.38,41807003.0
2015-09-04,13.28,13.43,13.06,13.41,40316336.0
2015-09-08,13.53,13.74,13.33,13.54,35712752.0
2015-09-09,13.36,13.52,13.1,13.14,52551512.0
2015-09-10,13.35,13.42,13.08,13.13,32428548.0
2015-09-11,13.0,13.28,12.62,13.21,62576956.0
2015-09-14,13.06,13.34,12.91,13.07,32600223.0
2015-09-15,13.05,13.31,12.99,13.12,26126498.0
2015-09-16,13.38,13.93,13.37,13.87,78149518.0
2015-09-17,13.72,14.44,13.66,14.27,77721929.0
2015-09-18,14.6,14.71,14.18,14.47,51966586.0
2015-09-21,14.27,14.36,13.99,14.01,57366352.0
2015-09-22,13.67,13.71,13.31,13.36,72701573.0
2015-09-23,13.64,13.69,13.23,13.26,37343228.0
2015-09-24,13.62,14.27,13.56,14.22,99666624.0
2015-09-25,13.96,14.11,13.88,13.99,34504534.0
2015-09-28,13.62,13.71,13.29,13.32,55146148.0
2015-09-29,13.47,13.68,13.29,13.41,29002824.0
2015-09-30,13.22,13.74,13.19,13.72,39778945.0
2015-10-01,13.79,13.99,13.35,13.41,44143007.0
2015-10-02,13.95,14.5,13.88,14.49,98074322.0
2015-10-05,14.6,15.18,14.58,15.12,101310682.0
2015-10-06,15.52,15.77,15.23,15.67,92463334.0
2015-10-07,15.7,15.83,15.37,15.61,53649076.0
2015-10-08,15.36,16.15,15.32,15.42,62657600.0
2015-10-09,15.97,16.27,15.85,16.26,85355872.0
2015-10-12,16.61,16.61,15.62,15.81,73388933.0
2015-10-13,15.79,16.14,15.68,15.87,47782009.0
2015-10-14,16.24,16.99,16.16,16.9,120734479.0
2015-10-15,16.6,17.04,16.48,16.89,41809440.0
2015-10-16,16.84,16.99,16.37,16.38,55634829.0
2015-10-19,16.32,16.43,15.61,15.73,94962867.0
2015-10-20,15.9,16.52,15.89,16.33,79348267.0
2015-10-21,16.1,16.17,15.73,15.86,59968178.0
2015-10-22,15.81,16.27,15.78,16.12,42423889.0
2015-10-23,16.34,16.65,15.93,16.52,65312663.0
2015-10-26,16.48,16.48,16.0,16.01,53296537.0
2015-10-27,15.92,16.21,15.79,16.05,25151847.0
2015-10-28,16.41,16.8,15.6,15.86,73440326.0
2015-10-29,15.63,15.78,15.03,15.16,77724608.0
2015-10-30,15.07,15.39,14.95,14.98,41951430.0
2015-11-02,14.8,15.18,14.63,15.02,36987992.0
2015-11-03,14.76,15.11,14.71,14.94,27497829.0
2015-11-04,15.05,15.22,14.6,14.64,42958037.0
2015-11-05,14.63,14.63,14.01,14.08,84125615.0
2015-11-06,13.64,13.72,13.41,13.46,73617928.0
2015-11-09,13.46,13.84,13.31,13.83,76418120.0
2015-11-10,13.57,13.71,13.42,13.47,48498352.0
2015-11-11,13.54,13.66,13.44,13.66,29699279.0
2015-11-12,13.33,13.79,13.29,13.47,38374617.0
2015-11-13,13.44,13.68,13.39,13.62,31447615.0
2015-11-16,13.74,13.86,13.63,13.74,24185048.0
2015-11-17,13.62,13.66,13.05,13.08,68849270.0
2015-11-18,13.15,13.58,12.92,13.49,69144287.0
2015-11-19,13.69,14.06,13.66,13.97,53699670.0
2015-11-20,14.03,14.07,13.34,13.4,67055206.0
2015-11-23,13.35,13.48,13.25,13.33,26674437.0
2015-11-24,13.6,13.87,13.49,13.84,53650410.0
2015-11-25,13.65,13.95,13.56,13.71,35047326.0
2015-11-27,13.41,13.59,13.36,13.45,38458023.0
2015-11-30,13.55,13.79,13.52,13.76,38216021.0
2015-12-01,13.85,14.2,13.69,14.16,48185575.0
2015-12-02,13.82,14.02,13.62,13.79,57043121.0
2015-12-03,14.03,14.21,13.86,14.08,48916843.0
2015-12-04,14.23,14.86,14.23,14.83,76235445.0
2015-12-07,14.62,14.66,14.05,14.2,57801687.0
2015-12-08,14.23,14.31,13.94,14.08,58877249.0
2015-12-09,14.42,14.53,14.09,14.27,49305604.0
2015-12-10,14.15,14.46,14.13,14.21,32617421.0
2015-12-11,14.05,14.53,14.03,14.38,45551022.0
2015-12-14,14.28,14.32,13.56,13.56,87942820.0
2015-12-15,13.72,13.82,13.51,13.63,33881898.0
2015-12-16,13.93,14.24,13.67,14.17,71919321.0
2015-12-17,13.68,13.68,13.3,13.34,82726576.0
2015-12-18,13.55,13.82,13.48,13.63,62451334.0
2015-12-21,13.81,13.9,13.65,13.76,64751792.0
2015-12-22,13.73,13.92,13.63,13.68,33454349.0
2015-12-23,13.77,13.98,13.74,13.96,42871860.0
2015-12-24,14.08,14.29,14.06,14.27,24429085.0
2015-12-28,14.03,14.04,13.67,13.79,49526858.0
2015-12-29,13.97,14.05,13.79,13.95,23470118.0
2015-12-30,13.65,13.74,13.57,13.66,40308392.0
2015-12-31,13.66,13.75,13.6,13.72,27503370.0
2016-01-04,14.12,14.24,13.86,14.09,45198133.0
2016-01-05,14.13,14.15,13.91,14.02,25608207.0
2016-01-06,14.22,14.35,14.15,14.25,39290940.0
2016-01-07,14.5,15.01,14.38,14.88,78475470.0
2016-01-08,14.5,14.64,14.26,14.52,65867680.0
2016-01-11,14.57,14.61,13.82,13.92,60512589.0
2016-01-12,13.8,13.8,13.37,13.61,61318623.0
2016-01-13,13.54,13.8,13.36,13.61,38364928.0
2016-01-14,13.46,13.59,13.0,13.13,56276299.0
2016-01-15,13.6,13.61,13.06,13.08,35445894.0
2016-01-19,13.21,13.24,12.4,12.47,76421062.0
2016-01-20,12.78,12.92,12.52,12.85,64898475.0
2016-01-21,12.7,12.98,12.45,12.91,30805177.0
2016-01-22,12.73,13.17,12.69,13.03,32729609.0
2016-01-25,13.26,13.4,13.16,13.38,51002119.0
2016-01-26,13.53,14.0,13.52,13.97,69316709.0
2016-01-27,13.87,14.21,13.71,14.2,60005113.0
2016-01-28,13.87,14.18,13.73,13.86,51285817.0
2016-01-29,13.83,14.24,13.74,14.21,46568847.0
2016-02-01,14.33,14.65,14.3,14.65,48265093.0
2016-02-02,14.48,14.57,14.11,14.3,59430361.0
2016-02-03,14.44,15.35,14.42,15.35,120242992.0
2016-02-04,15.8,16.36,15.77,16.15,122726755.0
2016-02-05,15.75,17.12,15.57,17.05,129223483.0
2016-02-08,17.5,17.9,17.44,17.47,117445490.0
2016-02-09,17.72,17.81,16.75,16.75,122298488.0
2016-02-10,16.72,17.16,16.15,17.14,80280544.0
2016-02-11,18.35,18.65,17.77,18.37,168645573.0
