Date,open,high,low,close,volume
2015-04-27,118.8,119.43,115.83,116.61,3308214.0
2015-04-28,116.84,117.5,112.95,115.85,3571665.0
2015-04-29,113.91,115.94,111.81,113.64,4025953.0
2015-04-30,111.75,113.15,106.61,108.3,6222279.0
2015-05-01,109.54,112.78,109.5,112.65,3953232.0
2015-05-04,113.61,115.23,112.95,113.08,2743940.0
2015-05-05,111.81,112.43,107.45,107.66,5708688.0
2015-05-06,108.17,109.1,103.21,105.42,4436961.0
2015-05-07,105.31,108.12,105.04,107.23,3508936.0
2015-05-08,110.56,111.95,110.06,111.21,3713560.0
2015-05-11,111.47,112.16,109.72,109.94,2885694.0
2015-05-12,107.97,110.11,105.51,108.52,3958015.0
2015-05-13,109.93,111.56,108.63,109.08,2744670.0
2015-05-14,111.81,114.14,110.56,113.91,3681076.0
2015-05-15,114.81,115.22,113.04,113.9,3047181.0
2015-05-18,113.34,116.01,113.06,115.3,2300475.0
2015-05-19,115.75,116.24,114.43,114.97,2053232.0
2015-05-20,115.23,117.23,113.37,115.16,2291699.0
2015-05-21,114.6,117.41,114.08,116.97,1919011.0
2015-05-22,116.57,117.87,116.34,116.65,1661368.0
2015-05-26,115.82,116.3,111.22,112.61,2910303.0
2015-05-27,113.59,118.38,112.89,118.03,2792433.0
2015-05-28,117.31,118.14,116.13,117.16,1880343.0
2015-05-29,116.96,117.47,114.32,115.18,2204207.0
2015-06-01,116.99,117.19,113.44,116.19,2848271.0
2015-06-02,114.97,116.85,113.27,115.13,2735493.0
2015-06-03,116.77,117.48,115.34,116.1,2434603.0
2015-06-04,114.24,116.41,112.46,113.61,3736402.0
2015-06-05,113.11,113.91,110.67,112.75,2878061.0
2015-06-08,112.53,112.8,108.61,109.3,2984712.0
2015-06-09,108.5,109.9,106.27,108.76,3176243.0
2015-06-10,109.82,114.12,109.48,113.07,3217002.0
2015-06-11,114.28,115.23,113.07,113.62,2431427.0
2015-06-12,111.83,112.55,110.43,110.8,2512337.0
2015-06-15,108.38,109.73,106.48,109.27,4174687.0
2015-06-16,108.78,111.51,108.7,110.94,2100330.0
2015-06-17,111.55,112.97,109.75,111.87,3496774.0
2015-06-18,112.81,117.32,112.74,116.53,3373250.0
2015-06-19,116.93,117.24,114.82,115.01,1754939.0
2015-06-22,117.59,118.63,116.81,117.59,2523433.0
2015-06-23,118.0,118.2,116.39,117.88,2389035.0
2015-06-24,117.43,118.92,115.96,116.07,1744587.0
2015-06-25,117.37,117.73,114.77,115.31,1770930.0
2015-06-26,115.21,116.05,111.76,113.18,2744436.0
2015-06-29,109.18,111.2,104.95,105.22,5668359.0
2015-06-30,107.36,108.05,105.19,106.4,3671542.0
2015-07-01,109.25,109.94,107.2,108.68,2933492.0
2015-07-02,109.53,109.87,107.77,108.83,2187022.0
2015-07-06,106.71,109.85,106.0,107.91,2715296.0
2015-07-07,108.35,109.1,102.41,108.64,5203161.0
2015-07-08,106.43,106.84,102.52,103.08,3837390.0
2015-07-09,107.31,107.42,102.85,102.9,2527229.0
2015-07-10,106.8,108.8,105.88,107.74,2555254.0
2015-07-13,110.35,113.56,110.33,113.22,2163666.0
2015-07-14,113.77,116.4,113.59,115.45,2124988.0
2015-07-15,116.06,117.2,114.88,115.95,2457196.0
2015-07-16,118.75,120.8,118.04,120.67,2892493.0
2015-07-17,123.65,126.0,123.09,125.99,2975057.0
2015-07-20,127.04,128.78,125.74,127.4,1946169.0
2015-07-21,127.6,128.1,126.04,127.05,1695479.0
2015-07-22,121.34,124.65,121.32,122.88,2246782.0
2015-07-23,123.24,124.38,120.5,121.41,1961489.0
2015-07-24,123.31,123.59,117.38,117.89,2210279.0
2015-07-27,115.86,117.38,114.2,114.93,2420076.0
2015-07-28,116.57,118.61,113.73,117.92,3232640.0
2015-07-29,118.65,120.03,117.32,119.42,2527384.0
2015-07-30,118.43,121.52,116.3,120.94,2849735.0
2015-07-31,122.05,122.25,119.74,120.54,2266703.0
2015-08-03,120.64,121.55,117.0,119.46,3050236.0
2015-08-04,119.12,119.82,117.18,118.69,2937131.0
2015-08-05,120.66,123.78,120.27,121.29,2651277.0
2015-08-06,121.71,122.24,113.97,115.73,3643598.0
2015-08-07,114.75,115.97,112.28,115.07,3328251.0
2015-08-10,117.35,119.84,117.35,119.07,2700931.0
2015-08-11,117.15,118.57,112.58,114.54,3597815.0
2015-08-12,112.22,116.37,108.49,115.54,4659487.0
2015-08-13,116.0,117.65,114.36,115.02,2920854.0
2015-08-14,114.25,116.1,113.62,115.64,3032216.0
2015-08-17,114.75,118.57,113.9,118.48,2605655.0
2015-08-18,117.81,118.3,116.22,116.59,2268932.0
2015-08-19,115.5,117.44,112.36,114.4,4893660.0
2015-08-20,111.2,112.26,104.81,104.98,6203851.0
2015-08-21,100.5,103.05,91.92,92.0,7830257.0
2015-08-24,75.05,91.48,65.3,80.8,8132716.0
2015-08-25,89.5,91.13,79.6,79.63,5907384.0
2015-08-26,86.79,92.17,81.67,91.5,5867306.0
2015-08-27,95.8,98.85,92.33,98.32,10085522.0
2015-08-28,97.08,99.6,96.44,98.66,4441206.0
2015-08-31,96.95,98.55,94.2,94.96,4292096.0
2015-09-01,87.78,92.13,84.83,86.36,6517786.0
2015-09-02,90.68,93.32,87.69,93.26,3709770.0
2015-09-03,94.46,96.28,91.12,91.78,4627115.0
2015-09-04,88.1,90.43,87.09,88.71,5812069.0
2015-09-08,93.74,96.45,92.63,96.09,4679175.0
2015-09-09,99.54,99.59,92.12,92.8,5801296.0
2015-09-10,92.51,97.73,92.18,95.86,5138777.0
2015-09-11,94.58,97.41,93.75,97.37,3928531.0
2015-09-14,98.5,98.53,95.48,96.54,3661419.0
2015-09-15,97.26,100.89,96.2,99.91,3155157.0
2015-09-16,100.11,101.95,99.0,101.58,2912972.0
2015-09-17,101.47,106.35,100.5,101.82,5031999.0
2015-09-18,97.19,101.02,96.96,97.59,5659764.0
2015-09-21,99.04,100.76,95.75,98.38,4066184.0
2015-09-22,93.83,94.9,91.28,94.05,5903268.0
2015-09-23,94.7,95.44,92.7,94.19,4644740.0
2015-09-24,91.41,94.18,89.0,93.17,6094284.0
2015-09-25,96.26,96.39,89.03,90.84,5899343.0
2015-09-28,89.58,89.74,82.21,83.01,7453531.0
2015-09-29,83.61,86.15,79.92,81.78,7583157.0
2015-09-30,85.18,87.6,84.2,87.21,6932274.0
2015-10-01,87.74,88.47,84.28,88.31,4547515.0
2015-10-02,84.86,93.11,84.0,93.0,6458833.0
2015-10-05,95.17,97.84,94.56,97.14,4309480.0
2015-10-06,96.53,97.38,93.43,95.67,4780893.0
2015-10-07,97.56,98.07,93.76,97.45,5243933.0
2015-10-08,96.35,99.1,93.51,98.58,6067024.0
2015-10-09,98.71,100.5,97.92,99.78,3646491.0
2015-10-12,100.54,101.21,99.43,100.62,3168307.0
2015-10-13,98.9,101.97,98.4,98.65,4417100.0
2015-10-14,98.68,100.17,96.96,98.23,3814471.0
2015-10-15,99.29,103.05,98.91,103.03,4445364.0
2015-10-16,103.71,104.5,102.2,104.45,2758331.0
2015-10-19,103.83,106.35,103.25,106.18,3340792.0
2015-10-20,105.54,106.25,103.42,104.42,3014778.0
2015-10-21,106.06,106.36,102.44,102.74,3667731.0
2015-10-22,105.31,109.09,104.43,108.8,5238535.0
2015-10-23,117.61,119.31,115.85,117.93,4248426.0
2015-10-26,117.73,118.88,116.4,118.23,2479752.0
2015-10-27,117.27,119.42,117.17,119.0,2145338.0
2015-10-28,119.54,121.84,116.58,121.84,4347694.0
2015-10-29,120.18,121.9,119.83,121.31,2069551.0
2015-10-30,121.47,122.1,119.64,119.65,2497254.0
2015-11-02,120.54,124.13,119.87,123.69,2299031.0
2015-11-03,122.97,126.33,122.4,124.91,2569939.0
2015-11-04,126.15,126.5,123.47,125.0,3033853.0
2015-11-05,125.34,126.26,122.06,123.86,2962012.0
2015-11-06,123.34,124.67,120.89,124.27,2837442.0
2015-11-09,122.83,123.32,117.98,120.27,3146544.0
2015-11-10,118.35,119.67,117.3,119.42,2055502.0
2015-11-11,120.33,122.05,118.29,118.89,2098736.0
2015-11-12,117.36,119.15,115.18,115.44,2866329.0
2015-11-13,113.99,114.32,108.46,108.65,4095165.0
2015-11-16,108.29,113.35,107.53,113.18,3852365.0
2015-11-17,113.87,115.96,112.65,113.57,4609386.0
2015-11-18,114.85,120.4,114.54,120.08,4078770.0
2015-11-19,120.28,121.94,119.64,120.13,2161127.0
2015-11-20,121.94,123.0,121.64,122.65,2119998.0
2015-11-23,123.49,124.2,120.11,121.66,2350244.0
2015-11-24,119.3,122.19,117.43,121.28,2757019.0
2015-11-25,121.75,122.32,120.9,121.55,1163465.0
2015-11-27,122.42,122.88,120.9,121.99,567487.0
2015-11-30,123.21,123.22,120.02,121.12,1922272.0
2015-12-01,122.58,124.82,122.19,124.82,2432631.0
2015-12-02,125.06,126.74,121.91,122.55,2531674.0
2015-12-03,123.52,124.07,114.16,116.32,4687374.0
2015-12-04,117.29,125.0,116.6,124.29,3602736.0
2015-12-07,124.66,124.88,120.95,122.71,2877874.0
2015-12-08,118.88,123.91,118.73,122.78,3372572.0
2015-12-09,121.04,123.12,114.97,117.06,6016873.0
2015-12-10,117.91,121.04,116.88,118.72,3386876.0
2015-12-11,114.61,115.53,110.32,110.58,6130411.0
2015-12-14,111.06,113.16,106.28,112.92,4825054.0
2015-12-15,115.96,117.99,114.66,115.06,3982325.0
2015-12-16,117.41,120.77,113.9,120.06,4077070.0
2015-12-17,121.66,121.76,114.91,114.98,3907435.0
2015-12-18,113.82,114.63,108.5,108.63,4242374.0
2015-12-21,111.43,111.98,108.98,111.97,2614239.0
2015-12-22,113.72,114.59,111.93,114.09,2784042.0
2015-12-23,115.88,116.88,115.25,116.7,2277899.0
2015-12-24,116.6,117.54,116.4,116.46,1010569.0
2015-12-28,115.64,116.43,113.19,116.43,2135937.0
2015-12-29,118.45,122.62,118.21,121.74,3017001.0
2015-12-30,121.52,121.67,118.54,118.63,1859307.0
2015-12-31,117.34,117.97,114.1,114.18,3660458.0
2016-01-04,106.62,107.25,102.73,107.15,5505521.0
2016-01-05,108.5,108.93,104.84,106.18,2748496.0
2016-01-06,100.98,105.05,100.84,103.44,5063595.0
2016-01-07,96.7,100.5,93.46,93.64,7057508.0
2016-01-08,95.63,97.37,90.97,91.33,6902079.0
2016-01-11,93.29,94.03,87.9,92.19,6980382.0
2016-01-12,94.67,96.73,91.4,95.39,6581449.0
