Date,open,high,low,close,volume
2015-04-27,20.69,21.63,20.62,21.45,38517742.0
2015-04-28,21.63,22.22,20.73,20.77,41552758.0
2015-04-29,21.22,21.62,20.84,21.24,48488354.0
2015-04-30,21.55,22.29,21.3,21.84,46526799.0
2015-05-01,21.54,21.57,20.77,20.81,39093432.0
2015-05-04,20.63,21.06,20.48,20.82,28286951.0
2015-05-05,20.91,21.53,20.77,21.47,45243505.0
2015-05-06,21.25,22.58,21.15,21.86,49324643.0
2015-05-07,21.96,22.27,21.5,21.7,35788336.0
2015-05-08,20.85,21.0,20.5,20.61,42613191.0
2015-05-11,20.62,21.15,20.57,21.12,28958868.0
2015-05-12,21.47,21.75,20.9,21.05,38503433.0
2015-05-13,20.85,21.08,20.63,20.67,33680065.0
2015-05-14,20.43,20.54,20.24,20.26,27134055.0
2015-05-15,20.17,20.48,20.05,20.06,30686431.0
2015-05-18,20.05,20.1,19.24,19.42,36126699.0
2015-05-19,19.3,19.56,18.98,19.14,35571591.0
2015-05-20,19.1,19.44,18.99,19.18,36772249.0
2015-05-21,19.28,19.37,18.53,18.65,32762280.0
2015-05-22,18.6,18.76,18.45,18.68,28354511.0
2015-05-26,18.88,19.58,18.81,19.39,52861925.0
2015-05-27,19.22,19.35,18.55,18.69,39571563.0
2015-05-28,18.9,19.16,18.77,18.88,35774066.0
2015-05-29,18.92,19.26,18.73,19.02,43010533.0
2015-06-01,18.78,19.12,18.61,18.84,36878029.0
2015-06-02,19.04,19.23,18.78,19.12,38258016.0
2015-06-03,18.95,19.09,18.73,18.79,35413090.0
2015-06-04,19.04,19.53,18.93,19.41,50398871.0
2015-06-05,19.45,19.62,19.03,19.1,39201831.0
2015-06-08,19.16,19.62,19.11,19.47,32832778.0
2015-06-09,19.55,19.73,19.15,19.25,37728797.0
2015-06-10,18.96,19.0,18.36,18.43,40874585.0
2015-06-11,18.21,18.29,17.92,18.0,37100641.0
2015-06-12,18.26,18.6,18.19,18.25,42854972.0
2015-06-15,18.7,19.06,18.62,19.03,55088511.0
2015-06-16,19.19,19.3,18.57,18.69,44293327.0
2015-06-17,18.59,19.06,18.42,18.62,45459634.0
2015-06-18,18.37,18.43,17.87,18.09,48606702.0
2015-06-19,18.08,18.35,18.02,18.27,38595047.0
2015-06-22,17.82,17.95,17.42,17.45,38878194.0
2015-06-23,17.35,17.38,16.98,16.99,35588653.0
2015-06-24,17.09,17.35,16.85,17.3,44684852.0
2015-06-25,17.18,17.57,17.02,17.46,41629473.0
2015-06-26,17.37,17.74,17.25,17.35,43710268.0
2015-06-29,18.44,20.5,18.16,20.27,124777166.0
2015-06-30,19.25,21.11,19.2,20.14,112990628.0
2015-07-01,19.09,19.75,18.73,18.78,66664482.0
2015-07-02,18.78,20.32,18.7,19.97,78726328.0
2015-07-06,20.91,21.1,20.01,20.47,68969906.0
2015-07-07,20.42,21.58,19.4,19.4,96096194.0
2015-07-08,20.22,21.39,20.01,21.35,90210307.0
2015-07-09,20.18,21.64,20.1,21.51,67928096.0
2015-07-10,20.39,21.03,19.77,19.85,63554696.0
2015-07-13,18.75,18.87,17.82,17.91,54085039.0
2015-07-14,17.94,18.04,17.39,17.75,36634576.0
2015-07-15,17.68,18.13,17.44,17.7,44046341.0
2015-07-16,17.12,17.17,16.49,16.53,58863455.0
2015-07-17,16.42,16.64,16.37,16.39,37346874.0
2015-07-20,16.37,16.48,15.99,16.35,38880514.0
2015-07-21,16.26,16.49,16.17,16.2,39245727.0
2015-07-22,16.63,16.65,15.97,16.12,45425985.0
2015-07-23,15.98,16.57,15.89,16.3,59310018.0
2015-07-24,16.35,17.09,16.18,16.85,58341985.0
2015-07-27,17.52,18.12,17.28,17.72,69783947.0
2015-07-28,17.22,17.67,16.28,16.49,65453075.0
2015-07-29,16.35,16.44,16.01,16.17,57691855.0
2015-07-30,16.22,16.57,15.98,16.05,41399749.0
2015-07-31,15.94,16.25,15.79,16.02,42319794.0
2015-08-03,15.97,16.44,15.74,15.78,51196875.0
2015-08-04,15.89,16.14,15.7,15.84,45160663.0
2015-08-05,15.79,15.95,15.48,15.72,40068592.0
2015-08-06,15.74,16.6,15.73,16.28,53828227.0
2015-08-07,16.24,16.61,16.03,16.14,48302197.0
2015-08-10,15.74,15.74,15.51,15.55,35177278.0
2015-08-11,16.13,16.55,15.91,16.24,60462002.0
