Date,open,high,low,close,volume
2015-04-27,82.32,82.57,81.75,81.89,11319452.0
2015-04-28,81.87,82.44,81.61,82.3,11068383.0
2015-04-29,82.01,83.06,81.74,82.94,15810000.0
2015-04-30,83.25,83.38,82.21,82.68,16478100.0
2015-05-01,82.76,83.01,82.21,82.87,11318474.0
2015-05-04,83.07,83.35,82.24,82.66,14403098.0
2015-05-05,83.28,83.66,81.61,81.64,15687924.0
2015-05-06,82.37,82.7,80.94,81.32,16120199.0
2015-05-07,81.16,81.18,79.84,80.44,17213907.0
2015-05-08,81.08,81.85,80.16,81.76,14391894.0
2015-05-11,81.84,81.88,80.14,80.22,18008763.0
2015-05-12,80.1,81.01,79.96,80.59,9755456.0
2015-05-13,81.29,81.39,80.08,80.38,12463223.0
2015-05-14,80.61,81.15,80.3,80.35,9588638.0
2015-05-15,80.01,80.99,79.81,80.67,9542413.0
2015-05-18,80.51,80.84,80.17,80.74,7158793.0
2015-05-19,80.2,80.28,79.47,79.59,13813542.0
2015-05-20,79.87,80.0,79.28,79.74,12581862.0
2015-05-21,80.19,80.61,79.9,80.49,9989961.0
2015-05-22,79.94,80.56,79.79,80.2,6229589.0
2015-05-26,79.55,79.72,78.63,78.93,12988179.0
2015-05-27,78.88,79.52,78.36,78.79,11164389.0
2015-05-28,78.52,78.62,77.98,78.48,12074917.0
2015-05-29,78.46,78.89,78.2,78.39,12958519.0
2015-06-01,78.59,78.6,78.09,78.19,8450612.0
2015-06-02,78.43,79.11,78.01,78.73,10071088.0
2015-06-03,78.49,79.07,78.08,78.19,8561310.0
2015-06-04,77.78,77.93,77.07,77.13,15559035.0
2015-06-05,76.78,78.36,76.75,77.67,18904866.0
2015-06-08,77.37,77.82,77.05,77.23,9634817.0
2015-06-09,77.7,78.19,77.19,77.22,10206222.0
2015-06-10,78.17,78.39,77.9,78.14,9712625.0
2015-06-11,78.31,78.44,77.75,77.82,8341268.0
2015-06-12,77.38,77.44,76.82,76.97,10327297.0
2015-06-15,76.42,77.18,76.19,76.76,8014482.0
2015-06-16,76.91,77.39,76.54,77.37,8945140.0
2015-06-17,77.78,78.12,76.79,77.18,10387063.0
2015-06-18,77.42,77.77,77.06,77.13,12618456.0
2015-06-19,76.29,76.6,75.87,75.9,16980373.0
2015-06-22,76.6,76.9,76.26,76.86,10380680.0
2015-06-23,76.73,77.23,76.65,77.1,7097737.0
2015-06-24,76.92,77.36,76.58,76.61,6784652.0
2015-06-25,76.59,76.68,75.81,75.84,8541347.0
2015-06-26,75.76,76.1,75.34,76.02,11060938.0
2015-06-29,75.12,75.6,74.58,74.62,13323447.0
2015-06-30,75.33,75.45,74.68,75.16,15087899.0
2015-07-01,75.31,75.34,73.9,74.2,12965914.0
2015-07-02,74.4,74.93,74.34,74.47,8672577.0
2015-07-06,73.55,74.26,73.24,73.54,13415863.0
2015-07-07,73.26,74.47,72.43,74.22,20669083.0
2015-07-08,73.71,74.22,72.42,72.72,16102148.0
2015-07-09,73.72,74.03,73.09,73.11,11833000.0
2015-07-10,73.53,73.99,73.13,73.46,13157421.0
2015-07-13,73.74,74.19,73.54,73.98,14308322.0
2015-07-14,73.8,74.84,73.77,74.54,12567324.0
2015-07-15,74.16,74.52,72.97,73.23,12531015.0
2015-07-16,73.65,73.87,73.19,73.33,7827663.0
2015-07-17,73.26,73.33,72.2,72.44,13811501.0
2015-07-20,72.57,72.58,71.39,71.48,13454391.0
2015-07-21,71.65,72.21,71.29,71.51,10586454.0
2015-07-22,71.22,71.65,70.78,70.93,15024338.0
2015-07-23,71.0,71.45,70.33,70.87,11233057.0
2015-07-24,70.87,70.9,69.25,69.53,12455001.0
2015-07-27,68.62,69.32,68.21,68.51,16985555.0
2015-07-28,68.61,70.85,68.56,70.47,18888455.0
2015-07-29,70.29,71.5,70.07,71.43,23235701.0
2015-07-30,71.28,71.49,70.62,70.93,12516343.0
2015-07-31,70.32,70.42,69.27,69.38,21548807.0
2015-08-03,68.64,69.07,67.78,67.91,16636986.0
2015-08-04,68.22,68.75,67.4,67.69,12613928.0
2015-08-05,68.22,68.97,67.11,67.15,18442979.0
2015-08-06,66.78,68.43,66.29,68.25,23187250.0
2015-08-07,67.97,68.51,66.79,67.01,16942755.0
2015-08-10,67.17,69.22,67.17,69.19,19206020.0
2015-08-11,67.79,69.37,67.66,69.31,20950861.0
2015-08-12,69.06,70.74,68.66,70.58,23189275.0
2015-08-13,70.1,70.36,69.4,69.49,19758114.0
2015-08-14,69.64,70.12,69.18,69.35,12061093.0
2015-08-17,69.0,69.83,68.77,69.48,9504507.0
2015-08-18,69.36,69.54,68.89,69.25,10997379.0
2015-08-19,68.85,68.96,67.0,67.32,19317261.0
2015-08-20,67.14,67.59,65.79,65.79,25301450.0
2015-08-21,65.14,65.85,63.46,63.49,25066573.0
2015-08-24,59.79,62.58,58.74,60.13,41893413.0
2015-08-25,62.73,62.73,59.17,59.24,27123829.0
2015-08-26,60.72,61.32,59.54,61.27,39202184.0
2015-08-27,62.68,64.44,62.45,64.3,31609469.0
2015-08-28,64.07,66.42,64.04,65.75,31246304.0
2015-08-31,65.25,66.86,64.08,66.48,35958546.0
2015-09-01,64.52,65.28,63.54,64.08,28623513.0
2015-09-02,65.0,65.1,63.18,64.69,25447362.0
2015-09-03,65.11,66.25,64.46,64.87,21768793.0
2015-09-04,63.93,64.25,63.52,63.78,16541190.0
2015-09-08,64.48,64.88,63.69,64.78,15435212.0
2015-09-09,65.24,66.02,63.47,63.59,18405538.0
2015-09-10,63.84,64.3,62.96,63.9,18454585.0
2015-09-11,63.3,63.45,62.49,63.37,13119194.0
2015-09-14,62.93,63.21,62.5,62.8,12384775.0
2015-09-15,63.02,63.73,63.01,63.52,14645432.0
2015-09-16,64.03,65.41,63.93,65.32,17135365.0
2015-09-17,65.37,66.44,64.86,65.27,19751965.0
2015-09-18,63.58,64.05,62.72,63.1,21146728.0
2015-09-21,63.77,63.93,63.06,63.46,15643727.0
2015-09-22,62.48,63.45,62.35,62.79,16898489.0
2015-09-23,63.03,63.32,61.95,61.98,13950243.0
