Date,open,high,low,close,volume
2015-04-27,30.91,31.68,30.9,31.12,714647.0
2015-04-28,31.08,31.43,30.55,30.63,548638.0
2015-04-29,30.65,30.67,30.29,30.38,552325.0
2015-04-30,30.38,30.48,30.02,30.24,968251.0
2015-05-01,30.3,30.42,30.1,30.16,511596.0
2015-05-04,30.26,30.45,30.22,30.35,439375.0
2015-05-05,30.39,30.59,30.3,30.36,507735.0
2015-05-06,30.45,30.47,30.22,30.42,434144.0
2015-05-07,30.42,30.65,30.3,30.48,288787.0
2015-05-08,30.5,30.9,30.43,30.51,236548.0
2015-05-11,30.5,30.63,30.4,30.5,457317.0
2015-05-12,30.42,30.46,30.08,30.22,453905.0
2015-05-13,30.29,30.4,30.23,30.32,494850.0
2015-05-14,30.45,30.71,30.37,30.6,508805.0
2015-05-15,30.66,30.94,30.5,30.91,320087.0
2015-05-18,30.92,31.32,30.91,31.2,234750.0
2015-05-19,31.27,31.27,31.09,31.14,278466.0
2015-05-20,31.21,31.35,31.12,31.24,293362.0
2015-05-21,31.15,31.4,31.01,31.06,300149.0
2015-05-22,31.07,31.18,30.92,31.0,230907.0
2015-05-26,31.11,31.41,30.0,30.02,769270.0
2015-05-27,29.92,29.97,29.48,29.89,375326.0
2015-05-28,29.84,30.02,29.81,29.95,194578.0
2015-05-29,29.96,30.04,29.5,29.54,584666.0
2015-06-01,29.66,29.83,29.4,29.54,196335.0
2015-06-02,29.46,30.04,29.31,29.97,210294.0
2015-06-03,30.07,30.49,29.99,30.23,210256.0
2015-06-04,30.04,30.18,29.77,29.88,330156.0
2015-06-05,29.95,30.13,29.52,30.13,196935.0
2015-06-08,30.05,30.05,29.51,29.58,147463.0
2015-06-09,29.56,29.57,29.06,29.24,140260.0
2015-06-10,29.2,29.87,29.17,29.44,263281.0
2015-06-11,29.46,29.78,29.44,29.77,137220.0
2015-06-12,29.7,30.3,29.7,30.23,206873.0
2015-06-15,30.13,30.13,29.23,29.57,282189.0
2015-06-16,29.52,30.03,29.25,30.01,255612.0
2015-06-17,30.09,30.31,29.71,30.16,311062.0
2015-06-18,30.25,30.62,30.19,30.31,282810.0
2015-06-19,30.38,31.46,30.17,31.36,664117.0
2015-06-22,31.54,31.94,31.36,31.85,257171.0
2015-06-23,31.89,31.94,31.47,31.84,247533.0
2015-06-24,31.75,32.0,31.62,31.64,235325.0
2015-06-25,31.78,32.19,31.65,32.15,255341.0
2015-06-26,32.24,32.87,32.02,32.6,698093.0
2015-06-29,32.38,32.73,31.83,31.87,186036.0
2015-06-30,32.1,32.17,31.73,31.87,247997.0
2015-07-01,32.19,32.31,31.79,31.88,206792.0
2015-07-02,31.93,32.04,31.13,31.32,128280.0
2015-07-06,31.06,31.33,30.88,31.17,139988.0
2015-07-07,31.17,31.17,30.6,31.04,208510.0
2015-07-08,30.84,31.13,30.63,30.64,349658.0
2015-07-09,31.01,31.14,30.5,30.62,247145.0
2015-07-10,30.97,31.29,30.94,31.26,215051.0
2015-07-13,31.38,31.84,31.35,31.69,199414.0
2015-07-14,32.17,32.76,31.58,32.4,373635.0
2015-07-15,32.43,32.43,30.42,31.0,429846.0
2015-07-16,31.12,31.12,30.42,30.63,528643.0
2015-07-17,30.46,30.67,29.95,29.99,367841.0
2015-07-20,30.0,30.19,29.74,29.77,230646.0
2015-07-21,29.81,29.9,28.94,29.32,405584.0
2015-07-22,29.28,29.62,28.93,29.0,273951.0
2015-07-23,29.04,29.16,28.55,28.58,193590.0
2015-07-24,28.46,28.46,27.55,27.59,237903.0
2015-07-27,27.48,27.59,26.85,26.91,227875.0
2015-07-28,27.09,27.14,26.49,26.73,406946.0
2015-07-29,26.81,27.49,26.79,27.11,191624.0
2015-07-30,27.11,27.11,26.67,26.67,210109.0
2015-07-31,26.75,27.09,26.72,26.95,172410.0
2015-08-03,27.0,27.19,26.63,26.92,200721.0
2015-08-04,26.92,27.45,26.75,26.98,145641.0
2015-08-05,27.2,27.56,27.03,27.03,135664.0
2015-08-06,27.07,27.26,26.72,26.84,182268.0
2015-08-07,26.74,27.16,26.48,26.62,145126.0
2015-08-10,26.82,27.41,26.82,27.25,156222.0
2015-08-11,27.03,27.23,26.78,26.81,119071.0
2015-08-12,26.66,26.71,26.26,26.54,186938.0
2015-08-13,26.55,26.64,26.25,26.39,211684.0
2015-08-14,26.39,26.73,26.17,26.65,150264.0
2015-08-17,26.54,26.64,26.31,26.6,160251.0
2015-08-18,26.53,26.57,26.25,26.33,143044.0
2015-08-19,26.18,26.2,25.57,25.71,134323.0
2015-08-20,25.54,25.54,25.03,25.03,153324.0
2015-08-21,24.59,25.16,24.35,25.0,276881.0
2015-08-24,24.5,25.5,23.78,24.31,263811.0
2015-08-25,24.9,24.9,23.47,23.51,330678.0
2015-08-26,23.9,24.09,23.02,23.68,300412.0
2015-08-27,23.82,24.47,23.59,24.15,218766.0
2015-08-28,24.16,24.71,24.11,24.39,232183.0
2015-08-31,24.26,24.65,24.04,24.33,170746.0
2015-09-01,23.92,24.15,23.49,23.55,228040.0
2015-09-02,23.81,23.81,23.42,23.7,362764.0
2015-09-03,23.76,23.84,23.46,23.47,200749.0
2015-09-04,23.28,23.6,23.08,23.28,172532.0
2015-09-08,23.57,23.64,23.36,23.39,192890.0
2015-09-09,23.29,23.59,23.13,23.39,328387.0
2015-09-10,23.36,23.57,23.18,23.19,185833.0
2015-09-11,23.12,23.23,22.92,23.2,238209.0
2015-09-14,23.22,23.37,22.87,22.9,226585.0
2015-09-15,22.93,23.52,22.9,23.47,312915.0
2015-09-16,23.47,23.61,23.3,23.35,451353.0
2015-09-17,23.32,24.18,23.2,23.9,496718.0
2015-09-18,23.66,23.75,23.15,23.18,503226.0
2015-09-21,23.26,23.42,22.81,22.89,494885.0
2015-09-22,22.67,22.72,21.74,21.85,445563.0
2015-09-23,21.89,22.05,21.35,21.39,317555.0
2015-09-24,21.31,21.31,20.61,20.9,451320.0
2015-09-25,20.96,20.96,18.85,18.91,1476747.0
2015-09-28,18.87,18.87,18.39,18.69,767858.0
2015-09-29,18.71,19.07,18.61,18.84,473177.0
2015-09-30,18.92,19.09,18.69,18.97,479052.0
2015-10-01,18.98,19.73,18.95,19.57,576861.0
2015-10-02,19.46,20.3,19.2,20.3,374321.0
2015-10-05,20.47,21.02,20.43,20.94,338289.0
2015-10-06,20.95,21.24,20.81,21.13,317608.0
2015-10-07,21.22,21.51,20.85,21.33,575923.0
2015-10-08,21.29,22.14,21.25,22.02,321537.0
2015-10-09,22.15,22.32,21.97,22.2,198425.0
2015-10-12,22.22,22.39,21.96,22.28,162973.0
2015-10-13,22.17,22.61,22.17,22.37,273574.0
2015-10-14,22.41,22.73,22.15,22.2,308238.0
2015-10-15,22.27,22.71,22.25,22.68,259132.0
2015-10-16,22.73,22.73,22.27,22.46,212135.0
2015-10-19,22.39,22.59,22.18,22.48,213992.0
2015-10-20,22.46,22.79,22.38,22.66,161943.0
2015-10-21,22.79,22.93,22.36,22.36,151001.0
2015-10-22,22.43,23.22,22.43,22.75,252135.0
2015-10-23,22.98,23.33,22.83,23.07,151735.0
2015-10-26,22.9,23.09,22.48,22.5,159981.0
2015-10-27,22.37,22.52,22.1,22.18,254668.0
2015-10-28,22.2,22.96,22.2,22.89,237627.0
2015-10-29,22.7,23.06,22.65,22.78,104260.0
2015-10-30,22.75,22.86,22.54,22.69,255530.0
2015-11-02,22.68,23.64,22.68,23.59,175335.0
2015-11-03,23.47,23.92,23.32,23.82,203599.0
2015-11-04,23.81,23.95,23.61,23.78,138170.0
2015-11-05,23.76,23.98,23.58,23.89,154455.0
2015-11-06,23.77,24.03,23.39,24.01,137964.0
2015-11-09,24.01,24.01,23.08,23.34,227363.0
2015-11-10,23.23,23.49,22.9,23.16,176983.0
2015-11-11,23.2,23.2,22.68,22.89,180878.0
2015-11-12,22.69,22.69,22.18,22.28,212313.0
2015-11-13,22.07,22.8,22.07,22.43,149710.0
2015-11-16,22.4,23.32,22.4,23.3,227303.0
2015-11-17,23.35,23.53,22.84,23.02,137246.0
2015-11-18,23.21,23.36,23.03,23.33,98738.0
2015-11-19,23.29,23.51,23.17,23.39,74608.0
2015-11-20,23.53,23.74,23.45,23.46,95147.0
2015-11-23,23.47,23.69,23.2,23.55,135136.0
2015-11-24,23.44,24.42,23.44,24.37,118734.0
2015-11-25,24.35,24.48,23.95,24.24,144207.0
2015-11-27,24.15,24.28,23.81,24.15,73656.0
2015-11-30,24.17,24.72,24.08,24.56,153476.0
2015-12-01,24.61,24.72,24.42,24.65,114832.0
2015-12-02,24.6,25.0,24.57,24.73,115155.0
2015-12-03,24.83,24.83,24.26,24.55,192838.0
2015-12-04,24.54,24.65,24.16,24.38,171057.0
2015-12-07,24.29,24.29,23.45,23.58,212438.0
2015-12-08,23.35,23.39,22.81,23.12,170310.0
2015-12-09,23.07,23.73,22.73,22.91,166634.0
2015-12-10,22.89,22.95,22.54,22.75,161611.0
2015-12-11,22.03,22.36,21.73,21.78,284537.0
2015-12-14,21.76,22.0,21.49,21.61,340376.0
2015-12-15,21.78,22.68,21.68,22.65,207956.0
2015-12-16,22.77,23.44,22.65,23.4,196574.0
2015-12-17,23.37,23.62,22.99,23.03,305668.0
2015-12-18,23.38,25.42,23.38,24.61,1033146.0
2015-12-21,24.6,26.02,24.41,26.0,423759.0
2015-12-22,26.31,26.47,25.3,26.23,291415.0
2015-12-23,26.37,26.52,25.73,26.38,237728.0
2015-12-24,26.36,26.76,26.25,26.59,127730.0
2015-12-28,26.4,26.59,25.74,26.25,171700.0
2015-12-29,26.42,26.93,26.37,26.66,156380.0
2015-12-30,26.6,26.62,26.17,26.29,108873.0
2015-12-31,26.14,26.68,25.84,26.29,228862.0
2016-01-04,25.82,25.97,25.26,25.79,225537.0
2016-01-05,25.92,25.92,25.22,25.43,117896.0
2016-01-06,25.11,25.22,24.56,24.66,178473.0
2016-01-07,24.21,24.69,24.1,24.1,206771.0
2016-01-08,24.2,24.2,23.47,23.51,297496.0
2016-01-11,23.6,23.78,23.06,23.36,189807.0
2016-01-12,23.52,23.79,23.11,23.76,331728.0
2016-01-13,23.88,23.91,23.0,23.12,308356.0
2016-01-14,23.17,23.91,22.7,23.66,259907.0
2016-01-15,23.09,23.97,22.99,23.87,350227.0
2016-01-19,24.02,24.09,21.42,21.88,350229.0
2016-01-20,21.56,22.16,20.29,21.99,303674.0
2016-01-21,22.05,22.31,21.69,21.75,192380.0
2016-01-22,22.08,22.42,21.58,21.89,187809.0
2016-01-25,21.76,21.77,21.0,21.03,158988.0
2016-01-26,21.09,21.39,20.87,21.1,198108.0
2016-01-27,20.95,21.11,20.53,20.66,144103.0
2016-01-28,20.81,21.03,20.16,20.25,173005.0
2016-01-29,20.32,21.02,20.19,21.01,389215.0
2016-02-01,20.88,20.88,20.22,20.69,166528.0
2016-02-02,20.4,20.56,19.34,19.36,174931.0
2016-02-03,19.54,19.76,18.9,19.67,189271.0
2016-02-04,19.63,20.64,19.6,20.05,116331.0
2016-02-05,19.96,19.98,19.26,19.3,152472.0
2016-02-08,19.1,19.48,18.7,19.4,177454.0
2016-02-09,19.2,19.79,19.01,19.63,217818.0
2016-02-10,19.72,20.2,19.44,19.79,247158.0
2016-02-11,19.41,19.41,18.36,18.98,163100.0
2016-02-12,19.13,19.14,18.76,18.93,170683.0
2016-02-16,19.16,19.74,19.0,19.62,189311.0
2016-02-17,19.79,19.99,19.45,19.56,214900.0
2016-02-18,19.63,20.34,19.47,19.74,215915.0
2016-02-19,19.7,19.9,19.41,19.56,239201.0
2016-02-22,19.97,21.9,19.97,21.23,348079.0
2016-02-23,21.13,21.41,20.91,20.99,199630.0
2016-02-24,20.77,21.46,20.56,21.34,161959.0
2016-02-25,21.45,21.56,21.17,21.52,142899.0
2016-02-26,21.59,21.94,21.4,21.6,161979.0
2016-02-29,21.64,21.97,21.28,21.29,210584.0
2016-03-01,21.51,21.72,20.88,21.49,256362.0
2016-03-02,21.36,21.8,21.36,21.72,153560.0
2016-03-03,21.71,22.15,21.71,21.96,162146.0
2016-03-04,21.96,22.34,21.56,22.25,236103.0
2016-03-07,22.1,22.59,21.79,22.36,276531.0
2016-03-08,22.18,22.18,21.16,21.45,217930.0
2016-03-09,21.52,21.98,21.35,21.79,200247.0
2016-03-10,21.8,21.95,20.8,21.26,243534.0
2016-03-11,21.41,21.68,20.95,21.61,255626.0
2016-03-14,21.47,21.54,21.22,21.29,168107.0
2016-03-15,21.06,21.1,20.74,21.0,150767.0
2016-03-16,21.0,21.35,20.96,21.21,125619.0
2016-03-17,21.15,22.14,21.02,22.07,209919.0
2016-03-18,22.2,22.68,21.93,22.63,350595.0
2016-03-21,22.52,22.72,22.04,22.21,264438.0
2016-03-22,22.02,22.23,21.71,21.94,205309.0
2016-03-23,21.06,24.3,20.95,23.03,697147.0
2016-03-24,22.82,22.83,21.45,22.8,474567.0
2016-03-28,22.93,23.0,22.44,22.62,339136.0
2016-03-29,22.49,23.22,22.23,23.21,339909.0
2016-03-30,23.35,23.38,22.96,23.2,313525.0
2016-03-31,23.2,23.47,23.08,23.27,240559.0
2016-04-01,23.15,23.61,22.92,23.39,198683.0
2016-04-04,23.36,23.63,23.21,23.29,194415.0
2016-04-05,23.17,23.51,22.99,23.25,241107.0
2016-04-06,23.36,23.42,22.98,23.27,164546.0
2016-04-07,23.07,23.49,23.06,23.3,465012.0
2016-04-08,23.48,23.94,23.28,23.44,149900.0
2016-04-11,23.54,23.82,23.32,23.32,149891.0
2016-04-12,23.3,23.85,23.27,23.53,78615.0
2016-04-13,23.64,24.23,23.52,24.15,307155.0
2016-04-14,24.16,24.74,24.13,24.61,270255.0
2016-04-15,24.62,24.8,24.12,24.13,139186.0
2016-04-18,24.08,24.53,24.06,24.21,123475.0
2016-04-19,24.26,24.66,24.11,24.29,106970.0
2016-04-20,24.19,24.61,24.04,24.43,155698.0
2016-04-21,24.43,24.51,23.86,24.04,134011.0
2016-04-22,23.99,24.42,23.94,24.19,120482.0
2016-04-25,24.13,24.33,23.48,23.61,141868.0
2016-04-26,23.76,24.44,23.46,24.43,173460.0
2016-04-27,24.43,24.6,24.21,24.44,131454.0
2016-04-28,24.33,24.85,24.16,24.22,178626.0
2016-04-29,24.2,24.46,23.88,24.04,143266.0
