Date,open,high,low,close,volume
2015-04-27,121.34,122.12,121.0,121.45,1026464.0
2015-04-28,121.15,121.49,119.76,120.91,639026.0
2015-04-29,121.45,121.7,119.52,120.06,555243.0
2015-04-30,119.89,120.22,117.88,118.72,656499.0
2015-05-01,119.09,119.83,118.47,119.61,298081.0
2015-05-04,119.84,120.19,119.08,119.83,198826.0
2015-05-05,119.3,119.69,118.15,118.23,284743.0
2015-05-06,119.4,119.72,117.67,118.36,465044.0
2015-05-07,119.33,119.91,118.71,118.92,351834.0
2015-05-08,120.64,121.72,120.63,121.72,566444.0
2015-05-11,121.33,121.69,120.53,120.54,248974.0
2015-05-12,119.8,120.2,119.04,119.67,387414.0
2015-05-13,119.78,121.03,119.13,120.12,336206.0
2015-05-14,120.7,121.91,120.53,121.68,258733.0
2015-05-15,123.03,124.86,122.9,124.79,749837.0
2015-05-18,125.01,126.59,124.65,126.18,555432.0
2015-05-19,126.49,127.25,125.47,127.1,735577.0
2015-05-20,131.13,132.19,130.52,130.81,1434019.0
2015-05-21,131.29,131.42,130.16,130.75,734839.0
2015-05-22,130.8,131.47,130.31,130.41,490560.0
2015-05-26,130.49,130.5,129.04,129.44,338966.0
2015-05-27,128.32,129.25,128.09,129.01,449118.0
2015-05-28,128.01,128.34,127.37,128.2,350551.0
2015-05-29,126.63,127.41,125.68,126.15,673055.0
2015-06-01,126.64,126.95,125.58,126.46,541194.0
2015-06-02,125.79,126.26,124.5,125.14,532428.0
2015-06-03,125.53,126.89,125.41,125.93,371735.0
2015-06-04,125.7,125.91,124.69,125.06,483712.0
2015-06-05,124.8,124.89,124.09,124.65,322415.0
2015-06-08,124.28,124.53,123.14,123.69,316887.0
2015-06-09,122.73,122.98,120.13,120.86,1175719.0
2015-06-10,122.63,123.31,121.97,122.51,418375.0
2015-06-11,122.69,123.05,121.92,122.34,327072.0
2015-06-12,121.38,122.07,121.04,121.62,337688.0
2015-06-15,119.81,120.64,119.23,120.29,386497.0
2015-06-16,121.66,122.02,120.93,121.17,286130.0
2015-06-17,121.52,121.52,120.24,120.87,222073.0
2015-06-18,120.44,121.4,120.19,120.87,210541.0
2015-06-19,120.86,121.38,120.35,120.79,296747.0
2015-06-22,122.43,122.7,121.33,121.48,309715.0
2015-06-23,124.12,125.05,122.62,122.98,587320.0
2015-06-24,121.27,121.65,119.1,119.36,980742.0
2015-06-25,120.67,121.39,120.37,120.78,565970.0
2015-06-26,121.4,121.86,120.23,120.35,355876.0
2015-06-29,119.34,119.83,116.75,116.9,592097.0
2015-06-30,117.71,117.72,115.94,116.75,529482.0
2015-07-01,118.25,118.55,116.05,116.66,596451.0
2015-07-02,115.56,116.52,115.48,116.37,393844.0
2015-07-06,113.19,114.99,113.17,114.03,537504.0
2015-07-07,113.24,113.93,111.61,113.75,698226.0
2015-07-08,110.7,110.98,106.18,106.18,1499906.0
2015-07-09,109.05,109.21,106.54,106.56,743587.0
2015-07-10,108.16,108.35,107.09,107.18,545146.0
2015-07-13,108.43,108.83,107.98,108.55,484640.0
2015-07-14,106.76,107.89,106.49,107.24,716525.0
2015-07-15,106.49,107.01,105.81,106.3,897064.0
2015-07-16,107.84,108.3,105.8,106.4,1126211.0
2015-07-17,111.14,111.21,106.27,108.81,1783017.0
2015-07-20,109.81,110.02,108.97,109.48,848540.0
2015-07-21,109.25,109.93,108.49,109.62,652230.0
2015-07-22,107.37,107.82,106.3,106.58,689466.0
2015-07-23,107.16,107.73,106.2,106.42,416815.0
2015-07-24,106.11,106.72,103.42,103.89,555732.0
2015-07-27,103.82,103.89,100.97,102.12,953854.0
2015-07-28,103.61,104.19,102.69,103.8,654545.0
2015-07-29,104.1,105.18,103.77,104.94,337501.0
2015-07-30,104.21,104.98,103.5,104.87,410384.0
2015-07-31,106.83,106.85,104.5,105.2,483979.0
2015-08-03,104.64,105.2,102.38,103.33,874437.0
2015-08-04,103.42,104.4,103.16,103.51,476356.0
2015-08-05,104.89,104.99,103.75,104.24,466070.0
2015-08-06,105.04,105.04,103.04,104.15,672667.0
