Date,open,high,low,close,volume
2015-04-27,168.49,168.72,161.55,162.38,4343619.0
2015-04-28,162.15,165.3,160.63,162.49,4250980.0
2015-04-29,161.28,163.46,159.53,160.98,2936245.0
2015-04-30,159.84,161.71,156.47,157.91,4373365.0
2015-05-01,159.5,161.69,158.65,160.23,3257209.0
2015-05-04,161.5,163.96,161.45,162.11,3490228.0
2015-05-05,161.31,162.19,159.24,159.44,3055971.0
2015-05-06,159.99,160.39,156.65,158.95,3741012.0
2015-05-07,159.24,159.82,157.2,157.9,4337702.0
2015-05-08,159.78,162.86,159.13,162.34,4616944.0
2015-05-11,162.31,162.99,161.0,161.05,2677113.0
2015-05-12,159.0,159.26,155.71,158.24,4338535.0
2015-05-13,159.74,161.24,157.65,158.39,2709740.0
2015-05-14,159.9,162.16,158.19,161.98,2681791.0
2015-05-15,163.27,163.63,161.68,162.36,2378714.0
2015-05-18,161.7,163.9,161.27,163.44,2152548.0
2015-05-19,163.86,164.12,162.46,163.56,1738066.0
2015-05-20,163.97,165.59,162.4,163.98,2022915.0
2015-05-21,163.52,164.73,162.82,163.84,2153523.0
2015-05-22,163.58,164.57,163.03,163.58,1633239.0
2015-05-26,160.65,162.46,158.0,159.01,4053563.0
2015-05-27,159.96,161.0,159.27,160.44,3323523.0
2015-05-28,159.6,159.6,155.83,157.35,4189241.0
2015-05-29,156.79,157.97,155.58,156.26,4170421.0
2015-06-01,157.59,158.0,155.5,157.03,2816105.0
2015-06-02,156.88,157.97,154.8,156.44,2496597.0
2015-06-03,157.45,157.86,156.4,157.2,2160427.0
2015-06-04,156.6,158.47,156.3,158.09,3908309.0
2015-06-05,158.5,159.4,156.03,157.25,3427566.0
2015-06-08,157.3,158.47,155.63,156.47,2069633.0
2015-06-09,156.55,157.11,153.91,154.8,2681250.0
2015-06-10,153.4,155.88,150.85,155.55,5941478.0
2015-06-11,157.91,158.97,156.44,158.05,3591020.0
2015-06-12,157.23,157.74,155.01,156.12,2388552.0
2015-06-15,154.75,156.37,153.57,156.1,2555987.0
2015-06-16,155.81,156.81,155.09,156.23,1719407.0
2015-06-17,156.86,156.98,154.88,155.65,2996527.0
2015-06-18,156.33,160.77,156.31,160.09,3450703.0
2015-06-19,160.13,162.23,159.77,160.72,4712238.0
2015-06-22,161.62,163.26,161.45,162.22,1903879.0
2015-06-23,163.45,163.5,161.04,161.69,2345692.0
2015-06-24,161.53,161.84,159.28,159.89,2516648.0
2015-06-25,160.82,160.84,158.02,158.76,2397006.0
2015-06-26,159.41,159.79,157.23,158.16,2743682.0
2015-06-29,156.63,157.96,151.43,151.62,4773444.0
2015-06-30,153.24,154.22,151.51,153.52,3719054.0
2015-07-01,154.94,155.75,153.43,155.05,2269523.0
2015-07-02,155.15,155.57,153.01,153.26,2110949.0
2015-07-06,152.14,156.07,151.89,154.5,2765205.0
2015-07-07,155.25,155.7,152.18,155.45,2245172.0
2015-07-08,154.11,154.85,151.92,152.37,2362014.0
2015-07-09,152.44,153.9,151.04,151.31,4075096.0
2015-07-10,153.99,154.53,152.49,154.08,3962865.0
2015-07-13,155.28,156.56,154.92,155.76,1796123.0
2015-07-14,156.34,160.31,155.76,159.32,3584562.0
2015-07-15,160.46,162.55,159.57,160.45,2608664.0
2015-07-16,161.73,163.75,161.07,163.05,2442953.0
2015-07-17,163.05,163.5,160.6,163.27,3226583.0
2015-07-20,163.56,165.4,162.89,164.34,2593341.0
2015-07-21,164.72,165.32,162.36,163.7,2662816.0
2015-07-22,161.47,164.68,161.47,164.25,2083410.0
2015-07-23,165.0,165.12,162.79,164.1,1688368.0
2015-07-24,162.11,163.73,157.21,158.59,4348684.0
2015-07-27,159.37,165.94,159.16,165.57,5741651.0
2015-07-28,166.12,174.8,166.12,172.74,8503610.0
2015-07-29,172.92,173.68,169.11,171.44,4953508.0
2015-07-30,170.09,172.48,168.21,171.94,3906630.0
2015-07-31,177.5,181.81,176.0,176.73,7210118.0
2015-08-03,176.8,177.05,174.02,175.59,2913842.0
2015-08-04,175.79,176.22,173.62,174.8,2415889.0
2015-08-05,175.53,177.52,175.38,176.5,2135773.0
2015-08-06,176.94,176.96,168.25,169.68,3739258.0
2015-08-07,169.67,172.47,166.4,172.34,4137011.0
2015-08-10,172.9,174.69,170.45,170.6,2703849.0
2015-08-11,169.67,169.73,166.89,168.56,2766211.0
2015-08-12,167.69,171.19,164.62,170.62,4427013.0
2015-08-13,170.5,170.99,168.03,168.58,1867781.0
2015-08-14,168.09,169.63,166.66,167.72,2703516.0
