Date,open,high,low,close,volume
2015-04-27,443.86,446.99,437.41,438.56,5419876.0
2015-04-28,438.51,439.0,428.04,429.31,4124203.0
2015-04-29,426.75,434.24,426.03,429.37,3609307.0
2015-04-30,427.11,431.75,419.24,421.78,3593935.0
2015-05-01,423.82,425.64,416.0,422.8,3423576.0
2015-05-04,424.8,429.77,422.42,423.04,2262329.0
2015-05-05,422.85,427.51,421.02,421.19,2829992.0
2015-05-06,421.43,422.71,414.55,419.1,2534253.0
2015-05-07,424.15,428.5,422.85,426.88,2734457.0
2015-05-08,430.75,435.2,430.17,433.67,2879977.0
2015-05-11,432.51,439.0,431.37,432.85,2362221.0
2015-05-12,431.08,433.25,426.71,431.02,1934487.0
2015-05-13,429.98,433.52,425.8,426.87,1989832.0
2015-05-14,429.45,433.0,427.01,432.28,1863101.0
2015-05-15,428.0,430.39,424.3,426.0,4219006.0
2015-05-18,426.0,427.27,421.46,425.24,2266986.0
2015-05-19,424.87,428.24,420.63,421.71,2417590.0
2015-05-20,420.6,427.1,418.36,423.86,2189067.0
2015-05-21,428.0,436.9,428.0,431.63,4105072.0
2015-05-22,431.55,432.44,427.61,427.65,2016261.0
2015-05-26,426.2,427.0,422.0,425.47,2224653.0
2015-05-27,427.45,431.85,425.01,431.42,2214116.0
2015-05-28,429.71,431.35,425.47,426.57,1891580.0
2015-05-29,427.23,432.5,427.23,429.27,2924185.0
2015-06-01,430.4,433.16,426.2,430.92,2247127.0
2015-06-02,430.07,433.23,426.25,430.99,1668134.0
2015-06-03,434.4,438.39,432.75,436.6,2720201.0
2015-06-04,434.4,436.75,429.26,430.78,2498173.0
2015-06-05,429.66,430.8,426.5,426.95,1899181.0
2015-06-08,425.62,426.8,421.42,423.5,2166036.0
2015-06-09,422.96,427.49,419.14,425.48,2272789.0
2015-06-10,426.46,432.2,425.66,430.66,2165913.0
2015-06-11,432.29,438.89,431.47,432.59,2903521.0
2015-06-12,431.25,432.36,428.26,430.06,2046872.0
2015-06-15,427.66,428.05,422.64,423.67,2030170.0
2015-06-16,424.15,427.97,422.67,427.26,2294315.0
2015-06-17,428.36,431.35,424.75,427.81,2176534.0
