Date,open,high,low,close,volume
2015-04-27,8.58,9.18,8.43,8.86,4059900.0
2015-04-28,8.87,9.6,8.87,9.35,4378200.0
2015-04-29,9.34,9.97,9.13,9.87,4274900.0
2015-04-30,9.88,10.5,9.64,10.19,4222200.0
2015-05-01,10.1,10.28,9.61,9.96,3029800.0
2015-05-04,9.97,10.06,9.44,9.85,3391100.0
2015-05-05,10.23,10.47,10.01,10.04,3224100.0
2015-05-06,10.21,10.41,9.9,10.02,3518400.0
2015-05-07,9.89,9.94,9.27,9.66,3171800.0
2015-05-08,9.76,10.08,9.36,10.04,3415000.0
2015-05-11,10.05,10.25,9.47,9.66,2924500.0
2015-05-12,9.57,9.98,9.45,9.97,3566500.0
2015-05-13,10.06,10.13,9.68,9.81,2648900.0
2015-05-14,9.89,9.97,9.41,9.44,2349400.0
2015-05-15,9.35,9.37,8.82,9.13,2161000.0
2015-05-18,9.06,9.13,8.67,8.84,2064800.0
2015-05-19,8.67,8.7,8.17,8.55,2572300.0
2015-05-20,8.6,8.79,8.4,8.77,1604200.0
2015-05-21,8.8,9.18,8.8,8.88,1690100.0
2015-05-22,8.6,8.9,8.51,8.8,1809800.0
2015-05-26,8.68,8.78,8.5,8.61,1611500.0
2015-05-27,8.52,8.83,8.43,8.77,1670800.0
2015-05-28,8.67,8.73,8.31,8.54,1844300.0
2015-05-29,8.52,8.83,8.45,8.71,1938400.0
2015-06-01,8.7,8.75,8.46,8.59,1409500.0
2015-06-02,8.67,9.23,8.67,8.94,2975200.0
2015-06-03,8.89,8.95,8.35,8.5,3021300.0
2015-06-04,8.41,8.51,8.14,8.15,1364300.0
2015-06-05,8.11,8.57,8.02,8.42,1369100.0
2015-06-08,8.35,8.59,8.01,8.1,1701400.0
2015-06-09,8.25,8.46,7.91,7.93,2330200.0
2015-06-10,8.14,8.35,8.1,8.28,1325700.0
2015-06-11,8.17,8.3,7.8,8.03,2458600.0
2015-06-12,7.93,8.37,7.87,8.22,1928200.0
2015-06-15,8.12,8.27,7.85,7.98,1903900.0
2015-06-16,7.95,8.03,7.67,7.71,1532100.0
2015-06-17,7.82,7.96,7.35,7.44,2096500.0
2015-06-18,7.48,7.57,6.96,7.46,3238200.0
2015-06-19,7.4,7.48,7.14,7.2,1485300.0
2015-06-22,7.21,7.44,7.12,7.31,1051600.0
2015-06-23,7.33,7.72,7.28,7.56,2710900.0
2015-06-24,7.51,7.69,7.15,7.34,2026700.0
2015-06-25,7.33,7.38,7.0,7.16,2301400.0
2015-06-26,7.08,7.49,7.07,7.46,2306100.0
2015-06-29,7.24,7.9,7.16,7.77,2822600.0
2015-06-30,7.77,7.89,7.39,7.55,1502600.0
2015-07-01,7.5,7.56,6.75,6.88,3385900.0
2015-07-02,6.9,6.96,6.59,6.84,3126400.0
2015-07-06,6.65,6.67,6.27,6.43,3704100.0
2015-07-07,6.38,6.69,6.03,6.6,2891000.0
2015-07-08,6.57,6.76,6.01,6.13,2385800.0
2015-07-09,6.31,6.48,6.21,6.35,1971900.0
2015-07-10,6.45,6.72,6.21,6.29,1727200.0
2015-07-13,6.27,6.5,6.05,6.42,1348800.0
2015-07-14,6.39,6.87,6.34,6.86,2017000.0
2015-07-15,6.76,6.88,6.49,6.57,1952000.0
2015-07-16,6.65,6.82,6.26,6.34,1760200.0
2015-07-17,6.34,6.42,6.05,6.07,2640700.0
2015-07-20,6.1,6.19,5.89,6.09,1767000.0
2015-07-21,6.04,6.46,6.01,6.25,1751900.0
2015-07-22,6.17,6.33,6.01,6.25,2373700.0
2015-07-23,6.3,6.65,6.17,6.34,2910300.0
2015-07-24,6.32,6.37,5.61,5.67,3672500.0
2015-07-27,5.53,5.69,5.3,5.39,2946400.0
2015-07-28,5.41,5.8,5.26,5.71,3653500.0
2015-07-29,5.68,6.4,5.63,6.25,4350300.0
2015-07-30,6.26,6.4,5.74,5.93,4179500.0
2015-07-31,5.91,6.24,5.87,6.04,2888600.0
