Date,open,high,low,close,volume
2015-04-27,70.47,70.86,70.35,70.45,66500.0
2015-04-28,71.01,71.55,70.6,71.51,64500.0
2015-04-29,71.4,71.46,70.64,70.91,74900.0
2015-04-30,70.34,70.38,69.64,69.88,75800.0
2015-05-01,69.48,69.99,69.18,70.0,58700.0
2015-05-04,70.34,70.34,70.02,70.1,33800.0
2015-05-05,69.19,69.39,68.25,68.44,95700.0
2015-05-06,69.06,69.53,68.54,69.3,120000.0
2015-05-07,69.07,69.43,68.37,69.27,71200.0
2015-05-08,72.16,72.78,71.71,72.75,150000.0
2015-05-11,72.95,73.44,72.92,73.33,110500.0
2015-05-12,72.44,73.17,72.44,72.99,80600.0
2015-05-13,73.5,73.93,73.28,73.76,68800.0
2015-05-14,73.49,73.86,73.28,73.85,162100.0
2015-05-15,73.21,73.31,72.99,73.23,105600.0
2015-05-18,72.48,72.6,72.29,72.53,89500.0
2015-05-19,72.37,72.61,72.3,72.44,92400.0
2015-05-20,71.63,72.22,71.53,71.93,236600.0
2015-05-21,72.15,72.32,71.91,72.22,111500.0
2015-05-22,70.48,70.55,69.98,70.16,176500.0
2015-05-26,70.51,70.51,69.49,69.71,137200.0
2015-05-27,70.24,70.76,70.1,70.72,57500.0
2015-05-28,68.96,69.13,68.65,69.07,131800.0
2015-05-29,69.09,69.3,68.1,68.5,121000.0
2015-06-01,68.46,68.52,67.25,67.58,72800.0
2015-06-02,67.94,68.48,67.87,68.12,65000.0
2015-06-03,68.52,69.16,68.41,68.55,59300.0
2015-06-04,68.38,68.82,67.73,67.88,68100.0
2015-06-05,67.05,67.31,66.92,67.23,55200.0
2015-06-08,67.8,67.8,66.98,67.37,69300.0
2015-06-09,67.82,67.99,67.31,67.77,80600.0
2015-06-10,69.06,69.78,68.97,69.42,96600.0
2015-06-11,69.57,69.72,69.14,69.33,92300.0
2015-06-12,70.21,70.95,70.09,70.43,98000.0
2015-06-15,70.45,70.83,70.39,70.7,133000.0
2015-06-16,69.78,69.95,69.54,69.72,45500.0
2015-06-17,70.56,71.39,70.56,71.25,161100.0
2015-06-18,71.64,71.94,71.48,71.72,62500.0
