Date,open,high,low,close,volume
2015-04-27,52.88,53.39,52.78,52.8,15602124.0
2015-04-28,52.67,53.1,52.25,53.02,13903666.0
2015-04-29,52.65,53.99,52.61,53.76,22477357.0
2015-04-30,53.75,53.97,52.92,53.32,19119071.0
2015-05-01,53.64,53.84,53.31,53.76,13144459.0
2015-05-04,53.85,54.26,53.74,54.17,15656954.0
2015-05-05,53.99,54.3,53.25,53.35,20629926.0
2015-05-06,53.56,53.9,52.35,52.82,19397237.0
2015-05-07,52.59,53.44,52.41,53.31,14927360.0
2015-05-08,53.55,54.11,53.3,54.02,17320136.0
2015-05-11,53.92,54.16,53.8,53.97,13849742.0
2015-05-12,53.67,53.98,53.23,53.74,13333843.0
2015-05-13,53.72,54.36,53.48,54.2,15610539.0
2015-05-14,54.43,54.73,54.33,54.6,14229663.0
2015-05-15,54.59,54.61,54.03,54.24,10329060.0
2015-05-18,54.19,54.89,54.17,54.67,11612175.0
2015-05-19,54.79,55.37,54.75,55.33,18202504.0
2015-05-20,55.27,55.3,54.74,54.89,13052901.0
2015-05-21,54.69,55.1,54.61,54.84,11778468.0
2015-05-22,54.78,55.33,54.68,54.97,12640939.0
2015-05-26,54.75,54.83,54.01,54.24,16486661.0
2015-05-27,54.34,54.98,54.2,54.87,13642925.0
2015-05-28,54.82,54.82,54.22,54.55,13380650.0
2015-05-29,54.46,54.49,53.87,54.08,13817099.0
2015-06-01,54.68,55.04,54.44,54.45,18153192.0
2015-06-02,54.4,55.02,54.13,54.72,17698668.0
2015-06-03,55.04,56.02,55.01,55.63,21184261.0
2015-06-04,55.45,56.0,55.16,55.33,18373925.0
2015-06-05,56.02,56.58,55.84,56.24,26443150.0
2015-06-08,56.25,56.5,55.65,55.65,14908799.0
2015-06-09,55.57,56.36,55.22,56.0,15070852.0
2015-06-10,56.27,57.21,56.18,57.02,21266747.0
2015-06-11,57.2,57.5,56.93,57.21,19096994.0
2015-06-12,57.01,57.25,56.67,57.11,13835206.0
2015-06-15,56.62,56.94,56.11,56.65,16725315.0
2015-06-16,56.52,57.13,56.35,57.07,13552736.0
2015-06-17,57.07,57.15,56.38,56.54,17793189.0
2015-06-18,56.66,56.88,55.98,56.76,18676604.0
2015-06-19,56.51,56.81,56.17,56.23,15521338.0
2015-06-22,56.86,57.21,56.76,56.95,12978219.0
2015-06-23,57.28,57.63,57.12,57.39,16114646.0
2015-06-24,56.66,56.99,56.5,56.66,16102638.0
2015-06-25,56.99,57.06,56.18,56.19,12126301.0
2015-06-26,56.47,56.65,56.1,56.34,11744677.0
2015-06-29,55.04,55.62,54.85,54.88,22021554.0
2015-06-30,55.52,55.68,54.8,55.24,17596738.0
2015-07-01,56.01,56.01,55.23,55.68,17599866.0
2015-07-02,55.43,55.85,55.07,55.37,11690888.0
2015-07-06,54.79,55.25,54.5,55.08,12678216.0
2015-07-07,54.97,55.05,53.03,54.5,31993158.0
2015-07-08,53.81,53.81,52.77,52.8,26029540.0
2015-07-09,53.84,54.15,53.6,53.71,23472127.0
2015-07-10,54.55,54.79,54.3,54.56,16514762.0
2015-07-13,55.04,55.69,55.03,55.54,18750709.0
2015-07-14,55.37,56.12,55.24,55.91,18169883.0
2015-07-15,56.26,56.79,55.95,56.46,20383919.0
2015-07-16,57.9,58.65,57.71,58.59,40826842.0
2015-07-17,58.53,58.89,58.34,58.75,21032551.0
2015-07-20,58.96,59.3,58.63,58.85,15728694.0
2015-07-21,58.8,59.31,58.8,59.1,21343963.0
2015-07-22,59.12,60.53,59.03,60.34,30131969.0
2015-07-23,60.29,60.95,59.73,59.87,29202306.0
2015-07-24,59.7,59.77,58.33,58.7,24738579.0
2015-07-27,57.9,58.33,57.43,57.96,20365204.0
2015-07-28,58.45,58.5,57.78,58.37,12537798.0
2015-07-29,58.56,59.15,58.43,58.92,14421812.0
