Date,open,high,low,close,volume
2015-04-27,100.53,100.99,99.04,99.2,1287321.0
2015-04-28,99.05,100.2,98.93,99.97,1288325.0
2015-04-29,99.63,99.93,98.9,99.01,701984.0
2015-04-30,98.91,99.28,98.0,98.35,1525762.0
2015-05-01,98.52,99.27,98.15,99.04,1168016.0
2015-05-04,99.25,99.51,98.96,99.33,764416.0
2015-05-05,99.38,99.79,99.13,99.5,889263.0
2015-05-06,99.49,99.72,98.82,99.27,1259915.0
2015-05-07,99.3,100.16,99.02,99.84,808009.0
2015-05-08,100.47,100.75,100.18,100.43,686170.0
2015-05-11,100.12,100.3,99.31,99.56,976489.0
2015-05-12,99.22,99.22,98.18,98.48,1025727.0
2015-05-13,98.47,98.94,98.09,98.29,857186.0
2015-05-14,98.95,99.16,98.42,99.13,535244.0
2015-05-15,99.25,99.62,98.65,99.03,713515.0
2015-05-18,99.06,99.6,98.98,99.43,520899.0
2015-05-19,99.67,99.89,99.31,99.76,578950.0
2015-05-20,99.75,99.87,99.43,99.62,568549.0
2015-05-21,99.35,99.72,99.03,99.13,709755.0
2015-05-22,99.1,99.41,98.31,98.31,792787.0
2015-05-26,98.06,98.15,97.03,97.32,1290774.0
2015-05-27,97.75,98.33,97.2,98.12,846907.0
2015-05-28,97.87,98.34,97.51,98.29,714893.0
2015-05-29,98.39,98.41,97.42,97.5,2285401.0
2015-06-01,97.74,98.02,96.96,96.99,1189765.0
2015-06-02,96.88,97.31,96.5,97.15,1600279.0
2015-06-03,97.41,97.69,96.9,97.27,1202701.0
2015-06-04,96.56,97.12,96.07,96.25,1285366.0
2015-06-05,97.03,97.18,95.34,95.41,1549907.0
2015-06-08,95.44,95.54,94.48,94.56,1100796.0
2015-06-09,94.41,95.23,94.35,94.85,1072342.0
2015-06-10,94.84,96.63,94.84,96.26,1167455.0
2015-06-11,96.21,97.73,96.21,97.61,1287621.0
2015-06-12,97.3,97.36,96.69,97.15,1110505.0
2015-06-15,96.38,97.14,95.97,96.8,1109928.0
2015-06-16,96.97,97.85,96.47,97.62,1050892.0
2015-06-17,97.91,98.71,97.54,98.3,1280991.0
2015-06-18,98.02,99.74,98.02,99.38,912374.0
2015-06-19,99.25,99.4,98.19,98.19,1021711.0
2015-06-22,98.87,98.96,98.17,98.35,769470.0
2015-06-23,98.77,98.92,97.74,98.24,901438.0
2015-06-24,97.69,97.69,96.7,96.71,818290.0
2015-06-25,96.66,96.68,95.66,95.71,893874.0
2015-06-26,96.1,96.84,95.91,96.45,728746.0
2015-06-29,95.52,96.1,94.65,94.67,917904.0
2015-06-30,95.4,95.87,94.75,95.14,1018227.0
2015-07-01,126.75,129.44,119.92,119.99,28796708.0
2015-07-02,118.26,122.77,118.26,121.47,6215790.0
2015-07-06,120.76,121.52,120.41,121.38,3751851.0
2015-07-07,121.36,121.98,120.94,121.79,4190874.0
2015-07-08,121.38,121.51,120.42,120.42,2523887.0
2015-07-09,121.55,121.55,120.74,121.24,2936754.0
2015-07-10,122.0,122.0,121.24,121.5,2892853.0
2015-07-13,122.0,122.15,121.52,121.74,1563876.0
2015-07-14,121.8,122.13,121.43,121.86,1452547.0
2015-07-15,121.82,122.19,121.52,121.87,2452771.0
2015-07-16,122.03,122.63,121.86,121.95,3091948.0
2015-07-17,122.02,122.07,121.48,122.06,952522.0
2015-07-20,122.06,122.1,121.69,121.98,1251204.0
2015-07-21,122.18,122.18,121.5,121.78,1680369.0
2015-07-22,122.68,123.18,122.2,123.18,3066137.0
2015-07-23,123.17,123.23,122.38,122.8,2367319.0
2015-07-24,123.04,123.44,122.63,123.03,1870269.0
2015-07-27,122.8,124.05,122.8,123.32,1929196.0
2015-07-28,123.7,123.95,123.36,123.81,1845063.0
2015-07-29,123.88,124.45,123.62,124.41,1273490.0
2015-07-30,124.23,124.85,124.06,124.73,1179171.0
2015-07-31,125.47,125.5,124.31,124.33,5662546.0
2015-08-03,123.86,125.86,123.86,125.74,1276483.0
2015-08-04,125.45,126.2,125.45,125.49,1481889.0
2015-08-05,125.91,126.36,125.53,126.0,1581292.0
2015-08-06,126.27,126.27,125.11,125.35,839136.0
2015-08-07,125.14,125.41,125.0,125.26,1096947.0
2015-08-10,125.76,126.03,125.33,125.5,1137535.0
2015-08-11,125.03,125.64,124.92,125.39,1518072.0
2015-08-12,124.91,125.46,124.04,124.89,1053849.0
2015-08-13,124.72,125.24,124.61,124.8,842755.0
2015-08-14,124.99,125.45,124.82,125.34,779449.0
2015-08-17,125.33,125.8,124.87,125.48,960914.0
2015-08-18,125.5,125.98,125.23,125.81,1203942.0
2015-08-19,125.41,126.09,125.02,125.41,1025648.0
2015-08-20,124.78,125.09,123.97,123.97,1551136.0
2015-08-21,123.68,124.13,122.68,122.68,2356927.0
2015-08-24,118.63,121.72,115.3,119.95,4671357.0
2015-08-25,122.02,122.02,119.07,119.17,2315864.0
2015-08-26,121.25,121.36,119.29,120.49,2266711.0
2015-08-27,121.23,122.15,120.28,121.59,2257316.0
2015-08-28,121.46,121.57,120.57,120.99,2242644.0
2015-08-31,120.95,121.05,120.25,120.81,1739042.0
2015-09-01,119.28,120.03,118.93,119.18,2301410.0
2015-09-02,120.03,120.45,119.23,120.13,1349193.0
2015-09-03,120.62,121.2,120.3,121.04,1452013.0
2015-09-04,120.11,120.39,119.72,119.96,2037804.0
2015-09-08,121.35,121.44,120.31,121.39,1399445.0
2015-09-09,121.83,122.14,120.3,120.38,1434728.0
2015-09-10,120.37,121.13,119.97,120.66,1088275.0
2015-09-11,120.48,120.94,120.19,120.9,1131412.0
2015-09-14,120.94,120.94,120.26,120.37,795139.0
2015-09-15,120.46,121.37,120.27,121.04,1845355.0
2015-09-16,120.93,121.54,120.92,121.36,1284027.0
2015-09-17,121.05,121.58,120.62,120.7,1434819.0
2015-09-18,119.61,120.59,119.52,119.64,2410090.0
2015-09-21,120.06,121.59,119.92,121.52,967034.0
2015-09-22,120.47,121.18,120.45,120.75,1203385.0
2015-09-23,120.67,121.52,120.53,121.09,1044606.0
2015-09-24,120.52,121.53,120.39,121.3,1216070.0
2015-09-25,121.9,123.16,121.82,122.26,1134086.0
2015-09-28,121.94,122.56,120.75,120.97,963793.0
2015-09-29,120.79,121.9,120.63,121.83,1250582.0
2015-09-30,122.42,122.75,121.9,122.65,1128507.0
2015-10-01,122.47,122.6,121.24,122.1,2910076.0
2015-10-02,121.15,122.63,120.8,122.63,1445824.0
2015-10-05,123.17,123.77,122.93,123.4,2321522.0
2015-10-06,122.83,123.44,122.77,123.39,863920.0
2015-10-07,123.58,124.46,123.52,124.37,1477827.0
2015-10-08,124.0,125.3,123.86,125.14,1073217.0
2015-10-09,125.35,125.78,124.99,125.21,991937.0
2015-10-12,125.07,125.81,125.07,125.47,496555.0
2015-10-13,125.37,125.76,124.89,125.35,935132.0
2015-10-14,125.04,125.42,124.56,124.7,1275553.0
2015-10-15,125.17,126.0,124.95,125.97,651186.0
2015-10-16,126.28,126.99,125.9,126.81,1171186.0
2015-10-19,126.65,127.34,126.16,127.32,1041273.0
2015-10-20,127.55,128.44,127.38,128.26,738469.0
2015-10-21,128.25,130.36,128.07,129.36,1058742.0
2015-10-22,129.44,131.15,129.44,129.55,2068765.0
2015-10-23,130.58,130.74,129.67,130.58,1396046.0
2015-10-26,130.5,131.35,130.5,130.72,901537.0
2015-10-27,130.33,130.65,129.75,130.13,1006336.0
2015-10-28,130.39,130.93,130.09,130.85,1044472.0
2015-10-29,131.0,131.2,130.41,130.68,694152.0
2015-10-30,130.78,130.78,129.35,129.35,1606701.0
2015-11-02,129.92,130.12,129.37,129.8,1766237.0
2015-11-03,129.75,129.97,129.31,129.64,1360096.0
2015-11-04,129.75,129.78,129.04,129.21,604611.0
2015-11-05,129.24,129.68,129.23,129.4,1615610.0
2015-11-06,129.62,129.98,128.65,129.25,1089925.0
2015-11-09,129.13,129.28,128.47,128.82,803923.0
2015-11-10,128.74,129.52,128.74,129.5,1149328.0
2015-11-11,129.52,129.66,129.06,129.34,1392031.0
2015-11-12,128.93,129.16,128.19,128.2,1251602.0
2015-11-13,128.2,128.94,128.16,128.49,1864951.0
2015-11-16,128.57,129.65,128.37,129.52,1610066.0
2015-11-17,129.4,129.97,129.33,129.35,1859186.0
2015-11-18,129.45,130.79,129.38,130.59,703050.0
2015-11-19,130.7,131.17,130.68,130.92,1277193.0
2015-11-20,131.21,131.7,130.79,131.38,1047847.0
2015-11-23,131.49,131.72,131.12,131.16,1386320.0
2015-11-24,130.41,131.12,130.32,130.84,1342210.0
2015-11-25,130.75,130.9,130.45,130.51,688993.0
2015-11-27,130.52,130.78,130.26,130.6,418747.0
2015-11-30,130.99,131.01,130.3,130.53,2276572.0
2015-12-01,130.44,131.38,130.27,131.35,1503935.0
2015-12-02,131.1,131.57,130.71,130.99,1366298.0
2015-12-03,131.26,131.29,129.61,129.93,1484596.0
2015-12-04,130.44,132.57,129.57,132.57,2303492.0
2015-12-07,131.91,132.5,131.79,132.2,895797.0
2015-12-08,131.87,132.0,131.11,131.53,1074533.0
2015-12-09,130.96,131.75,130.49,130.83,1364075.0
2015-12-10,130.73,131.28,130.01,130.9,1529203.0
2015-12-11,129.78,131.24,129.51,129.75,1369223.0
2015-12-14,130.0,131.08,129.62,130.54,1106458.0
2015-12-15,130.93,131.89,130.93,131.57,1410714.0
2015-12-16,131.63,132.2,130.74,131.94,1568140.0
2015-12-17,131.96,132.3,131.01,131.01,1760360.0
2015-12-18,130.92,131.13,129.81,129.84,2885780.0
2015-12-21,130.33,131.23,130.11,131.05,1092901.0
2015-12-22,131.2,132.58,131.19,132.43,1111957.0
2015-12-23,132.5,133.12,132.5,132.97,950622.0
2015-12-24,132.54,133.5,132.54,133.02,597574.0
2015-12-28,132.8,133.25,132.66,133.15,795337.0
2015-12-29,133.67,134.33,133.42,134.27,1238610.0
2015-12-30,134.0,134.49,133.3,133.67,1647956.0
2015-12-31,133.47,133.47,132.52,132.64,929869.0
2016-01-04,131.29,131.59,129.92,130.87,1803357.0
2016-01-05,130.79,131.79,130.52,131.55,2290614.0
2016-01-06,130.56,130.96,129.91,130.19,1128256.0
2016-01-07,128.88,130.38,128.8,129.48,2777615.0
2016-01-08,129.9,130.27,128.49,128.67,1934827.0
2016-01-11,129.09,129.29,128.06,128.77,1967573.0
2016-01-12,129.36,130.0,128.67,129.89,1730759.0
2016-01-13,130.45,130.74,129.03,129.03,4162286.0
2016-01-14,129.49,130.49,127.26,127.26,20281238.0
2016-01-15,110.81,111.0,107.1,109.38,6877079.0
2016-01-19,110.96,111.68,109.05,110.87,5347342.0
2016-01-20,110.0,111.6,108.18,110.69,6026530.0
2016-01-21,110.19,111.1,108.19,109.43,3970803.0
2016-01-22,109.7,110.97,109.48,110.04,2295265.0
2016-01-25,109.95,109.99,107.82,108.0,2984295.0
2016-01-26,108.51,109.76,108.0,108.58,2668580.0
2016-01-27,108.15,109.91,107.06,108.1,3433163.0
2016-01-28,108.55,109.84,108.42,109.52,3314208.0
2016-01-29,110.18,113.17,110.0,113.07,4205836.0
2016-02-01,112.27,113.72,111.83,113.28,2824849.0
2016-02-02,112.05,113.01,111.9,112.47,2199987.0
2016-02-03,113.18,113.21,110.57,112.83,2110613.0
2016-02-04,112.26,113.38,111.58,113.22,2777296.0
2016-02-05,113.0,113.34,111.78,112.25,2718444.0
2016-02-08,111.63,111.63,107.94,108.89,4742968.0
2016-02-09,106.82,111.23,106.82,110.58,2312298.0
2016-02-10,111.81,112.27,110.62,111.69,2431240.0
2016-02-11,109.7,111.47,109.36,110.84,2159673.0
2016-02-12,112.0,114.36,111.7,114.31,1884238.0
