Date,open,high,low,close,volume
2015-04-27,19.03,19.24,18.73,18.76,4443800.0
2015-04-28,19.44,19.83,19.15,19.42,10701100.0
2015-04-29,19.33,19.53,18.89,18.93,8049300.0
2015-04-30,18.84,19.0,18.59,18.65,4220600.0
2015-05-01,18.73,19.09,18.7,18.96,3939600.0
2015-05-04,18.97,19.19,18.8,18.87,3834100.0
2015-05-05,18.78,18.84,18.55,18.585,3222900.0
2015-05-06,18.68,18.71,18.47,18.64,3001600.0
2015-05-07,18.65,19.02,18.42,18.98,3550600.0
2015-05-08,19.18,19.33,19.1,19.18,3720200.0
2015-05-11,19.19,19.24,19.07,19.14,2385200.0
2015-05-12,19.09,19.13,18.85,19.0,2598100.0
2015-05-13,19.08,19.22,18.95,18.99,2840700.0
2015-05-14,19.11,19.32,19.05,19.26,2665200.0
2015-05-15,19.24,19.31,19.13,19.2,2547500.0
2015-05-18,19.24,19.49,19.1,19.48,3290300.0
2015-05-19,19.46,19.6,19.33,19.4,2202800.0
2015-05-20,19.46,19.74,19.39,19.56,4036400.0
2015-05-21,19.53,19.85,19.45,19.82,4626800.0
2015-05-22,19.75,19.98,19.73,19.9,6561600.0
2015-05-26,19.83,19.94,19.75,19.885,5665400.0
2015-05-27,19.97,20.16,19.89,20.11,5550300.0
2015-05-28,20.05,20.18,19.87,19.92,4040600.0
2015-05-29,19.94,19.94,19.69,19.79,1953200.0
2015-06-01,20.0,20.02,19.62,19.81,2379900.0
2015-06-02,19.72,20.03,19.67,19.95,2711200.0
2015-06-03,20.05,20.28,19.94,20.225,3888800.0
2015-06-04,20.14,20.24,19.92,20.13,3913600.0
2015-06-05,20.06,20.51,19.94,20.39,5235200.0
2015-06-08,20.34,20.35,19.77,20.0,4487500.0
2015-06-09,20.0,20.0,19.64,19.71,3760000.0
2015-06-10,19.8,20.02,19.76,19.84,4019900.0
2015-06-11,19.92,19.96,19.63,19.75,4419400.0
2015-06-12,19.69,19.88,19.65,19.85,1807200.0
2015-06-15,19.68,19.85,19.45,19.82,2492500.0
2015-06-16,19.75,19.92,19.69,19.86,2585900.0
2015-06-17,19.94,20.13,19.87,20.02,2899900.0
2015-06-18,20.0,20.25,19.89,20.16,1796300.0
2015-06-19,20.09,20.19,19.75,20.07,1241300.0
2015-06-22,20.19,20.25,20.09,20.15,1186500.0
2015-06-23,20.14,20.18,20.0,20.05,2666600.0
2015-06-24,20.03,20.07,19.82,20.03,2861800.0
2015-06-25,20.05,20.16,20.02,20.14,1397200.0
2015-06-26,20.13,20.18,19.93,20.04,1477900.0
2015-06-29,19.88,19.92,19.47,19.49,1849800.0
2015-06-30,19.63,19.74,19.43,19.66,1842000.0
2015-07-01,19.81,19.96,19.37,19.49,1711400.0
2015-07-02,19.5,19.54,19.27,19.36,975100.0
2015-07-06,19.19,19.43,19.1,19.38,1957800.0
2015-07-07,19.4,19.43,18.97,19.27,1485300.0
2015-07-08,19.1,19.26,19.08,19.22,2152800.0
2015-07-09,19.43,19.61,19.12,19.45,2929000.0
2015-07-10,19.59,19.72,19.45,19.58,1723000.0
2015-07-13,19.72,19.82,19.6,19.79,1606600.0
2015-07-14,19.78,19.83,19.68,19.69,2312900.0
2015-07-15,19.7,19.79,19.52,19.69,1976200.0
2015-07-16,19.73,19.87,19.53,19.56,2665200.0
2015-07-17,19.51,19.58,19.34,19.54,3715300.0
2015-07-20,19.59,20.04,19.53,19.94,2918500.0
2015-07-21,19.91,19.96,19.74,19.8,1812100.0
2015-07-22,19.63,19.76,19.43,19.49,4639600.0
2015-07-23,19.56,19.67,19.26,19.3,2622300.0
2015-07-24,19.28,19.41,19.06,19.16,1365600.0
2015-07-27,19.0,19.17,18.88,18.97,2005200.0
2015-07-28,19.66,21.15,19.51,20.79,10585200.0
2015-07-29,20.8,21.0,20.66,20.97,2970100.0
2015-07-30,20.89,21.02,20.82,20.93,2463000.0
2015-07-31,20.95,21.12,20.84,20.97,1368300.0
2015-08-03,20.92,20.99,20.8,20.98,1573600.0
2015-08-04,20.98,21.07,20.89,20.94,1570700.0
2015-08-05,21.05,21.28,21.05,21.1,1780100.0
2015-08-06,21.1,21.26,20.67,20.8,1208700.0
2015-08-07,20.81,20.93,20.75,20.9,1067700.0
2015-08-10,20.91,21.45,20.87,21.38,1585900.0
2015-08-11,21.25,21.55,21.17,21.35,3403300.0
2015-08-12,21.11,21.26,20.82,21.25,1711500.0
2015-08-13,21.18,21.54,21.18,21.35,1371700.0
2015-08-14,21.3,21.59,21.26,21.56,1479100.0
2015-08-17,21.54,21.85,21.39,21.8,1305100.0
2015-08-18,21.57,21.75,21.45,21.62,1689200.0
2015-08-19,21.43,21.86,21.38,21.63,1849900.0
2015-08-20,21.48,21.48,20.46,20.47,1923800.0
2015-08-21,20.32,20.41,19.8,19.8,2186100.0
2015-08-24,18.77,19.75,18.13,19.0,2839000.0
2015-08-25,19.6,19.6,18.73,18.75,2196200.0
2015-08-26,19.17,19.59,18.7,19.51,2319500.0
2015-08-27,19.74,19.96,19.55,19.94,2440100.0
2015-08-28,19.87,20.45,19.87,20.14,1783500.0
2015-08-31,20.0,20.28,19.96,20.02,1080600.0
2015-09-01,19.7,19.97,19.27,19.72,2065100.0
2015-09-02,19.96,20.0,19.56,19.93,1954500.0
2015-09-03,20.03,20.71,19.96,20.52,3632541.0
2015-09-04,20.24,20.51,20.13,20.29,1866680.0
2015-09-08,20.66,20.92,20.54,20.85,2375682.0
2015-09-09,21.0,21.08,20.59,20.61,2010473.0
2015-09-10,20.6,21.0,20.55,20.77,2603015.0
2015-09-11,20.73,20.81,20.52,20.65,2510592.0
2015-09-14,20.5,20.83,20.5,20.67,2207901.0
2015-09-15,20.73,21.19,20.68,21.14,1523729.0
2015-09-16,21.19,21.329,21.0001,21.2,1612934.0
2015-09-17,21.09,21.37,21.01,21.13,1742350.0
2015-09-18,20.85,21.105,20.76,20.81,2787105.0
2015-09-21,21.0,21.215,20.8,21.08,2395296.0
2015-09-22,20.88,21.25,20.734,21.21,3041061.0
2015-09-23,21.26,21.29,20.96,21.18,1778344.0
2015-09-24,21.06,21.13,20.77,21.05,1785199.0
2015-09-25,21.25,21.34,20.84,20.955,1702092.0
2015-09-28,20.89,21.11,20.48,20.48,1981456.0
2015-09-29,20.53,20.66,20.37,20.44,2570188.0
2015-09-30,20.67,20.795,20.49,20.68,3343473.0
2015-10-01,20.74,20.8,20.23,20.52,3485979.0
2015-10-02,20.31,20.81,20.08,20.81,3447540.0
2015-10-05,20.95,21.3,20.9155,21.3,3092331.0
2015-10-06,21.37,21.53,21.18,21.32,3767154.0
2015-10-07,21.4,21.5,20.99,21.4,3208348.0
2015-10-08,21.31,21.39,21.12,21.37,2425178.0
2015-10-09,21.42,21.8,21.0934,21.75,2469944.0
2015-10-12,21.73,21.79,21.64,21.66,1419991.0
2015-10-13,21.59,21.79,21.34,21.63,2295126.0
2015-10-14,21.59,21.775,21.33,21.34,2856643.0
2015-10-15,21.44,21.52,21.225,21.39,2414825.0
2015-10-16,21.46,21.52,21.27,21.35,2378791.0
2015-10-19,21.33,21.425,21.07,21.21,4199976.0
2015-10-20,21.2,21.3,21.1,21.14,3485393.0
2015-10-21,21.28,21.34,20.98,21.0,2775514.0
2015-10-22,21.09,21.45,21.0,21.12,4770339.0
2015-10-23,21.26,21.405,21.095,21.395,2984085.0
2015-10-26,21.33,21.53,21.33,21.35,2858090.0
2015-10-27,22.0,23.3,21.75,21.75,10502015.0
2015-10-28,21.88,22.44,21.8,22.41,5651997.0
2015-10-29,22.32,22.41,22.0,22.04,3060080.0
2015-10-30,22.13,22.32,21.94,22.22,3136554.0
2015-11-02,22.19,22.45,22.19,22.26,2771833.0
2015-11-03,22.26,22.4,22.17,22.26,3521385.0
2015-11-04,22.33,22.57,22.2297,22.45,7754392.0
2015-11-05,22.49,22.56,22.31,22.46,3854654.0
2015-11-06,22.4,22.71,22.4,22.71,1856859.0
2015-11-09,22.63,22.73,22.44,22.58,5178505.0
2015-11-10,22.58,22.84,22.55,22.78,4473569.0
2015-11-11,22.9,22.96,22.54,22.56,4394495.0
2015-11-12,22.45,22.68,22.1,22.43,2040726.0
2015-11-13,22.36,22.52,22.19,22.29,3047998.0
2015-11-16,22.25,22.495,22.23,22.49,2268486.0
2015-11-17,22.52,22.75,22.48,22.61,1998226.0
2015-11-18,22.63,22.92,22.44,22.91,2127694.0
2015-11-19,22.97,23.21,22.93,23.13,2243372.0
2015-11-20,22.15,22.16,21.34,21.47,9270543.0
2015-11-23,21.52,21.99,21.52,21.71,4123752.0
2015-11-24,21.66,21.925,21.55,21.72,4569659.0
2015-11-25,21.78,22.14,21.72,22.08,2561103.0
2015-11-27,22.14,22.43,22.0,22.37,1532706.0
2015-11-30,22.36,22.47,22.24,22.3,3317627.0
2015-12-01,19.66,22.63,19.35,22.27,2672801.0
2015-12-02,22.29,22.4,22.17,22.22,2101415.0
2015-12-03,22.23,22.23,20.96,21.22,5808638.0
2015-12-04,21.29,21.75,21.25,21.65,2459474.0
2015-12-07,21.56,21.76,21.43,21.56,2831061.0
2015-12-08,21.8,21.8,21.33,21.5,2559210.0
2015-12-09,21.4,21.66,21.05,21.11,2929248.0
2015-12-10,21.16,21.29,20.95,21.14,2698578.0
2015-12-11,20.97,21.37,20.88,21.09,2443893.0
2015-12-14,21.51,21.51,20.96,21.19,3164274.0
2015-12-15,21.34,21.77,21.25,21.61,4557239.0
2015-12-16,21.57,21.8,21.37,21.77,3854442.0
2015-12-17,21.79,21.84,21.33,21.34,1767085.0
2015-12-18,21.26,21.52,21.0,21.0,5059499.0
2015-12-21,21.11,21.21,20.7,20.92,3592824.0
2015-12-22,20.97,21.245,20.53,21.18,2040528.0
2015-12-23,21.24,21.48,21.07,21.32,2435477.0
2015-12-24,21.38,21.59,21.21,21.29,950425.0
2015-12-28,21.18,21.25,21.02,21.21,1934183.0
2015-12-29,21.28,21.4799,21.04,21.27,2425265.0
2015-12-30,21.26,21.37,21.14,21.22,1753882.0
2015-12-31,21.12,21.15,20.79,20.81,3118160.0
2016-01-04,20.0,20.57,20.0,20.53,3404640.0
2016-01-05,20.53,20.64,20.41,20.54,3540144.0
2016-01-06,20.24,20.38,20.11,20.2,2583927.0
2016-01-07,19.84,20.08,19.73,19.75,2535770.0
2016-01-08,19.85,19.94,19.22,19.24,4222787.0
2016-01-11,19.25,19.56,19.055,19.28,4339528.0
2016-01-12,19.42,19.51,18.94,19.14,4200494.0
2016-01-13,19.27,19.3001,18.48,18.66,5422484.0
2016-01-14,18.69,19.48,18.555,19.38,5900743.0
2016-01-15,18.82,19.15,18.586,19.0,3375299.0
2016-01-19,19.2,19.345,18.72,18.85,2948998.0
2016-01-20,18.54,19.17,18.32,19.04,3606315.0
2016-01-21,19.12,19.26,18.84,18.93,1752874.0
2016-01-22,19.2,19.55,19.13,19.52,2531577.0
2016-01-25,19.46,19.56,18.855,18.87,2689536.0
2016-01-26,18.92,19.43,18.85,19.3,3364086.0
2016-01-27,19.52,19.52,18.74,18.84,3167398.0
2016-01-28,19.0,19.13,18.77,18.99,1511644.0
2016-01-29,19.1,19.61,19.1,19.56,2716389.0
2016-02-01,19.36,19.755,18.81,19.54,3425226.0
2016-02-02,19.34,19.5,18.98,19.23,1763325.0
2016-02-03,19.31,19.49,18.97,19.23,5954206.0
2016-02-04,20.91,21.435,20.24,20.4,7515795.0
2016-02-05,20.31,20.4,19.9,20.0,6054546.0
2016-02-08,19.76,19.99,19.02,19.6,5961987.0
2016-02-09,19.35,20.01,19.35,19.82,6568952.0
2016-02-10,19.97,20.63,19.94,20.44,5904384.0
2016-02-11,20.05,20.56,20.04,20.15,5455174.0
2016-02-12,20.4,20.49,20.08,20.28,3136145.0
2016-02-16,20.48,20.87,20.32,20.61,5435191.0
2016-02-17,20.56,21.07,20.56,20.95,5266003.0
2016-02-18,20.95,21.09,20.41,20.78,3910084.0
2016-02-19,20.73,21.0,20.595,20.95,2548636.0
2016-02-22,21.08,21.29,20.86,21.25,3900791.0
2016-02-23,21.13,21.24,20.94,21.1,2708770.0
2016-02-24,20.43,21.35,20.43,21.3,3015270.0
2016-02-25,21.3,21.64,21.23,21.61,1902936.0
2016-02-26,21.67,21.93,21.59,21.63,2698181.0
2016-02-29,21.54,21.75,21.4001,21.55,2209315.0
2016-03-01,21.65,21.98,21.59,21.97,3150823.0
2016-03-02,21.95,22.285,21.92,22.17,2462372.0
2016-03-03,22.1,22.185,21.875,22.16,2028961.0
2016-03-04,22.16,22.46,22.13,22.3,1880072.0
2016-03-07,22.17,22.38,22.14,22.27,1478121.0
2016-03-08,22.18,22.205,21.93,21.94,1760257.0
2016-03-09,22.02,22.16,21.88,22.01,2495694.0
2016-03-10,22.16,22.3,21.9,22.24,2006819.0
2016-03-11,21.94,22.65,21.94,22.54,2136859.0
2016-03-14,22.43,22.72,22.43,22.61,2212882.0
2016-03-15,22.56,22.67,22.45,22.66,2376221.0
2016-03-16,22.44,23.04,22.44,23.02,2184420.0
2016-03-17,22.94,23.3,22.94,23.17,5132540.0
2016-03-18,23.15,23.3,23.11,23.17,5679243.0
2016-03-21,23.17,23.17,22.63,22.93,2458029.0
2016-03-22,23.05,23.07,22.79,22.93,2001158.0
2016-03-23,22.92,23.01,22.77,22.88,1647679.0
2016-03-24,22.72,23.005,22.72,23.0,1691729.0
2016-03-28,23.0,23.07,22.82,22.97,1512381.0
2016-03-29,22.96,23.61,22.82,23.59,2896332.0
2016-03-30,23.67,23.75,23.23,23.37,1736390.0
2016-03-31,23.38,23.73,23.36,23.58,1813573.0
2016-04-01,23.49,23.64,23.4,23.64,2329658.0
2016-04-04,23.6,23.65,23.5,23.55,3221505.0
2016-04-05,23.37,23.56,23.31,23.5,2611711.0
2016-04-06,23.24,23.47,23.1,23.46,2267645.0
2016-04-07,23.33,23.42,23.05,23.21,3390874.0
2016-04-08,23.3,23.56,23.209,23.41,2455342.0
2016-04-11,23.44,23.67,23.17,23.23,2159945.0
2016-04-12,23.27,23.37,22.79,22.98,2927463.0
2016-04-13,23.11,23.365,22.93,23.33,2045185.0
2016-04-14,23.36,23.54,23.3,23.32,1302247.0
2016-04-15,23.33,23.48,23.26,23.46,1606320.0
2016-04-18,23.39,23.69,23.27,23.63,1717550.0
2016-04-19,23.63,23.74,23.46,23.62,2921714.0
2016-04-20,23.5,23.65,23.37,23.51,3261184.0
2016-04-21,23.56,23.67,23.4,23.58,1799566.0
2016-04-22,23.49,23.785,23.43,23.74,4137950.0
2016-04-25,23.76,23.89,23.66,23.8,3530882.0
2016-04-26,23.5,23.71,23.0,23.53,6290416.0
2016-04-27,23.53,23.76,23.3001,23.73,2981930.0
2016-04-28,23.68,23.89,23.28,23.35,1795844.0
2016-04-29,23.28,23.38,23.04,23.19,1898536.0
2016-05-02,23.21,23.58,23.12,23.54,2276578.0
2016-05-03,23.33,23.47,23.2201,23.36,1737116.0
2016-05-04,23.31,23.415,23.0301,23.14,1918404.0
2016-05-05,23.22,23.37,22.97,23.06,2363345.0
2016-05-06,23.02,23.44,22.945,23.35,2056277.0
2016-05-09,23.25,23.655,23.1911,23.61,2790840.0
2016-05-10,23.66,23.68,23.35,23.64,3413441.0
2016-05-11,23.63,23.76,23.49,23.6,1638349.0
2016-05-12,23.63,23.72,23.27,23.45,1772174.0
2016-05-13,23.49,23.925,23.45,23.68,3397141.0
2016-05-16,23.8,24.175,23.76,23.95,3466061.0
2016-05-17,23.93,23.99,23.5,23.56,2120013.0
2016-05-18,23.52,24.105,23.51,23.92,2651158.0
2016-05-19,23.76,24.03,23.54,23.77,2607625.0
2016-05-20,23.95,24.55,23.68,24.55,4874038.0
2016-05-23,24.62,24.64,24.2891,24.38,3478094.0
2016-05-24,24.54,25.25,24.49,25.21,5129089.0
