Date,open,high,low,close,volume
2015-04-27,37.24,37.69,36.52,36.65,365862.0
2015-04-28,35.99,36.66,35.99,36.61,512767.0
2015-04-29,36.59,36.61,36.08,36.27,234676.0
2015-04-30,36.02,36.27,35.48,35.59,513210.0
2015-05-01,35.82,36.13,35.72,35.77,377407.0
2015-05-04,35.91,36.28,35.91,35.97,302171.0
2015-05-05,35.98,36.1,35.05,35.17,514930.0
2015-05-06,35.09,35.23,34.79,35.05,642707.0
2015-05-07,34.97,35.33,34.97,35.11,479576.0
2015-05-08,35.46,35.53,35.03,35.11,406336.0
2015-05-11,35.14,35.39,35.09,35.12,451607.0
2015-05-12,35.0,35.29,34.75,35.23,459273.0
2015-05-13,35.28,35.45,35.01,35.03,495852.0
2015-05-14,35.31,35.68,34.95,35.42,520761.0
2015-05-15,35.39,35.6,35.15,35.31,212642.0
2015-05-18,35.32,35.7,35.32,35.67,254223.0
2015-05-19,35.71,35.86,35.57,35.65,163629.0
2015-05-20,35.76,35.86,35.5,35.58,152714.0
2015-05-21,35.62,35.81,35.25,35.49,158941.0
2015-05-22,35.45,35.66,35.37,35.59,301927.0
2015-05-26,35.62,35.68,35.25,35.3,385931.0
2015-05-27,35.28,35.72,35.25,35.57,528204.0
2015-05-28,33.5,34.85,33.36,34.43,1730049.0
2015-05-29,35.47,35.65,34.58,34.6,1168172.0
2015-06-01,34.68,34.9,34.15,34.2,963882.0
2015-06-02,34.05,34.45,34.05,34.34,641116.0
2015-06-03,34.32,34.78,34.32,34.54,818790.0
2015-06-04,35.5,35.9,35.25,35.56,1104456.0
2015-06-05,35.65,35.85,35.54,35.75,461487.0
2015-06-08,35.63,35.84,35.51,35.51,623462.0
2015-06-09,35.48,35.69,35.46,35.6,322346.0
2015-06-10,35.67,35.88,35.63,35.67,487057.0
2015-06-11,35.75,35.89,35.6,35.88,408249.0
2015-06-12,35.82,35.87,35.63,35.77,416521.0
2015-06-15,35.63,35.84,35.47,35.7,568579.0
2015-06-16,35.68,36.15,35.58,36.0,423396.0
2015-06-17,36.0,36.15,35.62,35.68,558848.0
2015-06-18,35.83,36.2,35.8,35.94,401558.0
2015-06-19,36.04,36.04,35.77,35.83,526726.0
2015-06-22,36.08,36.09,35.82,35.87,293337.0
2015-06-23,35.96,35.98,35.79,35.9,454291.0
2015-06-24,35.93,35.97,35.61,35.65,310876.0
2015-06-25,35.69,35.87,35.6,35.67,272444.0
2015-06-26,35.7,35.9,35.67,35.73,718061.0
2015-06-29,35.63,35.74,35.34,35.37,485183.0
2015-06-30,35.54,35.75,35.37,35.49,513609.0
2015-07-01,35.89,35.89,35.5,35.64,364580.0
2015-07-02,35.66,35.77,35.48,35.53,518086.0
2015-07-06,35.54,35.8,35.5,35.77,561976.0
2015-07-07,35.95,36.21,35.78,36.03,802953.0
2015-07-08,35.86,36.1,35.18,35.29,582597.0
2015-07-09,35.62,35.62,35.21,35.27,361467.0
2015-07-10,35.42,35.69,35.24,35.45,299276.0
2015-07-13,35.82,35.99,35.37,35.89,911170.0
2015-07-14,36.0,36.23,35.97,36.14,500871.0
2015-07-15,36.21,36.48,36.04,36.42,797808.0
2015-07-16,36.68,36.72,36.44,36.61,441755.0
2015-07-17,36.62,36.8,36.48,36.62,474586.0
2015-07-20,36.6,36.77,36.48,36.61,302460.0
2015-07-21,36.57,36.68,35.89,35.91,441617.0
2015-07-22,35.7,36.12,35.44,36.08,276306.0
2015-07-23,36.0,36.28,35.86,35.9,263342.0
2015-07-24,35.93,36.0,35.34,35.41,291070.0
2015-07-27,35.11,35.57,35.01,35.25,226584.0
2015-07-28,35.47,35.88,35.2,35.74,344440.0
2015-07-29,35.7,36.05,35.61,36.0,455418.0
2015-07-30,35.9,36.1,35.62,35.87,267812.0
2015-07-31,35.99,36.25,35.71,36.03,266958.0
2015-08-03,36.14,36.2,35.78,36.13,239053.0
2015-08-04,36.09,36.43,35.88,36.18,189379.0
2015-08-05,36.32,36.65,36.25,36.35,210283.0
2015-08-06,36.41,36.62,35.9,36.0,191911.0
2015-08-07,35.97,36.19,35.83,36.17,254236.0
2015-08-10,36.3,36.62,36.14,36.51,194471.0
2015-08-11,36.27,36.35,36.06,36.23,147988.0
2015-08-12,35.94,36.13,35.54,36.02,224161.0
2015-08-13,35.95,36.17,35.7,36.04,659261.0
2015-08-14,36.0,36.51,35.84,36.38,181162.0
2015-08-17,36.26,36.75,36.04,36.74,258879.0
2015-08-18,36.59,36.72,36.49,36.5,156553.0
2015-08-19,36.29,36.41,35.87,36.11,206131.0
2015-08-20,35.77,35.95,35.32,35.32,299915.0
2015-08-21,35.08,35.2,34.58,34.59,424396.0
2015-08-24,33.59,34.32,32.84,33.47,457419.0
2015-08-25,34.14,34.21,33.36,33.57,590328.0
