Date,open,high,low,close,volume
2015-04-27,28.9,29.12,28.78,28.78,288786.0
2015-04-28,28.92,29.03,28.81,28.96,287869.0
2015-04-29,28.37,28.43,27.95,28.29,334437.0
2015-04-30,27.94,28.14,27.85,27.95,257026.0
2015-05-01,28.06,28.21,27.7,28.18,356490.0
2015-05-04,28.24,28.25,28.02,28.19,175117.0
2015-05-05,27.9,28.16,27.88,28.1,298646.0
2015-05-06,28.11,28.41,27.86,28.3,352320.0
2015-05-07,27.87,28.25,27.82,28.16,294649.0
2015-05-08,28.98,29.23,28.94,29.09,287903.0
2015-05-11,28.83,28.91,28.6,28.78,558598.0
2015-05-12,28.53,28.64,28.35,28.45,199154.0
2015-05-13,28.4,28.62,28.25,28.43,260206.0
2015-05-14,28.62,28.77,28.45,28.76,254450.0
2015-05-15,28.66,28.8,28.46,28.76,194711.0
2015-05-18,28.5,28.59,28.36,28.57,234880.0
2015-05-19,28.7,28.79,28.64,28.69,234029.0
2015-05-20,28.72,28.96,28.67,28.72,283733.0
2015-05-21,28.8,28.96,28.68,28.93,237812.0
2015-05-22,28.68,28.69,28.29,28.29,214400.0
2015-05-26,27.93,27.93,27.15,27.28,592037.0
2015-05-27,27.93,28.24,27.92,28.18,357254.0
2015-05-28,28.24,28.27,27.96,28.22,229177.0
2015-05-29,28.43,28.45,27.91,28.04,295247.0
2015-06-01,27.85,27.9,27.34,27.55,201176.0
2015-06-02,27.6,27.77,27.47,27.59,262507.0
2015-06-03,28.33,28.61,28.18,28.2,308838.0
2015-06-04,28.06,28.35,27.68,27.75,282294.0
2015-06-05,27.54,27.76,27.48,27.64,203833.0
2015-06-08,27.72,27.91,27.68,27.84,424584.0
2015-06-09,27.65,27.67,27.36,27.55,153069.0
2015-06-10,28.15,28.65,28.11,28.49,305585.0
2015-06-11,29.06,29.25,28.98,29.17,456175.0
2015-06-12,28.58,28.86,28.4,28.58,391859.0
2015-06-15,28.6,28.66,28.38,28.5,393952.0
2015-06-16,28.19,28.58,28.13,28.52,181560.0
2015-06-17,29.01,29.08,28.56,28.89,340605.0
2015-06-18,28.55,29.8,28.53,29.26,519747.0
2015-06-19,29.52,29.7,29.36,29.43,428651.0
2015-06-22,30.01,30.25,29.91,30.09,333807.0
2015-06-23,30.26,30.47,30.11,30.17,728908.0
2015-06-24,29.94,30.02,29.59,29.66,288649.0
2015-06-25,29.65,29.69,29.36,29.48,570091.0
2015-06-26,29.36,29.4,29.09,29.21,399398.0
2015-06-29,28.64,28.72,28.12,28.18,438614.0
2015-06-30,28.57,28.57,27.96,28.11,403029.0
2015-07-01,28.57,28.61,28.14,28.35,483826.0
2015-07-02,28.33,28.41,28.27,28.4,196201.0
2015-07-06,27.7,27.97,27.58,27.78,993359.0
2015-07-07,27.28,27.61,26.66,27.55,471594.0
2015-07-08,26.93,26.96,26.7,26.81,329428.0
2015-07-09,27.52,27.71,27.33,27.33,217404.0
2015-07-10,28.35,28.68,28.31,28.6,375311.0
2015-07-13,28.88,28.97,28.66,28.81,261671.0
2015-07-14,28.74,29.01,28.65,28.92,246200.0
2015-07-15,28.92,29.04,28.77,28.84,367576.0
2015-07-16,29.12,29.41,29.11,29.22,196612.0
2015-07-17,29.21,29.28,29.01,29.12,156964.0
2015-07-20,28.98,29.2,28.83,29.19,242840.0
2015-07-21,28.98,29.07,28.88,29.01,231195.0
2015-07-22,29.16,29.45,29.16,29.31,167365.0
2015-07-23,29.57,29.65,29.18,29.23,196750.0
2015-07-24,29.44,29.55,28.89,28.97,423864.0
2015-07-27,28.74,28.77,28.3,28.36,553428.0
2015-07-28,28.62,29.28,28.57,29.09,307096.0
2015-07-29,29.32,29.7,29.27,29.52,211169.0
2015-07-30,29.3,29.37,29.1,29.33,186018.0
2015-07-31,29.83,29.85,29.59,29.71,218878.0
