Date,open,high,low,close,volume
2015-04-27,82.12,82.4,81.56,81.62,416201.0
2015-04-28,81.63,81.88,81.17,81.49,581933.0
2015-04-29,81.2,81.33,80.64,80.69,504688.0
2015-04-30,80.32,80.77,79.51,79.94,944583.0
2015-05-01,80.23,81.28,80.23,81.23,491002.0
2015-05-04,81.44,81.94,81.26,81.52,473863.0
2015-05-05,81.99,82.21,80.96,81.01,536810.0
2015-05-06,80.97,81.13,80.19,80.73,532278.0
2015-05-07,80.72,81.35,80.41,81.12,426265.0
2015-05-08,81.91,82.61,81.14,82.4,437404.0
2015-05-11,82.16,83.97,82.0,83.42,1241909.0
2015-05-12,83.1,83.45,82.15,82.47,830118.0
2015-05-13,82.85,84.44,82.61,84.15,955807.0
2015-05-14,84.61,85.18,84.2,85.11,535684.0
2015-05-15,85.09,85.68,84.92,85.45,418032.0
2015-05-18,85.24,86.52,85.19,86.32,528209.0
2015-05-19,86.59,86.74,86.17,86.22,557372.0
2015-05-20,86.16,86.67,86.03,86.31,548436.0
2015-05-21,86.24,86.56,86.07,86.24,441389.0
2015-05-22,85.56,86.44,84.58,86.01,389483.0
2015-05-26,85.91,86.28,85.29,85.81,478987.0
2015-05-27,85.8,86.29,85.57,86.15,453871.0
2015-05-28,86.24,86.38,86.03,86.28,390911.0
2015-05-29,86.38,86.83,86.08,86.09,643848.0
2015-06-01,86.39,86.68,85.82,86.34,494997.0
2015-06-02,85.81,86.3,85.77,85.95,682035.0
2015-06-03,86.28,86.44,86.1,86.24,731096.0
2015-06-04,86.15,86.44,85.23,85.33,565723.0
2015-06-05,85.17,85.5,84.71,85.46,362114.0
2015-06-08,85.39,85.76,85.1,85.19,471661.0
2015-06-09,85.29,85.66,84.98,85.51,265773.0
2015-06-10,85.97,86.67,85.37,86.38,294977.0
2015-06-11,86.71,86.77,86.35,86.45,412901.0
2015-06-12,85.89,86.21,85.06,86.05,275834.0
2015-06-15,85.25,85.53,83.87,84.36,908318.0
2015-06-16,84.45,85.55,84.45,85.3,360096.0
2015-06-17,85.5,85.78,85.03,85.57,297145.0
2015-06-18,85.95,86.73,85.95,86.49,409449.0
2015-06-19,86.4,87.06,86.1,86.77,877424.0
2015-06-22,87.0,87.68,86.86,87.54,368440.0
2015-06-23,87.89,87.98,87.35,87.44,725765.0
2015-06-24,85.86,87.5,85.86,86.55,612471.0
2015-06-25,86.98,86.98,85.75,85.83,584775.0
2015-06-26,86.01,86.17,85.02,85.42,995651.0
2015-06-29,85.01,85.47,84.18,84.24,446707.0
2015-06-30,84.82,85.24,84.54,84.61,458334.0
2015-07-01,85.26,85.42,84.96,85.33,499033.0
2015-07-02,85.67,85.76,84.69,85.2,373196.0
2015-07-06,84.6,85.38,84.6,85.1,333628.0
2015-07-07,85.29,85.48,83.91,84.74,754553.0
2015-07-08,84.26,84.69,83.58,83.74,631378.0
2015-07-09,84.71,84.93,84.0,84.16,411064.0
2015-07-10,85.2,85.4,84.52,85.05,453858.0
2015-07-13,85.85,86.09,85.19,86.02,345059.0
2015-07-14,86.11,86.48,85.67,86.28,221471.0
2015-07-15,86.24,86.4,85.86,86.08,492453.0
2015-07-16,86.67,87.29,86.37,86.78,910111.0
2015-07-17,86.5,86.51,84.63,85.53,1072881.0
2015-07-20,86.0,87.0,85.66,86.1,699115.0
2015-07-21,86.18,86.76,85.18,85.19,583927.0
2015-07-22,85.76,87.07,85.2,86.92,825594.0
2015-07-23,86.86,86.99,85.57,85.74,483649.0
2015-07-24,85.23,85.56,84.12,84.26,464025.0
2015-07-27,84.2,84.41,83.66,83.77,424540.0
2015-07-28,84.09,84.83,83.43,84.82,427244.0
2015-07-29,84.86,85.33,84.32,85.27,507615.0
2015-07-30,84.72,85.49,84.27,85.26,262519.0
2015-07-31,85.72,86.0,85.41,85.5,570732.0
2015-08-03,85.81,86.2,85.04,86.13,346721.0
2015-08-04,86.3,87.05,85.86,86.95,593243.0
2015-08-05,87.92,87.95,87.17,87.61,856978.0
2015-08-06,87.71,87.71,86.89,87.21,471014.0
2015-08-07,86.75,87.61,86.33,87.47,535427.0
