Date,open,high,low,close,volume
2015-04-27,59.92,60.14,59.13,59.51,4887467.0
2015-04-28,59.48,60.51,59.28,60.32,4045633.0
2015-04-29,60.07,60.55,59.5,59.92,2356629.0
2015-04-30,59.68,59.9,58.38,58.54,3822897.0
2015-05-01,58.65,59.21,58.35,59.14,4948910.0
2015-05-04,63.61,65.55,62.73,62.78,11013467.0
2015-05-05,62.87,63.11,60.92,61.0,5518261.0
2015-05-06,61.28,61.54,59.96,60.62,4643400.0
2015-05-07,60.49,61.7,60.22,61.31,3395876.0
2015-05-08,61.93,63.19,61.9,63.09,4655871.0
2015-05-11,63.19,63.7,62.64,62.68,3096584.0
2015-05-12,62.39,62.66,61.67,62.13,2520544.0
2015-05-13,62.2,62.79,61.6,61.85,2466336.0
2015-05-14,62.19,63.92,62.02,63.82,3790783.0
2015-05-15,64.03,64.03,63.01,63.55,2555255.0
2015-05-18,63.23,64.99,63.23,64.74,3904874.0
2015-05-19,64.93,65.55,64.76,65.03,3227158.0
2015-05-20,65.04,65.58,64.65,65.0,2023572.0
2015-05-21,64.74,65.26,64.68,64.97,1964370.0
2015-05-22,64.7,65.23,64.7,64.81,2177812.0
2015-05-26,64.59,64.65,63.57,63.82,2169970.0
2015-05-27,63.92,64.75,63.61,64.68,1557555.0
2015-05-28,64.51,64.93,64.14,64.85,1894997.0
2015-05-29,64.75,65.17,64.25,64.71,2535453.0
2015-06-01,65.05,65.48,64.43,65.4,2743184.0
2015-06-02,64.98,65.96,64.98,65.6,2886464.0
2015-06-03,65.73,65.88,65.18,65.69,2704869.0
2015-06-04,65.2,65.66,64.26,64.47,2428499.0
2015-06-05,64.23,64.82,63.64,64.6,1810654.0
2015-06-08,64.59,64.59,63.56,63.59,1790288.0
2015-06-09,63.62,63.88,62.63,63.71,2124466.0
2015-06-10,63.87,65.37,63.81,64.85,2833916.0
2015-06-11,65.16,65.16,64.25,64.52,3856756.0
2015-06-12,64.12,64.38,63.6,63.61,2444856.0
