Date,open,high,low,close,volume
2015-04-27,102.0,102.53,101.19,101.22,5425500.0
2015-04-28,101.2,102.11,100.74,101.97,4087700.0
2015-04-29,101.67,101.95,100.19,100.67,6140400.0
2015-04-30,100.42,101.05,99.01,99.29,7990100.0
2015-05-01,100.93,101.18,97.87,100.46,6699100.0
2015-05-04,100.57,101.32,100.01,100.16,3318800.0
2015-05-05,100.11,100.27,98.19,98.74,4556500.0
2015-05-06,98.82,99.15,98.23,98.87,3648400.0
2015-05-07,98.97,99.54,98.5,99.36,3822900.0
2015-05-08,99.85,101.1,99.85,100.66,4350700.0
2015-05-11,100.51,101.31,100.34,100.49,3129000.0
2015-05-12,100.02,100.76,99.77,100.24,4019500.0
2015-05-13,100.46,100.74,99.47,99.81,3913200.0
2015-05-14,100.4,102.0,100.32,101.96,4289400.0
2015-05-15,102.06,102.14,101.39,102.07,3788700.0
2015-05-18,101.78,102.81,101.7,102.44,2599700.0
2015-05-19,102.65,102.88,101.95,102.32,2969500.0
2015-05-20,102.32,102.32,101.24,101.27,3800400.0
2015-05-21,101.27,104.93,101.1,103.69,7691600.0
2015-05-22,103.9,104.42,103.37,103.95,3671400.0
2015-05-26,103.97,104.32,102.53,102.85,3692500.0
2015-05-27,103.11,103.86,103.04,103.48,3537700.0
2015-05-28,103.52,103.72,102.4,103.19,2599900.0
2015-05-29,103.15,103.21,101.82,102.38,4961500.0
2015-06-01,102.9,103.06,102.09,102.51,3292000.0
2015-06-02,102.05,102.25,101.2,101.83,3002400.0
2015-06-03,102.4,102.6,101.79,101.91,2780300.0
2015-06-04,101.2,101.96,100.28,100.87,3896100.0
2015-06-05,100.62,100.76,99.81,99.95,3536400.0
2015-06-08,99.82,99.99,99.17,99.41,3161400.0
2015-06-09,99.41,100.45,99.14,99.98,3299700.0
2015-06-10,100.5,102.38,100.4,102.13,3909200.0
2015-06-11,102.52,103.37,102.36,102.63,3361300.0
2015-06-12,102.26,102.82,101.68,102.22,2930900.0
2015-06-15,102.87,103.35,101.86,102.58,5501500.0
2015-06-16,102.61,103.28,102.28,103.17,4010100.0
2015-06-17,103.62,104.16,103.19,103.82,3101900.0
2015-06-18,104.07,106.0,104.04,105.06,4827100.0
2015-06-19,105.47,106.08,104.78,105.47,5664400.0
2015-06-22,105.93,106.5,105.72,106.14,3515700.0
2015-06-23,106.44,106.68,105.81,106.47,3787300.0
2015-06-24,106.2,106.88,104.98,105.33,4655100.0
2015-06-25,105.51,106.11,104.37,105.01,5300400.0
2015-06-26,105.36,105.88,104.82,105.84,15550100.0
2015-06-29,104.98,105.82,104.76,104.81,4671900.0
2015-06-30,105.44,105.7,104.73,104.88,4251300.0
2015-07-01,105.75,105.88,104.86,105.71,3909500.0
2015-07-02,105.83,106.22,105.36,105.55,2509700.0
2015-07-06,103.88,105.77,103.63,104.81,4041100.0
2015-07-07,105.1,106.43,104.07,106.38,4782300.0
2015-07-08,105.37,105.93,104.18,104.19,4825900.0
2015-07-09,106.01,106.39,105.59,105.7,5564500.0
2015-07-10,106.85,107.75,106.64,107.44,4486600.0
2015-07-13,108.5,109.16,107.82,109.16,3720100.0
2015-07-14,109.2,109.96,108.8,109.82,3756800.0
2015-07-15,109.53,110.26,109.21,109.9,4286800.0
2015-07-16,110.43,110.7,110.04,110.54,2937300.0
2015-07-17,110.54,110.54,109.49,110.14,3004400.0
2015-07-20,110.14,111.15,109.64,110.98,2579300.0
2015-07-21,110.7,110.94,109.57,110.06,2561400.0
2015-07-22,110.11,111.07,110.01,110.98,3130300.0
2015-07-23,111.25,111.64,109.99,110.19,2957600.0
2015-07-24,110.5,111.27,109.9,110.49,3255600.0
2015-07-27,109.69,110.04,108.76,109.77,3979300.0
2015-07-28,110.32,111.91,110.06,111.64,4085500.0
2015-07-29,111.67,113.65,111.65,113.45,4685500.0
2015-07-30,112.69,113.15,112.25,112.94,3920700.0
2015-07-31,113.35,113.5,112.45,112.47,4730100.0
2015-08-03,113.17,113.58,112.05,112.82,4774600.0
2015-08-04,110.74,111.3,106.56,109.96,9542400.0
2015-08-05,110.5,111.56,110.27,111.2,4307500.0
2015-08-06,111.41,111.75,108.09,108.12,6783300.0
2015-08-07,108.12,108.28,107.14,107.74,4548000.0
2015-08-10,108.66,109.35,108.28,108.62,3335700.0
2015-08-11,108.07,109.18,107.43,108.08,2905300.0
2015-08-12,107.59,108.5,106.76,108.32,3913800.0
2015-08-13,108.78,108.87,107.33,107.67,3565200.0
2015-08-14,107.77,108.11,107.32,107.67,2087000.0
2015-08-17,107.07,108.82,106.99,108.74,3405500.0
2015-08-18,108.34,108.85,107.9,108.46,3032900.0
2015-08-19,108.07,108.25,106.6,106.76,4685800.0
2015-08-20,106.4,107.55,106.02,106.02,4754800.0
2015-08-21,104.99,105.23,101.05,102.21,8199200.0
2015-08-24,96.29,104.21,81.37,100.21,13610400.0
2015-08-25,104.14,104.41,99.93,100.0,8518200.0
2015-08-26,103.38,103.54,100.84,102.87,8957800.0
2015-08-27,104.43,105.54,103.05,105.2,6216200.0
2015-08-28,105.39,105.47,103.38,104.18,5082700.0
2015-08-31,104.33,104.35,102.04,102.4,5010200.0
2015-09-01,100.64,101.39,99.8,100.27,6787400.0
2015-09-02,101.48,102.06,99.86,101.11,5809500.0
2015-09-03,101.81,102.83,101.19,101.59,3963300.0
2015-09-04,100.24,100.86,99.63,100.12,4361500.0
2015-09-08,101.97,102.19,100.67,102.14,4641800.0
2015-09-09,103.14,103.59,100.01,100.23,3886700.0
2015-09-10,99.98,101.7,99.58,100.8,4151000.0
2015-09-11,100.57,101.54,100.21,101.52,3381000.0
2015-09-14,101.54,101.69,100.02,100.16,3614100.0
2015-09-15,100.8,102.09,100.11,101.6,3545900.0
2015-09-16,101.57,101.99,100.75,101.54,3471600.0
2015-09-17,101.58,102.63,100.37,101.34,4437500.0
2015-09-18,99.71,100.92,98.82,99.03,8916800.0
2015-09-21,99.77,101.09,99.5,100.91,3889100.0
