Date,open,high,low,close,volume
2015-04-27,81.89,81.89,79.99,80.42,1853661.0
2015-04-28,80.21,80.46,79.55,79.97,1237464.0
2015-04-29,79.79,80.15,77.41,77.47,3172485.0
2015-04-30,77.32,77.79,76.14,76.41,3114579.0
2015-05-01,76.37,77.88,76.14,77.73,2096323.0
2015-05-04,77.73,77.81,76.83,77.31,2037854.0
2015-05-05,76.92,77.48,76.18,76.34,2091587.0
2015-05-06,76.38,77.32,76.1,77.15,1807366.0
2015-05-07,77.3,78.35,76.88,78.0,1793928.0
2015-05-08,78.61,79.75,78.42,79.19,1761470.0
2015-05-11,79.05,79.37,78.64,78.98,1865029.0
2015-05-12,78.61,79.68,78.44,79.21,1622599.0
2015-05-13,79.18,79.47,77.67,77.85,1917258.0
2015-05-14,78.15,78.4,76.82,76.97,2202297.0
2015-05-15,77.14,78.4,76.82,78.37,2276474.0
2015-05-18,78.43,78.52,77.66,78.42,1957427.0
2015-05-19,78.39,78.65,77.43,77.55,2136262.0
2015-05-20,77.66,77.7,76.03,76.26,3490017.0
2015-05-21,75.05,80.22,74.51,78.68,8596555.0
2015-05-22,78.25,78.49,76.97,77.18,3708293.0
2015-05-26,77.14,77.52,75.35,75.5,2926736.0
2015-05-27,75.72,76.54,75.54,76.34,1675933.0
2015-05-28,76.36,76.74,75.66,76.19,1630406.0
2015-05-29,75.92,76.31,74.86,75.0,2086248.0
2015-06-01,74.65,77.28,74.65,76.98,3103388.0
2015-06-02,76.59,78.47,76.34,77.69,3100464.0
2015-06-03,77.95,79.32,77.38,79.07,2450358.0
2015-06-04,78.48,79.86,77.89,78.83,2660847.0
2015-06-05,78.62,78.96,77.4,77.64,2210998.0
2015-06-08,77.5,77.91,77.06,77.11,1215563.0
2015-06-09,77.0,77.4,76.27,77.09,1695925.0
2015-06-10,77.41,78.31,76.93,78.24,1723971.0
2015-06-11,78.62,79.21,78.29,78.63,1636069.0
2015-06-12,78.45,79.44,78.37,78.77,1566854.0
2015-06-15,78.13,78.49,77.61,77.91,1326330.0
2015-06-16,77.37,78.75,77.37,78.55,1326263.0
2015-06-17,78.97,79.9,78.62,79.72,2110384.0
2015-06-18,79.96,81.13,79.96,80.3,1833006.0
2015-06-19,80.37,80.84,79.56,79.56,2115187.0
2015-06-22,80.08,80.68,79.95,80.64,1371083.0
2015-06-23,80.33,81.03,80.09,80.37,1348656.0
2015-06-24,80.4,80.98,80.17,80.57,1348347.0
2015-06-25,80.62,80.96,80.26,80.46,1404185.0
2015-06-26,80.77,81.71,80.48,81.66,2124024.0
2015-06-29,80.98,81.8,79.21,79.37,2258594.0
