Date,open,high,low,close,volume
2015-04-27,8.04,8.06,7.99,8.0,97776.0
2015-04-28,8.0,8.01,7.99,8.0,78716.0
2015-04-29,8.0,8.04,7.99,8.04,104729.0
2015-04-30,8.04,8.07,8.02,8.07,140498.0
2015-05-01,8.07,8.07,8.01,8.03,61669.0
2015-05-04,8.03,8.03,7.99,7.99,88084.0
2015-05-05,8.0,8.03,7.98,8.0,105130.0
2015-05-06,7.99,8.0,7.92,7.93,154516.0
2015-05-07,7.93,7.95,7.89,7.93,103572.0
2015-05-08,7.94,7.97,7.93,7.97,69147.0
2015-05-11,7.94,7.94,7.85,7.86,94798.0
2015-05-12,7.85,7.86,7.81,7.82,105380.0
2015-05-13,7.85,7.95,7.83,7.94,246959.0
2015-05-14,7.93,7.95,7.91,7.92,79776.0
2015-05-15,7.94,7.95,7.93,7.95,68170.0
2015-05-18,7.93,8.07,7.88,8.06,365911.0
2015-05-19,8.0,8.02,7.9,7.9,229182.0
2015-05-20,7.92,7.94,7.9,7.9,68050.0
2015-05-21,7.92,7.93,7.9,7.9,58686.0
2015-05-22,7.9,7.91,7.86,7.86,69029.0
2015-05-26,7.87,7.89,7.84,7.88,45080.0
2015-05-27,7.89,7.91,7.87,7.87,75390.0
2015-05-28,7.87,7.91,7.86,7.89,69495.0
2015-05-29,7.92,7.94,7.9,7.93,85358.0
2015-06-01,7.94,7.97,7.93,7.93,59684.0
2015-06-02,7.93,7.93,7.88,7.88,66537.0
2015-06-03,7.88,7.89,7.85,7.87,105444.0
2015-06-04,7.87,7.88,7.82,7.86,80562.0
2015-06-05,7.82,7.83,7.8,7.83,133757.0
2015-06-08,7.83,7.83,7.72,7.74,129661.0
2015-06-09,7.67,7.71,7.61,7.71,187713.0
2015-06-10,7.7,7.72,7.58,7.59,255245.0
2015-06-11,7.61,7.72,7.61,7.7,117497.0
2015-06-12,7.7,7.8,7.7,7.77,102564.0
2015-06-15,7.8,7.82,7.74,7.8,80338.0
2015-06-16,7.8,7.83,7.76,7.8,104293.0
2015-06-17,7.79,7.82,7.79,7.81,67121.0
2015-06-18,7.82,7.86,7.8,7.86,49709.0
2015-06-19,7.85,7.87,7.84,7.84,59294.0
2015-06-22,7.83,7.83,7.79,7.8,78192.0
2015-06-23,7.79,7.86,7.78,7.82,66784.0
2015-06-24,7.83,7.83,7.78,7.8,48643.0
2015-06-25,7.76,7.79,7.75,7.77,71646.0
2015-06-26,7.77,7.77,7.71,7.71,55673.0
2015-06-29,7.71,7.71,7.64,7.64,71789.0
2015-06-30,7.7,7.7,7.64,7.67,144239.0
2015-07-01,7.67,7.7,7.65,7.65,69486.0
2015-07-02,7.67,7.68,7.64,7.68,60154.0
2015-07-06,7.68,7.7,7.65,7.69,62028.0
2015-07-07,7.71,7.77,7.71,7.76,39202.0
2015-07-08,7.75,7.79,7.75,7.78,41106.0
2015-07-09,7.76,7.77,7.73,7.76,36694.0
2015-07-10,7.75,7.76,7.71,7.76,50693.0
2015-07-13,7.71,7.71,7.65,7.67,132701.0
2015-07-14,7.66,7.68,7.65,7.67,53162.0
2015-07-15,7.64,7.7,7.63,7.7,129765.0
2015-07-16,7.71,7.72,7.68,7.72,60928.0
2015-07-17,7.7,7.72,7.66,7.66,41218.0
2015-07-20,7.66,7.7,7.66,7.7,101639.0
2015-07-21,7.66,7.67,7.62,7.65,99339.0
2015-07-22,7.65,7.69,7.64,7.69,46199.0
2015-07-23,7.67,7.67,7.63,7.66,54721.0
2015-07-24,7.67,7.77,7.65,7.77,153750.0
2015-07-27,7.75,7.78,7.75,7.78,70617.0
2015-07-28,7.78,7.78,7.71,7.75,100122.0
2015-07-29,7.76,7.76,7.72,7.73,50375.0
2015-07-30,7.75,7.75,7.69,7.72,48988.0
2015-07-31,7.76,7.8,7.72,7.77,120345.0
2015-08-03,7.77,7.79,7.74,7.77,100938.0
2015-08-04,7.76,7.79,7.75,7.76,78174.0
2015-08-05,7.77,7.77,7.7,7.74,121066.0
2015-08-06,7.74,7.75,7.7,7.75,76695.0
2015-08-07,7.73,7.76,7.71,7.74,50213.0
2015-08-10,7.74,7.76,7.7,7.74,159534.0
2015-08-11,7.7,7.77,7.68,7.77,78805.0
2015-08-12,7.77,7.8,7.74,7.74,94383.0
2015-08-13,7.76,7.77,7.72,7.74,31892.0
2015-08-14,7.74,7.75,7.73,7.73,32167.0
2015-08-17,7.74,7.76,7.74,7.74,39579.0
2015-08-18,7.76,7.76,7.71,7.74,41089.0
2015-08-19,7.71,7.76,7.71,7.75,61964.0
2015-08-20,7.76,7.8,7.74,7.79,80276.0
2015-08-21,7.79,7.8,7.76,7.77,91231.0
2015-08-24,7.74,7.74,7.61,7.67,146154.0
2015-08-25,7.68,7.73,7.65,7.68,106209.0
2015-08-26,7.68,7.69,7.62,7.62,72239.0
2015-08-27,7.64,7.65,7.61,7.65,86878.0
2015-08-28,7.64,7.66,7.63,7.63,33141.0
2015-08-31,7.67,7.69,7.63,7.67,199288.0
2015-09-01,7.68,7.7,7.65,7.65,97455.0
2015-09-02,7.65,7.69,7.62,7.65,88629.0
2015-09-03,7.67,7.68,7.65,7.68,59837.0
2015-09-04,7.65,7.73,7.65,7.73,61455.0
2015-09-08,7.7,7.81,7.69,7.77,118547.0
2015-09-09,7.79,7.86,7.77,7.86,164344.0
2015-09-10,7.82,7.83,7.74,7.77,64824.0
2015-09-11,7.76,7.79,7.74,7.76,65367.0
2015-09-14,7.76,7.76,7.68,7.69,57456.0
2015-09-15,7.72,7.72,7.64,7.64,74197.0
2015-09-16,7.66,7.71,7.66,7.71,38577.0
2015-09-17,7.71,7.79,7.7,7.78,63792.0
2015-09-18,7.77,7.83,7.77,7.79,102556.0
2015-09-21,7.79,7.81,7.75,7.77,44800.0
2015-09-22,7.74,7.8,7.74,7.79,91766.0
2015-09-23,7.76,7.79,7.76,7.77,60569.0
2015-09-24,7.79,7.8,7.72,7.74,53058.0
2015-09-25,7.75,7.75,7.72,7.73,92959.0
2015-09-28,7.72,7.75,7.72,7.73,86455.0
2015-09-29,7.73,7.79,7.72,7.79,52020.0
2015-09-30,7.81,7.82,7.77,7.81,119464.0
2015-10-01,7.81,7.85,7.81,7.83,49535.0
2015-10-02,7.83,7.89,7.82,7.82,71098.0
2015-10-05,7.84,7.86,7.82,7.83,37179.0
2015-10-06,7.83,7.87,7.83,7.84,29622.0
2015-10-07,7.86,7.89,7.83,7.89,68045.0
2015-10-08,7.88,7.89,7.85,7.85,75235.0
2015-10-09,7.85,7.86,7.83,7.84,34342.0
2015-10-12,7.86,7.89,7.85,7.87,44208.0
2015-10-13,7.82,7.83,7.8,7.8,53111.0
2015-10-14,7.82,7.87,7.81,7.87,47010.0
2015-10-15,7.84,7.86,7.81,7.81,81388.0
2015-10-16,7.84,7.86,7.81,7.81,41753.0
2015-10-19,7.83,7.89,7.83,7.87,165642.0
2015-10-20,7.88,7.9,7.86,7.89,168584.0
2015-10-21,7.89,7.93,7.87,7.88,118958.0
2015-10-22,7.9,7.93,7.87,7.87,107395.0
2015-10-23,7.89,7.93,7.87,7.88,113491.0
2015-10-26,7.88,7.96,7.88,7.91,117992.0
2015-10-27,7.88,7.94,7.87,7.91,96973.0
2015-10-28,7.9,7.95,7.89,7.9,49895.0
2015-10-29,7.94,8.03,7.93,8.03,194959.0
2015-10-30,8.05,8.07,8.01,8.01,139003.0
2015-11-02,8.04,8.1,8.02,8.06,113460.0
2015-11-03,8.05,8.06,8.03,8.04,65588.0
2015-11-04,8.04,8.06,8.01,8.05,138506.0
2015-11-05,8.02,8.04,7.95,7.96,80183.0
2015-11-06,7.92,7.95,7.85,7.88,139805.0
2015-11-09,7.87,7.88,7.8,7.86,115060.0
2015-11-10,7.83,7.92,7.83,7.91,147687.0
2015-11-11,7.92,7.96,7.89,7.96,93422.0
2015-11-12,7.9,7.96,7.87,7.94,89515.0
2015-11-13,7.96,8.04,7.94,8.02,135923.0
2015-11-16,8.04,8.06,7.97,7.98,83170.0
2015-11-17,7.99,8.0,7.93,7.97,86244.0
2015-11-18,7.97,7.97,7.9,7.94,120668.0
2015-11-19,7.95,7.95,7.91,7.92,42973.0
2015-11-20,7.94,7.94,7.9,7.92,53961.0
2015-11-23,7.91,7.99,7.91,7.94,132015.0
2015-11-24,7.98,8.0,7.94,7.95,80891.0
2015-11-25,7.93,7.96,7.92,7.96,56354.0
2015-11-27,7.98,7.99,7.89,7.93,46920.0
2015-11-30,7.97,7.99,7.91,7.95,91073.0
2015-12-01,7.96,8.02,7.95,8.02,114723.0
2015-12-02,8.02,8.02,7.95,7.96,67443.0
2015-12-03,7.97,7.97,7.91,7.92,92413.0
2015-12-04,7.9,7.95,7.9,7.95,102889.0
2015-12-07,7.93,7.94,7.91,7.93,58275.0
2015-12-08,7.94,8.04,7.93,8.02,197451.0
2015-12-09,8.0,8.0,7.92,7.95,107360.0
2015-12-10,7.97,7.97,7.91,7.96,67047.0
2015-12-11,7.96,7.97,7.88,7.95,106050.0
2015-12-14,7.96,7.96,7.85,7.85,92541.0
2015-12-15,7.89,7.93,7.87,7.92,71965.0
2015-12-16,7.93,7.94,7.89,7.9,89044.0
2015-12-17,7.94,8.01,7.94,7.97,127287.0
2015-12-18,7.97,7.98,7.95,7.95,197602.0
2015-12-21,7.97,8.03,7.97,8.02,147586.0
2015-12-22,8.04,8.04,7.97,8.03,79831.0
2015-12-23,8.03,8.05,8.01,8.03,128108.0
2015-12-24,8.05,8.06,8.02,8.04,58154.0
2015-12-28,8.04,8.08,8.01,8.08,94717.0
2015-12-29,8.07,8.08,8.04,8.05,96213.0
2015-12-30,8.05,8.12,8.05,8.11,95764.0
2015-12-31,8.14,8.15,8.04,8.07,156607.0
2016-01-04,8.05,8.15,8.05,8.14,112474.0
2016-01-05,8.14,8.22,8.14,8.19,97556.0
2016-01-06,8.21,8.27,8.18,8.27,112764.0
2016-01-07,8.27,8.29,8.22,8.25,115812.0
2016-01-08,8.26,8.26,8.2,8.24,47104.0
2016-01-11,8.21,8.23,8.18,8.18,132787.0
2016-01-12,8.2,8.3,8.2,8.28,117697.0
2016-01-13,8.26,8.26,8.17,8.17,76812.0
2016-01-14,8.19,8.21,8.17,8.2,59295.0
2016-01-15,8.18,8.34,8.18,8.28,185542.0
2016-01-19,8.3,8.31,8.18,8.18,92054.0
2016-01-20,8.19,8.21,8.09,8.17,100818.0
2016-01-21,8.2,8.25,8.2,8.24,70900.0
2016-01-22,8.28,8.32,8.2,8.23,240491.0
2016-01-25,8.24,8.28,8.15,8.15,80248.0
2016-01-26,8.18,8.24,8.17,8.2,147179.0
