Date,open,high,low,close,volume
2015-04-27,83.19,83.31,81.25,81.47,1223826.0
2015-04-28,81.12,81.99,80.74,81.87,844869.0
2015-04-29,81.15,81.49,80.58,81.29,959162.0
2015-04-30,81.06,81.06,79.19,79.63,1477761.0
2015-05-01,79.82,80.11,79.15,80.08,905449.0
2015-05-04,80.27,81.29,80.1,80.61,646512.0
2015-05-05,80.66,80.66,78.58,78.69,977383.0
2015-05-06,78.68,79.01,77.19,77.95,1470720.0
2015-05-07,78.25,79.04,78.22,78.39,956057.0
2015-05-08,79.3,79.86,78.85,79.21,1220173.0
2015-05-11,79.02,80.1,78.7,78.78,863308.0
2015-05-12,78.25,78.72,77.71,78.26,992968.0
2015-05-13,78.48,78.92,76.78,77.19,1402211.0
2015-05-14,77.68,78.37,77.49,78.09,1014506.0
2015-05-15,78.34,79.24,78.22,79.14,1834331.0
2015-05-18,78.79,79.76,78.79,79.73,891266.0
2015-05-19,79.35,79.94,79.1,79.53,702725.0
2015-05-20,79.59,80.29,79.36,79.72,752136.0
2015-05-21,79.65,79.89,79.08,79.66,565774.0
2015-05-22,79.51,79.87,78.99,79.61,635774.0
2015-05-26,79.59,79.59,78.79,79.16,680182.0
2015-05-27,79.41,79.51,78.94,79.2,1174334.0
2015-05-28,79.32,79.77,78.98,79.53,775576.0
2015-05-29,79.52,79.74,79.0,79.23,846067.0
2015-06-01,79.33,79.72,79.06,79.26,666200.0
2015-06-02,78.87,78.9,77.33,77.84,1105602.0
2015-06-03,77.7,77.98,76.12,76.67,1114484.0
2015-06-04,76.36,77.11,76.25,76.68,1527733.0
2015-06-05,75.94,76.04,74.82,74.94,1838913.0
2015-06-08,74.94,75.14,74.51,74.53,1126820.0
2015-06-09,74.45,74.85,74.34,74.52,1376782.0
2015-06-10,74.96,75.3,74.5,75.03,1461446.0
2015-06-11,74.86,75.3,74.45,74.81,1298242.0
2015-06-12,74.41,74.8,74.06,74.08,777134.0
2015-06-15,74.06,74.34,73.54,73.78,909330.0
2015-06-16,73.63,74.15,73.23,74.1,949892.0
2015-06-17,74.08,75.13,74.01,74.98,1227583.0
2015-06-18,75.02,76.28,75.02,76.05,1140377.0
2015-06-19,76.07,76.41,75.63,75.69,1697844.0
2015-06-22,75.84,75.99,75.1,75.39,604982.0
2015-06-23,75.15,75.25,74.03,74.36,895680.0
2015-06-24,74.38,74.68,73.74,73.85,939942.0
2015-06-25,74.0,74.18,73.68,73.89,985101.0
2015-06-26,73.7,74.97,73.39,74.96,1987369.0
2015-06-29,75.0,75.85,74.6,74.64,1681031.0
2015-06-30,74.93,75.0,74.43,74.64,1445448.0
2015-07-01,74.75,75.26,74.53,75.24,1050888.0
2015-07-02,75.62,76.41,75.39,76.22,1325496.0
2015-07-06,76.08,76.64,75.82,76.47,1333195.0
2015-07-07,76.92,78.9,76.6,78.56,2166658.0
2015-07-08,78.26,78.88,77.85,77.96,1401238.0
2015-07-09,78.17,78.46,76.72,76.86,1190706.0
2015-07-10,77.71,78.4,76.5,77.51,971596.0
2015-07-13,77.81,77.9,76.75,77.26,983998.0
2015-07-14,77.25,77.83,76.94,77.1,617672.0
2015-07-15,77.12,77.57,76.63,77.5,779899.0
2015-07-16,77.68,78.67,77.48,78.54,770458.0
2015-07-17,78.23,78.49,77.5,77.51,1212612.0
2015-07-20,77.44,77.44,76.58,77.41,1015021.0
2015-07-21,77.41,77.56,76.34,76.66,802943.0
2015-07-22,76.76,77.52,76.61,77.14,773850.0
2015-07-23,76.86,77.06,75.59,76.17,943541.0
2015-07-24,76.54,78.04,76.54,77.36,1805850.0
2015-07-27,77.34,79.3,77.32,78.68,1433050.0
2015-07-28,78.57,78.78,78.19,78.62,1363763.0
2015-07-29,78.46,79.38,77.9,79.31,1106451.0
2015-07-30,79.03,79.95,78.9,79.55,1031437.0
2015-07-31,79.91,81.27,79.91,80.46,879303.0
2015-08-03,80.5,81.14,79.97,80.36,812269.0
2015-08-04,80.07,80.33,78.97,79.09,1021048.0
2015-08-05,79.4,79.68,78.92,79.21,586416.0
2015-08-06,79.32,79.95,78.44,79.89,997074.0
2015-08-07,79.86,81.6,79.43,81.22,1454244.0
2015-08-10,81.27,81.49,80.38,80.64,758377.0
2015-08-11,80.79,81.75,80.33,81.16,1077441.0
2015-08-12,81.01,83.31,80.71,83.02,1817144.0
2015-08-13,82.7,83.48,82.05,83.14,1062105.0
2015-08-14,82.87,83.79,82.38,83.65,887517.0
2015-08-17,83.73,84.32,83.21,84.12,852781.0
2015-08-18,83.9,84.11,83.28,83.6,802219.0
2015-08-19,83.41,84.52,83.17,84.38,1408956.0
2015-08-20,83.87,85.12,83.35,84.27,1450752.0
2015-08-21,83.63,84.21,83.15,83.15,1918667.0
2015-08-24,82.07,82.07,78.83,79.22,2028610.0
