Date,open,high,low,close,volume
2015-04-27,83.21,84.15,83.06,83.17,1357249.0
2015-04-28,82.77,83.18,82.48,82.95,857684.0
2015-04-29,82.87,83.5,82.33,82.44,1707221.0
2015-04-30,82.36,82.75,81.08,81.29,1347336.0
2015-05-01,81.96,82.81,81.5,82.77,1264189.0
2015-05-04,82.94,83.81,82.67,83.54,2188728.0
2015-05-05,87.72,89.84,86.55,86.9,5924349.0
2015-05-06,86.96,88.04,86.28,87.42,2474741.0
2015-05-07,86.97,89.07,86.52,88.33,2760773.0
2015-05-08,88.86,89.2,88.0,88.42,2024528.0
2015-05-11,88.29,88.94,87.74,87.92,2293355.0
2015-05-12,87.53,88.16,87.3,87.59,1372556.0
2015-05-13,87.77,88.24,87.29,87.54,1182146.0
2015-05-14,88.16,89.51,88.12,89.39,2612272.0
2015-05-15,89.59,89.59,88.27,88.95,1677021.0
2015-05-18,88.62,89.52,88.62,89.17,1022419.0
2015-05-19,89.02,89.62,88.42,89.57,1278909.0
2015-05-20,89.33,89.88,89.06,89.08,1217396.0
2015-05-21,88.98,89.53,88.52,89.35,1447907.0
2015-05-22,89.4,90.32,89.26,90.22,1565759.0
2015-05-26,89.98,89.99,88.04,88.48,2286325.0
2015-05-27,88.47,89.11,88.11,88.77,1006539.0
2015-05-28,88.46,88.62,87.8,88.46,1020818.0
2015-05-29,88.77,88.77,87.43,87.43,1653044.0
2015-06-01,88.01,88.17,86.61,87.73,1044009.0
2015-06-02,87.25,87.84,87.06,87.26,1034575.0
2015-06-03,87.5,87.76,87.04,87.36,1316813.0
2015-06-04,87.13,87.71,86.95,87.39,1467631.0
2015-06-05,87.39,87.79,86.86,87.46,1363202.0
2015-06-08,87.53,88.03,87.19,87.53,1373465.0
2015-06-09,87.47,88.31,87.46,87.95,1308096.0
2015-06-10,88.37,88.95,88.02,88.35,1117441.0
2015-06-11,88.38,88.65,87.54,87.69,1176214.0
2015-06-12,87.64,87.82,86.78,86.99,1016344.0
2015-06-15,86.41,86.76,86.16,86.45,1081551.0
2015-06-16,86.77,88.19,86.44,87.83,1450457.0
2015-06-17,87.92,88.2,87.05,87.91,1124193.0
2015-06-18,88.34,89.0,88.26,88.34,1355386.0
2015-06-19,88.07,88.85,87.98,88.32,959725.0
2015-06-22,88.61,89.49,88.19,88.33,750528.0
2015-06-23,88.13,88.67,87.69,87.71,858544.0
2015-06-24,87.73,87.91,87.25,87.48,1179253.0
2015-06-25,87.78,87.8,86.55,86.75,1736581.0
2015-06-26,87.08,88.03,86.84,88.0,1892594.0
2015-06-29,87.43,87.56,85.98,86.05,1573052.0
2015-06-30,86.62,86.9,85.99,86.66,1529202.0
2015-07-01,87.11,87.69,86.95,87.67,978485.0
2015-07-02,87.97,88.35,87.36,87.52,1048144.0
2015-07-06,86.87,87.63,86.5,86.93,1365063.0
2015-07-07,87.16,88.4,86.65,88.24,1629401.0
2015-07-08,87.19,87.77,86.11,86.2,2261979.0
2015-07-09,87.3,87.57,86.05,86.22,1288930.0
2015-07-10,87.21,87.73,87.0,87.42,929725.0
2015-07-13,88.26,89.31,88.0,89.18,1252975.0
2015-07-14,89.28,89.63,88.55,89.2,1260229.0
2015-07-15,88.88,89.95,88.8,89.42,1494492.0
2015-07-16,90.03,90.37,89.25,89.31,1917024.0
2015-07-17,89.24,89.27,88.52,88.68,1347098.0
2015-07-20,88.69,89.1,88.26,88.53,1456024.0
2015-07-21,88.65,89.77,88.01,89.24,1160345.0
2015-07-22,89.11,89.75,88.58,89.32,854027.0
2015-07-23,89.52,89.66,88.95,89.15,747818.0
2015-07-24,89.2,89.49,88.16,88.4,881994.0
2015-07-27,88.08,88.47,86.63,86.87,1677128.0
2015-07-28,87.15,88.12,87.15,88.02,1341248.0
2015-07-29,87.97,89.84,87.97,89.62,1193682.0
2015-07-30,89.09,89.8,88.61,89.53,822778.0
2015-07-31,89.84,89.98,88.98,89.11,1220506.0
2015-08-03,89.2,89.87,88.76,89.51,1181214.0
2015-08-04,89.5,90.76,89.13,90.19,952380.0
2015-08-05,90.83,91.24,90.5,91.01,1387911.0
2015-08-06,91.18,91.45,89.99,90.04,1263857.0
2015-08-07,90.04,90.72,89.14,90.47,1650012.0
2015-08-10,91.46,91.68,89.76,89.89,1916942.0
2015-08-11,89.0,90.35,88.9,90.28,2432838.0
2015-08-12,89.43,89.43,87.25,88.84,2029077.0
2015-08-13,88.87,90.47,88.46,89.81,2197990.0
2015-08-14,89.22,89.46,88.21,88.82,3303519.0
2015-08-17,86.85,88.0,82.71,82.8,11082153.0
2015-08-18,83.18,85.22,82.6,83.82,6194221.0
2015-08-19,83.49,84.48,83.04,83.42,2689671.0
2015-08-20,83.0,83.21,82.11,82.18,2211223.0
2015-08-21,81.5,81.97,79.77,79.83,2947735.0
2015-08-24,75.66,78.26,73.67,76.56,5479049.0
2015-08-25,78.54,78.83,75.65,75.73,3756951.0
2015-08-26,77.52,78.62,76.43,78.4,2567002.0
2015-08-27,79.04,80.45,78.61,80.07,2369534.0
2015-08-28,79.8,80.38,79.55,80.35,1889592.0
2015-08-31,80.11,80.39,79.5,79.77,1679643.0
2015-09-01,78.3,78.55,76.87,77.23,2843296.0
2015-09-02,78.08,78.75,77.67,78.74,1385803.0
2015-09-03,78.73,79.7,78.73,79.27,2467752.0
2015-09-04,78.62,79.13,77.08,77.35,1991917.0
2015-09-08,78.37,78.51,76.99,77.65,2217240.0
2015-09-09,78.37,78.54,76.31,76.46,1927292.0
2015-09-10,76.24,76.8,75.7,76.01,2051546.0
2015-09-11,75.82,76.44,75.4,76.42,1847012.0
2015-09-14,76.83,76.86,75.61,76.38,1241584.0
2015-09-15,76.32,77.73,76.07,77.4,1428702.0
2015-09-16,77.4,78.41,77.26,78.11,1276641.0
2015-09-17,78.1,79.86,77.86,78.86,2000227.0
2015-09-18,78.23,78.99,77.53,77.64,2446114.0
2015-09-21,78.2,78.9,77.95,78.51,1824943.0
2015-09-22,77.45,77.86,77.02,77.35,1153962.0
2015-09-23,77.49,78.42,77.23,78.35,1887707.0
2015-09-24,77.77,78.71,77.06,78.54,1683841.0
2015-09-25,79.7,80.88,79.16,79.77,2014057.0
2015-09-28,78.81,79.57,77.12,77.19,2614440.0
2015-09-29,77.33,78.87,77.05,78.73,2326905.0
2015-09-30,79.74,80.76,79.37,80.68,2813423.0
2015-10-01,80.46,81.17,80.18,80.95,2742867.0
2015-10-02,80.19,81.27,79.49,81.23,2355769.0
2015-10-05,81.9,83.2,81.43,83.08,1488906.0
2015-10-06,83.07,83.39,82.56,83.08,2063029.0
2015-10-07,83.12,83.81,82.87,82.98,1944105.0
2015-10-08,82.74,83.97,82.31,83.91,1232796.0
2015-10-09,83.96,84.68,83.87,84.45,1486347.0
2015-10-12,84.46,84.68,83.86,84.53,938852.0
2015-10-13,84.06,84.19,82.95,83.05,1354141.0
2015-10-14,83.16,83.54,82.77,83.13,978751.0
2015-10-15,83.79,84.96,83.79,84.35,1820485.0
2015-10-16,84.73,85.12,84.23,84.77,1015054.0
2015-10-19,84.8,84.99,83.58,83.8,1933359.0
2015-10-20,83.95,84.38,83.64,83.74,1678133.0
2015-10-21,83.99,84.29,83.23,83.34,1383039.0
2015-10-22,84.02,84.78,83.95,84.59,2603730.0
2015-10-23,85.08,85.23,83.67,84.21,1906385.0
2015-10-26,84.21,84.54,83.51,83.89,1305935.0
2015-10-27,83.6,83.82,83.13,83.67,1169291.0
2015-10-28,83.84,84.35,83.23,83.25,2101022.0
2015-10-29,82.74,83.44,81.89,82.24,4914786.0
2015-10-30,82.5,82.65,80.18,80.46,6925755.0
2015-11-02,84.71,88.1,84.64,86.97,8536610.0
2015-11-03,86.94,87.04,85.64,86.83,4317678.0
2015-11-04,86.17,86.52,85.16,85.9,2196567.0
2015-11-05,86.01,86.92,85.56,86.73,1751306.0
2015-11-06,86.5,86.82,84.54,85.67,1668694.0
2015-11-09,85.3,85.72,83.96,84.65,2160469.0
2015-11-10,84.3,85.63,84.29,85.39,1051571.0
2015-11-11,86.07,86.69,85.49,85.83,1332670.0
2015-11-12,85.43,85.89,84.31,84.35,1433875.0
2015-11-13,84.06,84.06,82.3,82.66,1988705.0
2015-11-16,82.66,83.24,82.3,83.05,1401409.0
2015-11-17,83.25,83.37,81.87,82.06,1582712.0
2015-11-18,82.47,83.81,82.05,83.75,1528322.0
2015-11-19,84.14,84.86,83.95,84.57,1802248.0
2015-11-20,84.82,85.37,84.14,84.4,1786403.0
2015-11-23,84.41,85.54,84.3,85.41,1058840.0
2015-11-24,85.01,86.0,84.72,85.57,1996534.0
2015-11-25,85.75,86.08,85.23,85.4,1221792.0
2015-11-27,85.47,85.8,85.13,85.29,775924.0
2015-11-30,85.19,85.42,84.1,84.12,1839463.0
2015-12-01,84.26,85.07,83.77,85.03,1654339.0
2015-12-02,84.93,85.16,83.72,83.79,1315382.0
2015-12-03,84.26,84.45,82.99,83.83,2381451.0
2015-12-04,84.01,85.52,83.82,85.43,1348684.0
2015-12-07,85.44,87.57,85.11,86.98,2066290.0
2015-12-08,86.43,87.28,85.85,87.08,2950671.0
2015-12-09,86.96,87.99,86.06,86.24,4321247.0
2015-12-10,86.51,87.61,86.04,86.86,2306452.0
2015-12-11,85.57,86.17,83.7,84.5,2967284.0
2015-12-14,84.55,85.56,84.15,85.55,2088668.0
2015-12-15,86.18,88.0,86.12,87.48,2300596.0
2015-12-16,87.88,89.46,87.23,89.26,2251312.0
2015-12-17,89.77,89.93,88.86,89.21,2133550.0
2015-12-18,88.76,88.88,87.35,87.41,2216939.0
2015-12-21,88.16,88.54,87.49,88.21,1279677.0
2015-12-22,88.29,88.85,87.59,88.65,1261492.0
2015-12-23,89.0,89.38,88.77,89.36,669026.0
2015-12-24,88.93,89.28,88.32,88.8,347029.0
2015-12-28,88.39,88.84,88.13,88.66,629168.0
2015-12-29,89.09,89.63,88.98,89.4,736797.0
2015-12-30,89.34,89.62,89.01,89.03,854294.0
2015-12-31,88.62,89.15,88.03,88.06,855690.0
2016-01-04,86.93,87.24,86.12,87.21,1686366.0
2016-01-05,87.18,88.17,86.91,88.01,1494278.0
2016-01-06,87.06,87.22,84.73,85.09,2759398.0
2016-01-07,83.52,84.6,83.0,83.33,2126278.0
2016-01-08,83.7,84.4,82.68,82.82,1731607.0
2016-01-11,83.37,83.57,81.46,82.88,1969095.0
2016-01-12,83.52,84.27,83.06,84.23,1434697.0
