Date,open,high,low,close,volume
2015-04-27,24.89,24.93,24.87,24.92,10612.0
2015-04-28,24.93,24.94,24.9,24.94,3801.0
2015-04-29,24.92,24.93,24.9,24.92,7044.0
2015-04-30,24.91,24.91,24.87,24.89,81169.0
2015-05-01,24.91,24.91,24.87,24.91,4821.0
2015-05-04,24.91,24.91,24.88,24.9,5473.0
2015-05-05,24.92,24.92,24.87,24.89,7758.0
2015-05-06,24.89,24.9,24.87,24.88,5214.0
2015-05-07,24.88,24.9,24.87,24.87,17273.0
2015-05-08,24.87,24.9,24.86,24.87,5040.0
2015-05-11,24.88,24.9,24.87,24.9,13794.0
2015-05-12,24.9,24.9,24.87,24.87,72763.0
2015-05-13,24.87,24.89,24.87,24.89,6856.0
2015-05-14,24.88,24.89,24.86,24.88,26011.0
2015-05-15,24.88,24.89,24.87,24.88,6899.0
2015-05-18,24.9,24.91,24.89,24.89,12682.0
2015-05-19,24.89,24.91,24.87,24.87,48240.0
2015-05-20,24.88,24.89,24.88,24.89,12307.0
2015-05-21,24.89,24.94,24.89,24.92,11714.0
2015-05-22,24.95,24.96,24.88,24.88,10952.0
2015-05-26,24.89,24.9,24.87,24.88,14416.0
2015-05-27,24.88,24.94,24.88,24.88,19378.0
2015-05-28,24.93,24.97,24.88,24.93,23122.0
2015-05-29,24.93,24.94,24.9,24.93,19249.0
2015-06-01,24.9,24.94,24.89,24.93,36515.0
2015-06-02,24.89,24.94,24.89,24.92,32031.0
2015-06-03,24.95,24.95,24.9,24.91,22283.0
2015-06-04,24.9,24.92,24.9,24.9,31666.0
2015-06-05,24.88,24.93,24.88,24.88,52161.0
2015-06-08,24.9,24.93,24.87,24.89,9417.0
2015-06-09,24.92,24.93,24.87,24.92,24323.0
2015-06-10,24.91,24.92,24.88,24.88,9401.0
2015-06-11,24.94,24.95,24.87,24.9,22841.0
2015-06-12,24.91,24.93,24.89,24.91,4847.0
2015-06-15,24.89,24.93,24.88,24.9,3573.0
2015-06-16,24.91,24.91,24.88,24.91,24229.0
2015-06-17,24.88,24.91,24.84,24.86,40892.0
2015-06-18,24.84,24.94,24.84,24.87,17285.0
2015-06-19,24.85,24.94,24.85,24.9,3962.0
2015-06-22,24.9,24.92,24.85,24.87,7490.0
2015-06-23,24.91,24.91,24.88,24.9,22072.0
2015-06-24,24.88,24.9,24.85,24.88,20466.0
2015-06-25,24.82,24.89,24.82,24.86,24694.0
2015-06-26,24.84,24.87,24.84,24.84,5777.0
2015-06-29,24.87,24.9,24.85,24.85,5641.0
2015-06-30,24.85,24.88,24.84,24.85,44008.0
2015-07-01,24.86,24.91,24.82,24.87,54170.0
2015-07-02,24.89,24.89,24.82,24.86,14187.0
2015-07-06,24.86,24.91,24.76,24.87,16801.0
2015-07-07,24.88,24.91,24.82,24.82,11203.0
2015-07-08,24.93,24.95,24.85,24.91,33167.0
2015-07-09,24.93,24.93,24.84,24.86,21762.0
2015-07-10,24.82,24.9,24.82,24.88,14441.0
2015-07-13,24.84,24.89,24.84,24.87,33661.0
2015-07-14,24.84,24.89,24.82,24.84,65742.0
2015-07-15,24.83,24.87,24.83,24.84,68640.0
2015-07-16,24.86,24.91,24.83,24.88,6645.0
2015-07-17,24.87,24.88,24.84,24.88,45381.0
2015-07-20,24.87,24.87,24.83,24.86,8965.0
2015-07-21,24.84,24.87,24.83,24.86,15847.0
2015-07-22,24.84,24.9,24.84,24.84,10393.0
2015-07-23,24.83,24.91,24.83,24.84,11999.0
2015-07-24,24.82,24.91,24.8,24.88,17236.0
2015-07-27,24.88,24.89,24.83,24.89,23684.0
2015-07-28,24.84,24.89,24.83,24.89,9824.0
2015-07-29,24.84,24.89,24.82,24.89,21557.0
2015-07-30,24.83,24.89,24.83,24.89,5192.0
2015-07-31,24.89,24.9,24.84,24.9,15638.0
2015-08-03,24.84,24.89,24.84,24.85,11430.0
2015-08-04,24.85,24.9,24.85,24.87,3178.0
2015-08-05,24.85,24.88,24.82,24.83,22036.0
2015-08-06,24.85,24.88,24.82,24.88,7312.0
2015-08-07,24.83,24.86,24.83,24.86,4213.0
2015-08-10,24.82,24.86,24.82,24.83,14241.0
2015-08-11,24.83,24.85,24.82,24.84,14185.0
2015-08-12,24.87,24.87,24.83,24.87,7908.0
2015-08-13,24.82,24.86,24.82,24.83,9243.0
2015-08-14,24.77,24.88,24.76,24.82,46848.0
2015-08-17,24.85,24.87,24.82,24.82,2519.0
2015-08-18,24.86,24.86,24.82,24.82,3492.0
2015-08-19,24.82,24.85,24.81,24.85,5705.0
2015-08-20,24.82,24.87,24.8,24.86,7811.0
2015-08-21,24.82,24.87,24.81,24.84,3531.0
2015-08-24,24.88,24.88,24.78,24.82,24437.0
2015-08-25,24.76,24.81,24.74,24.78,20722.0
2015-08-26,24.75,24.84,24.7,24.74,15854.0
2015-08-27,24.75,24.8,24.6,24.75,29589.0
2015-08-28,24.75,24.84,24.69,24.8,2884.0
2015-08-31,24.75,24.85,24.75,24.78,16098.0
2015-09-01,24.74,24.79,24.73,24.79,4599.0
2015-09-02,24.75,24.75,24.73,24.74,5540.0
2015-09-03,24.74,24.74,24.73,24.74,2095.0
2015-09-04,24.72,24.77,24.66,24.67,12719.0
2015-09-08,24.73,24.79,24.73,24.78,18398.0
2015-09-09,24.73,24.76,24.73,24.75,4619.0
2015-09-10,24.75,24.82,24.74,24.82,6501.0
2015-09-11,24.74,24.75,24.72,24.73,21135.0
2015-09-14,24.73,24.76,24.72,24.73,4454.0
2015-09-15,24.77,24.77,24.73,24.75,9309.0
2015-09-16,24.76,24.77,24.73,24.77,5201.0
2015-09-17,24.78,24.78,24.75,24.77,13816.0
2015-09-18,24.73,24.77,24.72,24.75,3232.0
2015-09-21,24.75,24.77,24.73,24.75,29084.0
2015-09-22,24.75,24.95,24.74,24.77,12490.0
2015-09-23,24.78,24.78,24.73,24.75,27757.0
2015-09-24,24.72,24.85,24.72,24.78,23148.0
2015-09-25,24.77,24.8,24.75,24.8,13887.0
2015-09-28,24.76,24.76,24.74,24.74,9909.0
2015-09-29,24.72,24.76,24.72,24.75,5192.0
2015-09-30,24.71,24.76,24.71,24.74,11094.0
2015-10-01,24.75,24.75,24.71,24.75,12392.0
2015-10-02,24.71,24.81,24.67,24.72,6900.0
2015-10-05,24.69,24.73,24.69,24.71,6054.0
2015-10-06,24.76,24.79,24.69,24.7,5963.0
2015-10-07,24.7,24.73,24.69,24.73,2591.0
2015-10-08,24.67,24.72,24.67,24.7,5677.0
2015-10-09,24.7,24.72,24.68,24.7,10493.0
2015-10-12,24.68,24.73,24.68,24.73,2071.0
2015-10-13,24.69,24.72,24.69,24.72,4915.0
2015-10-14,24.71,24.81,24.69,24.81,12496.0
2015-10-15,24.7,24.75,24.7,24.7,13692.0
2015-10-16,24.7,24.75,24.7,24.75,8453.0
2015-10-19,24.74,24.75,24.71,24.75,5331.0
2015-10-20,24.71,24.74,24.7,24.74,70685.0
2015-10-21,24.76,24.76,24.7,24.75,15657.0
2015-10-22,24.72,24.75,24.71,24.71,6728.0
2015-10-23,24.7,24.75,24.7,24.74,7685.0
2015-10-26,24.71,24.72,24.67,24.68,103153.0
2015-10-27,24.74,24.75,24.68,24.68,9469.0
2015-10-28,24.72,24.72,24.67,24.67,4405.0
2015-10-29,24.69,24.75,24.68,24.75,40083.0
2015-10-30,24.74,24.74,24.69,24.71,61800.0
2015-11-02,24.71,24.73,24.68,24.69,9246.0
2015-11-03,24.73,24.74,24.69,24.7,20459.0
2015-11-04,24.7,24.73,24.68,24.7,13045.0
2015-11-05,24.69,24.72,24.69,24.71,24108.0
2015-11-06,24.72,24.73,24.69,24.73,12213.0
2015-11-09,24.71,24.73,24.68,24.73,3296.0
2015-11-10,24.74,24.79,24.71,24.79,62500.0
2015-11-11,24.79,24.84,24.77,24.8,20996.0
2015-11-12,24.81,24.81,24.77,24.8,6966.0
2015-11-13,24.81,24.82,24.77,24.81,7373.0
2015-11-16,24.78,24.8,24.73,24.8,7687.0
2015-11-17,24.73,24.81,24.73,24.76,15741.0
2015-11-18,24.81,24.81,24.76,24.78,15653.0
2015-11-19,24.75,24.82,24.75,24.78,9191.0
2015-11-20,24.83,24.83,24.77,24.78,4201.0
2015-11-23,24.74,24.82,24.74,24.75,21110.0
2015-11-24,24.74,24.8,24.67,24.79,65361.0
2015-11-25,24.72,24.83,24.72,24.8,58115.0
2015-11-27,24.73,24.81,24.73,24.73,4318.0
2015-11-30,24.72,24.81,24.72,24.76,16814.0
2015-12-01,24.8,24.8,24.73,24.8,16683.0
2015-12-02,24.79,24.8,24.68,24.68,38368.0
2015-12-03,24.69,24.76,24.67,24.76,22785.0
2015-12-04,24.72,24.79,24.7,24.71,6950.0
2015-12-07,24.78,24.78,24.68,24.68,10856.0
2015-12-08,24.73,24.77,24.71,24.74,10583.0
2015-12-09,24.73,24.74,24.69,24.69,6807.0
2015-12-10,24.7,24.74,24.63,24.69,14891.0
2015-12-11,24.69,24.73,24.68,24.7,10547.0
2015-12-14,24.67,24.71,24.64,24.68,6337.0
2015-12-15,24.64,24.71,24.64,24.64,15399.0
2015-12-16,24.72,24.72,24.64,24.7,5779.0
2015-12-17,24.69,24.7,24.68,24.69,9381.0
2015-12-18,24.7,24.71,24.67,24.7,16147.0
2015-12-21,24.68,24.71,24.65,24.67,5034.0
2015-12-22,24.73,24.74,24.65,24.66,9879.0
2015-12-23,24.7,24.71,24.67,24.67,144928.0
2015-12-24,24.67,24.68,24.67,24.68,4747.0
2015-12-28,24.65,24.71,24.63,24.66,24196.0
2015-12-29,24.66,24.7,24.66,24.66,14799.0
2015-12-30,24.65,24.7,24.63,24.63,11895.0
2015-12-31,24.69,24.71,24.66,24.67,20950.0
2016-01-04,24.67,24.7,24.62,24.64,27466.0
2016-01-05,24.64,24.69,24.64,24.69,12399.0
2016-01-06,24.74,24.75,24.68,24.72,27158.0
2016-01-07,24.71,24.75,24.69,24.73,22226.0
2016-01-08,24.7,24.73,24.68,24.69,36770.0
2016-01-11,24.73,24.73,24.66,24.71,25281.0
2016-01-12,24.68,24.71,24.66,24.67,5868.0
2016-01-13,24.68,24.69,24.62,24.62,3994.0
2016-01-14,24.66,24.72,24.64,24.69,10286.0
2016-01-15,24.65,24.69,24.63,24.67,20370.0
2016-01-19,24.63,24.67,24.63,24.65,8479.0
2016-01-20,24.62,24.65,24.59,24.61,13264.0
2016-01-21,24.64,24.64,24.62,24.63,3863.0
2016-01-22,24.61,24.64,24.61,24.62,10046.0
2016-01-25,24.59,24.63,24.56,24.6,31423.0
2016-01-26,24.61,24.64,24.57,24.64,11789.0
2016-01-27,24.58,24.61,24.57,24.57,25347.0
2016-01-28,24.57,24.61,24.56,24.57,13252.0
2016-01-29,24.6,24.62,24.57,24.57,8392.0
2016-02-01,24.56,24.63,24.54,24.61,6496.0
2016-02-02,24.68,24.68,24.6,24.61,8926.0
2016-02-03,24.61,24.61,24.55,24.55,18314.0
2016-02-04,24.55,24.61,24.55,24.56,1207.0
2016-02-05,24.53,24.6,24.52,24.55,30031.0
2016-02-08,24.58,24.58,24.53,24.58,18017.0
2016-02-09,24.54,24.54,24.49,24.54,23272.0
2016-02-10,24.48,24.54,24.46,24.49,22878.0
2016-02-11,24.47,24.49,24.46,24.46,11908.0
2016-02-12,24.45,24.49,24.44,24.44,6498.0
2016-02-16,24.49,24.53,24.32,24.33,28049.0
2016-02-17,24.45,24.53,24.39,24.47,9773.0
2016-02-18,24.53,24.53,24.44,24.46,3518.0
2016-02-19,24.44,24.46,24.44,24.46,1514.0
2016-02-22,24.52,24.57,24.52,24.52,4861.0
2016-02-23,24.52,24.53,24.41,24.51,24394.0
2016-02-24,24.55,24.55,24.46,24.52,9093.0
2016-02-25,24.51,24.52,24.46,24.46,12528.0
2016-02-26,24.45,24.5,24.39,24.45,16169.0
2016-02-29,24.5,24.5,24.45,24.49,9591.0
2016-03-01,24.52,24.54,24.44,24.53,3601.0
2016-03-02,24.45,24.54,24.44,24.44,5227.0
2016-03-03,24.45,24.49,24.44,24.48,14997.0
2016-03-04,24.45,24.5,24.42,24.48,60270.0
2016-03-07,24.44,24.64,24.44,24.45,7631.0
2016-03-08,24.5,24.5,24.46,24.48,10842.0
2016-03-09,24.51,24.51,24.48,24.48,6617.0
2016-03-10,24.48,24.51,24.43,24.46,20716.0
2016-03-11,24.47,24.52,24.47,24.51,8603.0
2016-03-14,24.53,24.61,24.49,24.53,11366.0
2016-03-15,24.58,24.58,24.54,24.54,5966.0
2016-03-16,24.55,24.59,24.49,24.54,23162.0
2016-03-17,24.54,24.57,24.53,24.53,12010.0
2016-03-18,24.54,24.62,24.51,24.55,8000.0
2016-03-21,24.65,24.65,24.55,24.61,10218.0
2016-03-22,24.55,24.62,24.52,24.58,8181.0
2016-03-23,24.58,24.63,24.53,24.54,3875.0
2016-03-24,24.57,24.62,24.55,24.62,4524.0
2016-03-28,24.62,24.62,24.54,24.59,6387.0
2016-03-29,24.62,24.63,24.55,24.6,4081.0
2016-03-30,24.63,24.69,24.57,24.57,5485.0
2016-03-31,24.6,24.69,24.57,24.63,9643.0
2016-04-01,24.6,24.67,24.54,24.58,16364.0
2016-04-04,24.59,24.62,24.58,24.62,11275.0
2016-04-05,24.61,24.62,24.59,24.62,4529.0
2016-04-06,24.59,24.62,24.58,24.6,11438.0
2016-04-07,24.6,24.62,24.6,24.62,8374.0
