Date,open,high,low,close,volume
2015-04-27,22.29,22.34,21.94,22.01,791411.0
2015-04-28,21.95,22.3,21.95,22.2,619213.0
2015-04-29,22.2,22.34,21.99,22.16,738890.0
2015-04-30,22.08,22.23,21.84,21.86,539205.0
2015-05-01,21.78,22.47,21.73,22.17,578715.0
2015-05-04,22.27,22.66,22.2,22.63,780067.0
2015-05-05,22.76,22.79,22.18,22.2,585876.0
2015-05-06,22.32,22.34,21.9,21.94,264969.0
2015-05-07,21.94,22.64,21.85,22.57,712756.0
2015-05-08,22.77,22.98,22.6,22.67,1292000.0
2015-05-11,22.63,22.92,22.59,22.74,452193.0
2015-05-12,22.67,22.87,22.53,22.76,353636.0
2015-05-13,22.79,23.07,22.76,22.97,500663.0
2015-05-14,23.11,23.18,22.91,23.15,374374.0
2015-05-15,23.2,23.25,23.03,23.21,301431.0
2015-05-18,23.13,23.34,22.95,23.31,344809.0
2015-05-19,23.28,23.37,23.21,23.29,401828.0
2015-05-20,23.28,23.36,23.19,23.24,348131.0
2015-05-21,23.31,23.31,22.96,23.0,432241.0
2015-05-22,22.92,23.01,22.84,22.86,299689.0
2015-05-26,22.74,22.82,22.46,22.56,716336.0
2015-05-27,22.59,22.75,22.54,22.67,653984.0
2015-05-28,22.61,22.8,22.52,22.57,427820.0
2015-05-29,22.54,22.6,22.37,22.49,529987.0
2015-06-01,22.6,22.87,22.43,22.79,493222.0
2015-06-02,22.69,22.85,22.44,22.82,427777.0
2015-06-03,22.8,23.0,22.69,22.9,301004.0
2015-06-04,22.84,22.95,22.73,22.81,342501.0
2015-06-05,22.81,22.81,22.46,22.49,463656.0
2015-06-08,22.52,22.54,22.07,22.09,665489.0
2015-06-09,22.08,22.11,21.87,21.88,675899.0
2015-06-10,21.93,22.32,21.93,22.16,696952.0
2015-06-11,22.25,22.37,22.01,22.04,560922.0
2015-06-12,21.93,22.09,21.87,21.99,284780.0
2015-06-15,21.9,21.9,21.51,21.67,426436.0
2015-06-16,21.63,21.91,21.63,21.84,321106.0
2015-06-17,21.85,21.89,21.6,21.62,661042.0
2015-06-18,21.61,21.76,21.58,21.6,697860.0
2015-06-19,21.64,21.82,21.53,21.8,717204.0
2015-06-22,21.93,22.14,21.8,21.96,335895.0
2015-06-23,21.95,22.03,21.75,21.83,552395.0
2015-06-24,21.85,21.9,21.63,21.65,319804.0
2015-06-25,21.68,21.77,21.47,21.54,542329.0
2015-06-26,21.54,21.9,21.47,21.78,1619423.0
2015-06-29,21.6,21.71,21.4,21.43,590654.0
2015-06-30,21.59,21.59,21.19,21.33,793936.0
2015-07-01,21.41,21.63,21.34,21.62,772511.0
2015-07-02,21.63,21.68,21.4,21.46,616710.0
2015-07-06,21.31,21.64,21.31,21.63,782098.0
2015-07-07,21.68,21.75,21.42,21.75,730534.0
2015-07-08,21.56,21.67,21.34,21.47,800485.0
2015-07-09,21.67,21.76,21.2,21.22,800878.0
2015-07-10,21.38,21.63,21.3,21.59,396953.0
2015-07-13,21.73,21.82,21.64,21.71,379573.0
2015-07-14,21.74,21.95,21.54,21.79,620797.0
2015-07-15,21.75,22.14,21.65,22.01,714519.0
2015-07-16,22.15,22.2,21.93,21.99,425173.0
2015-07-17,22.0,22.08,21.85,22.01,671403.0
2015-07-20,22.03,22.07,21.98,22.01,329497.0
2015-07-21,22.01,22.14,21.88,21.94,504451.0
2015-07-22,21.94,22.1,21.82,22.03,445173.0
2015-07-23,22.08,22.1,21.84,21.91,365153.0
2015-07-24,21.92,21.92,21.7,21.74,330877.0
2015-07-27,21.64,21.64,21.36,21.51,463144.0
2015-07-28,21.99,21.99,21.27,21.35,850670.0
2015-07-29,21.37,21.89,21.32,21.77,830685.0
2015-07-30,21.33,22.21,21.33,22.03,667076.0
2015-07-31,22.04,22.38,21.93,22.21,645357.0
2015-08-03,22.2,22.29,22.06,22.27,603991.0
2015-08-04,22.24,22.36,22.17,22.25,437846.0
2015-08-05,22.65,24.04,22.62,23.64,1369871.0
2015-08-06,23.7,23.7,22.66,22.68,852669.0
2015-08-07,22.66,22.89,22.47,22.84,728294.0
2015-08-10,22.9,23.13,22.74,22.75,473762.0
2015-08-11,22.59,22.97,22.57,22.87,718928.0
2015-08-12,22.87,22.96,22.48,22.76,381258.0
2015-08-13,22.84,22.86,22.66,22.74,270533.0
2015-08-14,22.7,22.81,22.47,22.62,533952.0
2015-08-17,22.6,22.8,22.32,22.8,439655.0
2015-08-18,22.82,22.94,22.68,22.7,466247.0
2015-08-19,22.63,22.9,22.39,22.75,704464.0
2015-08-20,22.58,22.62,22.36,22.39,515710.0
2015-08-21,22.27,22.36,22.03,22.05,883290.0
2015-08-24,21.13,21.95,20.95,21.46,1263645.0
2015-08-25,22.22,22.39,21.86,21.88,1478935.0
2015-08-26,22.24,22.84,22.05,22.78,1369149.0
2015-08-27,22.82,23.24,22.72,23.06,1185651.0
2015-08-28,22.92,23.44,22.84,23.43,625469.0
2015-08-31,23.31,23.41,22.89,23.0,566152.0
2015-09-01,22.65,22.79,22.36,22.45,573104.0
2015-09-02,22.65,22.77,22.39,22.7,648969.0
2015-09-03,22.74,22.98,22.56,22.61,674377.0
2015-09-04,22.37,22.58,22.19,22.33,465424.0
2015-09-08,22.65,22.94,22.54,22.9,538975.0
2015-09-09,23.06,23.21,22.8,22.82,459377.0
2015-09-10,22.77,23.05,22.77,22.93,443845.0
2015-09-11,22.81,23.05,22.65,22.99,304735.0
2015-09-14,23.01,23.08,22.82,22.84,367507.0
2015-09-15,22.97,23.09,22.88,23.0,632790.0
2015-09-16,22.98,23.35,22.98,23.27,719661.0
2015-09-17,23.31,23.74,23.3,23.46,605781.0
2015-09-18,23.17,23.53,23.02,23.12,1116790.0
2015-09-21,23.25,23.63,23.24,23.47,514524.0
2015-09-22,23.17,23.42,22.95,23.26,966897.0
2015-09-23,23.26,23.32,23.14,23.2,466603.0
2015-09-24,23.1,23.1,22.8,23.01,565585.0
2015-09-25,23.19,23.38,22.94,23.03,390273.0
2015-09-28,22.93,22.99,22.54,22.58,488199.0
2015-09-29,22.57,22.69,22.35,22.5,638871.0
2015-09-30,22.82,23.7,22.75,23.61,1007390.0
2015-10-01,23.55,23.8,23.28,23.71,663017.0
2015-10-02,23.51,23.54,23.08,23.51,880094.0
2015-10-05,23.56,23.78,23.52,23.66,1086174.0
2015-10-06,23.68,23.78,23.28,23.42,879544.0
2015-10-07,23.51,24.08,23.5,24.05,648891.0
2015-10-08,24.0,24.32,23.83,24.12,767222.0
2015-10-09,24.15,24.55,24.1,24.43,346030.0
2015-10-12,24.47,24.47,24.25,24.31,448739.0
2015-10-13,24.22,24.42,24.18,24.32,501694.0
2015-10-14,24.32,24.34,23.91,23.94,358813.0
2015-10-15,23.97,24.2,23.87,23.94,662790.0
2015-10-16,23.95,24.31,23.84,24.25,590033.0
2015-10-19,24.18,24.46,23.93,24.0,928431.0
2015-10-20,23.94,24.06,23.73,24.01,591162.0
2015-10-21,24.09,24.21,23.49,23.59,633522.0
2015-10-22,23.68,23.92,23.62,23.78,529722.0
2015-10-23,23.91,24.32,23.87,24.28,440375.0
2015-10-26,24.32,24.49,24.16,24.35,359998.0
2015-10-27,24.29,24.4,23.99,24.1,417465.0
2015-10-28,24.14,24.86,24.05,24.85,625932.0
2015-10-29,24.69,24.94,24.66,24.9,647777.0
2015-10-30,24.93,25.1,24.78,24.78,930302.0
2015-11-02,24.81,24.97,24.68,24.79,699096.0
2015-11-03,24.75,24.82,24.59,24.7,360666.0
2015-11-04,24.73,24.84,24.56,24.84,358196.0
2015-11-05,25.41,25.87,24.69,24.93,942759.0
2015-11-06,24.92,25.08,24.7,24.96,574230.0
2015-11-09,24.92,25.0,24.68,24.97,690828.0
2015-11-10,24.86,25.31,24.86,25.28,734610.0
2015-11-11,25.34,25.97,25.23,25.85,981815.0
2015-11-12,25.75,25.82,25.56,25.64,593249.0
2015-11-13,25.56,25.57,24.92,24.95,592030.0
2015-11-16,24.88,25.26,24.86,25.26,589854.0
2015-11-17,25.38,25.47,25.16,25.21,632358.0
2015-11-18,25.26,25.27,24.99,25.22,532111.0
2015-11-19,25.23,25.29,25.0,25.07,637365.0
2015-11-20,25.17,25.37,25.05,25.31,332484.0
2015-11-23,25.57,25.77,25.24,25.26,1419325.0
2015-11-24,25.14,25.33,24.94,25.27,1017456.0
2015-11-25,25.29,25.38,25.09,25.23,432684.0
2015-11-27,25.27,25.38,25.14,25.28,358652.0
2015-11-30,25.34,25.34,25.17,25.2,643684.0
2015-12-01,25.35,25.48,25.22,25.43,1632238.0
2015-12-02,25.43,25.84,25.33,25.59,718342.0
2015-12-03,25.61,25.65,24.76,24.94,621594.0
2015-12-04,24.98,25.8,24.84,25.75,626935.0
2015-12-07,25.73,25.87,25.53,25.61,854092.0
2015-12-08,25.43,25.47,25.19,25.4,658640.0
2015-12-09,25.29,25.6,25.12,25.26,831866.0
2015-12-10,25.27,25.44,25.03,25.17,579428.0
2015-12-11,24.89,24.94,24.51,24.64,657107.0
2015-12-14,24.64,24.91,24.59,24.9,967350.0
2015-12-15,25.2,25.22,24.48,24.6,957672.0
2015-12-16,24.75,24.89,24.34,24.85,2128261.0
2015-12-17,24.98,25.05,24.34,24.44,1212131.0
2015-12-18,24.35,24.49,23.93,24.17,2370981.0
2015-12-21,24.25,24.77,24.21,24.6,1007804.0
2015-12-22,24.74,24.75,24.24,24.55,743764.0
2015-12-23,24.59,24.81,24.5,24.7,598942.0
2015-12-24,24.68,24.94,24.57,24.76,222445.0
2015-12-28,24.72,24.91,24.53,24.89,537962.0
2015-12-29,24.96,25.38,24.92,25.37,882636.0
2015-12-30,25.28,25.48,25.19,25.22,417893.0
2015-12-31,25.12,25.42,24.98,24.98,468254.0
2016-01-04,24.68,24.68,23.99,24.2,875158.0
2016-01-05,24.22,24.67,24.09,24.31,939627.0
2016-01-06,23.98,24.33,23.82,24.07,614902.0
2016-01-07,23.55,24.04,23.52,23.64,691018.0
2016-01-08,23.67,23.78,23.39,23.43,866653.0
2016-01-11,23.59,23.85,23.42,23.72,756427.0
2016-01-12,23.93,24.05,23.82,24.02,706632.0
2016-01-13,24.09,24.09,23.18,23.3,634992.0
2016-01-14,23.43,23.55,22.99,23.41,960133.0
2016-01-15,22.85,23.55,22.85,23.42,727047.0
2016-01-19,23.6,23.8,23.42,23.69,1051360.0
2016-01-20,23.38,23.92,23.17,23.84,1265326.0
2016-01-21,23.87,24.02,23.54,23.77,1280470.0
2016-01-22,24.1,24.1,23.79,24.07,1087784.0
2016-01-25,24.05,24.18,23.7,23.74,834186.0
2016-01-26,23.81,24.26,23.76,24.19,723754.0
2016-01-27,24.15,24.23,23.63,23.73,864387.0
2016-01-28,24.0,24.03,23.49,23.56,617393.0
2016-01-29,23.58,24.07,23.54,23.92,1984805.0
2016-02-01,23.81,24.62,23.81,24.5,870774.0
2016-02-02,24.31,24.35,23.93,23.99,580723.0
2016-02-03,24.15,24.17,23.67,24.0,767240.0
2016-02-04,23.91,24.04,23.72,24.02,661494.0
2016-02-05,24.98,25.9,24.92,25.3,2123698.0
2016-02-08,24.74,25.07,24.27,25.01,1036471.0
2016-02-09,24.73,25.22,24.65,25.04,1225058.0
2016-02-10,25.09,25.51,25.02,25.04,984266.0
2016-02-11,24.7,24.84,24.49,24.71,857056.0
2016-02-12,24.97,25.02,24.71,24.81,1307654.0
2016-02-16,24.98,25.44,24.84,25.27,1679184.0
2016-02-17,25.4,25.82,25.15,25.74,1209307.0
2016-02-18,25.89,26.42,25.89,26.39,1327078.0
2016-02-19,26.3,26.45,26.01,26.3,954111.0
2016-02-22,26.5,26.86,26.19,26.32,1247836.0
2016-02-23,26.32,26.4,25.98,26.03,1598834.0
2016-02-24,25.82,26.1,25.69,26.07,1148939.0
2016-02-25,26.23,26.48,25.93,26.47,1007652.0
2016-02-26,26.57,26.78,26.45,26.53,747272.0
2016-02-29,26.6,26.64,26.32,26.43,785604.0
2016-03-01,26.69,26.84,26.47,26.58,1099992.0
2016-03-02,26.47,26.74,26.35,26.67,1173206.0
2016-03-03,26.69,26.9,26.62,26.87,614399.0
2016-03-04,26.9,27.13,26.85,27.08,665997.0
2016-03-07,26.98,26.99,26.71,26.78,712061.0
2016-03-08,26.75,26.88,26.45,26.77,784704.0
2016-03-09,26.85,26.88,26.46,26.66,566311.0
2016-03-10,26.72,27.04,26.4,26.44,806735.0
2016-03-11,26.63,26.66,26.38,26.52,801668.0
2016-03-14,26.59,26.59,26.17,26.35,1111811.0
2016-03-15,26.29,26.37,25.91,25.95,1722682.0
2016-03-16,25.91,26.11,25.61,26.07,956584.0
2016-03-17,26.07,26.83,26.0,26.71,1037006.0
2016-03-18,26.77,26.77,26.28,26.32,885938.0
2016-03-21,26.19,26.42,26.12,26.37,718729.0
2016-03-22,26.35,26.51,26.19,26.3,587526.0
2016-03-23,26.27,26.51,26.09,26.35,611467.0
2016-03-24,26.33,26.39,26.21,26.35,386333.0
2016-03-28,26.48,26.65,26.25,26.6,1104070.0
2016-03-29,26.54,27.3,26.54,27.12,962133.0
2016-03-30,27.25,27.33,27.02,27.06,640066.0
2016-03-31,27.02,27.36,26.91,27.19,1030617.0
2016-04-01,27.09,27.67,27.03,27.65,986932.0
2016-04-04,27.72,27.82,27.38,27.55,537318.0
2016-04-05,27.44,27.56,27.14,27.25,560828.0
2016-04-06,27.3,27.65,27.24,27.6,630613.0
2016-04-07,27.58,27.58,27.03,27.23,754752.0
2016-04-08,27.33,27.42,26.88,27.27,605444.0
2016-04-11,27.02,27.4,27.02,27.19,993403.0
2016-04-12,27.19,27.41,27.09,27.29,737809.0
2016-04-13,27.41,27.66,27.34,27.6,583382.0
2016-04-14,27.55,27.67,27.46,27.54,482991.0
2016-04-15,27.61,28.09,27.49,28.04,811584.0
2016-04-18,27.87,28.4,27.85,28.28,740205.0
