Date,open,high,low,close,volume
2015-04-27,26.96,27.0,26.81,26.88,36191052.0
2015-04-28,26.95,27.16,26.64,27.12,38104190.0
2015-04-29,26.95,27.25,26.9,27.09,36970296.0
2015-04-30,27.06,27.35,26.97,27.08,42217764.0
2015-05-01,27.09,27.32,26.99,27.31,28247496.0
2015-05-04,27.36,27.61,27.25,27.27,26159534.0
2015-05-05,27.25,27.36,26.85,26.92,30187591.0
2015-05-06,27.0,27.18,26.61,26.81,27717422.0
2015-05-07,26.78,27.12,26.66,27.04,30966885.0
2015-05-08,27.25,27.49,27.22,27.36,37138610.0
2015-05-11,27.25,27.3,26.86,26.92,32341382.0
2015-05-12,26.82,27.09,26.75,27.03,27298677.0
2015-05-13,27.02,27.24,26.92,27.21,34568624.0
2015-05-14,27.32,27.43,27.15,27.41,26878755.0
2015-05-15,27.38,27.44,27.25,27.27,35670849.0
2015-05-18,27.21,27.39,27.21,27.31,22438329.0
2015-05-19,27.27,27.39,27.21,27.35,29136749.0
2015-05-20,27.34,27.7,27.2,27.64,40033460.0
2015-05-21,27.68,27.79,27.55,27.72,39407193.0
2015-05-22,27.69,27.77,27.62,27.68,22273217.0
2015-05-26,27.52,27.58,27.38,27.52,47432269.0
2015-05-27,27.57,27.62,27.46,27.52,25236197.0
2015-05-28,27.5,27.63,27.3,27.63,26376207.0
2015-05-29,27.5,27.5,27.27,27.27,39425379.0
2015-06-01,27.26,27.34,27.07,27.28,33300154.0
2015-06-02,27.22,27.42,27.15,27.33,25916026.0
2015-06-03,27.43,27.56,27.36,27.53,26282989.0
2015-06-04,27.42,27.62,27.21,27.26,32775729.0
2015-06-05,27.26,27.38,27.16,27.29,27077037.0
2015-06-08,27.32,27.36,27.21,27.24,26059400.0
2015-06-09,27.28,27.47,27.17,27.33,30555731.0
2015-06-10,27.36,27.68,27.32,27.63,33127764.0
2015-06-11,27.57,27.64,27.36,27.51,29658718.0
2015-06-12,27.44,27.48,27.28,27.39,22062402.0
2015-06-15,27.2,27.31,27.11,27.21,28185501.0
2015-06-16,27.17,27.24,27.0,27.22,27450412.0
2015-06-17,27.19,27.4,27.11,27.27,36377829.0
2015-06-18,27.07,27.41,27.03,27.37,37627582.0
2015-06-19,27.27,27.38,27.18,27.24,58678102.0
2015-06-22,27.3,27.5,27.29,27.42,27435697.0
