Date,open,high,low,close,volume
2015-04-27,198.76,199.31,196.37,196.52,1757286.0
2015-04-28,196.2,197.61,194.4,197.49,1899571.0
2015-04-29,195.79,199.73,195.48,198.56,2464973.0
2015-04-30,198.4,199.75,195.4,196.42,2553326.0
2015-05-01,198.45,198.57,196.83,197.53,2001714.0
2015-05-04,198.26,199.72,197.9,199.3,1565144.0
2015-05-05,198.31,200.39,196.72,197.29,2244882.0
2015-05-06,197.75,198.59,194.01,196.25,2421457.0
2015-05-07,196.26,197.95,194.81,197.39,1761692.0
2015-05-08,199.1,201.34,199.1,200.5,3184680.0
2015-05-11,200.29,201.95,200.29,201.73,1948967.0
2015-05-12,200.48,201.04,198.07,200.53,2222354.0
2015-05-13,200.47,201.75,199.85,201.43,2019135.0
2015-05-14,202.33,202.88,201.43,202.62,1942986.0
2015-05-15,202.55,202.97,201.81,202.97,1722826.0
2015-05-18,202.65,205.18,202.64,204.66,2149654.0
2015-05-19,204.99,206.2,204.55,205.4,2355076.0
2015-05-20,205.17,205.96,204.15,205.08,1810650.0
2015-05-21,204.6,205.21,204.17,204.95,2214351.0
2015-05-22,204.66,208.26,204.63,207.8,3030261.0
2015-05-26,207.52,207.52,205.0,206.38,3322813.0
2015-05-27,206.89,209.68,205.87,209.06,2689809.0
2015-05-28,208.08,208.59,207.28,208.48,2671483.0
2015-05-29,208.23,208.27,205.62,206.19,2235233.0
2015-06-01,207.32,208.82,206.89,207.81,2083226.0
2015-06-02,206.85,207.84,205.65,206.43,2227563.0
2015-06-03,207.52,210.17,206.77,208.29,2394680.0
2015-06-04,207.6,210.06,207.0,208.87,3411168.0
2015-06-05,210.7,211.94,208.55,210.45,3217680.0
2015-06-08,211.15,211.7,209.45,209.79,2171269.0
2015-06-09,210.0,210.44,207.62,209.02,2258831.0
2015-06-10,209.72,213.4,209.36,213.13,2647281.0
2015-06-11,213.17,214.6,212.87,213.94,2010878.0
2015-06-12,213.48,214.01,212.01,213.06,2004001.0
2015-06-15,210.89,212.34,210.38,211.76,1891152.0
2015-06-16,211.85,213.57,211.13,213.56,1952357.0
2015-06-17,213.59,214.5,212.57,212.93,1775875.0
2015-06-18,213.45,215.01,212.01,214.6,2162702.0
2015-06-19,214.12,215.0,213.19,213.19,3701017.0
2015-06-22,215.06,216.81,215.0,216.51,2003559.0
2015-06-23,216.92,218.77,216.64,218.4,2602297.0
2015-06-24,216.2,217.0,213.7,214.43,3567153.0
2015-06-25,215.15,215.8,212.49,212.82,2423679.0
2015-06-26,213.62,214.61,212.55,213.17,2647438.0
2015-06-29,210.14,211.22,207.65,207.65,3271052.0
2015-06-30,209.89,210.79,208.15,208.79,4098265.0
2015-07-01,211.63,212.49,208.94,209.94,2775152.0
2015-07-02,209.94,210.63,208.5,209.2,1802249.0
2015-07-06,206.71,208.53,206.26,208.04,2808213.0
2015-07-07,207.98,208.97,203.2,208.21,3295152.0
2015-07-08,206.3,206.78,203.7,204.06,2160237.0
2015-07-09,207.13,207.55,204.44,204.81,2173400.0
2015-07-10,207.72,207.98,206.18,207.19,1800811.0
2015-07-13,209.44,210.31,208.65,210.12,2029726.0
2015-07-14,210.01,212.76,209.7,212.16,2086888.0
2015-07-15,213.54,213.61,211.42,212.96,2518978.0
2015-07-16,211.39,214.14,209.32,211.18,4389331.0
2015-07-17,210.76,212.8,209.78,212.46,2843445.0
2015-07-20,212.68,214.0,211.21,212.39,2060827.0
2015-07-21,211.98,212.79,210.75,211.5,1923995.0
2015-07-22,211.8,213.72,211.75,213.25,2294724.0
2015-07-23,213.66,214.61,210.7,211.05,2162012.0
2015-07-24,211.45,211.45,206.9,207.35,2369773.0
2015-07-27,205.45,205.84,203.5,205.02,2903994.0
2015-07-28,207.14,207.18,204.6,206.24,2009824.0
2015-07-29,206.57,208.13,205.67,206.84,1975495.0
2015-07-30,206.03,207.35,205.1,207.2,1334892.0
2015-07-31,207.4,207.47,204.9,205.07,1625241.0
2015-08-03,205.75,205.95,202.84,204.69,2067552.0
2015-08-04,205.01,207.15,204.8,205.17,1447113.0
2015-08-05,206.94,207.78,204.93,205.7,1533353.0
2015-08-06,206.0,206.7,204.3,205.09,1481640.0
2015-08-07,205.3,206.64,202.32,203.44,1687296.0
2015-08-10,204.59,206.57,204.34,205.97,1633397.0
2015-08-11,203.5,203.92,200.66,201.7,2434334.0
2015-08-12,199.9,201.55,196.58,201.13,2771937.0
2015-08-13,200.72,201.95,199.58,200.74,3338731.0
2015-08-14,200.83,202.55,200.74,202.02,3559930.0
2015-08-17,201.01,202.86,199.78,202.57,1587833.0
2015-08-18,202.12,203.1,201.18,201.18,1518761.0
2015-08-19,200.02,202.75,199.14,200.95,2719607.0
2015-08-20,198.43,199.22,196.75,196.75,3126444.0
2015-08-21,193.66,194.6,187.58,187.74,5366666.0
2015-08-24,178.46,186.89,172.1,179.46,6868391.0
2015-08-25,185.89,187.33,177.71,178.22,7114662.0
2015-08-26,183.04,185.06,179.11,184.4,5461911.0
2015-08-27,186.81,189.86,185.43,189.21,3733095.0
2015-08-28,187.59,188.85,186.26,187.75,2397988.0
2015-08-31,187.69,190.25,187.18,188.6,2844043.0
2015-09-01,184.24,186.47,181.08,182.12,5448070.0
2015-09-02,184.87,185.82,182.51,184.51,2959124.0
2015-09-03,185.0,187.89,184.28,185.06,2888756.0
2015-09-04,182.26,182.83,179.13,180.38,4279455.0
2015-09-08,183.91,186.31,183.65,185.88,3029323.0
2015-09-09,189.55,191.75,185.26,185.68,4739989.0
2015-09-10,185.45,187.82,184.77,185.91,3037657.0
2015-09-11,185.43,185.82,183.32,185.27,2533638.0
2015-09-14,185.6,185.86,183.3,183.94,2746031.0
2015-09-15,184.78,188.02,184.19,187.45,3067802.0
2015-09-16,187.96,189.3,186.59,188.64,2706522.0
2015-09-17,188.45,190.57,186.0,186.45,3643380.0
2015-09-18,183.2,183.38,180.55,180.94,6475454.0
2015-09-21,183.3,184.41,181.7,183.35,2930677.0
2015-09-22,180.89,181.0,178.01,179.72,4071720.0
2015-09-23,179.81,180.19,177.75,179.41,2719539.0
2015-09-24,177.66,177.97,174.82,176.91,3828722.0
2015-09-25,179.2,181.11,178.16,179.83,3013532.0
2015-09-28,178.46,178.46,172.75,173.02,3808665.0
2015-09-29,173.01,173.3,167.49,171.86,4369184.0
2015-09-30,174.58,175.08,172.16,173.76,2913543.0
2015-10-01,174.4,176.17,173.04,176.02,3574278.0
2015-10-02,172.14,177.1,169.87,177.01,4437592.0
2015-10-05,178.23,181.06,177.83,180.7,3365305.0
2015-10-06,180.2,181.28,179.47,180.32,1825617.0
2015-10-07,181.8,183.79,180.54,182.23,2572172.0
2015-10-08,181.18,182.47,179.75,181.07,3217518.0
2015-10-09,180.96,182.29,178.21,179.19,3300457.0
2015-10-12,180.8,181.2,179.01,180.23,3033596.0
2015-10-13,179.57,183.14,179.5,180.97,2878550.0
2015-10-14,180.73,182.21,179.14,179.51,3233205.0
2015-10-15,176.73,185.75,175.76,184.96,5669421.0
2015-10-16,185.12,186.65,183.63,185.18,2948865.0
2015-10-19,183.48,186.5,183.15,185.74,2657219.0
2015-10-20,185.2,185.97,183.9,185.51,2724931.0
2015-10-21,186.22,186.22,179.55,179.7,3613827.0
2015-10-22,180.23,184.19,180.2,183.56,2577154.0
2015-10-23,185.16,186.36,184.43,185.5,2925920.0
2015-10-26,187.1,188.0,186.62,187.01,2569608.0
2015-10-27,186.0,186.83,184.5,186.31,1858829.0
2015-10-28,186.71,191.48,186.17,191.32,3225984.0
2015-10-29,191.0,191.96,189.33,189.89,3064703.0
2015-10-30,189.76,190.09,187.24,187.5,2747815.0
2015-11-02,188.32,190.43,187.67,189.68,2527913.0
2015-11-03,189.25,191.87,189.05,190.69,2401137.0
2015-11-04,191.0,192.89,190.31,191.65,2167691.0
2015-11-05,192.54,193.28,191.0,192.02,2184234.0
2015-11-06,196.0,199.47,195.9,199.17,4265815.0
2015-11-09,199.04,199.9,196.32,196.76,2600350.0
2015-11-10,196.58,198.22,195.27,197.81,2009189.0
2015-11-11,198.29,198.93,196.73,197.39,1642355.0
2015-11-12,196.19,196.19,192.26,192.77,3139387.0
2015-11-13,192.63,193.38,190.06,190.39,2359065.0
2015-11-16,189.99,192.16,188.01,192.16,3531819.0
2015-11-17,192.67,193.0,190.32,190.57,1775674.0
2015-11-18,191.05,194.05,191.01,193.66,2491282.0
2015-11-19,193.82,194.21,191.67,193.03,1832540.0
2015-11-20,193.0,193.49,191.11,191.47,2929198.0
2015-11-23,191.3,191.49,188.52,189.19,2671645.0
