Date,open,high,low,close,volume
2015-04-27,114.05,114.11,111.28,111.39,5613488.0
2015-04-28,110.9,111.77,110.05,110.58,5719948.0
2015-04-29,110.17,110.31,108.07,108.71,7141611.0
2015-04-30,108.56,109.21,106.62,106.98,8116745.0
2015-05-01,106.98,109.79,106.85,109.55,6684016.0
2015-05-04,109.94,110.45,109.32,110.06,3350480.0
2015-05-05,109.2,109.88,107.98,108.06,4152006.0
2015-05-06,108.2,108.91,107.24,108.31,3994896.0
2015-05-07,108.4,110.72,108.25,110.04,5390875.0
2015-05-08,112.4,113.48,112.11,112.47,6432077.0
2015-05-11,112.24,112.91,111.81,111.9,3719413.0
2015-05-12,111.12,112.82,110.83,112.52,4046640.0
2015-05-13,112.92,112.95,111.1,111.19,4338106.0
2015-05-14,112.05,112.22,110.83,111.94,3809328.0
2015-05-15,111.92,113.4,111.82,113.35,4558623.0
2015-05-18,113.87,114.6,113.16,114.33,6821283.0
2015-05-19,116.12,116.48,112.34,112.34,11123896.0
2015-05-20,112.19,112.89,111.22,112.1,6993315.0
2015-05-21,111.98,112.33,111.62,112.01,4223293.0
2015-05-22,111.87,112.53,111.46,112.16,3688283.0
2015-05-26,112.0,112.18,110.69,110.93,4213993.0
2015-05-27,111.04,112.53,110.81,112.16,4131422.0
2015-05-28,111.91,112.7,111.86,112.19,2802950.0
2015-05-29,111.84,112.59,111.37,111.42,5106313.0
2015-06-01,111.97,112.34,111.25,111.67,5036966.0
2015-06-02,110.75,112.18,110.64,111.59,6085896.0
2015-06-03,111.72,113.48,111.45,113.16,6337451.0
2015-06-04,112.52,113.16,111.17,111.46,4306369.0
2015-06-05,111.34,111.36,110.27,110.37,4498278.0
2015-06-08,110.14,110.81,109.83,109.93,3448990.0
2015-06-09,109.79,110.25,109.03,109.53,3610467.0
2015-06-10,109.9,111.19,109.39,110.98,3965401.0
2015-06-11,111.0,112.33,111.0,111.29,3599810.0
2015-06-12,110.89,111.59,110.41,110.6,4292311.0
2015-06-15,110.23,110.45,109.55,110.01,3924978.0
2015-06-16,109.9,110.45,109.75,110.23,3506406.0
2015-06-17,110.73,111.29,109.96,110.47,5716976.0
2015-06-18,111.06,112.3,110.76,111.85,7220818.0
2015-06-19,111.64,113.3,111.44,112.43,9111833.0
2015-06-22,112.93,113.62,112.78,113.07,3174488.0
2015-06-23,113.24,113.59,112.93,113.18,3019189.0
2015-06-24,112.94,113.68,112.35,112.35,3706767.0
2015-06-25,113.24,113.71,112.24,112.24,4466325.0
2015-06-26,112.77,113.34,112.23,112.6,4097675.0
2015-06-29,111.56,112.32,110.46,110.54,5171919.0
2015-06-30,111.15,111.76,110.59,111.13,5813618.0
2015-07-01,112.45,112.81,111.47,112.07,4115278.0
2015-07-02,112.58,112.75,111.1,111.49,3830156.0
2015-07-06,110.27,111.93,110.17,111.32,3856295.0
2015-07-07,111.72,112.64,110.7,112.4,5514130.0
2015-07-08,111.72,112.46,110.8,111.0,3785679.0
2015-07-09,112.32,112.59,111.2,111.38,3516006.0
2015-07-10,112.67,113.48,112.09,113.1,4626711.0
2015-07-13,114.21,115.02,114.06,114.9,4124099.0
2015-07-14,114.5,115.53,114.39,115.36,3684493.0
2015-07-15,115.42,116.15,115.07,115.58,3364611.0
2015-07-16,115.87,115.91,113.83,114.73,5229879.0
2015-07-17,114.49,115.0,114.0,114.47,5487231.0
2015-07-20,112.25,114.11,112.17,113.41,5897290.0
2015-07-21,113.41,113.97,112.67,113.86,4599164.0
2015-07-22,113.96,115.08,113.8,114.9,5481427.0
2015-07-23,115.21,116.11,114.43,114.59,4306772.0
2015-07-24,114.74,115.23,113.43,113.59,4397189.0
2015-07-27,113.37,113.89,112.71,113.07,4465096.0
2015-07-28,113.76,115.03,113.18,114.84,4156216.0
2015-07-29,115.16,116.76,115.11,116.37,4851846.0
2015-07-30,115.94,116.74,115.34,116.46,3278659.0
2015-07-31,116.98,118.13,116.37,117.03,4169545.0
2015-08-03,117.62,117.7,116.16,116.89,3645015.0
2015-08-04,116.63,117.82,116.25,117.53,2987710.0
2015-08-05,118.38,118.53,117.1,118.0,4289242.0
2015-08-06,118.39,118.5,116.07,116.56,4767408.0
2015-08-07,116.7,117.16,115.78,116.93,3984484.0
2015-08-10,117.53,118.34,117.36,117.6,3353290.0
2015-08-11,117.02,118.14,116.76,117.69,3761921.0
2015-08-12,117.13,117.88,115.7,117.69,4575839.0
2015-08-13,118.0,120.14,117.79,119.02,6212592.0
2015-08-14,119.3,119.89,118.46,119.75,5133737.0
2015-08-17,119.1,120.75,118.73,119.7,7227591.0
2015-08-18,121.83,123.8,121.15,122.8,11015064.0
2015-08-19,122.67,123.79,122.13,122.76,6481716.0
2015-08-20,121.98,122.53,120.54,120.54,5549331.0
2015-08-21,119.54,120.36,116.15,116.16,10154989.0
2015-08-24,110.05,115.88,92.17,112.54,13628127.0
2015-08-25,117.0,117.0,110.89,110.97,10175741.0
2015-08-26,114.06,116.03,112.08,115.93,9298268.0
2015-08-27,117.5,118.09,115.33,117.66,7226927.0
2015-08-28,117.43,118.46,116.92,117.52,5002667.0
2015-08-31,117.01,117.49,115.93,116.46,5401683.0
2015-09-01,113.99,114.75,112.56,113.07,7384451.0
2015-09-02,114.83,116.48,114.32,116.48,6478885.0
2015-09-03,117.03,118.08,116.18,116.6,5276663.0
2015-09-04,114.68,115.69,113.49,114.42,5740794.0
2015-09-08,115.69,116.64,114.73,116.43,5719118.0
2015-09-09,117.11,117.47,113.7,113.97,5260707.0
2015-09-10,114.0,115.41,113.69,114.49,5247590.0
2015-09-11,113.97,115.46,113.7,115.44,4469603.0
2015-09-14,115.5,115.68,114.41,114.73,4246929.0
2015-09-15,114.78,116.63,113.9,116.18,4983785.0
2015-09-16,116.08,118.02,115.97,117.82,5280622.0
2015-09-17,118.33,119.82,117.27,117.91,6501286.0
2015-09-18,116.51,117.2,114.98,115.12,11263362.0
2015-09-21,115.96,117.11,115.27,116.58,5201064.0
2015-09-22,115.4,116.39,114.89,115.8,4621230.0
2015-09-23,115.85,116.55,115.66,116.17,4078423.0
2015-09-24,115.34,116.65,114.84,116.34,5099110.0
2015-09-25,117.23,118.16,116.04,116.74,5456365.0
2015-09-28,116.53,117.38,113.85,114.1,5918746.0
2015-09-29,114.21,114.93,111.8,112.91,7892744.0
2015-09-30,114.37,115.63,114.0,115.49,5372018.0
2015-10-01,116.23,117.13,114.74,117.03,5194482.0
2015-10-02,115.56,117.9,114.71,117.81,4339620.0
2015-10-05,118.75,119.29,117.91,119.2,4520586.0
2015-10-06,119.1,119.2,117.97,118.68,5202182.0
2015-10-07,119.2,119.84,118.49,119.65,4680064.0
2015-10-08,119.31,121.23,119.15,121.06,4698964.0
2015-10-09,121.27,121.5,120.47,121.33,3851112.0
2015-10-12,121.49,122.45,121.0,121.9,2849063.0
2015-10-13,121.77,122.29,121.14,121.61,2898264.0
2015-10-14,121.33,121.88,119.56,120.27,5190743.0
2015-10-15,120.62,122.03,120.4,121.81,3414293.0
2015-10-16,121.63,122.82,121.63,122.74,4052906.0
2015-10-19,122.61,123.2,122.2,123.1,3039480.0
2015-10-20,122.89,123.17,122.35,122.85,3279112.0
2015-10-21,123.29,124.02,122.75,123.3,3491807.0
2015-10-22,123.9,124.48,122.88,124.36,5802076.0
2015-10-23,125.01,125.75,122.97,124.61,5270388.0
2015-10-26,124.55,125.66,124.02,125.01,4548470.0
2015-10-27,124.51,125.09,123.82,124.47,3665839.0
2015-10-28,124.38,124.59,122.22,123.82,6819150.0
2015-10-29,123.42,124.07,122.75,123.63,4562673.0
2015-10-30,123.27,124.75,123.27,123.64,4967195.0
2015-11-02,124.24,124.64,123.38,124.41,3714335.0
2015-11-03,124.23,126.04,123.81,125.66,4301778.0
2015-11-04,125.48,125.87,124.62,125.38,4101194.0
2015-11-05,125.46,126.0,124.95,125.72,3050749.0
2015-11-06,125.27,126.11,124.82,125.98,3750510.0
2015-11-09,125.8,126.12,123.71,124.5,4988553.0
2015-11-10,124.49,125.41,124.04,125.26,3872188.0
2015-11-11,125.43,125.43,124.52,124.71,3247396.0
2015-11-12,124.18,124.97,123.06,123.81,4271857.0
2015-11-13,123.1,123.25,119.9,120.0,8691367.0
2015-11-16,120.05,121.03,118.61,120.84,7759329.0
2015-11-17,124.86,126.34,123.1,126.18,10499176.0
2015-11-18,126.44,126.73,124.66,126.54,6486449.0
2015-11-19,126.53,127.62,125.95,126.86,4658096.0
2015-11-20,127.36,130.21,127.09,130.21,8176465.0
2015-11-23,130.21,132.64,130.21,132.5,6328392.0
2015-11-24,131.93,133.93,131.74,133.6,6615042.0
2015-11-25,133.69,135.24,133.55,134.65,5299009.0
2015-11-27,134.81,135.47,134.53,134.74,3337660.0
2015-11-30,135.2,135.32,133.01,133.88,7433776.0
2015-12-01,133.52,134.63,133.26,134.43,5230945.0
2015-12-02,134.56,134.65,133.57,133.81,5019886.0
2015-12-03,133.52,134.12,130.8,130.93,6684566.0
2015-12-04,131.55,134.83,131.35,134.53,5380765.0
2015-12-07,134.0,134.79,133.19,133.93,5397968.0
2015-12-08,132.71,134.56,132.41,133.84,4725322.0
2015-12-09,133.21,134.78,131.51,131.9,5052513.0
2015-12-10,131.96,133.59,131.8,132.54,4185731.0
2015-12-11,131.09,132.19,130.31,130.44,5299759.0
2015-12-14,131.09,132.12,130.71,132.01,5952078.0
2015-12-15,132.62,133.49,131.19,131.29,4920583.0
2015-12-16,132.17,133.28,130.36,132.9,4693976.0
2015-12-17,133.06,133.54,130.99,131.35,4340039.0
2015-12-18,130.73,131.31,130.01,130.29,9805180.0
2015-12-21,131.0,131.61,130.18,131.31,3409026.0
2015-12-22,131.37,132.28,130.46,131.88,3398037.0
2015-12-23,132.49,133.34,131.88,133.11,3240828.0
2015-12-24,132.8,133.48,132.66,132.9,1517075.0
2015-12-28,132.25,132.9,131.89,132.68,2607217.0
2015-12-29,133.37,134.33,133.27,133.7,3036314.0
2015-12-30,133.58,134.06,133.28,133.35,2484809.0
2015-12-31,133.08,133.56,132.24,132.25,3178722.0
2016-01-04,130.11,131.07,129.45,131.07,8044450.0
2016-01-05,131.15,131.94,130.05,130.43,5316011.0
2016-01-06,129.0,129.9,128.56,129.08,8196176.0
2016-01-07,126.93,127.88,124.7,125.4,12538400.0
2016-01-08,126.44,126.53,123.5,123.9,7081244.0
2016-01-11,124.87,126.08,124.09,125.78,6783563.0
2016-01-12,126.78,128.8,125.83,127.49,5661739.0
2016-01-13,127.47,127.47,120.97,121.4,8911213.0
2016-01-14,121.29,121.51,118.2,119.62,13379724.0
2016-01-15,117.12,121.15,116.1,119.23,10476385.0
2016-01-19,120.54,121.89,118.8,119.76,6342604.0
2016-01-20,117.89,118.66,113.58,116.46,11187047.0
2016-01-21,117.38,121.94,117.14,120.22,8990673.0
2016-01-22,121.64,124.67,121.58,122.76,6553764.0
2016-01-25,123.38,123.85,121.56,121.71,4848700.0
2016-01-26,121.73,122.45,120.64,122.2,4469339.0
2016-01-27,122.46,124.32,120.86,121.57,5429642.0
2016-01-28,121.97,122.69,120.31,122.28,4868943.0
2016-01-29,123.17,125.76,122.75,125.76,7616144.0
2016-02-01,124.92,127.09,123.99,126.51,4616858.0
2016-02-02,125.41,126.43,124.71,125.27,5830704.0
2016-02-03,126.02,126.16,121.54,123.79,7482854.0
2016-02-04,123.65,123.9,119.45,121.11,9171639.0
2016-02-05,120.89,121.0,115.69,116.43,8115392.0
2016-02-08,114.93,115.96,109.62,111.85,11284993.0
2016-02-09,110.94,115.29,110.68,113.86,7572410.0
2016-02-10,114.5,116.16,114.05,114.33,5304582.0
2016-02-11,113.08,114.19,112.22,113.27,6446890.0
2016-02-12,114.88,116.43,113.52,116.32,5358816.0
2016-02-16,118.12,120.0,117.7,119.43,6958112.0
2016-02-17,120.45,121.68,119.87,121.21,5970653.0
2016-02-18,120.93,121.11,119.56,119.97,4457648.0
2016-02-19,119.82,121.7,118.75,121.69,5418470.0
2016-02-22,123.0,124.47,122.13,122.85,7789016.0
2016-02-23,127.0,127.19,123.35,124.53,11163386.0
2016-02-24,124.05,125.78,122.92,125.61,7930100.0
2016-02-25,125.76,126.86,124.89,126.86,4736776.0
2016-02-26,127.59,127.75,125.93,126.26,4607040.0
2016-02-29,126.26,126.99,124.05,124.12,5567867.0
2016-03-01,124.78,125.97,123.98,125.7,4900217.0
2016-03-02,125.48,125.87,124.46,125.59,3956576.0
2016-03-03,125.2,127.26,124.78,126.8,5008867.0
2016-03-04,127.37,127.49,125.16,125.56,6448069.0
2016-03-07,125.01,126.54,125.01,126.17,4161141.0
2016-03-08,125.22,128.2,125.0,126.72,5280716.0
2016-03-09,127.03,127.52,125.33,126.03,4046826.0
2016-03-10,126.2,127.0,124.31,125.89,4502357.0
2016-03-11,126.97,128.76,126.73,128.46,4626028.0
2016-03-14,128.43,129.66,128.1,128.84,3622538.0
2016-03-15,128.78,130.48,128.62,129.71,4034099.0
2016-03-16,129.63,131.11,128.81,130.45,3607459.0
2016-03-17,130.1,131.19,129.32,130.88,4130995.0
2016-03-18,131.14,132.09,130.83,131.35,7956083.0
2016-03-21,131.53,132.13,130.27,131.01,3816754.0
2016-03-22,130.61,131.22,129.92,130.59,3946425.0
2016-03-23,130.59,131.18,129.95,130.22,3625009.0
2016-03-24,129.54,130.76,129.46,130.46,3449251.0
2016-03-28,130.6,131.81,130.49,131.08,2621141.0
2016-03-29,131.0,132.9,130.71,132.47,3405078.0
2016-03-30,133.11,133.93,132.84,133.42,3138015.0
2016-03-31,133.56,134.29,133.0,133.43,3685243.0
2016-04-01,133.1,135.2,133.1,134.85,4257861.0
2016-04-04,136.07,136.23,134.35,134.85,3547634.0
2016-04-05,134.2,135.7,133.9,134.58,4068495.0
2016-04-06,134.25,135.74,133.82,135.44,3365521.0
2016-04-07,134.73,135.24,133.12,133.87,3950235.0
2016-04-08,134.62,134.62,133.06,133.62,2924397.0
2016-04-11,133.58,135.08,132.96,133.01,3472649.0
2016-04-12,133.3,134.72,133.11,134.38,4230752.0
2016-04-13,134.86,134.86,133.22,133.84,4321907.0
2016-04-14,133.5,134.71,132.88,134.37,4183198.0
2016-04-15,134.41,135.27,133.97,135.01,3508644.0
2016-04-18,134.81,136.8,134.74,136.8,3964553.0
2016-04-19,136.8,137.0,134.85,135.44,4649461.0
2016-04-20,135.75,136.08,134.48,135.19,4755103.0
2016-04-21,135.23,135.49,134.39,134.6,3541740.0
2016-04-22,134.85,135.68,133.41,135.66,4180910.0
2016-04-25,135.18,135.73,134.28,135.65,2831398.0
2016-04-26,135.09,136.24,134.88,135.34,3503897.0
2016-04-27,135.37,136.28,134.76,135.75,3487448.0
2016-04-28,134.81,135.44,132.49,132.73,5551465.0
2016-04-29,132.71,134.3,131.75,133.89,4609003.0
2016-05-02,134.37,136.25,134.31,136.05,4281228.0
2016-05-03,135.45,135.84,134.04,134.54,3408398.0
2016-05-04,133.59,135.4,133.13,135.16,3191812.0
2016-05-05,134.87,135.37,133.75,134.67,3473997.0
2016-05-06,134.48,135.81,134.31,135.7,3356811.0
2016-05-09,135.59,136.47,135.24,136.24,3551818.0
2016-05-10,136.32,137.82,136.3,137.51,3659014.0
2016-05-11,136.8,137.05,134.04,134.3,6054211.0
2016-05-12,135.0,135.0,133.1,134.19,5354803.0
2016-05-13,133.81,135.33,133.03,133.13,5292527.0
