Date,open,high,low,close,volume
2015-04-27,3.07,3.18,3.06,3.1,6072067.0
2015-04-28,3.1,3.23,3.1,3.19,5430708.0
2015-04-29,3.19,3.24,3.1,3.12,3617415.0
2015-04-30,3.07,3.11,3.01,3.02,7053120.0
2015-05-01,3.01,3.1,3.0,3.03,4821209.0
2015-05-04,3.08,3.12,3.03,3.05,3806107.0
2015-05-05,3.09,3.09,2.98,3.01,5465463.0
2015-05-06,3.02,3.05,2.98,2.99,3904512.0
2015-05-07,2.96,3.05,2.95,3.05,3342523.0
2015-05-08,3.06,3.08,2.99,3.0,3309857.0
2015-05-11,3.01,3.11,3.01,3.08,3604362.0
2015-05-12,3.09,3.15,3.05,3.15,3501778.0
2015-05-13,3.19,3.26,3.18,3.26,7086767.0
2015-05-14,3.28,3.35,3.21,3.24,5690192.0
2015-05-15,3.23,3.29,3.2,3.25,5036352.0
2015-05-18,3.25,3.29,3.22,3.24,3102869.0
2015-05-19,3.21,3.25,3.15,3.16,4655753.0
2015-05-20,3.17,3.25,3.16,3.24,2992985.0
2015-05-21,3.23,3.26,3.21,3.23,2739563.0
2015-05-22,3.23,3.26,3.2,3.21,1695520.0
2015-05-26,3.16,3.16,3.08,3.09,3294816.0
2015-05-27,3.09,3.1,3.02,3.04,4092053.0
2015-05-28,3.04,3.11,3.03,3.1,2574475.0
2015-05-29,3.11,3.15,3.08,3.11,2383265.0
2015-06-01,3.14,3.15,3.1,3.12,2312606.0
2015-06-02,3.12,3.16,3.11,3.14,1759136.0
2015-06-03,3.12,3.17,3.08,3.1,2481408.0
2015-06-04,3.07,3.1,3.02,3.06,2649144.0
2015-06-05,3.03,3.05,3.01,3.03,2321807.0
2015-06-08,3.04,3.05,2.99,3.04,2306273.0
2015-06-09,3.05,3.07,2.95,2.95,3889205.0
2015-06-10,3.0,3.06,2.97,3.04,3980130.0
2015-06-11,3.03,3.04,3.0,3.0,2702141.0
2015-06-12,2.98,3.01,2.94,2.95,3508756.0
2015-06-15,2.95,3.06,2.85,3.06,5897458.0
2015-06-16,3.04,3.04,2.91,2.92,4674623.0
2015-06-17,2.94,2.96,2.85,2.96,5535532.0
2015-06-18,3.03,3.03,2.98,3.03,4106886.0
2015-06-19,3.02,3.05,2.9,2.97,11938907.0
2015-06-22,2.95,2.96,2.86,2.87,4501123.0
2015-06-23,2.86,2.9,2.83,2.87,4676966.0
2015-06-24,2.85,2.9,2.85,2.86,3211706.0
2015-06-25,2.85,2.88,2.78,2.82,2861005.0
2015-06-26,2.82,2.85,2.76,2.77,4513848.0
2015-06-29,2.79,2.81,2.72,2.74,3899000.0
2015-06-30,2.75,2.76,2.61,2.63,6570480.0
2015-07-01,2.62,2.63,2.42,2.44,5020071.0
2015-07-02,2.47,2.62,2.46,2.61,7612171.0
2015-07-06,2.62,2.71,2.58,2.63,4945772.0
2015-07-07,2.59,2.6,2.36,2.4,9215767.0
2015-07-08,2.41,2.46,2.41,2.42,2881904.0
2015-07-09,2.47,2.5,2.4,2.41,3861940.0
2015-07-10,2.45,2.45,2.38,2.41,4118982.0
2015-07-13,2.4,2.7,2.36,2.66,6965333.0
2015-07-14,2.64,2.65,2.52,2.55,4507011.0
2015-07-15,2.54,2.55,2.43,2.44,3962381.0
2015-07-16,2.44,2.48,2.38,2.39,4240672.0
2015-07-17,2.37,2.42,2.27,2.31,8193575.0
2015-07-20,2.26,2.28,2.05,2.07,10497807.0
2015-07-21,2.11,2.23,2.08,2.21,7763961.0
2015-07-22,2.16,2.26,2.09,2.26,7681977.0
2015-07-23,2.27,2.29,2.04,2.08,7759449.0
2015-07-24,2.06,2.2,1.98,2.17,9892536.0
2015-07-27,2.16,2.24,2.07,2.08,8081467.0
2015-07-28,2.12,2.17,2.05,2.14,4884352.0
2015-07-29,2.14,2.15,2.08,2.12,4594178.0
2015-07-30,2.09,2.13,2.02,2.06,5341233.0
2015-07-31,2.1,2.13,2.04,2.1,6919699.0
2015-08-03,2.09,2.09,1.96,2.0,6237774.0
2015-08-04,2.02,2.07,1.97,2.02,6823421.0
2015-08-05,2.06,2.07,1.95,1.95,5398942.0
2015-08-06,1.91,1.98,1.77,1.91,7859147.0
2015-08-07,1.89,2.01,1.82,1.85,7734895.0
2015-08-10,1.85,2.07,1.85,2.07,7239408.0
2015-08-11,2.1,2.19,2.06,2.15,8669215.0
2015-08-12,2.19,2.35,2.19,2.34,8727637.0
2015-08-13,2.29,2.3,2.08,2.15,6304033.0
2015-08-14,2.17,2.23,2.1,2.17,4066939.0
2015-08-17,2.2,2.25,2.17,2.24,4457809.0
2015-08-18,2.19,2.22,2.09,2.12,5291408.0
2015-08-19,2.15,2.25,2.13,2.21,6810351.0
2015-08-20,2.26,2.37,2.25,2.27,5913207.0
2015-08-21,2.34,2.36,2.1,2.15,6210126.0
2015-08-24,2.13,2.24,1.91,1.95,7454047.0
2015-08-25,2.04,2.04,1.85,1.92,4074949.0
2015-08-26,1.91,1.93,1.78,1.81,6080925.0
2015-08-27,1.83,2.01,1.81,1.9,8649767.0
2015-08-28,1.91,2.07,1.91,2.06,5148431.0
2015-08-31,2.03,2.09,1.96,2.06,4120626.0
2015-09-01,2.05,2.16,2.0,2.02,5432175.0
2015-09-02,2.04,2.08,1.96,2.01,3975071.0
2015-09-03,1.98,2.05,1.93,1.93,4859738.0
2015-09-04,1.91,1.98,1.88,1.96,2808856.0
2015-09-08,1.98,2.05,1.96,1.99,3759015.0
2015-09-09,2.0,2.0,1.88,1.89,4319600.0
2015-09-10,1.92,1.94,1.85,1.88,3024859.0
2015-09-11,1.86,1.92,1.77,1.9,4606729.0
2015-09-14,1.9,1.96,1.86,1.91,3597321.0
2015-09-15,1.9,1.96,1.88,1.9,3359173.0
2015-09-16,1.94,2.07,1.93,2.06,5474784.0
2015-09-17,2.05,2.18,2.02,2.14,6426901.0
2015-09-18,2.17,2.26,2.14,2.22,12131599.0
2015-09-21,2.21,2.22,2.06,2.12,6994840.0
2015-09-22,2.07,2.12,2.0,2.0,5059064.0
2015-09-23,2.04,2.07,1.97,2.0,4163418.0
2015-09-24,2.05,2.16,2.03,2.15,4042002.0
2015-09-25,2.11,2.19,2.05,2.06,5266705.0
2015-09-28,2.02,2.04,1.88,1.93,6582664.0
2015-09-29,1.94,2.01,1.87,1.92,5601796.0
2015-09-30,1.95,1.99,1.9,1.97,6284245.0
2015-10-01,2.01,2.05,1.9,1.9,4174601.0
2015-10-02,2.0,2.04,1.94,2.04,9211985.0
2015-10-05,2.05,2.21,2.04,2.21,9892673.0
2015-10-06,2.28,2.33,2.24,2.3,8848715.0
2015-10-07,2.3,2.38,2.23,2.33,9533832.0
2015-10-08,2.29,2.44,2.23,2.31,9419404.0
2015-10-09,2.41,2.53,2.38,2.52,6752343.0
2015-10-12,2.6,2.6,2.36,2.4,6962901.0
2015-10-13,2.4,2.49,2.34,2.38,6156449.0
2015-10-14,2.42,2.61,2.41,2.55,10161328.0
2015-10-15,2.51,2.64,2.45,2.63,8210566.0
2015-10-16,2.61,2.64,2.5,2.53,7047701.0
2015-10-19,2.49,2.53,2.3,2.31,7140944.0
2015-10-20,2.35,2.44,2.32,2.41,7402257.0
2015-10-21,2.38,2.39,2.26,2.27,5827028.0
2015-10-22,2.27,2.36,2.26,2.32,6917129.0
2015-10-23,2.35,2.46,2.28,2.41,7850385.0
2015-10-26,2.43,2.44,2.26,2.29,6397437.0
2015-10-27,2.28,2.32,2.21,2.25,6596096.0
2015-10-28,2.28,2.35,2.17,2.23,8075179.0
2015-10-29,2.2,2.23,2.09,2.11,6330717.0
2015-10-30,2.12,2.15,2.06,2.07,5461636.0
2015-11-02,2.06,2.18,2.02,2.13,5696788.0
2015-11-03,2.11,2.18,2.06,2.13,3516366.0
2015-11-04,2.19,2.27,2.11,2.19,5643451.0
2015-11-05,2.18,2.2,2.09,2.11,5511853.0
2015-11-06,2.04,2.05,1.91,1.91,11057347.0
2015-11-09,1.95,1.95,1.85,1.93,8521613.0
2015-11-10,1.94,1.94,1.87,1.9,4571199.0
2015-11-11,1.9,1.93,1.87,1.88,4102807.0
2015-11-12,1.87,1.93,1.85,1.87,4011298.0
2015-11-13,1.85,1.93,1.85,1.89,3696172.0
2015-11-16,1.92,1.99,1.91,1.97,4554954.0
2015-11-17,1.94,1.97,1.83,1.83,6932703.0
2015-11-18,1.83,1.92,1.78,1.91,5469638.0
2015-11-19,1.92,1.99,1.89,1.97,5490834.0
2015-11-20,1.99,2.0,1.86,1.86,5568039.0
2015-11-23,1.85,1.89,1.83,1.86,3870360.0
2015-11-24,1.91,1.98,1.87,1.96,5636238.0
2015-11-25,1.94,2.02,1.91,1.98,4947322.0
2015-11-27,1.93,1.96,1.88,1.91,1857539.0
2015-11-30,1.93,2.0,1.9,1.93,4841723.0
2015-12-01,1.96,2.02,1.92,2.0,6518401.0
2015-12-02,1.98,2.0,1.92,1.94,5460920.0
2015-12-03,1.93,2.0,1.91,1.97,4848511.0
2015-12-04,2.0,2.08,1.99,2.08,6501745.0
