Date,open,high,low,close,volume
2015-04-27,33.39,33.39,33.0,33.07,8378019.0
2015-04-28,33.19,33.24,32.73,33.24,8879208.0
2015-04-29,33.14,33.56,32.89,33.32,8580931.0
2015-04-30,33.31,33.46,32.83,32.97,10413211.0
2015-05-01,33.2,33.93,33.2,33.8,8423765.0
2015-05-04,33.8,33.89,33.58,33.65,5043373.0
2015-05-05,33.44,33.67,32.93,33.16,8700482.0
2015-05-06,33.19,33.38,32.25,32.5,8441196.0
2015-05-07,32.45,32.99,32.27,32.82,7738361.0
2015-05-08,33.18,33.5,32.96,33.41,7546186.0
2015-05-11,33.4,33.82,33.33,33.7,9959547.0
2015-05-12,33.32,33.37,32.9,32.92,9013352.0
2015-05-13,33.01,33.48,32.97,33.3,6086416.0
2015-05-14,33.51,33.73,33.4,33.7,6095642.0
2015-05-15,33.6,33.73,33.29,33.6,9688138.0
2015-05-18,33.49,33.52,33.01,33.25,8715717.0
2015-05-19,33.24,33.49,33.2,33.4,7672471.0
2015-05-20,33.41,33.45,32.77,33.07,11999014.0
2015-05-21,33.1,33.94,33.02,33.83,12943669.0
2015-05-22,34.27,35.6,34.26,34.76,28531425.0
2015-05-26,34.47,34.62,33.26,33.38,16832619.0
2015-05-27,33.63,33.82,33.22,33.78,13758243.0
2015-05-28,33.71,33.91,33.47,33.65,6852197.0
2015-05-29,33.62,33.7,33.26,33.4,12242180.0
2015-06-01,33.41,33.99,33.31,33.76,9245125.0
2015-06-02,33.66,34.28,33.33,33.88,9811391.0
2015-06-03,34.01,34.26,33.85,33.96,10515954.0
2015-06-04,33.54,33.83,33.18,33.3,10962226.0
2015-06-05,33.33,33.44,32.81,32.92,12096029.0
2015-06-08,32.77,32.93,32.4,32.69,9474376.0
2015-06-09,32.66,32.85,32.29,32.58,8149746.0
2015-06-10,32.66,33.15,32.66,32.91,6640927.0
2015-06-11,32.94,33.1,32.47,32.52,8793283.0
2015-06-12,32.48,32.68,32.2,32.41,5178797.0
