Date,open,high,low,close,volume
2015-04-27,505.92,511.81,499.75,500.52,308763.0
2015-04-28,501.0,508.36,493.93,504.94,344287.0
2015-04-29,504.94,505.33,495.0,499.53,248460.0
2015-04-30,498.89,499.12,491.49,495.98,322100.0
2015-05-01,494.51,499.4,492.83,497.71,280815.0
2015-05-04,500.0,501.57,493.0,498.36,270863.0
2015-05-05,495.53,498.36,492.25,492.96,266768.0
2015-05-06,494.35,496.75,482.87,488.71,416015.0
2015-05-07,489.13,495.37,485.52,489.13,295431.0
2015-05-08,493.46,495.35,488.95,494.08,247159.0
2015-05-11,493.82,498.31,489.03,496.37,290799.0
2015-05-12,493.0,499.15,490.46,494.84,337509.0
2015-05-13,494.09,500.42,493.13,498.45,286030.0
2015-05-14,500.74,505.95,495.81,502.35,300219.0
2015-05-15,504.86,504.86,499.42,503.66,199475.0
2015-05-18,502.65,504.4,500.1,502.65,231464.0
2015-05-19,503.32,503.99,499.63,502.86,151694.0
2015-05-20,504.0,504.06,491.17,492.37,355650.0
2015-05-21,490.98,497.4,490.75,494.95,203732.0
2015-05-22,494.79,497.97,492.65,495.27,204547.0
2015-05-26,494.0,494.23,486.45,487.17,227055.0
2015-05-27,487.16,494.04,485.5,493.66,304173.0
2015-05-28,491.52,492.99,484.41,485.8,291039.0
2015-05-29,486.06,493.0,483.34,487.81,420236.0
2015-06-01,491.36,509.58,489.34,502.18,568153.0
2015-06-02,500.54,500.94,496.0,499.13,237135.0
2015-06-03,498.94,502.38,495.88,501.06,140272.0
2015-06-04,498.73,499.6,493.72,496.24,149519.0
2015-06-05,497.34,498.34,491.11,495.08,117336.0
2015-06-08,495.93,498.62,489.96,490.56,157881.0
2015-06-09,489.44,498.72,487.43,497.22,277184.0
2015-06-10,497.75,507.94,494.5,504.23,364619.0
2015-06-11,502.39,508.78,497.41,498.22,288421.0
2015-06-12,495.55,497.89,491.44,495.66,270268.0
2015-06-15,493.28,495.58,487.03,491.68,188887.0
2015-06-16,492.49,495.7,490.26,490.83,159589.0
2015-06-17,491.97,497.64,487.0,488.83,318382.0
2015-06-18,491.32,497.38,489.67,495.78,230449.0
2015-06-19,495.73,498.73,492.96,494.56,339241.0
2015-06-22,497.75,501.83,494.65,499.45,189480.0
2015-06-23,498.57,503.35,496.0,496.62,176544.0
2015-06-24,497.67,499.94,492.34,492.45,122236.0
2015-06-25,493.15,505.0,493.15,494.86,258267.0
2015-06-26,497.43,503.23,495.36,497.17,276096.0
2015-06-29,491.91,495.2,483.28,484.04,193085.0
2015-06-30,488.42,488.42,480.09,484.26,319790.0
2015-07-01,487.43,490.25,482.78,485.88,277273.0
2015-07-02,487.86,488.24,482.1,486.09,217073.0
2015-07-06,477.63,482.61,470.79,478.15,469166.0
2015-07-07,480.44,481.94,471.13,481.8,183354.0
2015-07-08,480.36,484.22,474.72,478.65,203101.0
2015-07-09,484.89,486.56,479.57,481.47,134058.0
2015-07-10,486.5,489.18,484.0,487.78,121138.0
2015-07-13,481.05,499.08,481.05,497.44,219975.0
2015-07-14,499.0,499.4,488.65,492.17,323648.0
2015-07-15,493.41,496.16,488.96,490.48,322525.0
2015-07-16,492.81,494.36,488.76,490.26,219660.0
2015-07-17,489.91,491.8,486.84,489.81,295402.0
2015-07-20,489.41,498.98,487.43,497.61,218874.0
2015-07-21,497.69,507.69,495.96,505.09,373112.0
2015-07-22,561.0,564.85,547.38,549.88,1291807.0
2015-07-23,549.99,560.57,545.56,557.2,494433.0
2015-07-24,529.09,552.6,523.54,546.23,679106.0
2015-07-27,539.25,545.5,537.8,544.0,467899.0
2015-07-28,541.3,543.5,538.0,540.28,354123.0
2015-07-29,538.6,544.36,535.82,539.95,181614.0
2015-07-30,540.11,541.72,536.14,539.62,180137.0
2015-07-31,540.08,540.08,531.99,533.0,239913.0
2015-08-03,531.66,533.49,521.15,526.5,326632.0
2015-08-04,524.16,528.97,522.16,526.76,181442.0
2015-08-05,529.35,534.45,529.35,531.09,185270.0
2015-08-06,529.66,532.52,523.5,524.07,174592.0
2015-08-07,524.14,533.99,521.13,533.6,240828.0
2015-08-10,533.95,534.0,529.08,532.26,284171.0
2015-08-11,532.0,534.0,525.92,529.91,185849.0
2015-08-12,527.91,530.41,525.0,529.28,285801.0
2015-08-13,528.82,531.59,525.8,527.87,173081.0
2015-08-14,528.3,530.35,525.32,529.87,123129.0
2015-08-17,527.92,533.7,523.01,533.11,154079.0
2015-08-18,534.26,534.26,528.53,529.7,145483.0
2015-08-19,530.7,530.7,522.84,526.62,272559.0
2015-08-20,522.08,524.58,513.83,514.22,233012.0
2015-08-21,509.64,514.05,502.83,506.54,347849.0
2015-08-24,481.63,500.11,475.03,490.81,491016.0
2015-08-25,500.0,509.91,493.0,494.46,489578.0
2015-08-26,506.19,508.79,495.96,508.45,322399.0
2015-08-27,512.7,515.69,509.69,515.57,242562.0
2015-08-28,512.39,516.49,510.79,514.24,135721.0
2015-08-31,512.18,517.7,510.45,510.76,227635.0
2015-09-01,501.99,508.95,498.0,503.5,397030.0
2015-09-02,508.59,511.13,503.83,511.13,228979.0
2015-09-03,511.84,521.63,510.03,513.75,253304.0
2015-09-04,507.99,511.57,506.24,508.4,209101.0
2015-09-08,515.35,521.42,513.12,520.68,248128.0
2015-09-09,523.15,523.69,508.55,509.97,286321.0
2015-09-10,509.28,517.0,501.01,511.54,184121.0
2015-09-11,510.41,517.91,506.94,515.26,202991.0
2015-09-14,515.7,515.7,507.39,510.58,178412.0
