Date,open,high,low,close,volume
2015-04-27,62.7,63.15,62.31,62.34,11118042.0
2015-04-28,62.49,62.78,61.77,62.76,12260004.0
2015-04-29,62.56,63.89,62.46,63.6,17468637.0
2015-04-30,63.58,63.88,62.92,63.26,16656666.0
2015-05-01,63.7,63.87,63.33,63.61,11637718.0
2015-05-04,63.68,64.87,63.64,64.72,14902956.0
2015-05-05,64.51,65.32,64.29,64.4,17564232.0
2015-05-06,64.53,65.07,63.42,63.92,17811034.0
2015-05-07,63.67,64.59,63.25,64.5,14987286.0
2015-05-08,64.97,65.65,64.6,65.49,16032780.0
2015-05-11,65.26,65.64,65.07,65.45,13757957.0
2015-05-12,65.31,65.54,64.76,65.36,12716987.0
2015-05-13,65.42,65.63,65.06,65.52,11870197.0
2015-05-14,65.83,66.18,65.71,66.05,11816259.0
2015-05-15,66.13,66.16,65.43,65.88,11047516.0
2015-05-18,65.8,66.54,65.8,66.42,10412096.0
2015-05-19,66.77,67.19,66.57,67.01,14177415.0
2015-05-20,66.95,67.03,66.4,66.48,11682921.0
2015-05-21,66.14,66.68,66.01,66.65,12817466.0
2015-05-22,66.63,66.83,66.32,66.47,9292582.0
2015-05-26,66.2,66.29,65.31,65.73,15458138.0
2015-05-27,65.95,66.65,65.82,66.47,10877120.0
2015-05-28,66.36,66.4,65.74,66.2,11792255.0
2015-05-29,66.18,66.22,65.36,65.78,14240664.0
2015-06-01,65.99,66.66,65.97,66.08,11895338.0
2015-06-02,65.83,66.39,65.58,66.02,12721547.0
2015-06-03,66.43,67.13,66.27,66.7,12832453.0
2015-06-04,66.31,67.05,66.01,66.33,13711077.0
2015-06-05,67.37,67.84,67.01,67.42,20701016.0
2015-06-08,67.46,67.55,66.81,66.89,14486237.0
2015-06-09,66.95,67.27,66.47,67.18,13107183.0
2015-06-10,67.59,68.49,67.47,68.26,17408037.0
2015-06-11,68.36,68.68,68.15,68.52,13730448.0
2015-06-12,68.31,68.54,67.87,68.25,11565184.0
2015-06-15,67.58,68.21,67.3,67.99,14063782.0
2015-06-16,67.77,68.52,67.62,68.37,11646414.0
2015-06-17,68.41,68.68,68.03,68.14,14498259.0
2015-06-18,68.35,68.82,67.9,68.78,16709666.0
2015-06-19,68.46,68.67,67.92,68.08,18775133.0
2015-06-22,68.87,69.29,68.75,68.96,13871577.0
2015-06-23,69.35,69.82,69.19,69.75,15639441.0
2015-06-24,69.51,69.77,68.91,69.02,14480695.0
2015-06-25,69.32,69.47,68.63,68.65,13245917.0
2015-06-26,68.94,69.29,68.76,68.95,13678259.0
2015-06-29,67.68,68.26,67.16,67.2,19706950.0
2015-06-30,67.89,68.11,67.16,67.76,20531873.0
2015-07-01,68.12,68.39,67.78,68.07,13949278.0
2015-07-02,67.95,68.13,67.18,67.52,12416911.0
2015-07-06,66.88,67.46,66.54,67.33,13453954.0
2015-07-07,67.09,67.22,65.3,66.8,22399432.0
2015-07-08,66.0,66.16,65.2,65.43,17491936.0
2015-07-09,66.49,66.7,65.99,66.11,14915207.0
2015-07-10,67.22,67.4,66.82,67.05,12222367.0
2015-07-13,67.89,68.14,67.68,68.09,16080979.0
2015-07-14,67.98,69.1,67.76,69.04,20164959.0
2015-07-15,69.23,69.43,68.85,69.19,16867856.0
2015-07-16,69.63,69.95,69.41,69.56,18011091.0
2015-07-17,69.35,69.49,68.92,69.21,13996516.0
2015-07-20,69.5,69.76,69.18,69.26,11413522.0
2015-07-21,69.16,69.54,68.87,69.1,11529756.0
2015-07-22,69.28,70.29,69.2,70.08,15442398.0
2015-07-23,70.19,70.61,69.46,69.64,14142906.0
2015-07-24,69.44,69.56,68.68,68.91,12397825.0
2015-07-27,68.15,68.22,67.57,68.01,16767585.0
2015-07-28,68.55,68.6,67.77,68.05,14878259.0
2015-07-29,68.32,69.1,68.16,68.94,13003714.0
2015-07-30,68.93,69.45,68.54,69.04,10116123.0
2015-07-31,69.01,69.04,68.4,68.53,11710820.0
2015-08-03,68.59,68.84,68.0,68.53,9909169.0
2015-08-04,68.47,68.95,68.31,68.46,10937076.0
2015-08-05,69.05,69.42,68.56,68.73,11152342.0
2015-08-06,68.75,68.94,68.0,68.25,10756598.0
2015-08-07,68.33,68.74,67.55,68.05,11430441.0
2015-08-10,68.22,69.0,68.22,68.89,12534725.0
2015-08-11,68.23,68.4,67.85,68.23,14722388.0
2015-08-12,67.41,67.55,66.07,67.24,21068726.0
2015-08-13,67.25,67.8,66.97,67.55,11878774.0
2015-08-14,67.42,67.91,67.4,67.89,11216934.0
2015-08-17,67.62,68.24,67.4,68.07,10309434.0
2015-08-18,67.98,68.36,67.84,68.21,10606191.0
2015-08-19,67.93,68.31,67.36,67.6,15166903.0
2015-08-20,66.81,67.04,65.94,65.94,20848956.0
2015-08-21,65.09,65.44,63.57,63.6,27837445.0
2015-08-24,59.29,62.92,50.07,60.25,35961708.0
2015-08-25,63.1,63.32,59.73,59.91,31548955.0
2015-08-26,61.8,62.98,60.54,62.91,33237508.0
2015-08-27,63.98,64.73,63.13,64.48,28837697.0
2015-08-28,64.29,64.46,63.6,64.13,16576865.0
2015-08-31,63.61,64.35,63.47,64.1,14087153.0
2015-09-01,62.85,62.85,60.99,61.45,23563918.0
2015-09-02,62.62,62.91,61.54,62.57,17631475.0
2015-09-03,62.88,63.66,62.45,62.68,16937171.0
2015-09-04,61.8,61.92,60.75,61.5,20115917.0
2015-09-08,62.77,63.2,62.33,63.16,13111696.0
2015-09-09,63.94,64.34,62.0,62.18,13718590.0
2015-09-10,61.86,62.99,61.45,62.66,15648201.0
2015-09-11,62.38,62.66,61.98,62.56,12716162.0
2015-09-14,62.64,62.68,62.12,62.38,10176879.0
2015-09-15,62.76,63.89,62.51,63.58,13897106.0
2015-09-16,63.89,64.29,63.21,64.14,12216035.0
2015-09-17,64.14,64.64,62.39,62.65,20816360.0
2015-09-18,61.83,61.83,60.78,60.94,30758788.0
2015-09-21,61.52,61.91,61.08,61.45,13094804.0
2015-09-22,60.6,61.08,60.42,60.91,14662839.0
2015-09-23,60.8,61.15,60.32,60.64,11626386.0
2015-09-24,60.01,60.38,59.46,60.22,16851230.0
2015-09-25,61.27,61.86,60.87,61.47,18269623.0
2015-09-28,60.92,61.01,59.69,59.98,16825220.0
2015-09-29,59.98,60.13,58.73,59.84,19257274.0
2015-09-30,60.7,61.0,60.11,60.97,18638762.0
2015-10-01,61.12,61.87,60.54,61.42,16776708.0
2015-10-02,59.59,60.86,58.53,60.81,20377651.0
2015-10-05,61.24,62.24,61.22,62.02,13394129.0
2015-10-06,62.11,62.36,61.61,62.05,12014727.0
2015-10-07,62.55,63.03,61.75,62.13,12773057.0
2015-10-08,61.85,62.25,61.43,62.13,13883954.0
2015-10-09,62.39,62.54,61.57,61.93,12035422.0
2015-10-12,61.84,62.01,61.39,61.72,10779940.0
2015-10-13,61.39,62.16,61.31,61.55,14730605.0
2015-10-14,60.76,60.97,59.54,59.99,28919452.0
2015-10-15,60.47,61.96,60.1,61.89,18069829.0
2015-10-16,62.43,62.65,62.09,62.43,17430089.0
2015-10-19,62.0,62.76,61.91,62.22,14479153.0
2015-10-20,62.36,62.81,62.08,62.52,11487734.0
2015-10-21,62.88,62.96,62.05,62.06,12113355.0
2015-10-22,62.42,63.58,62.42,63.19,15235926.0
2015-10-23,63.63,64.18,63.5,63.87,16942186.0
2015-10-26,63.84,63.99,63.41,63.9,13858411.0
2015-10-27,63.53,63.86,63.31,63.64,8766811.0
2015-10-28,63.7,65.74,63.69,65.5,17923080.0
2015-10-29,65.26,65.83,64.88,65.21,12686432.0
2015-10-30,65.3,65.34,64.13,64.25,15546241.0
2015-11-02,64.45,65.75,64.39,65.54,15218959.0
2015-11-03,65.29,66.1,65.17,65.78,11497853.0
2015-11-04,66.01,66.15,65.63,65.85,11374738.0
2015-11-05,65.79,66.67,65.75,66.44,12570200.0
2015-11-06,68.37,69.03,68.1,68.46,23179932.0
2015-11-09,68.7,68.72,67.08,67.39,17128557.0
