Date,open,high,low,close,volume
2015-04-27,195.64,196.58,193.53,193.84,1377700.0
2015-04-28,193.75,194.27,191.58,194.02,1088905.0
2015-04-29,193.38,194.07,190.93,191.29,1425529.0
2015-04-30,190.97,191.46,185.65,186.6,2230328.0
2015-05-01,186.8,189.15,186.8,189.0,1195714.0
2015-05-04,189.2,190.85,189.15,189.69,912189.0
2015-05-05,189.25,189.9,187.11,187.35,991354.0
2015-05-06,188.51,189.07,185.91,186.83,1191263.0
2015-05-07,186.65,188.95,186.34,188.21,1039932.0
2015-05-08,189.96,191.03,189.48,190.48,950452.0
2015-05-11,189.81,191.18,189.54,190.47,831922.0
2015-05-12,189.22,191.31,188.55,190.61,941806.0
2015-05-13,190.97,191.99,190.81,191.0,980927.0
2015-05-14,191.62,193.34,191.46,193.05,1004511.0
2015-05-15,193.03,193.81,192.1,192.36,1354694.0
2015-05-18,192.45,193.63,192.36,193.08,822104.0
2015-05-19,193.02,194.31,192.91,193.38,772069.0
2015-05-20,193.9,193.9,192.46,193.25,826502.0
2015-05-21,193.57,193.94,192.52,193.11,769663.0
2015-05-22,193.26,193.36,192.16,192.86,994919.0
2015-05-26,192.68,192.68,190.14,190.51,1346586.0
2015-05-27,190.45,191.59,190.04,191.35,1192753.0
2015-05-28,189.41,190.76,188.93,190.12,1468853.0
2015-05-29,189.93,190.1,187.62,188.2,1502900.0
2015-06-01,189.48,192.25,188.37,191.07,1989602.0
2015-06-02,190.61,191.29,188.8,190.77,1464510.0
2015-06-03,191.42,192.33,190.79,191.89,1340258.0
2015-06-04,190.76,192.29,189.99,190.17,1851271.0
2015-06-05,189.41,189.77,188.43,189.33,1389115.0
2015-06-08,189.34,190.83,189.06,189.37,955299.0
2015-06-09,190.43,190.54,189.3,189.35,1033194.0
2015-06-10,189.35,190.65,188.84,189.28,1716115.0
2015-06-11,189.42,191.54,189.42,191.48,1324389.0
2015-06-12,190.59,191.53,190.22,190.98,1108527.0
2015-06-15,190.0,190.58,189.01,189.92,702338.0
2015-06-16,189.26,191.14,188.89,190.82,853793.0
2015-06-17,191.36,191.78,189.72,191.02,861378.0
2015-06-18,191.5,194.49,191.38,192.75,1156522.0
2015-06-19,192.69,192.69,190.99,191.14,1219240.0
2015-06-22,191.95,192.98,191.66,192.08,716791.0
2015-06-23,192.43,192.95,190.88,191.64,572877.0
2015-06-24,191.22,191.79,190.12,190.17,855692.0
