Date,open,high,low,close,volume
2015-04-27,73.57,73.57,71.79,71.84,5626602.0
2015-04-28,71.6,72.28,71.05,71.74,4159514.0
2015-04-29,71.53,71.58,69.91,70.44,4505228.0
2015-04-30,70.37,70.89,68.6,68.86,10068799.0
2015-05-01,67.67,70.77,67.6,70.7,9925704.0
2015-05-04,70.89,71.41,70.57,71.25,4888316.0
2015-05-05,71.16,71.41,70.37,70.43,4006330.0
2015-05-06,70.43,70.87,69.94,70.77,4354369.0
2015-05-07,70.88,72.68,70.87,72.29,5515527.0
2015-05-08,73.05,73.93,72.99,73.26,4165395.0
2015-05-11,73.03,73.93,72.96,73.22,3937738.0
2015-05-12,73.35,73.93,72.94,73.67,3845907.0
2015-05-13,73.88,73.88,73.0,73.11,3291097.0
2015-05-14,73.24,73.44,72.02,72.26,5762948.0
2015-05-15,72.44,73.11,72.04,73.09,4778961.0
2015-05-18,73.22,73.27,72.62,73.06,4978132.0
2015-05-19,73.68,73.75,71.8,71.83,8713204.0
2015-05-20,68.66,69.65,68.11,68.5,16004957.0
2015-05-21,68.5,69.88,68.25,68.72,8736200.0
2015-05-22,68.86,69.84,68.62,69.54,4856408.0
2015-05-26,69.52,69.96,69.19,69.58,6770135.0
2015-05-27,69.94,71.17,69.84,70.72,5253408.0
2015-05-28,70.49,70.88,70.33,70.45,2810419.0
2015-05-29,70.22,70.73,69.78,69.98,4077768.0
2015-06-01,69.96,70.39,69.7,70.14,4137613.0
2015-06-02,69.86,70.69,69.77,70.15,4807632.0
2015-06-03,70.19,71.08,70.15,70.65,3433141.0
2015-06-04,70.04,70.78,69.8,70.14,4542904.0
2015-06-05,70.05,70.25,69.72,69.79,4286206.0
2015-06-08,69.7,69.94,68.68,68.68,4431824.0
2015-06-09,68.79,69.03,67.77,68.53,5196848.0
2015-06-10,68.74,69.28,68.35,69.17,4768631.0
2015-06-11,69.33,70.15,68.93,69.04,3573937.0
2015-06-12,68.75,69.64,68.73,69.03,4345629.0
2015-06-15,68.86,69.19,68.48,69.11,4945799.0
2015-06-16,68.87,69.59,68.83,69.4,3425965.0
2015-06-17,69.4,69.96,69.13,69.67,3378337.0
2015-06-18,69.76,70.7,69.76,70.15,4459798.0
2015-06-19,69.93,70.48,69.71,69.99,11791273.0
2015-06-22,70.49,70.74,70.05,70.29,4038793.0
2015-06-23,70.93,70.96,70.3,70.6,3614662.0
2015-06-24,70.55,70.99,70.06,70.08,3536596.0
2015-06-25,70.45,70.85,69.63,69.66,3398368.0
2015-06-26,69.5,69.73,68.48,68.61,9197548.0
2015-06-29,68.3,69.09,67.5,67.53,5303336.0
2015-06-30,68.19,68.2,66.69,66.97,10150921.0
2015-07-01,67.45,67.79,66.95,67.24,5782918.0
2015-07-02,67.45,67.77,66.41,66.7,6050702.0
2015-07-06,66.33,66.8,65.98,66.25,10274095.0
2015-07-07,66.46,67.43,65.83,67.37,8435120.0
2015-07-08,66.59,67.41,66.48,66.53,4929574.0
2015-07-09,67.3,67.52,66.85,67.02,3760702.0
2015-07-10,67.46,68.27,67.22,67.85,4157893.0
2015-07-13,68.4,68.65,68.05,68.3,4074630.0
2015-07-14,68.0,68.4,67.57,68.39,4973965.0
2015-07-15,68.16,68.67,67.93,68.27,3531294.0
2015-07-16,67.95,68.53,67.34,68.23,5652906.0
