Date,open,high,low,close,volume
2016-02-02,38.49,38.49,37.42,37.57,3637628.0
2016-02-03,37.78,38.17,36.99,38.11,1122368.0
2016-02-04,37.98,38.33,37.57,37.74,536667.0
2016-02-05,37.93,37.93,37.18,37.37,445783.0
2016-02-08,36.8,36.86,36.09,36.58,1002537.0
2016-02-09,36.0,36.53,35.8,36.05,1827029.0
2016-02-10,36.52,37.11,36.31,36.34,885628.0
2016-02-11,35.39,35.98,35.27,35.7,774257.0
2016-02-12,36.0,36.59,35.93,36.56,540478.0
2016-02-16,37.7,38.06,37.68,38.03,1242718.0
2016-02-17,38.25,38.76,38.22,38.66,405535.0
2016-02-18,38.95,38.99,38.24,38.3,981813.0
2016-02-19,38.41,38.74,38.28,38.54,301727.0
2016-02-22,39.18,39.61,39.17,39.55,371744.0
2016-02-23,39.05,39.14,38.48,38.49,553004.0
2016-02-24,37.9,38.69,37.55,38.55,1156528.0
2016-02-25,37.91,38.4,37.63,38.39,1956604.0
2016-02-26,38.81,38.93,38.42,38.43,576746.0
2016-02-29,38.43,38.8,38.33,38.35,1134949.0
2016-03-01,39.06,39.78,39.02,39.68,906429.0
2016-03-02,39.98,40.38,39.88,40.34,1625515.0
2016-03-03,39.95,40.38,39.91,40.32,689541.0
2016-03-04,40.83,41.61,40.61,41.41,2238144.0
2016-03-07,40.88,41.21,40.69,40.99,949606.0
2016-03-08,40.53,40.53,40.01,40.08,906519.0
2016-03-09,40.32,40.46,40.11,40.23,857012.0
2016-03-10,40.35,40.5,39.47,39.91,1079850.0
2016-03-11,40.79,41.32,40.74,41.31,669698.0
2016-03-14,41.2,41.51,41.19,41.33,501040.0
2016-03-15,40.9,41.09,40.64,41.04,414723.0
2016-03-16,40.63,41.59,40.51,41.49,583646.0
2016-03-17,41.4,41.89,41.27,41.76,613308.0
2016-03-18,42.15,42.44,42.12,42.15,1077267.0
2016-03-21,42.4,42.56,42.24,42.38,709808.0
2016-03-22,42.03,42.29,41.91,42.08,609294.0
2016-03-23,41.98,41.99,41.4,41.44,748776.0
2016-03-24,41.04,41.25,40.77,41.24,2437662.0
2016-03-28,41.26,41.59,41.2,41.55,503868.0
2016-03-29,41.23,42.1,41.14,42.06,471251.0
2016-03-30,42.64,42.92,42.53,42.57,1026510.0
2016-03-31,42.56,42.8,42.41,42.51,1044235.0
2016-04-01,41.66,42.5,41.47,42.36,688527.0
2016-04-04,42.37,42.46,41.81,41.87,556885.0
2016-04-05,41.37,41.45,40.95,41.0,531684.0
2016-04-06,41.18,41.91,41.12,41.9,689446.0
2016-04-07,41.5,41.55,40.98,41.19,561874.0
2016-04-08,41.91,42.01,41.49,41.57,1207932.0
2016-04-11,42.21,42.5,42.02,42.03,669838.0
2016-04-12,42.31,42.85,42.03,42.62,526236.0
2016-04-13,43.82,44.15,43.82,44.1,1095039.0
2016-04-14,43.98,44.14,43.88,44.03,953386.0
2016-04-15,43.79,43.8,43.43,43.47,1135890.0
2016-04-18,43.48,43.99,43.33,43.79,620326.0
2016-04-19,43.94,44.28,43.84,44.24,940890.0
2016-04-20,43.46,44.06,43.38,43.8,1775620.0
2016-04-21,43.87,43.87,43.37,43.47,693321.0
2016-04-22,43.45,43.7,43.12,43.28,699810.0
2016-04-25,42.96,43.03,42.71,42.93,733632.0
2016-04-26,42.95,43.09,42.78,43.02,731513.0
2016-04-27,42.73,43.36,42.71,43.19,861444.0
2016-04-28,42.9,43.25,42.74,42.8,845608.0
2016-04-29,42.38,42.55,41.98,42.27,1040491.0
2016-05-02,42.39,42.39,41.92,42.1,1091784.0
2016-05-03,41.56,41.56,41.07,41.12,1766092.0
2016-05-04,40.96,41.06,40.53,40.68,1556125.0
2016-05-05,41.05,41.21,40.69,40.81,815384.0
2016-05-06,40.44,40.82,40.37,40.64,1082999.0
2016-05-09,40.37,40.49,39.95,39.99,1288977.0
2016-05-10,40.28,40.74,40.28,40.68,1134662.0
2016-05-11,40.36,40.54,40.2,40.2,996054.0
2016-05-12,40.41,40.5,39.92,40.01,701675.0
2016-05-13,39.81,39.94,39.24,39.39,1051815.0
2016-05-16,40.0,40.52,39.97,40.37,2325146.0
2016-05-17,40.3,40.5,40.07,40.22,468020.0
2016-05-18,40.0,40.42,39.67,39.87,1158773.0
2016-05-19,39.64,39.74,39.27,39.52,4890727.0
2016-05-20,39.93,40.15,39.89,40.0,2281790.0
2016-05-23,39.93,40.15,39.88,39.95,1368278.0
2016-05-24,40.22,40.85,40.19,40.7,876210.0
2016-05-25,40.96,41.27,40.96,41.1,1146495.0
2016-05-26,41.05,41.14,40.92,41.12,796055.0
2016-05-27,41.47,41.62,41.27,41.51,1114496.0
2016-05-31,41.93,42.42,41.79,42.25,3497376.0
2016-06-01,41.92,42.01,41.69,41.78,1348400.0
2016-06-02,41.8,42.19,41.73,42.13,754645.0
2016-06-03,42.11,42.22,41.79,42.12,1484914.0
2016-06-06,42.41,42.81,42.33,42.69,838162.0
2016-06-07,43.03,43.19,42.94,42.99,1980130.0
2016-06-08,42.97,43.08,42.79,42.89,1594737.0
2016-06-09,42.46,42.71,42.4,42.63,1008304.0
2016-06-10,41.68,41.82,41.41,41.57,1139080.0
2016-06-13,40.84,41.27,40.75,40.81,1081034.0
2016-06-14,40.84,41.08,40.5,40.94,1662472.0
2016-06-15,41.23,41.5,41.08,41.15,1211885.0
2016-06-16,40.5,41.17,40.17,41.1,1182946.0
2016-06-17,40.89,40.89,40.52,40.78,933008.0
2016-06-20,41.44,41.77,41.41,41.44,1054868.0
2016-06-21,41.73,41.89,41.5,41.78,1156269.0
2016-06-22,41.85,42.07,41.65,41.67,1947455.0
2016-06-23,42.27,42.64,42.17,42.61,1335211.0
2016-06-24,40.4,41.4,40.21,40.38,2189383.0
2016-06-27,40.36,40.36,40.05,40.05,42240.0
2016-06-28,40.79,41.09,40.58,40.99,3098053.0
2016-06-29,41.65,41.86,41.65,41.77,1513469.0
2016-06-30,42.02,42.64,41.96,42.39,918597.0
2016-07-01,42.55,42.87,42.38,42.7,707961.0
2016-07-05,41.99,42.08,41.67,41.84,961758.0
2016-07-06,41.29,41.8,41.12,41.78,1439724.0
2016-07-07,41.85,42.06,41.51,41.7,1241095.0
2016-07-08,42.02,42.42,41.9,42.34,1191789.0
2016-07-11,42.48,43.09,42.48,42.92,776945.0
2016-07-12,43.4,43.71,43.4,43.56,1334930.0
2016-07-13,43.42,43.43,43.09,43.31,1170348.0
2016-07-14,43.73,44.01,43.68,43.93,1314316.0
2016-07-15,44.02,44.02,43.69,43.83,875120.0
2016-07-18,43.73,44.24,43.63,44.23,622720.0
2016-07-19,43.73,43.82,43.45,43.55,893637.0
2016-07-20,43.96,44.13,43.88,44.1,349794.0
2016-07-21,44.07,44.26,43.89,44.02,1066215.0
2016-07-22,44.1,44.29,44.06,44.29,365082.0
2016-07-25,44.2,44.2,43.86,43.96,486233.0
2016-07-26,44.17,44.47,44.15,44.47,358222.0
2016-07-27,44.36,44.47,44.01,44.36,876188.0
2016-07-28,44.28,44.28,44.06,44.22,505795.0
2016-07-29,43.85,44.14,43.67,44.02,757258.0
2016-08-01,44.11,44.28,43.93,44.04,883114.0
2016-08-02,43.83,43.98,43.5,43.83,1323643.0
2016-08-03,43.62,43.96,43.57,43.91,977756.0
2016-08-04,44.0,44.22,43.88,44.05,576479.0
2016-08-05,44.37,44.75,44.37,44.75,574328.0
2016-08-08,44.95,45.1,44.93,45.02,773828.0
2016-08-09,45.26,45.46,45.19,45.3,182337.0
2016-08-10,45.37,45.48,45.15,45.23,1410340.0
2016-08-11,45.92,46.26,45.89,46.18,1493484.0
2016-08-12,46.12,46.59,46.12,46.56,964877.0
2016-08-15,47.1,47.4,47.01,47.38,2051008.0
2016-08-16,47.41,47.41,47.03,47.25,1603184.0
2016-08-17,47.04,47.22,46.72,47.17,3051872.0
2016-08-18,47.36,47.52,47.27,47.46,1393823.0
2016-08-19,47.3,47.41,47.07,47.37,1137722.0
2016-08-22,47.21,47.21,46.82,46.94,1567192.0
2016-08-23,47.17,47.35,46.85,46.85,1044949.0
2016-08-24,46.87,46.87,46.53,46.64,1536348.0
2016-08-25,46.44,46.75,46.44,46.63,825512.0
2016-08-26,46.75,47.29,46.22,46.58,1490975.0
2016-08-29,46.78,47.01,46.66,46.84,1092245.0
2016-08-30,47.12,47.42,47.11,47.23,479685.0
2016-08-31,46.93,46.93,46.5,46.76,1527766.0
2016-09-01,47.0,47.23,46.87,47.1,764611.0
2016-09-02,47.76,48.1,47.73,47.92,2021233.0
2016-09-06,48.69,49.15,48.69,49.13,2879207.0
2016-09-07,49.05,49.05,48.81,48.91,1829629.0
2016-09-08,49.07,49.43,49.03,49.26,1529802.0
2016-09-09,48.94,48.94,47.98,48.03,1463784.0
2016-09-12,47.21,48.46,47.14,48.36,1445041.0
2016-09-13,47.53,47.74,46.9,47.43,3391199.0
2016-09-14,47.7,47.95,47.47,47.55,2739117.0
2016-09-15,47.88,48.5,47.75,48.32,2144627.0
2016-09-16,48.14,48.25,47.83,48.21,1211785.0
2016-09-19,48.36,48.56,48.04,48.07,1165347.0
2016-09-20,48.46,48.49,48.09,48.09,628957.0
2016-09-21,48.58,49.5,48.58,49.4,1802665.0
2016-09-22,49.68,49.95,49.64,49.88,1482042.0
2016-09-23,49.37,49.4,49.07,49.08,787560.0
2016-09-26,48.37,48.47,48.07,48.09,928509.0
2016-09-27,48.5,48.81,48.45,48.72,3954055.0
2016-09-28,48.8,49.11,48.4,49.05,1190674.0
2016-09-29,48.91,49.01,48.2,48.41,2129833.0
2016-09-30,48.44,48.69,48.23,48.5,1157418.0
2016-10-03,48.48,48.66,48.31,48.61,953459.0
2016-10-04,48.75,48.97,48.29,48.44,1025056.0
2016-10-05,49.05,49.47,48.99,49.46,2555057.0
2016-10-06,49.36,49.51,49.14,49.44,561894.0
2016-10-07,49.36,49.37,48.76,48.98,886718.0
2016-10-10,49.19,49.93,49.19,49.76,1377174.0
2016-10-11,48.88,48.98,48.14,48.36,2428336.0
2016-10-12,48.24,48.4,48.05,48.38,7479398.0
2016-10-13,47.37,47.75,47.03,47.63,1795254.0
2016-10-14,48.07,48.23,47.72,47.84,1075233.0
2016-10-17,47.52,47.77,47.51,47.57,1059956.0
2016-10-18,48.5,48.5,48.21,48.26,891798.0
2016-10-19,48.31,48.49,48.19,48.41,442342.0
2016-10-20,48.27,48.43,48.13,48.25,890695.0
2016-10-21,48.05,48.39,47.99,48.37,850553.0
2016-10-24,48.64,48.78,48.52,48.59,806758.0
2016-10-25,48.68,48.68,48.37,48.4,914137.0
2016-10-26,48.03,48.18,47.8,47.94,875474.0
2016-10-27,47.71,47.82,47.46,47.52,514095.0
2016-10-28,47.34,47.5,46.92,47.1,1217467.0
2016-10-31,47.19,47.25,47.03,47.07,997343.0
2016-11-01,47.59,47.59,46.65,47.07,1079811.0
2016-11-02,46.98,47.02,46.06,46.3,1426658.0
2016-11-03,46.37,46.48,46.1,46.24,1546857.0
2016-11-04,45.96,46.07,45.75,45.85,1866187.0
2016-11-07,46.91,47.52,46.91,47.3,2708171.0
2016-11-08,47.04,47.86,46.96,47.58,1500684.0
2016-11-09,46.39,46.94,46.25,46.41,3747973.0
2016-11-10,46.52,46.57,45.38,45.75,2033649.0
2016-11-11,45.0,45.44,44.62,45.28,2021621.0
2016-11-14,44.97,45.09,44.32,44.61,2345828.0
2016-11-15,44.9,45.64,44.9,45.5,4036331.0
2016-11-16,45.0,45.28,44.9,45.04,1778677.0
2016-11-17,45.31,45.49,45.22,45.37,2153978.0
2016-11-18,45.44,45.5,45.11,45.33,527364.0
2016-11-21,45.54,45.72,45.48,45.64,753844.0
2016-11-22,46.24,46.24,45.93,46.11,1079465.0
2016-11-23,45.77,45.93,45.62,45.86,787025.0
2016-11-25,46.28,46.37,46.14,46.23,593969.0
2016-11-28,46.44,46.7,46.32,46.39,1049317.0
2016-11-29,46.35,46.81,46.29,46.67,1007331.0
2016-11-30,46.87,46.87,46.51,46.62,1347288.0
2016-12-01,46.66,46.66,46.08,46.22,993748.0
2016-12-02,45.98,46.18,45.82,45.89,669579.0
2016-12-05,45.73,46.04,45.71,45.95,1033832.0
