Date,open,high,low,close,volume
2015-04-27,30.5,30.74,30.36,30.41,5187571.0
2015-04-28,30.4,30.74,30.26,30.72,5693357.0
2015-04-29,30.64,31.41,30.53,31.19,6827236.0
2015-04-30,31.37,31.45,30.75,31.1,5085019.0
2015-05-01,31.11,31.18,30.59,30.77,5358931.0
2015-05-04,30.95,31.14,30.5,31.08,8646342.0
2015-05-05,31.29,31.53,29.92,29.97,9628944.0
2015-05-06,30.38,30.55,29.52,29.81,8433304.0
2015-05-07,29.82,30.28,28.47,28.92,11287104.0
2015-05-08,29.41,29.5,28.75,29.31,10436613.0
2015-05-11,29.33,29.4,28.33,28.4,9044258.0
2015-05-12,28.42,28.6,28.15,28.39,6283597.0
2015-05-13,28.72,28.76,28.0,28.15,6529961.0
2015-05-14,28.19,28.28,27.59,27.62,7122518.0
2015-05-15,27.51,27.8,27.19,27.68,5153786.0
2015-05-18,27.41,27.76,27.11,27.71,6184179.0
2015-05-19,27.39,27.51,27.13,27.33,5971003.0
2015-05-20,27.35,27.57,27.24,27.46,5641150.0
2015-05-21,27.62,28.26,27.46,28.18,7368288.0
2015-05-22,27.92,28.19,27.77,28.09,6047750.0
2015-05-26,27.74,27.88,27.41,27.68,6078569.0
2015-05-27,27.63,27.97,27.33,27.58,5106291.0
2015-05-28,27.4,27.42,26.99,27.22,4727923.0
2015-05-29,27.3,27.57,27.15,27.19,5244693.0
2015-06-01,27.23,27.3,26.92,27.09,4985592.0
2015-06-02,27.2,27.32,26.65,27.08,8523717.0
2015-06-03,27.09,27.39,26.95,27.08,5053415.0
2015-06-04,26.88,27.03,26.64,26.65,4366156.0
2015-06-05,26.54,27.31,26.5,26.95,5295477.0
2015-06-08,26.79,27.01,26.44,26.58,4697542.0
2015-06-09,26.87,27.25,26.73,26.73,3260234.0
2015-06-10,27.15,27.25,26.94,27.06,3405668.0
2015-06-11,27.12,27.29,26.88,26.93,4122679.0
2015-06-12,26.79,26.86,26.48,26.49,4449963.0
2015-06-15,26.24,26.65,26.24,26.44,4622776.0
2015-06-16,26.45,26.76,26.41,26.72,3288269.0
2015-06-17,27.0,27.05,26.31,26.54,3478007.0
2015-06-18,26.66,26.79,26.46,26.53,3902330.0
2015-06-19,26.38,26.61,25.89,25.92,7997717.0
2015-06-22,26.18,26.24,25.79,26.12,3334890.0
2015-06-23,26.24,26.66,26.14,26.61,4649794.0
2015-06-24,26.72,27.02,26.59,26.61,7552586.0
2015-06-25,27.18,27.2,26.75,26.81,10974338.0
2015-06-26,26.87,27.77,26.55,27.75,17242521.0
2015-06-29,27.24,27.38,26.68,26.69,12891180.0
2015-06-30,27.0,27.0,26.46,26.54,8396129.0
2015-07-01,26.59,26.61,25.59,25.79,8664718.0
2015-07-02,25.87,26.38,25.67,25.73,6173719.0
2015-07-06,25.28,25.48,25.05,25.12,6441750.0
2015-07-07,25.07,25.84,24.45,25.71,8442728.0
2015-07-08,25.52,25.65,24.54,24.73,7113871.0
2015-07-09,25.22,25.38,24.75,24.78,9405362.0
2015-07-10,24.98,25.22,24.34,24.46,6806545.0
2015-07-13,24.38,24.77,24.32,24.73,5928021.0
2015-07-14,24.72,25.25,24.61,25.08,8981713.0
2015-07-15,24.97,25.1,24.21,24.4,8319468.0
2015-07-16,24.65,24.68,24.16,24.27,6616199.0
2015-07-17,24.2,24.24,23.55,23.57,6229161.0
2015-07-20,23.59,23.6,23.06,23.24,8697104.0
2015-07-21,23.37,23.59,23.1,23.17,9036190.0
2015-07-22,23.07,23.11,22.23,22.34,11183487.0
2015-07-23,22.36,22.48,21.72,22.1,11974646.0
2015-07-24,22.06,22.1,21.1,21.41,13112592.0
2015-07-27,21.1,21.21,20.56,20.69,9133396.0
2015-07-28,20.77,21.57,20.44,21.2,11808425.0
2015-07-29,21.16,21.86,20.91,21.76,12297627.0
2015-07-30,21.86,21.94,21.47,21.86,8453559.0
2015-07-31,21.68,21.76,20.93,21.01,8920219.0
2015-08-03,20.7,21.22,20.47,20.57,11240593.0
2015-08-04,20.71,20.99,20.28,20.51,9368648.0
2015-08-05,20.82,21.06,19.74,19.79,16190369.0
2015-08-06,19.05,19.74,17.86,19.45,21779330.0
2015-08-07,19.37,19.91,18.25,18.4,11646365.0
2015-08-10,18.42,19.09,18.15,18.98,11913042.0
2015-08-11,18.48,18.92,18.11,18.88,14173407.0
2015-08-12,18.84,19.22,18.54,19.06,12432282.0
2015-08-13,18.79,18.87,17.98,18.02,10022274.0
2015-08-14,18.0,18.27,17.35,17.4,12830495.0
2015-08-17,17.15,17.39,16.9,17.36,15383071.0
2015-08-18,17.33,17.79,17.26,17.48,8936609.0
2015-08-19,17.34,17.48,16.08,16.23,19789952.0
2015-08-20,16.17,16.57,15.95,16.13,14223081.0
2015-08-21,16.03,16.28,15.7,15.73,18792015.0
2015-08-24,14.51,15.24,14.29,14.39,22315957.0
2015-08-25,15.1,15.1,14.03,14.04,13362402.0
2015-08-26,14.32,14.67,14.07,14.65,13532104.0
2015-08-27,14.93,16.13,14.87,15.97,22345413.0
2015-08-28,15.89,17.1,15.87,16.65,20994267.0
2015-08-31,16.41,17.36,15.82,17.29,18409810.0
2015-09-01,16.72,17.22,16.46,16.85,17803566.0
2015-09-02,17.11,17.14,16.15,16.87,14653953.0
2015-09-03,16.94,17.59,16.65,16.87,13560316.0
2015-09-04,16.59,16.71,16.24,16.36,15397066.0
2015-09-08,16.58,16.63,16.03,16.32,13650132.0
2015-09-09,16.42,16.87,14.86,14.91,33845901.0
2015-09-10,15.03,15.42,14.74,14.98,18701678.0
2015-09-11,14.75,15.14,14.59,15.09,15624895.0
2015-09-14,14.99,15.47,14.81,15.41,15436926.0
2015-09-15,15.47,15.85,15.35,15.45,15501756.0
2015-09-16,15.62,16.24,15.62,16.21,16624244.0
2015-09-17,16.23,16.97,16.13,16.43,19624152.0
2015-09-18,16.23,16.33,15.57,15.84,26820715.0
2015-09-21,16.02,16.53,15.67,16.11,13931912.0
2015-09-22,15.75,16.3,15.54,15.66,12190141.0
2015-09-23,15.75,15.95,15.25,15.3,12539525.0
2015-09-24,15.09,15.67,15.04,15.45,12012382.0
2015-09-25,15.67,16.05,15.39,15.75,13870275.0
2015-09-28,15.48,15.55,14.75,14.76,9915985.0
2015-09-29,14.86,15.18,14.71,14.97,10991589.0
2015-09-30,15.14,15.59,15.0,15.4,13694433.0
2015-10-01,15.79,16.19,15.14,15.31,14172970.0
2015-10-02,15.16,16.69,15.0,16.66,11597700.0
2015-10-05,17.08,18.13,17.0,18.05,17500930.0
2015-10-06,18.12,19.28,18.0,19.17,25538508.0
2015-10-07,19.59,20.33,18.41,19.17,26600113.0
2015-10-08,19.1,20.39,19.02,20.18,17052798.0
2015-10-09,20.43,20.44,19.39,19.59,14136445.0
2015-10-12,19.56,19.61,18.41,18.96,13771752.0
2015-10-13,18.8,19.33,18.49,18.59,10324391.0
2015-10-14,18.46,19.03,18.44,18.91,8484248.0
2015-10-15,18.76,19.46,18.69,19.43,9402002.0
2015-10-16,19.52,19.57,18.82,19.28,8142580.0
2015-10-19,18.93,19.11,18.03,18.28,9370645.0
2015-10-20,18.27,18.74,18.11,18.56,7794906.0
2015-10-21,18.41,18.47,17.97,18.02,8139554.0
2015-10-22,18.2,18.62,18.03,18.48,8950247.0
2015-10-23,18.3,18.63,17.98,18.3,8408107.0
2015-10-26,18.26,18.3,17.58,17.59,7178236.0
2015-10-27,17.44,17.44,16.73,17.11,11847067.0
2015-10-28,17.24,18.07,17.04,17.68,12617484.0
2015-10-29,17.48,18.71,17.37,17.55,15848753.0
2015-10-30,17.81,18.73,17.38,18.38,15341743.0
2015-11-02,18.17,19.23,18.14,19.01,10901280.0
2015-11-03,19.25,20.09,19.24,19.66,12033448.0
2015-11-04,19.62,19.85,18.87,19.4,9119564.0
2015-11-05,18.99,19.95,18.13,19.0,19077457.0
2015-11-06,18.68,18.89,17.73,18.29,15273602.0
2015-11-09,18.28,18.74,18.06,18.36,10105548.0
2015-11-10,18.26,18.84,18.19,18.78,8694090.0
2015-11-11,18.7,18.82,16.99,17.3,14056118.0
2015-11-12,16.94,17.6,16.68,17.2,10541138.0
2015-11-13,17.12,17.4,16.68,17.14,8959882.0
2015-11-16,17.21,17.93,16.96,17.87,9262093.0
2015-11-17,17.65,17.92,17.29,17.71,6618329.0
2015-11-18,17.94,18.47,17.29,17.9,11525661.0
2015-11-19,17.71,17.86,17.17,17.64,9794769.0
2015-11-20,17.6,17.86,17.3,17.42,8416880.0
2015-11-23,17.39,17.7,17.17,17.53,9373334.0
2015-11-24,17.79,18.72,17.66,18.5,11708757.0
2015-11-25,18.22,18.4,17.83,18.11,6276994.0
2015-11-27,17.85,18.0,17.39,17.44,3696116.0
2015-11-30,17.57,17.86,17.37,17.51,11677169.0
2015-12-01,17.57,17.69,17.32,17.63,8820141.0
2015-12-02,17.41,17.67,16.58,16.67,11028181.0
2015-12-03,16.85,16.93,16.29,16.55,14456025.0
2015-12-04,16.22,16.37,15.7,16.12,10743001.0
2015-12-07,15.54,15.54,14.67,14.78,15153628.0
2015-12-08,14.25,14.98,14.07,14.92,18251751.0
2015-12-09,14.89,15.44,14.41,14.5,15710533.0
2015-12-10,14.43,14.96,14.26,14.74,10257646.0
2015-12-11,14.38,14.5,14.1,14.34,11233114.0
2015-12-14,14.16,14.22,13.41,13.96,14557913.0
2015-12-15,14.27,14.5,13.93,14.46,12923461.0
2015-12-16,14.47,14.48,13.48,13.78,15867531.0
2015-12-17,13.79,13.97,12.65,12.78,18573178.0
2015-12-18,12.78,12.99,12.4,12.47,27200997.0
2015-12-21,12.54,12.77,12.11,12.52,13584840.0
2015-12-22,12.54,12.88,12.45,12.69,9485903.0
2015-12-23,13.07,13.97,12.99,13.96,14584544.0
2015-12-24,13.98,14.11,13.59,13.93,5709480.0
2015-12-28,13.53,13.57,12.82,12.98,9519111.0
2015-12-29,13.35,13.44,12.76,13.03,8137110.0
