Date,open,high,low,close,volume
2015-04-27,37.44,37.64,37.0,37.05,8866209.0
2015-04-28,36.83,37.16,36.62,37.04,7491105.0
2015-04-29,36.72,37.69,36.72,37.49,9451428.0
2015-04-30,37.32,37.7,37.09,37.31,10335812.0
2015-05-01,37.5,37.63,37.31,37.51,6439453.0
2015-05-04,37.58,37.94,37.53,37.91,7353447.0
2015-05-05,37.72,37.95,37.36,37.45,10141074.0
2015-05-06,37.53,37.63,36.76,37.05,9448456.0
2015-05-07,36.98,37.62,36.85,37.54,12326116.0
2015-05-08,37.63,37.96,37.53,37.89,10011876.0
2015-05-11,37.85,38.5,37.84,38.25,12251404.0
2015-05-12,38.0,38.03,37.46,37.72,9672438.0
2015-05-13,37.79,37.93,37.46,37.78,6932446.0
2015-05-14,37.97,38.17,37.82,38.14,7224666.0
2015-05-15,38.11,38.19,37.74,37.85,7054044.0
2015-05-18,37.89,38.4,37.85,38.33,5978000.0
2015-05-19,38.33,38.85,38.33,38.69,7270920.0
2015-05-20,38.6,38.65,38.19,38.33,6274666.0
2015-05-21,38.18,38.34,38.0,38.04,7107524.0
2015-05-22,38.04,38.35,38.02,38.17,5415590.0
2015-05-26,38.02,38.15,37.58,37.79,8325707.0
2015-05-27,38.01,38.73,37.87,38.62,8082932.0
2015-05-28,38.57,38.78,38.41,38.73,8043121.0
2015-05-29,38.64,38.71,38.17,38.2,7792104.0
2015-06-01,38.42,38.71,38.16,38.58,8655733.0
2015-06-02,38.43,38.73,38.27,38.52,6047577.0
2015-06-03,38.79,39.24,38.61,39.01,7564279.0
2015-06-04,38.63,39.2,38.59,38.7,7636059.0
2015-06-05,39.23,39.4,38.95,39.29,9757360.0
2015-06-08,39.64,39.75,38.99,39.09,7238960.0
2015-06-09,39.08,39.28,38.79,39.13,7647383.0
2015-06-10,39.3,39.95,39.16,39.89,9424850.0
2015-06-11,40.0,40.18,39.62,39.87,6937963.0
2015-06-12,39.65,39.86,39.5,39.61,5849160.0
2015-06-15,39.22,39.64,38.95,39.53,5584584.0
2015-06-16,39.39,39.81,39.35,39.74,4560423.0
2015-06-17,39.89,39.96,39.52,39.58,7025602.0
2015-06-18,39.68,39.93,39.32,39.79,7571824.0
2015-06-19,39.63,39.93,39.22,39.37,10193269.0
2015-06-22,39.86,40.05,39.71,39.85,8617988.0
2015-06-23,40.06,40.24,39.98,40.21,9154083.0
2015-06-24,39.97,40.26,39.54,39.64,8010827.0
2015-06-25,39.82,39.87,39.14,39.22,8885393.0
2015-06-26,39.47,39.72,39.36,39.5,8150690.0
2015-06-29,38.82,39.2,38.3,38.31,10722074.0
2015-06-30,38.82,39.09,38.56,38.79,10885031.0
2015-07-01,39.46,39.53,39.18,39.36,10520948.0
2015-07-02,39.26,39.39,38.73,39.0,6733536.0
2015-07-06,38.41,38.92,38.4,38.85,8018073.0
2015-07-07,38.74,38.9,37.65,38.62,12744307.0
2015-07-08,38.17,38.32,37.77,37.79,8970396.0
2015-07-09,38.49,38.58,38.05,38.1,7226131.0
2015-07-10,38.75,38.85,38.45,38.64,6699383.0
2015-07-13,39.08,39.38,38.95,39.32,7163181.0
2015-07-14,39.33,39.91,39.26,39.71,7993879.0
2015-07-15,39.95,39.95,39.48,39.7,7646101.0
2015-07-16,40.01,40.09,39.84,39.91,7953097.0
2015-07-17,39.76,40.25,39.67,40.2,8098000.0
2015-07-20,40.9,41.04,39.9,40.04,14877728.0
2015-07-21,39.71,40.32,39.71,40.08,11725493.0
2015-07-22,40.17,40.62,40.08,40.54,9410526.0
2015-07-23,40.48,40.74,39.81,39.94,10197124.0
2015-07-24,40.11,40.12,39.24,39.6,8302047.0
2015-07-27,39.26,39.38,38.87,39.25,11947971.0
2015-07-28,39.6,39.72,39.03,39.25,9198248.0
2015-07-29,39.02,39.44,38.92,39.29,9654364.0
2015-07-30,39.15,39.4,38.85,39.3,5512142.0
2015-07-31,39.28,39.35,38.79,38.84,7287407.0
2015-08-03,38.96,38.97,38.42,38.76,7078050.0
2015-08-04,38.85,39.18,38.74,38.92,6363637.0
2015-08-05,39.29,39.35,38.8,39.0,4981037.0
2015-08-06,39.04,39.18,38.65,38.93,7571753.0
2015-08-07,38.95,39.18,38.26,38.58,8307154.0
2015-08-10,38.8,39.16,38.8,39.08,5578386.0
2015-08-11,38.48,38.54,37.73,37.92,11046122.0
2015-08-12,37.57,37.64,36.57,37.57,13981375.0
2015-08-13,37.71,37.95,37.47,37.75,6471792.0
2015-08-14,37.69,38.06,37.61,38.05,5029454.0
2015-08-17,37.73,38.18,37.55,38.14,4857454.0
2015-08-18,38.07,38.21,37.79,37.82,8792081.0
2015-08-19,37.61,37.78,37.23,37.44,8544114.0
2015-08-20,36.94,37.0,36.17,36.17,14086448.0
2015-08-21,35.57,35.89,34.16,34.21,30014261.0
2015-08-24,31.62,33.61,30.4,32.26,23662250.0
2015-08-25,33.8,33.8,31.73,31.76,19602268.0
2015-08-26,32.75,33.5,32.12,33.3,25064929.0
2015-08-27,34.0,34.35,33.55,34.3,20762855.0
2015-08-28,34.11,34.19,33.71,34.05,13165166.0
2015-08-31,34.09,34.97,33.87,34.45,13260024.0
2015-09-01,33.42,33.77,32.81,33.12,14519588.0
2015-09-02,33.75,33.81,33.16,33.79,12070280.0
2015-09-03,33.85,34.49,33.64,33.8,11572601.0
2015-09-04,33.32,33.54,32.84,33.19,12745444.0
2015-09-08,33.9,34.42,33.84,34.27,13344164.0
2015-09-09,34.85,35.05,33.65,33.75,10577192.0
2015-09-10,33.63,34.14,33.47,33.87,9673524.0
2015-09-11,33.77,34.01,33.47,33.99,7761402.0
2015-09-14,33.92,34.11,33.62,33.81,9018394.0
2015-09-15,33.94,34.76,33.79,34.58,8624969.0
2015-09-16,34.61,34.78,34.3,34.62,10527579.0
2015-09-17,34.59,34.9,33.89,34.05,13349434.0
2015-09-18,33.56,33.6,32.84,33.03,19363929.0
2015-09-21,33.35,33.6,33.03,33.34,8928851.0
2015-09-22,32.77,32.87,32.1,32.44,12975073.0
2015-09-23,32.39,32.78,32.11,32.32,12217742.0
2015-09-24,31.95,32.06,31.38,31.97,16523241.0
2015-09-25,32.55,32.79,32.05,32.19,13785968.0
2015-09-28,31.88,31.92,30.81,31.09,15142635.0
2015-09-29,31.09,31.27,30.47,31.01,13571704.0
2015-09-30,31.54,31.78,31.28,31.5,14887125.0
2015-10-01,31.42,31.81,31.01,31.5,13308861.0
2015-10-02,30.4,31.47,30.15,31.43,22773860.0
2015-10-05,31.74,32.48,31.71,32.29,11534169.0
2015-10-06,32.07,32.43,31.94,32.36,8849064.0
2015-10-07,33.14,33.33,32.62,32.93,13458330.0
2015-10-08,33.08,33.21,32.5,32.99,11377073.0
2015-10-09,32.95,33.26,32.41,32.72,11680308.0
2015-10-12,32.75,32.85,32.53,32.8,7016826.0
