Date,open,high,low,close,volume
2015-04-27,10.71,10.83,10.67,10.71,8121044.0
2015-04-28,10.99,11.05,10.92,11.01,9567244.0
2015-04-29,10.74,10.78,10.61,10.67,8594631.0
2015-04-30,10.63,10.75,10.59,10.69,9581561.0
2015-05-01,10.76,10.95,10.67,10.77,4580069.0
2015-05-04,10.9,10.93,10.75,10.81,5320925.0
2015-05-05,10.91,10.98,10.79,10.82,6326002.0
2015-05-06,10.95,10.96,10.72,10.81,8137398.0
2015-05-07,10.36,10.37,10.22,10.26,6286883.0
2015-05-08,10.56,10.58,10.39,10.53,5015677.0
2015-05-11,10.53,10.65,10.53,10.57,4044360.0
2015-05-12,10.74,11.09,10.7,11.02,7443224.0
2015-05-13,11.01,11.1,10.95,10.95,4639532.0
2015-05-14,11.79,11.89,11.49,11.59,17578731.0
2015-05-15,11.85,11.95,11.79,11.89,10359518.0
2015-05-18,11.47,11.56,11.43,11.48,5619470.0
2015-05-19,11.23,11.3,11.17,11.18,4432142.0
2015-05-20,11.26,11.38,11.18,11.29,3987321.0
2015-05-21,11.22,11.31,11.17,11.19,3568114.0
2015-05-22,11.08,11.22,10.99,11.14,6262650.0
2015-05-26,11.19,11.19,10.94,11.01,6033243.0
2015-05-27,10.9,11.19,10.85,11.14,5686569.0
2015-05-28,10.95,10.97,10.78,10.95,3526149.0
2015-05-29,10.73,10.78,10.62,10.72,5268211.0
2015-06-01,10.65,10.68,10.47,10.58,6270080.0
2015-06-02,10.92,11.25,10.89,11.2,7691341.0
2015-06-03,11.38,11.67,11.3,11.4,11552752.0
2015-06-04,11.3,11.47,11.09,11.14,12238966.0
2015-06-05,10.84,11.1,10.76,10.96,9663810.0
2015-06-08,10.91,10.99,10.8,10.87,3649654.0
2015-06-09,11.19,11.2,10.97,11.01,10041304.0
2015-06-10,11.22,11.38,11.19,11.25,5916139.0
2015-06-11,11.03,11.06,10.85,10.93,3680609.0
2015-06-12,10.78,10.91,10.7,10.87,5968493.0
2015-06-15,10.67,10.79,10.66,10.7,5176105.0
2015-06-16,10.59,10.73,10.53,10.67,5221076.0
2015-06-17,10.7,10.71,10.44,10.61,4917900.0
2015-06-18,10.64,10.67,10.4,10.49,5793969.0
2015-06-19,10.47,10.53,10.4,10.41,2774012.0
2015-06-22,10.58,10.67,10.5,10.53,4479492.0
2015-06-23,10.43,10.69,10.42,10.64,7615209.0
2015-06-24,10.61,10.69,10.55,10.56,3555500.0
2015-06-25,10.49,10.54,10.32,10.39,5768698.0
2015-06-26,10.5,10.51,10.33,10.39,3915460.0
2015-06-29,10.05,10.17,9.99,10.0,5087148.0
2015-06-30,10.02,10.03,9.67,9.72,7356344.0
2015-07-01,9.75,9.77,9.62,9.64,5463700.0
2015-07-02,9.75,9.76,9.51,9.6,6369893.0
2015-07-06,9.25,9.4,9.15,9.22,7818992.0
2015-07-07,8.82,9.08,8.6,9.02,19157280.0
2015-07-08,9.01,9.11,8.87,8.9,10911576.0
2015-07-09,9.09,9.13,8.87,8.9,8504689.0
2015-07-10,9.4,9.42,9.11,9.16,10231650.0
2015-07-13,9.22,9.46,9.15,9.38,11595596.0
2015-07-14,9.31,9.31,9.16,9.22,10035880.0
2015-07-15,9.09,9.13,8.8,8.9,13067651.0
2015-07-16,9.07,9.09,8.86,8.94,7872471.0
2015-07-17,9.02,9.02,8.81,8.87,8260777.0
2015-07-20,8.89,8.91,8.8,8.84,6086935.0
2015-07-21,8.9,9.17,8.89,9.04,10161982.0
2015-07-22,8.79,8.88,8.7,8.79,9104245.0
2015-07-23,8.85,8.89,8.73,8.82,8196213.0
2015-07-24,8.73,8.73,8.45,8.57,6740156.0
2015-07-27,8.57,8.68,8.48,8.54,7922033.0
2015-07-28,8.78,9.0,8.69,8.96,9061254.0
2015-07-29,8.73,9.1,8.72,9.08,11705350.0
2015-07-30,8.89,8.91,8.74,8.87,9583243.0
2015-07-31,9.21,9.21,8.96,9.02,8538988.0
2015-08-03,8.81,8.96,8.76,8.94,9009442.0
2015-08-04,9.12,9.18,8.94,9.0,4936891.0
2015-08-05,9.4,9.53,9.28,9.35,8533927.0
2015-08-06,9.38,9.64,9.3,9.59,9334270.0
2015-08-07,9.34,9.6,9.3,9.42,7910379.0
2015-08-10,9.36,9.71,9.3,9.69,8423626.0
2015-08-11,9.28,9.33,9.14,9.24,10196428.0
2015-08-12,9.08,9.17,8.98,9.16,9883655.0
2015-08-13,8.92,8.94,8.81,8.88,8257372.0
2015-08-14,8.82,8.92,8.77,8.86,7908040.0
2015-08-17,8.82,8.87,8.74,8.83,4051954.0
2015-08-18,8.66,8.75,8.61,8.71,4355104.0
2015-08-19,8.55,8.62,8.41,8.53,6466199.0
2015-08-20,8.6,8.63,8.45,8.49,7805086.0
2015-08-21,8.42,8.44,8.23,8.26,8045322.0
2015-08-24,7.68,8.01,7.56,7.66,10874257.0
