Date,open,high,low,close,volume
2023-02-09,30.31,30.84,28.51,30.46,16331526.0
2023-02-10,29.43,31.2,29.22,31.01,3154966.0
2023-02-13,30.66,32.03,30.65,31.42,1842537.0
2023-02-14,31.65,31.83,30.21,30.8,1557763.0
2023-02-15,30.4,32.69,30.33,32.68,5502357.0
2023-02-16,31.73,32.95,30.75,31.51,618875.0
2023-02-17,30.75,32.39,30.75,31.64,811441.0
2023-02-21,31.12,31.59,29.19,30.95,1074852.0
2023-02-22,30.95,31.88,29.88,31.26,750728.0
2023-02-23,31.27,32.12,31.27,31.99,723639.0
2023-02-24,31.5,31.5,30.1,30.21,509533.0
2023-02-27,30.48,30.63,29.76,29.91,857852.0
2023-02-28,29.97,31.18,29.66,30.44,728832.0
2023-03-01,30.57,32.13,30.44,31.08,917731.0
2023-03-02,30.65,32.22,30.65,31.89,934069.0
2023-03-03,32.45,34.84,31.4,33.35,2191101.0
2023-03-06,34.56,34.75,31.8,32.45,2252661.0
2023-03-07,32.41,34.85,31.9,33.95,1435780.0
2023-03-08,33.95,34.78,32.33,32.72,1225345.0
2023-03-09,32.5,34.85,32.09,32.66,956083.0
2023-03-10,32.66,32.88,29.46,31.19,1863446.0
2023-03-13,30.63,32.18,29.76,31.5,908725.0
2023-03-14,32.0,33.48,30.58,31.85,1522563.0
2023-03-15,31.07,32.5,30.06,30.75,1558553.0
2023-03-16,30.25,31.18,29.2,29.61,1418187.0
2023-03-17,29.74,29.93,28.24,29.07,6580171.0
2023-03-20,29.12,29.52,28.49,28.55,1332502.0
2023-03-21,29.03,31.5,29.03,31.18,1690551.0
2023-03-22,31.14,33.41,30.97,31.84,2031152.0
2023-03-23,32.14,35.1,31.5,32.21,1789623.0
2023-03-24,32.21,32.43,30.66,31.2,898221.0
2023-03-27,31.39,31.97,30.31,31.24,920294.0
2023-03-28,31.26,32.9,31.18,32.52,941728.0
2023-03-29,33.85,34.48,32.73,33.54,1356956.0
2023-03-30,33.86,36.48,33.85,34.75,2442583.0
2023-03-31,34.83,37.83,34.83,36.26,1739836.0
2023-04-03,36.15,36.36,33.23,33.55,1692075.0
2023-04-04,33.48,34.23,32.35,33.23,2288910.0
2023-04-05,32.84,33.46,31.26,32.25,1269573.0
2023-04-06,32.12,32.87,31.6,32.72,423869.0
2023-04-10,32.66,34.03,32.19,34.0,709901.0
2023-04-11,34.25,35.03,33.93,34.86,831565.0
2023-04-12,35.0,35.2,33.33,34.69,956485.0
2023-04-13,34.85,36.04,34.0,35.31,666577.0
2023-04-14,35.08,35.34,33.78,34.84,714492.0
2023-04-17,34.69,35.96,34.02,34.18,747128.0
2023-04-18,34.18,34.73,32.73,33.69,893112.0
2023-04-19,33.36,35.02,32.77,34.18,444130.0
2023-04-20,33.89,34.47,33.42,34.28,502980.0
2023-04-21,33.89,34.78,33.15,34.59,667735.0
2023-04-24,34.45,34.59,33.55,34.49,660523.0
2023-04-25,34.18,34.36,32.47,32.69,507762.0
2023-04-26,32.42,32.7,30.56,31.87,907756.0
2023-04-27,31.87,32.93,31.62,32.15,497368.0
2023-04-28,31.92,32.37,30.41,31.49,1124859.0
2023-05-01,31.17,31.91,30.63,30.87,544756.0
2023-05-02,30.86,31.2,29.28,29.68,1233944.0
2023-05-03,29.79,31.3,29.44,30.11,930653.0
2023-05-04,29.9,30.18,29.56,30.05,916095.0
2023-05-05,30.37,31.19,29.92,30.9,743738.0
2023-05-08,30.95,32.49,30.69,32.23,1358473.0
2023-05-09,32.45,34.05,32.45,33.66,1249014.0
2023-05-10,33.66,34.5,32.8,33.23,1687963.0
2023-05-11,35.5,37.22,34.91,35.43,3407607.0
2023-05-12,35.9,40.38,35.8,39.39,3330064.0
2023-05-15,39.25,40.5,38.41,40.32,1519627.0
2023-05-16,40.75,40.8,37.18,37.51,1042461.0
2023-05-17,37.79,40.18,37.68,38.93,1045927.0
2023-05-18,38.7,39.52,38.2,39.33,825359.0
2023-05-19,39.9,40.15,37.97,39.16,789579.0
2023-05-22,39.41,40.33,38.75,39.98,532598.0
2023-05-23,39.79,40.44,38.36,39.18,905714.0
2023-05-24,39.12,39.6,38.11,38.46,688732.0
2023-05-25,38.69,39.14,37.51,38.83,444318.0
2023-05-26,39.72,39.8,38.51,39.14,517977.0
2023-05-30,39.01,41.51,38.34,38.9,788829.0
2023-05-31,38.33,39.06,37.62,38.25,1052850.0
2023-06-01,38.32,40.2,37.66,40.07,503653.0
2023-06-02,40.44,41.19,39.67,40.77,756385.0
2023-06-05,40.75,41.73,39.07,39.6,1502007.0
2023-06-06,39.54,40.48,39.01,40.08,954354.0
2023-06-07,39.98,41.69,39.96,40.55,877163.0
2023-06-08,40.66,41.67,40.06,41.04,850334.0
