Date,open,high,low,close,volume
2015-04-27,35.34,35.46,34.42,34.59,42083601.0
2015-04-28,34.74,34.88,34.15,34.48,46044471.0
2015-04-29,34.17,34.46,33.95,34.29,36875736.0
2015-04-30,34.11,34.22,33.71,33.93,27121130.0
2015-05-01,33.86,34.21,33.86,34.08,20720731.0
2015-05-04,34.11,34.5,34.05,34.32,23529771.0
2015-05-05,34.37,34.43,34.01,34.12,22238543.0
2015-05-06,33.75,33.9,33.21,33.46,26766664.0
2015-05-07,33.44,33.75,33.32,33.58,21248179.0
2015-05-08,33.81,34.15,33.8,34.02,20387677.0
2015-05-11,34.09,34.26,33.94,33.96,25758343.0
2015-05-12,33.81,33.96,33.72,33.78,17780059.0
2015-05-13,33.77,33.8,33.47,33.53,22810401.0
2015-05-14,33.71,33.99,33.66,33.94,17855681.0
2015-05-15,34.0,34.06,33.92,33.99,16758955.0
2015-05-18,33.98,34.06,33.9,33.98,24173273.0
2015-05-19,33.87,34.39,33.84,34.21,20842147.0
2015-05-20,34.3,34.49,34.27,34.3,15292574.0
2015-05-21,34.23,34.49,34.21,34.36,18057069.0
2015-05-22,34.32,34.49,34.23,34.28,12956255.0
2015-05-26,34.18,34.34,34.03,34.11,18662960.0
2015-05-27,34.21,34.47,34.07,34.3,21935740.0
2015-05-28,34.46,34.53,34.27,34.44,15756625.0
2015-05-29,34.48,34.99,34.41,34.75,48177840.0
2015-06-01,34.77,34.92,34.53,34.56,27533027.0
2015-06-02,34.64,34.66,34.35,34.49,18634655.0
2015-06-03,34.55,34.66,34.28,34.41,17193529.0
2015-06-04,34.2,34.56,34.11,34.24,20224190.0
2015-06-05,34.19,34.28,33.93,34.09,22899764.0
2015-06-08,33.97,34.15,33.92,33.98,17170803.0
2015-06-09,34.05,34.13,33.89,34.01,23003008.0
2015-06-10,34.08,34.43,34.04,34.31,23455161.0
2015-06-11,34.32,34.57,34.26,34.46,19838413.0
2015-06-12,34.3,34.46,34.1,34.21,21581180.0
2015-06-15,34.06,34.12,33.86,34.04,20655420.0
2015-06-16,34.06,34.1,33.81,34.04,20608618.0
2015-06-17,34.05,34.18,33.85,33.98,20979467.0
2015-06-18,34.08,34.51,34.05,34.37,24342545.0
2015-06-19,34.23,34.5,34.18,34.18,27332253.0
2015-06-22,34.34,34.5,34.28,34.31,13941828.0
2015-06-23,34.41,34.59,34.34,34.5,18019553.0
2015-06-24,34.34,34.52,34.23,34.23,22956870.0
2015-06-25,34.21,34.34,33.91,34.02,22851415.0
2015-06-26,34.17,34.29,33.87,33.92,33548569.0
2015-06-29,33.73,34.11,33.53,33.59,28782012.0
2015-06-30,33.79,33.79,33.33,33.53,34106836.0
2015-07-01,33.56,33.86,33.41,33.69,27973280.0
2015-07-02,33.74,34.44,33.35,33.37,22451369.0
2015-07-06,33.3,33.64,33.08,33.25,20733059.0
2015-07-07,33.34,33.83,33.14,33.73,25845883.0
2015-07-08,33.55,33.73,33.39,33.45,20095517.0
2015-07-09,33.85,33.97,33.73,33.86,21878201.0
2015-07-10,34.24,34.44,34.15,34.36,20793733.0
2015-07-13,34.52,34.85,34.49,34.82,17925123.0
2015-07-14,34.76,35.15,34.71,35.08,18319878.0
2015-07-15,35.02,35.11,34.9,34.98,19400070.0
2015-07-16,35.14,35.2,35.03,35.1,15093161.0
2015-07-17,35.01,35.08,34.91,35.07,16729268.0
2015-07-20,35.13,35.37,35.08,35.24,14519000.0
2015-07-21,35.24,35.34,34.88,35.14,17445999.0
2015-07-22,35.06,35.2,34.76,34.88,17619722.0
2015-07-23,34.99,35.0,34.62,34.78,12524461.0
2015-07-24,34.63,34.72,34.15,34.26,20892738.0
2015-07-27,34.17,34.4,33.88,34.34,31280125.0
2015-07-28,34.94,35.47,34.4,35.35,36298860.0
2015-07-29,35.48,36.13,35.44,35.76,43641307.0
2015-07-30,35.68,36.0,35.39,35.73,21447131.0
2015-07-31,35.91,36.46,35.87,36.06,28353182.0
2015-08-03,36.29,36.3,35.9,36.15,16943729.0
2015-08-04,36.22,36.22,35.82,36.11,23321034.0
2015-08-05,36.07,36.17,35.78,35.82,24171358.0
2015-08-06,35.96,35.98,35.03,35.17,23999773.0
2015-08-07,35.17,35.3,34.87,35.19,14652043.0
2015-08-10,35.21,35.47,35.13,35.36,15579700.0
2015-08-11,35.21,35.24,34.94,35.12,18745690.0
2015-08-12,34.87,35.47,34.71,35.37,27597719.0
2015-08-13,35.38,35.62,34.92,35.36,19291515.0
2015-08-14,35.37,35.5,35.04,35.32,17983695.0
2015-08-17,35.11,35.53,35.0,35.5,13880926.0
2015-08-18,35.39,35.6,35.28,35.52,13270056.0
2015-08-19,35.37,35.49,34.96,35.27,17807709.0
2015-08-20,34.92,35.14,34.55,34.55,18744215.0
2015-08-21,34.24,34.56,33.54,33.54,33367522.0
2015-08-24,31.97,33.25,28.47,32.13,51273484.0
2015-08-25,33.2,33.22,31.32,31.34,41968843.0
2015-08-26,32.08,32.55,31.35,32.43,43456230.0
2015-08-27,32.78,33.62,32.66,33.26,37470995.0
2015-08-28,33.3,33.36,32.5,32.66,33429404.0
2015-08-31,32.71,32.72,31.96,32.22,31899497.0
2015-09-01,31.46,31.87,31.19,31.36,38919268.0
2015-09-02,31.93,31.97,31.38,31.97,31319623.0
2015-09-03,32.27,32.42,31.76,31.89,20582509.0
2015-09-04,31.45,31.72,31.13,31.37,22480992.0
2015-09-08,31.83,32.57,31.83,32.53,25783464.0
2015-09-09,33.0,33.03,31.87,31.96,21228589.0
2015-09-10,31.99,32.79,31.94,32.62,31143357.0
2015-09-11,32.57,32.99,32.35,32.97,22307650.0
2015-09-14,32.94,33.04,32.57,32.71,15561767.0
2015-09-15,32.95,33.34,32.81,33.17,20802588.0
2015-09-16,32.98,33.28,32.7,33.18,21344041.0
2015-09-17,33.17,33.96,33.13,33.48,24969023.0
2015-09-18,33.08,33.43,32.84,32.85,36005131.0
2015-09-21,33.1,33.32,32.24,32.42,23545285.0
2015-09-22,31.98,32.33,31.84,32.26,23057293.0
2015-09-23,32.22,32.81,32.19,32.62,24401289.0
2015-09-24,32.36,32.88,32.07,32.7,29840950.0
2015-09-25,32.96,33.1,31.65,31.89,34311630.0
2015-09-28,31.7,31.8,30.64,30.82,41879746.0
2015-09-29,30.71,31.44,30.66,31.02,30830023.0
2015-09-30,31.45,31.57,31.05,31.41,31945674.0
2015-10-01,31.3,31.87,31.1,31.84,29863501.0
2015-10-02,31.97,33.11,31.5,33.08,41390739.0
2015-10-05,33.45,33.88,33.0,33.48,31788913.0
2015-10-06,33.4,33.6,32.42,32.79,36324945.0
2015-10-07,33.1,33.47,32.35,33.29,28750105.0
2015-10-08,32.9,33.24,32.54,33.09,30001095.0
2015-10-09,33.06,33.58,32.92,33.24,20055311.0
2015-10-12,33.23,33.44,32.9,33.22,14715696.0
2015-10-13,33.18,33.64,32.82,32.98,19123189.0
2015-10-14,33.04,33.57,32.94,33.04,17696597.0
2015-10-15,32.93,34.14,32.93,34.08,26056330.0
2015-10-16,34.35,34.44,34.0,34.41,17633733.0
2015-10-19,34.41,34.54,34.09,34.5,15614286.0
2015-10-20,34.65,34.69,33.76,34.0,17061920.0
2015-10-21,34.17,34.34,33.02,33.46,33081187.0
2015-10-22,33.58,33.64,32.89,33.33,41354330.0
2015-10-23,33.46,34.35,33.23,34.05,27575295.0
2015-10-26,34.0,34.36,33.83,34.16,23043539.0
2015-10-27,35.01,35.45,34.65,34.99,39062054.0
2015-10-28,35.23,36.07,35.02,35.45,34389662.0
2015-10-29,34.25,35.9,34.16,34.77,71224055.0
2015-10-30,34.77,34.9,33.73,33.82,56191861.0
2015-11-02,34.17,35.25,34.15,35.06,39114891.0
2015-11-03,34.99,35.04,34.65,34.97,28655162.0
2015-11-04,34.92,34.97,34.09,34.14,30695185.0
2015-11-05,34.23,34.29,33.99,34.15,20455336.0
2015-11-06,33.92,34.05,33.34,33.93,30882270.0
2015-11-09,33.79,33.86,33.38,33.65,26973995.0
2015-11-10,33.83,33.97,33.61,33.79,20704744.0
2015-11-11,33.92,34.21,33.65,33.74,20392606.0
2015-11-12,33.61,33.7,33.35,33.39,17950710.0
2015-11-13,33.34,33.68,33.14,33.27,17996292.0
2015-11-16,33.29,33.4,32.85,33.16,25313890.0
2015-11-17,33.2,33.46,32.87,32.87,29644998.0
2015-11-18,33.08,33.43,32.93,33.31,35625046.0
2015-11-19,32.79,32.97,31.95,32.29,90645700.0
2015-11-20,32.58,32.59,32.08,32.18,64564611.0
2015-11-23,31.42,31.69,30.99,31.33,124515544.0
2015-11-24,31.38,32.15,31.21,31.97,83744872.0
2015-11-25,32.36,33.24,32.2,32.87,79341934.0
2015-11-27,32.92,33.0,32.67,32.79,16119593.0
2015-11-30,32.91,32.91,32.53,32.77,41034319.0
2015-12-01,33.0,33.73,32.8,33.62,49298883.0
2015-12-02,33.67,33.83,32.79,32.9,31827654.0
2015-12-03,32.92,33.0,32.36,32.39,47326877.0
2015-12-04,32.49,32.89,32.41,32.8,31460388.0
2015-12-07,32.74,32.88,32.45,32.66,20962034.0
2015-12-08,32.35,32.74,32.29,32.53,25711367.0
2015-12-09,32.42,32.64,32.12,32.29,38642437.0
2015-12-10,32.43,32.72,32.24,32.36,52786337.0
2015-12-11,32.11,32.23,31.97,32.06,40269802.0
2015-12-14,31.99,32.21,31.84,32.18,38217663.0
2015-12-15,32.62,32.82,32.16,32.26,47002173.0
2015-12-16,32.43,32.67,31.99,32.58,43735688.0
2015-12-17,32.56,32.67,32.3,32.33,38286634.0
2015-12-18,32.25,32.45,31.95,31.99,62411225.0
2015-12-21,32.17,32.46,32.01,32.46,30151912.0
2015-12-22,32.62,32.62,32.36,32.52,25493346.0
2015-12-23,32.58,32.74,32.53,32.56,20943763.0
2015-12-24,32.5,32.72,32.5,32.62,7927571.0
2015-12-28,32.6,32.65,32.37,32.42,26284951.0
2015-12-29,32.57,32.91,32.53,32.83,16998640.0
2015-12-30,32.74,32.89,32.65,32.75,16300856.0
2015-12-31,32.47,32.58,32.27,32.28,21098649.0
2016-01-04,31.85,32.03,31.57,31.95,37247155.0
2016-01-05,32.18,32.24,31.93,32.18,27294548.0
2016-01-06,31.73,31.89,31.42,31.61,25729621.0
2016-01-07,31.16,31.81,31.14,31.4,37099015.0
2016-01-08,31.55,31.62,30.92,31.0,32672833.0
2016-01-11,31.15,31.2,30.64,31.07,38567380.0
2016-01-12,31.38,31.5,30.72,31.0,38752347.0
2016-01-13,31.09,31.28,30.27,30.37,40566566.0
2016-01-14,30.39,31.42,30.39,31.11,38335341.0
2016-01-15,30.22,30.82,30.2,30.81,46652453.0
2016-01-19,31.12,31.23,30.33,30.69,32717192.0
2016-01-20,30.21,31.07,30.06,30.66,49416291.0
2016-01-21,30.61,30.9,30.51,30.58,36539117.0
2016-01-22,31.0,31.25,30.67,30.71,31436793.0
2016-01-25,30.83,30.91,30.42,30.5,28741478.0
2016-01-26,30.53,30.75,30.33,30.67,25880139.0
2016-01-27,30.71,31.01,30.32,30.52,28518326.0
2016-01-28,30.7,30.71,29.58,30.2,48781186.0
2016-01-29,30.38,30.49,29.92,30.49,56729414.0
2016-02-01,30.34,30.4,29.81,30.17,47446510.0
2016-02-02,29.6,30.34,29.55,30.14,48208795.0
2016-02-03,29.91,30.07,29.14,29.67,44955808.0
2016-02-04,29.49,29.59,28.74,29.0,56927773.0
2016-02-05,29.02,29.41,28.84,29.03,38919738.0
2016-02-08,28.68,28.98,28.25,28.56,47512806.0
2016-02-09,28.47,29.2,28.34,29.1,57126242.0
2016-02-10,29.33,29.9,29.31,29.49,44706352.0
2016-02-11,29.01,29.34,28.89,29.13,39633282.0
2016-02-12,29.25,29.38,28.98,29.36,32541710.0
2016-02-16,29.55,29.84,29.45,29.81,32567842.0
2016-02-17,30.0,30.07,29.59,29.63,39109676.0
2016-02-18,29.82,30.04,29.46,29.55,48165239.0
2016-02-19,29.6,29.65,29.17,29.49,39721918.0
2016-02-22,29.75,30.07,29.65,30.05,39328444.0
2016-02-23,30.06,30.38,29.94,29.96,31970009.0
2016-02-24,29.81,30.08,29.52,30.02,31613408.0
2016-02-25,30.1,30.69,30.02,30.59,52028029.0
2016-02-26,30.78,30.9,30.02,30.23,42908912.0
2016-02-29,30.09,30.18,29.57,29.67,35111046.0
2016-03-01,29.79,30.09,29.62,30.04,31397650.0
2016-03-02,30.11,30.16,29.75,29.98,34285929.0
2016-03-03,29.88,30.0,29.58,29.89,36887794.0
2016-03-04,29.85,29.94,29.53,29.71,36833102.0
2016-03-07,29.55,29.81,29.32,29.79,32195873.0
2016-03-08,29.75,29.75,29.36,29.36,32776626.0
2016-03-09,29.72,29.85,29.42,29.74,76898673.0
2016-03-10,29.9,29.92,29.53,29.59,58107262.0
2016-03-11,29.78,30.5,29.73,30.5,60372557.0
2016-03-14,30.27,30.34,29.95,30.1,46762296.0
2016-03-15,29.88,29.92,29.3,29.54,54207491.0
2016-03-16,29.52,29.52,28.86,29.04,91215288.0
2016-03-17,29.12,29.57,28.74,29.34,66859443.0
2016-03-18,29.5,29.65,29.17,29.45,81904026.0
