Date,open,high,low,close,volume
2020-06-26,16.0,19.0,15.06,19.0,2666664.0
2020-06-29,19.2,19.45,17.8,18.99,367073.0
2020-06-30,18.1,18.95,17.8,18.03,107545.0
2020-07-01,17.99,18.0,16.51,16.58,135184.0
2020-07-02,16.78,17.8403,16.6,17.33,71682.0
2020-07-06,17.5,18.0,14.44,15.29,166140.0
2020-07-07,15.03,15.5,15.0,15.05,59122.0
2020-07-08,15.0,15.329,13.61,13.96,105025.0
2020-07-09,14.0,14.36,13.35,13.95,81329.0
2020-07-10,13.975,14.41,13.655,14.16,37364.0
2020-07-13,14.2,15.19,13.72,14.86,165356.0
2020-07-14,14.51,14.8,14.1401,14.49,46528.0
2020-07-15,14.8,14.8,14.02,14.77,40250.0
2021-05-24,31.23,32.0,30.0,31.16,499522.0
2021-05-25,31.81,32.06,30.24,30.32,328202.0
2021-05-26,30.53,31.89,30.53,31.77,376172.0
2021-05-27,32.09,32.97,31.91,32.69,423802.0
2021-05-28,32.65,33.38,32.46,32.8,467971.0
2021-06-01,32.69,33.89,32.43,33.31,419633.0
2021-06-02,33.6,33.975,33.0,33.88,556888.0
2021-06-03,33.78,34.58,33.4,33.69,479029.0
2021-06-04,34.0,36.15,33.845,35.88,593276.0
2021-06-07,35.84,36.05,35.23,35.66,419403.0
2021-06-08,35.92,37.41,35.34,37.11,481348.0
2021-06-09,37.08,37.57,36.52,37.15,308977.0
2021-06-10,37.02,37.85,36.855,37.66,258189.0
2021-06-11,37.85,39.0,37.84,38.46,398512.0
2021-06-14,38.7,39.2043,38.2816,38.37,384563.0
2021-06-15,38.44,38.56,37.54,37.89,250009.0
2021-06-16,37.76,38.62,37.43,38.46,201330.0
2021-06-17,38.115,38.79,37.6,38.27,266393.0
2021-06-18,38.21,38.53,37.1078,37.33,589650.0
2021-06-21,37.65,38.77,36.95,38.48,205690.0
2021-06-22,38.08,39.97,37.98,39.59,309860.0
2021-06-23,39.38,41.97,39.3613,41.58,577660.0
2021-06-24,42.03,43.37,41.46,42.14,474199.0
2021-06-25,41.94,42.4,41.03,41.99,583355.0
2021-06-28,42.0,42.61,41.38,42.54,295679.0
2021-06-29,42.84,42.91,41.85,42.14,280852.0
2021-06-30,42.06,42.6094,41.4,41.73,242408.0
2021-07-01,41.6,41.73,38.6,38.8,494515.0
2021-07-02,39.12,39.47,38.3573,39.25,207347.0
2021-07-06,39.72,40.25,38.61,38.84,312436.0
2021-07-07,38.91,39.365,37.21,38.24,245740.0
2021-07-08,37.33,37.39,34.8,34.92,597665.0
2021-07-09,35.28,36.46,34.71,36.37,417687.0
2021-07-12,36.53,37.7499,35.21,35.73,252453.0
2021-07-13,35.56,36.08,35.1,35.21,201782.0
2021-07-14,35.68,36.1,33.87,33.98,313454.0
2021-07-15,34.0,34.93,33.27,33.77,546839.0
2021-07-16,34.07,34.07,32.395,32.79,420998.0
2021-07-19,31.81,34.69,31.79,33.53,351245.0
2021-07-20,33.46,35.7,33.05,35.16,268476.0
2021-07-21,35.48,36.49,35.36,35.98,164230.0
2021-07-22,35.83,35.83,34.09,35.15,288584.0
2021-07-23,35.55,35.91,34.47,35.11,146915.0
2021-07-26,35.42,35.81,34.93,34.99,167841.0
2021-07-27,34.25,34.54,32.47,33.19,685080.0
2021-07-28,33.46,34.115,32.5,33.01,572200.0
2021-07-29,33.49,33.6899,32.63,32.72,491846.0
2021-07-30,28.95,31.74,28.7,31.19,932731.0
2021-08-02,30.9,32.08,30.84,30.95,427018.0
2021-08-03,31.0,31.84,30.19,31.8,293730.0
2021-08-04,30.95,31.43,30.25,30.73,237571.0
2021-08-05,30.61,32.32,30.57,32.22,262621.0
2021-08-06,32.15,32.75,31.67,32.23,257471.0
2021-08-09,32.13,32.13,30.92,31.04,329842.0
2021-08-10,31.13,31.55,30.99,31.25,146466.0
2021-08-11,31.31,31.4911,29.38,30.86,342438.0
2021-08-12,30.97,31.81,30.73,31.59,222854.0
2021-08-13,31.37,31.8,29.925,30.09,188931.0
2021-08-16,29.32,29.81,28.8,29.04,293307.0
2021-08-17,28.66,29.05,27.59,28.38,289129.0
2021-08-18,28.4,28.75,27.97,28.34,290729.0
2021-08-19,27.84,28.4,27.5,28.07,306760.0
2021-08-20,28.21,29.36,28.11,29.07,218767.0
2021-08-23,29.21,30.73,29.12,30.64,396379.0
2021-08-24,30.73,31.34,30.64,31.04,285273.0
2021-08-25,31.0,31.81,30.52,31.3,284701.0
2021-08-26,31.31,31.77,30.93,31.11,237890.0
2021-08-27,31.27,32.64,31.27,32.23,298439.0
2021-08-30,33.67,34.4,31.01,31.92,789410.0
2021-08-31,31.7,31.745,29.135,29.78,877864.0
2021-09-01,29.84,30.41,29.67,30.18,453898.0
2021-09-02,30.53,31.1562,30.4,30.86,303537.0
2021-09-03,30.62,30.899,29.6,29.65,295056.0
2021-09-07,29.62,31.062,29.52,30.25,422120.0
2021-09-08,30.29,30.29,28.12,28.62,425137.0
2021-09-09,28.55,29.0,27.91,28.12,348112.0
2021-09-10,28.49,28.6322,26.96,27.17,478950.0
2021-09-13,27.99,29.26,27.6579,28.8,456966.0
2021-09-14,28.96,28.96,27.64,27.97,296026.0
2021-09-15,28.04,29.6,28.0,29.54,593794.0
2021-09-16,29.5,30.08,29.3155,29.62,403343.0
2021-09-17,29.79,30.12,28.66,28.72,2003312.0
2021-09-20,27.51,28.56,26.65,28.12,621752.0
2021-09-21,28.42,28.42,27.17,27.75,236439.0
2021-09-22,28.07,28.58,27.67,28.22,313623.0
2021-09-23,28.43,28.94,28.08,28.34,290478.0
2021-09-24,28.0,28.08,26.45,27.71,456552.0
2021-09-27,27.87,28.3,27.42,27.5,311911.0
2021-09-28,27.5,27.65,26.33,27.45,469152.0
2021-09-29,27.5,27.62,26.72,26.86,232204.0
2021-09-30,26.82,27.14,25.37,25.71,1045134.0
2021-10-01,25.91,26.325,25.06,25.88,559083.0
2021-10-04,25.31,25.61,23.74,24.47,455533.0
2021-10-05,24.6,25.24,24.48,24.65,487139.0
2021-10-06,24.23,24.63,22.69,23.21,511412.0
2021-10-07,23.5,24.09,23.45,23.62,688226.0
2021-10-08,23.8,24.12,23.22,23.29,242738.0
2021-10-11,23.01,24.09,23.01,23.82,372996.0
2021-10-12,24.13,25.39,23.87,25.2,526847.0
2021-10-13,25.48,26.47,24.57,26.33,515476.0
2021-10-14,26.51,28.87,26.4,28.52,656978.0
2021-10-15,28.9,29.26,28.71,29.22,588501.0
2021-10-18,28.85,29.87,28.775,29.01,458671.0
2021-10-19,29.2,29.63,28.71,29.34,276327.0
2021-10-20,29.11,30.34,28.29,28.33,380315.0
2021-10-21,28.18,28.5,26.47,27.04,622339.0
2021-10-22,26.8,27.62,26.3,26.6,399609.0
2021-10-25,26.6,26.97,26.34,26.61,458174.0
2021-10-26,26.6,26.69,23.55,23.57,737470.0
2021-10-27,23.71,24.39,23.5,23.62,599078.0
2021-10-28,23.76,24.73,23.37,23.79,676131.0
2021-10-29,23.7,27.204,23.41,26.76,1357590.0
2021-11-01,26.48,28.92,26.135,28.87,589234.0
2021-11-02,28.87,28.87,27.75,28.15,601596.0
2021-11-03,28.36,32.72,28.03,32.24,988220.0
2021-11-04,31.05,32.23,30.62,30.83,457915.0
2021-11-05,31.06,31.06,29.72,30.09,263689.0
2021-11-08,30.25,30.76,30.13,30.38,275496.0
2021-11-09,30.01,30.25,29.04,29.51,354748.0
2021-11-10,28.79,29.54,27.91,28.07,290291.0
2021-11-11,27.85,28.95,27.85,28.32,181884.0
2021-11-12,28.2,29.09,28.0335,28.65,198622.0
2021-11-15,28.77,29.39,28.55,29.21,216649.0
2021-11-16,28.76,29.68,28.49,29.49,211118.0
2021-11-17,29.32,29.77,28.84,29.64,379483.0
2021-11-18,29.53,29.53,28.07,29.37,356864.0
2021-11-19,29.24,29.78,28.21,28.5,267333.0
2021-11-22,28.81,29.32,27.5,28.22,271473.0
2021-11-23,27.9,28.36,26.08,26.53,361612.0
2021-11-24,26.12,27.52,26.12,27.47,204109.0
2021-11-26,26.31,29.06,26.31,27.07,434251.0
2021-11-29,27.61,27.63,26.0,27.23,408239.0
2021-11-30,26.68,27.3,24.64,25.52,382765.0
2021-12-01,26.06,26.32,24.05,24.5,375897.0
2021-12-02,24.5,25.74,24.37,25.49,347903.0
2021-12-03,25.35,26.01,24.5215,25.87,412579.0
2021-12-06,26.3,27.89,25.2292,27.52,400706.0
2021-12-07,27.55,29.22,27.55,28.32,272845.0
2021-12-08,28.45,29.61,28.13,29.0,283409.0
2021-12-09,28.56,29.57,28.56,28.96,346713.0
2021-12-10,29.16,29.49,28.48,28.65,285253.0
2021-12-13,28.25,28.65,27.88,28.26,345041.0
2021-12-14,27.9,28.86,27.78,28.16,421707.0
2021-12-15,28.07,29.93,27.415,29.89,460638.0
2021-12-16,29.81,29.95,27.46,27.46,396989.0
2021-12-17,27.2,29.2,26.7159,28.59,1355525.0
2021-12-20,27.92,28.075,26.25,27.2,372391.0
2021-12-21,27.98,28.79,27.81,28.77,310873.0
2021-12-22,28.67,29.2,28.42,29.13,181690.0
2021-12-23,29.21,29.48,29.05,29.41,171554.0
2021-12-27,29.41,30.37,29.41,30.35,151385.0
2021-12-28,29.96,30.4637,28.54,29.65,321116.0
2021-12-29,29.81,30.23,29.55,29.87,197826.0
2021-12-30,29.61,30.67,29.61,29.99,236131.0
2021-12-31,29.9,30.04,28.67,29.34,233172.0
2022-01-03,29.65,31.0,29.04,30.49,367732.0
2022-01-04,30.41,30.89,29.755,30.64,200178.0
2022-01-05,30.25,30.92,29.255,29.48,218251.0
2022-01-06,29.4,29.98,28.63,28.7,184089.0
2022-01-07,28.74,29.17,28.07,28.3,129646.0
2022-01-10,28.02,28.7,27.01,28.66,247641.0
2022-01-11,28.76,30.6,28.25,30.06,281298.0
2022-01-12,29.87,30.96,29.42,29.47,179870.0
2022-01-13,29.9,30.76,29.24,29.9,250593.0
2022-01-14,29.46,30.98,29.46,30.92,397190.0
2022-01-18,30.05,30.8,29.46,29.61,240897.0
2022-01-19,29.72,29.95,28.575,28.78,445360.0
2022-01-20,28.98,30.13,27.84,27.88,256210.0
2022-01-21,27.78,29.09,26.74,26.85,561710.0
2022-01-24,26.23,27.57,24.87,27.56,487196.0
2022-01-25,26.79,27.73,26.415,27.42,263275.0
2022-01-26,28.03,28.19,26.1,26.35,382960.0
2022-01-27,26.77,26.82,23.86,24.56,469231.0
2022-01-28,24.76,25.7,23.67,25.67,365181.0
2022-01-31,25.26,27.05,25.13,26.65,508437.0
2022-02-01,26.55,27.42,26.0,26.97,316186.0
2022-02-02,27.13,27.92,26.95,27.5,328261.0
2022-02-03,27.0,27.91,26.69,26.95,340612.0
2022-02-04,26.36,27.31,25.85,26.87,242815.0
2022-02-07,26.92,28.16,26.63,27.25,266732.0
2022-02-08,26.71,29.85,25.35,28.59,510657.0
2022-02-09,28.315,29.74,28.05,28.94,293491.0
2022-02-10,28.22,29.73,28.2,28.37,237207.0
2022-02-11,28.14,29.29,27.2,27.56,364924.0
2022-02-14,27.45,29.05,27.43,28.16,291342.0
