Date,open,high,low,close,volume
2022-02-01,51.59,52.73,51.47,52.68,2426093.0
2022-02-02,52.76,53.29,52.34,53.25,4255632.0
2022-02-03,53.09,53.99,52.68,53.91,5748489.0
2022-02-04,54.77,55.28,54.63,55.1,6047876.0
2022-02-07,55.73,56.13,55.31,55.71,4494406.0
2022-02-08,55.38,55.46,53.98,54.65,4771449.0
2022-02-09,54.42,55.27,54.28,54.76,3097417.0
2022-02-10,54.04,55.25,54.03,54.52,5972711.0
2022-02-11,54.85,55.73,54.73,55.21,4016099.0
2022-02-14,54.38,54.58,53.71,54.38,4360596.0
2022-02-15,52.83,53.73,52.59,53.47,3848897.0
2022-02-16,54.48,55.02,53.98,54.04,4217901.0
2022-02-17,53.82,54.0,53.13,53.63,2709933.0
2022-02-18,53.24,53.49,52.83,53.24,2874787.0
2022-02-22,53.65,53.9,52.09,52.67,3382529.0
2022-02-23,52.96,53.16,52.4,52.63,3805490.0
2022-02-24,53.49,53.71,50.68,51.59,7017532.0
2022-02-25,52.86,54.34,52.78,54.21,5797722.0
2022-02-28,52.17,53.33,51.63,52.39,8833744.0
2022-03-01,52.2,52.95,51.29,51.77,10689738.0
2022-03-02,54.49,55.12,54.16,54.62,9763061.0
2022-03-03,52.85,53.2,51.18,51.35,6765820.0
2022-03-04,50.2,50.37,48.27,49.39,8464598.0
2022-03-07,52.2,52.51,50.7,51.56,8597885.0
2022-03-08,53.03,53.8,51.24,52.94,8842615.0
2022-03-09,52.75,53.0,51.46,51.71,6690657.0
2022-03-10,51.62,51.97,51.09,51.69,4356648.0
2022-03-11,51.32,51.74,50.77,50.93,3223905.0
2022-03-14,50.6,52.21,49.66,49.96,4286894.0
2022-03-15,49.67,50.67,49.08,50.35,5137068.0
2022-03-16,50.2,50.39,49.53,50.23,4438390.0
2022-03-17,50.9,51.89,50.63,51.87,4129320.0
2022-03-18,50.87,51.44,50.38,51.16,4219642.0
2022-03-21,52.7,53.51,52.68,53.44,6035040.0
2022-03-22,53.69,53.69,52.96,53.07,3774836.0
2022-03-23,54.48,55.15,54.32,54.74,6422804.0
2022-03-24,55.2,55.49,54.7,55.02,3481585.0
2022-03-25,54.97,55.93,54.95,55.59,3382397.0
2022-03-28,54.64,54.73,53.84,53.98,4470739.0
2022-03-29,53.38,53.59,52.72,53.45,4367057.0
2022-03-30,54.99,55.65,54.95,55.61,6248280.0
2022-03-31,55.42,55.76,54.92,54.93,4847557.0
2022-04-01,54.95,55.73,54.81,55.72,2749935.0
2022-04-04,55.82,55.99,55.15,55.82,4195180.0
