Date,open,high,low,close,volume
2015-04-27,1.22,1.22,1.17,1.17,36700.0
2015-04-28,1.18,1.18,1.16,1.16,22400.0
2015-04-29,1.17,1.18,1.15,1.15,26300.0
2015-04-30,1.15,1.17,1.15,1.16,46800.0
2015-05-01,1.17,1.18,1.15,1.15,16200.0
2015-05-04,1.15,1.18,1.15,1.17,46100.0
2015-05-05,1.22,1.22,1.16,1.17,45600.0
2015-05-06,1.18,1.29,1.17,1.26,271500.0
2015-05-07,1.25,1.29,1.23,1.23,72300.0
2015-05-08,1.242,1.26,1.21,1.22,40900.0
2015-05-11,1.23,1.39,1.23,1.31,352300.0
2015-05-12,1.31,1.38,1.3,1.32,95700.0
2015-05-13,1.36,1.43,1.32,1.34,271900.0
2015-05-14,1.39,1.4,1.34,1.34,123200.0
2015-05-15,1.34,1.34,1.1,1.14,646300.0
2015-05-18,1.25,1.25,1.14,1.18,92600.0
2015-05-19,1.15,1.188,1.12,1.18,91300.0
2015-05-20,1.15,1.19,1.13,1.15,146200.0
2015-05-21,1.17,1.17,1.14,1.17,45500.0
2015-05-22,1.15,1.17,1.13,1.15,44300.0
2015-05-26,1.15,1.15,1.1,1.13,161300.0
2015-05-27,1.13,1.16,1.11,1.12,161200.0
2015-05-28,1.13,1.13,1.11,1.13,71500.0
2015-05-29,1.11,1.13,1.09,1.1,310200.0
2015-06-01,1.1,1.12,1.05,1.06,183100.0
2015-06-02,1.05,1.05,1.0,1.02,209400.0
2015-06-03,1.02,1.02,0.99,0.9996,228700.0
2015-06-04,0.999,1.0,0.9601,0.9797,122800.0
2015-06-05,0.99,1.0,0.96,0.9638,94600.0
2015-06-08,0.96,1.03,0.945,0.948,107300.0
2015-06-09,0.92,0.95,0.9,0.92,217500.0
2015-06-10,0.912,0.95,0.91,0.9161,44200.0
2015-06-11,0.95,0.95,0.9,0.9,96600.0
2015-06-12,0.93,0.96,0.9001,0.96,21800.0
2015-06-15,0.943,1.0,0.94,0.975,50100.0
2015-06-16,0.97,1.0,0.95,0.98,123300.0
2015-06-17,0.93,1.0,0.93,0.9601,86000.0
2015-06-18,0.96,0.99,0.949,0.9706,19200.0
2015-06-19,1.0,1.0,0.9476,0.95,37000.0
2015-06-22,0.98,0.99,0.92,0.99,47400.0
2015-06-23,0.9603,1.0,0.96,1.0,22900.0
2015-06-24,0.9754,1.0,0.9645,0.9999,20500.0
2015-06-25,1.0,1.0,0.9701,0.9949,36600.0
2015-06-26,0.96,1.0,0.96,1.0,102500.0
2015-06-29,0.97,1.01,0.94,0.94,189600.0
2015-06-30,0.97,0.98,0.94,0.9561,15900.0
2015-07-01,1.0,1.0,0.96,0.97,25500.0
2015-07-02,0.98,0.99,0.925,0.925,18200.0
2015-07-06,0.96,0.96,0.915,0.91,25600.0
2015-07-07,0.92,0.94,0.91,0.9124,35900.0
2015-07-08,0.9124,0.9505,0.912,0.9122,32800.0
2015-07-09,0.9,0.92,0.9,0.91,20500.0
2015-07-10,0.91,0.91,0.89,0.89,12100.0
2015-07-13,0.8996,0.948,0.88,0.9,30600.0
2015-07-14,0.88,0.94,0.88,0.92,12600.0
2015-07-15,0.9209,0.9541,0.8888,0.93,34100.0
2015-07-16,0.9569,0.9569,0.88,0.882,21300.0
2015-07-17,0.8601,0.9579,0.8601,0.9,22800.0
2015-07-20,0.88,0.938,0.8601,0.92,70700.0
2015-07-21,0.92,0.9495,0.88,0.8971,20500.0
2015-07-22,0.87,0.94,0.87,0.9,36400.0
2015-07-23,0.89,0.9389,0.89,0.9,32200.0
2015-07-24,0.9,0.9265,0.86,0.8716,31200.0
2015-07-27,0.872,0.9,0.823,0.8452,60400.0
2015-07-28,0.83,0.85,0.8299,0.83,32400.0
2015-07-29,0.823,0.86,0.823,0.824,42800.0
2015-07-30,0.81,0.8479,0.75,0.8405,129000.0
2015-07-31,0.84,0.85,0.76,0.8126,32300.0
2015-08-03,0.76,0.8499,0.7301,0.8,56500.0
2015-08-04,0.8,0.8493,0.8,0.81,30100.0
2015-08-05,0.85,0.88,0.8201,0.86,32500.0
2015-08-06,0.86,0.87,0.8,0.85,29000.0
2015-08-07,0.86,0.86,0.7315,0.82,44800.0
2015-08-10,0.82,0.85,0.754,0.77,89000.0
2015-08-11,0.75,0.8,0.7101,0.72,122700.0
2015-08-12,0.76,0.77,0.6601,0.6701,165800.0
2015-08-13,0.67,0.7,0.67,0.6999,43700.0
2015-08-14,0.6901,0.72,0.67,0.69,36100.0
2015-08-17,0.67,0.7199,0.67,0.67,94100.0
2015-08-18,0.67,0.734,0.67,0.7199,84200.0
2015-08-19,0.73,0.7499,0.6901,0.71,33700.0
2015-08-20,0.69,0.7499,0.69,0.71,32700.0
2015-08-21,0.71,0.73,0.6801,0.695,106700.0
2015-08-24,0.68,0.715,0.635,0.67,117600.0
2015-08-25,0.67,0.6999,0.6602,0.69,71600.0
2015-08-26,0.69,0.6998,0.67,0.68,56100.0
2015-08-27,0.7,0.7,0.67,0.685,43900.0
2015-08-28,0.684,0.75,0.6702,0.75,74800.0
2015-08-31,0.75,0.75,0.69,0.75,37100.0
2015-09-01,0.75,0.76,0.725,0.76,46600.0
2015-09-02,0.77,0.789,0.76,0.76,52000.0
2015-09-03,0.756,0.8199,0.7,0.7848,68505.0
2015-09-04,0.77,0.7799,0.7199,0.75,28181.0
2015-09-08,0.78,0.78,0.7032,0.75,17237.0
2015-09-09,0.732,0.7421,0.7,0.7,38695.0
2015-09-10,0.74,0.75,0.7301,0.745,63276.0
2015-09-11,0.75,0.75,0.7014,0.7499,9844.0
2015-09-14,0.75,0.75,0.73,0.7499,43891.0
2015-09-15,0.7312,0.75,0.73,0.73,2666.0
2015-09-16,0.75,0.7909,0.74,0.772,138293.0
2015-09-17,0.78,0.8199,0.777,0.8199,37219.0
2015-09-18,0.746,0.8147,0.746,0.778,5239.0
2015-09-21,0.779,0.8075,0.7501,0.78,14967.0
2015-09-22,0.7799,0.78,0.7583,0.775,1486.0
2015-09-23,0.7699,0.77,0.75,0.75,12272.0
2015-09-24,0.77,0.77,0.745,0.77,41714.0
2015-09-25,0.71,0.746,0.6542,0.6901,82906.0
2015-09-28,0.63,0.6949,0.63,0.6361,53471.0
2015-09-29,0.67,0.67,0.6346,0.65,30088.0
2015-09-30,0.641,0.65,0.641,0.65,27172.0
2015-10-01,0.641,0.6539,0.628,0.64,38009.0
2015-10-02,0.64,0.7099,0.61,0.6725,56461.0
2015-10-05,0.64,0.7199,0.64,0.65,133184.0
2015-10-06,0.67,0.6727,0.6498,0.67,48657.0
2015-10-07,0.65,0.674,0.6201,0.6541,15034.0
2015-10-08,0.6701,0.698,0.6601,0.67,45582.0
2015-10-09,0.5,0.62,0.4621,0.48,908199.0
2015-10-12,0.48,0.566,0.48,0.5,254813.0
2015-10-13,0.525,0.525,0.4111,0.5117,325197.0
2015-10-14,0.47,0.4739,0.42,0.455,276124.0
2015-10-15,0.425,0.475,0.425,0.46,352968.0
2015-10-16,0.4899,0.4899,0.4337,0.4718,201246.0
2015-10-19,0.453,0.47,0.43,0.46,227218.0
2015-10-20,0.425,0.46,0.425,0.46,227771.0
2015-10-21,0.4202,0.5,0.4202,0.5,59315.0
2015-10-22,0.4885,0.4997,0.4651,0.49,30558.0
2015-10-23,0.46,0.4898,0.46,0.488,56452.0
2015-10-26,0.4898,0.4898,0.451,0.46,36440.0
2015-10-27,0.456,0.4898,0.4539,0.48,21025.0
2015-10-28,0.486,0.494,0.4684,0.4899,59256.0
2015-10-29,0.48,0.4899,0.4601,0.48,62656.0
2015-10-30,0.47,0.49,0.46,0.461,37888.0
2015-11-02,0.47,0.4799,0.43,0.466,86119.0
2015-11-03,0.48,0.4999,0.46,0.47,17435.0
2015-11-04,0.4737,0.4958,0.46,0.4958,42983.0
2015-11-05,0.5,0.5,0.468,0.5,34131.0
2015-11-06,0.5,0.5,0.45,0.4845,46047.0
2015-11-09,0.4979,0.4979,0.4495,0.46,40659.0
2015-11-10,0.45,0.456,0.42,0.44,132548.0
2015-11-11,0.42,0.4229,0.4,0.42,69681.0
2015-11-12,0.4,0.43,0.35,0.4,261886.0
2015-11-13,0.4,0.4,0.37,0.39,88313.0
2015-11-16,0.391,0.4088,0.39,0.4088,53599.0
2015-11-17,0.42,0.42,0.376,0.41,18504.0
2015-11-18,0.4,0.4,0.38,0.39,57938.0
2015-11-19,0.4099,0.41,0.33,0.3816,241144.0
2015-11-20,0.37,0.38,0.31,0.31,205158.0
2015-11-23,0.3258,0.345,0.31,0.3301,144805.0
2015-11-24,0.33,0.3557,0.325,0.33,151125.0
2015-11-25,0.33,0.358,0.31,0.31,188111.0
2015-11-27,0.31,0.3478,0.31,0.3478,50713.0
2015-11-30,0.326,0.377,0.32,0.377,294804.0
2015-12-01,0.3798,0.3799,0.25,0.283,3560003.0
2015-12-02,0.299,0.2996,0.278,0.2968,306820.0
2015-12-03,0.2996,0.2996,0.28,0.2875,93803.0
2015-12-04,0.299,0.2995,0.28,0.2948,114523.0
2015-12-07,0.38,0.38,0.28,0.294,168704.0
2015-12-08,0.26,0.292,0.26,0.285,142051.0
2015-12-09,0.27,0.2871,0.27,0.286,55009.0
2015-12-10,0.29,0.29,0.26,0.265,194997.0
2015-12-11,0.265,0.2885,0.265,0.2885,413498.0
2015-12-14,0.295,0.295,0.261,0.275,196777.0
2015-12-15,0.28,0.29,0.2632,0.281,120208.0
2015-12-16,0.29,0.3046,0.28,0.29,198872.0
2015-12-17,0.298,0.299,0.28,0.29,89069.0
2015-12-18,0.3029,0.3029,0.282,0.282,82295.0
2015-12-21,0.282,0.2939,0.27,0.2799,80351.0
2015-12-22,0.272,0.275,0.2501,0.26,185121.0
2015-12-23,0.25,0.26,0.2401,0.2401,309201.0
2015-12-24,0.2401,0.26,0.2301,0.25,1024485.0
2015-12-28,0.26,0.318,0.259,0.3038,827400.0
2015-12-29,0.31,0.3499,0.304,0.3275,294811.0
2015-12-30,0.349,0.349,0.3,0.312,273632.0
2015-12-31,0.302,0.32,0.28,0.2904,314296.0
2016-01-04,0.308,0.308,0.25,0.2828,70069.0
2016-01-05,0.3,0.314,0.281,0.3015,64244.0
2016-01-06,0.3015,0.3015,0.2721,0.2986,79061.0
