Date,open,high,low,close,volume
2019-01-02,42.83,42.95,42.5,42.86,1058490.0
2019-01-03,42.58,42.77,42.41,42.44,1722050.0
2019-01-04,42.53,43.14,42.41,42.82,1511038.0
2019-01-07,42.29,42.45,42.09,42.22,854015.0
2019-01-08,42.63,42.8,42.41,42.77,976544.0
2019-01-09,42.63,42.87,42.63,42.75,818685.0
2019-01-10,42.59,42.9,42.57,42.83,652070.0
2019-01-11,42.54,42.63,42.31,42.44,755068.0
2019-01-14,41.88,41.93,41.61,41.65,725821.0
2019-01-15,42.04,42.35,42.03,42.24,876170.0
2019-01-16,42.25,42.45,42.19,42.21,519772.0
2019-01-17,41.92,42.05,41.82,42.05,401362.0
2019-01-18,41.79,41.79,41.3,41.48,759428.0
2019-01-22,41.39,41.59,41.28,41.49,1347147.0
2019-01-23,41.77,41.93,41.48,41.62,743365.0
2019-01-24,41.74,41.78,41.09,41.22,1106295.0
2019-01-25,41.74,41.95,41.62,41.77,818705.0
2019-01-28,41.8,42.07,41.78,41.92,881651.0
2019-01-29,42.55,42.75,42.49,42.64,732027.0
2019-01-30,42.32,43.04,42.29,43.02,1338257.0
2019-01-31,43.16,43.55,43.02,43.45,847473.0
2019-02-01,43.21,43.45,43.16,43.26,718834.0
2019-02-04,43.44,43.76,43.12,43.75,726519.0
2019-02-05,43.68,43.91,43.53,43.6,675531.0
2019-02-06,43.27,43.46,43.1,43.39,1153032.0
2019-02-07,43.33,43.36,42.31,42.51,1443203.0
2019-02-08,42.92,42.92,42.47,42.64,936643.0
2019-02-11,42.36,42.56,42.26,42.33,562713.0
2019-02-12,42.55,42.84,42.53,42.72,537629.0
2019-02-13,41.76,41.95,41.59,41.62,1310544.0
2019-02-14,41.36,41.82,41.25,41.56,782190.0
2019-02-15,42.15,42.57,42.07,42.55,773801.0
2019-02-19,42.53,42.6,42.15,42.22,973398.0
2019-02-20,42.1,42.24,42.05,42.15,526078.0
2019-02-21,41.63,41.67,41.26,41.33,1329657.0
2019-02-22,41.2,41.29,41.07,41.18,771957.0
2019-02-25,41.39,41.41,40.65,40.83,1120239.0
2019-02-26,41.16,41.52,41.16,41.38,863411.0
2019-02-27,41.51,41.55,41.16,41.31,472275.0
2019-02-28,41.73,41.96,41.6,41.6,947821.0
2019-03-01,42.04,42.34,42.0,42.15,1255099.0
2019-03-04,42.74,42.76,42.31,42.5,1002998.0
2019-03-05,43.12,43.32,43.02,43.12,1846777.0
2019-03-06,43.65,43.68,43.18,43.31,1656239.0
2019-03-07,43.11,43.29,42.9,42.96,2041731.0
2019-03-08,43.47,43.52,42.87,42.91,1632179.0
