Date,open,high,low,close,volume
2015-04-27,16.45,16.73,16.42,16.53,3848133.0
2015-04-28,16.4,16.42,16.2,16.27,5497050.0
2015-04-29,16.45,16.54,15.28,15.37,13645139.0
2015-04-30,15.14,15.16,14.6,14.75,11218405.0
2015-05-01,14.76,14.93,14.4,14.65,7622350.0
2015-05-04,14.98,15.0,14.73,14.8,5167797.0
2015-05-05,15.01,15.06,14.63,14.7,6005915.0
2015-05-06,14.73,14.77,14.19,14.33,9511782.0
2015-05-07,14.66,14.85,14.62,14.83,9337958.0
2015-05-08,14.99,15.25,14.95,15.13,3357648.0
2015-05-11,14.94,15.07,14.9,14.98,4128342.0
2015-05-12,15.13,15.13,14.75,14.8,5866977.0
2015-05-13,15.14,15.24,14.99,15.04,3651954.0
2015-05-14,15.23,15.35,15.18,15.31,4696695.0
2015-05-15,15.52,15.57,15.39,15.45,2852636.0
2015-05-18,15.4,15.63,15.34,15.47,4846434.0
2015-05-19,15.53,15.63,15.46,15.6,3292122.0
2015-05-20,15.63,15.82,15.58,15.75,5300795.0
2015-05-21,15.77,15.9,15.73,15.87,4756242.0
2015-05-22,15.82,15.97,15.81,15.94,5688652.0
2015-05-26,15.79,15.79,15.56,15.74,10097076.0
2015-05-27,15.86,16.08,15.84,16.06,9792488.0
2015-05-28,16.02,16.16,15.91,16.14,4499827.0
2015-05-29,16.21,16.25,15.96,16.03,5744852.0
2015-06-01,16.05,16.29,15.92,16.29,5828927.0
2015-06-02,16.21,16.22,16.07,16.16,4654187.0
2015-06-03,16.16,16.37,16.16,16.31,5045167.0
2015-06-04,16.24,16.47,16.05,16.08,2810378.0
2015-06-05,15.76,15.88,15.35,15.65,12267158.0
2015-06-08,15.57,15.62,15.47,15.59,4906074.0
2015-06-09,15.6,15.62,15.21,15.29,7368036.0
2015-06-10,15.52,15.78,15.48,15.71,4240138.0
2015-06-11,15.93,16.05,15.7,15.85,5238794.0
2015-06-12,15.71,15.98,15.65,15.92,5154362.0
2015-06-15,15.52,15.65,15.45,15.51,5196788.0
2015-06-16,15.54,15.62,15.37,15.5,3105472.0
2015-06-17,15.4,15.42,15.03,15.19,4321351.0
2015-06-18,15.19,15.54,15.16,15.42,7011080.0
2015-06-19,15.36,15.37,15.12,15.19,6406661.0
2015-06-22,15.7,15.85,15.57,15.57,11343124.0
2015-06-23,15.79,15.83,15.59,15.79,8896250.0
2015-06-24,15.55,15.65,15.43,15.47,5348033.0
2015-06-25,15.53,15.53,15.34,15.39,5330270.0
2015-06-26,15.66,15.72,15.57,15.59,4032097.0
2015-06-29,14.86,14.9,14.52,14.53,7010094.0
2015-06-30,14.97,14.98,14.47,14.53,8594458.0
2015-07-01,14.75,14.8,14.54,14.63,4901719.0
2015-07-02,14.48,14.5,14.14,14.29,4270938.0
2015-07-06,13.9,14.27,13.82,14.05,5461853.0
2015-07-07,13.94,14.12,13.56,14.12,5726122.0
2015-07-08,13.68,13.83,13.3,13.62,9318460.0
2015-07-09,14.15,14.17,13.91,13.94,7559346.0
