Date,open,high,low,close,volume
2015-04-27,9.57,9.63,9.54,9.59,755829.0
2015-04-28,9.37,9.4,9.28,9.38,1837495.0
2015-04-29,9.19,9.29,9.09,9.18,2144876.0
2015-04-30,8.07,8.07,7.93,7.96,4246854.0
2015-05-01,7.95,8.0,7.89,7.94,1222472.0
2015-05-04,7.89,7.9,7.75,7.77,1715617.0
2015-05-05,7.61,7.65,7.52,7.57,1800447.0
2015-05-06,7.76,7.82,7.68,7.74,1544951.0
2015-05-07,7.73,7.8,7.71,7.76,1218402.0
2015-05-08,7.8,7.85,7.78,7.8,737645.0
2015-05-11,7.64,7.81,7.62,7.76,873362.0
2015-05-12,8.19,8.19,7.99,8.02,2983519.0
2015-05-13,8.08,8.11,8.0,8.01,1686570.0
2015-05-14,8.14,8.21,8.11,8.18,918122.0
2015-05-15,8.12,8.14,8.07,8.12,693010.0
2015-05-18,8.14,8.16,8.09,8.15,551538.0
2015-05-19,8.09,8.12,8.04,8.08,561055.0
2015-05-20,8.23,8.34,8.19,8.27,1548828.0
2015-05-21,8.2,8.25,8.18,8.25,783852.0
2015-05-22,8.15,8.23,8.09,8.18,1889782.0
2015-05-26,8.1,8.11,7.96,8.02,1091815.0
2015-05-27,8.05,8.31,8.04,8.29,885846.0
2015-05-28,8.54,8.62,8.42,8.54,2084798.0
2015-05-29,8.54,8.58,8.47,8.5,1088468.0
2015-06-01,8.5,8.5,8.33,8.47,1675035.0
2015-06-02,8.58,8.62,8.51,8.56,1062702.0
2015-06-03,8.59,8.64,8.54,8.56,652668.0
2015-06-04,8.68,8.76,8.54,8.56,1156103.0
2015-06-05,8.37,8.46,8.32,8.42,661751.0
2015-06-08,8.41,8.52,8.39,8.45,811245.0
2015-06-09,8.37,8.43,8.3,8.34,1385805.0
2015-06-10,8.52,8.53,8.4,8.42,690791.0
2015-06-11,8.42,8.5,8.36,8.41,699177.0
2015-06-12,8.15,8.25,8.1,8.23,704292.0
2015-06-15,8.05,8.15,8.01,8.14,1332438.0
2015-06-16,8.27,8.34,8.18,8.32,1099760.0
2015-06-17,8.14,8.16,8.03,8.08,1784102.0
2015-06-18,7.99,8.29,7.98,8.1,1488060.0
