Date,open,high,low,close,volume
2015-04-27,93.81,96.22,93.55,94.55,3770325.0
2015-04-28,95.28,95.49,90.68,94.54,4516394.0
2015-04-29,93.26,94.21,92.3,93.59,3512936.0
2015-04-30,94.15,94.75,91.34,92.25,4832067.0
2015-05-01,95.87,98.33,94.2,98.33,7352799.0
2015-05-04,98.94,99.47,97.57,99.11,4704878.0
2015-05-05,98.49,98.74,94.62,94.63,4743139.0
2015-05-06,95.19,95.49,92.33,94.57,4222667.0
2015-05-07,96.0,97.35,95.93,97.07,3190867.0
2015-05-08,97.87,98.49,97.41,97.71,3022983.0
2015-05-11,97.74,97.74,96.31,97.16,2026725.0
2015-05-12,96.33,97.4,95.91,96.79,2017925.0
2015-05-13,97.05,97.99,96.49,96.65,1607537.0
2015-05-14,97.46,98.9,96.97,98.48,2217558.0
2015-05-15,98.71,99.0,97.31,97.56,2009009.0
2015-05-18,97.83,103.75,97.67,103.03,6065234.0
2015-05-19,103.75,105.99,103.32,103.99,5670780.0
2015-05-20,104.55,105.15,103.13,103.73,2680083.0
2015-05-21,104.43,104.49,102.75,103.89,1943528.0
2015-05-22,104.15,106.83,104.15,104.69,2961526.0
2015-05-26,104.7,104.77,102.96,103.72,2199029.0
2015-05-27,104.06,108.71,104.06,108.63,4768994.0
2015-05-28,108.59,110.39,106.95,107.65,3716263.0
2015-05-29,108.57,109.86,107.72,109.38,3530942.0
2015-06-01,110.38,111.6,109.18,109.45,2937881.0
2015-06-02,109.55,109.57,107.65,108.12,2312476.0
2015-06-03,108.46,108.9,105.34,105.4,3707274.0
2015-06-04,104.43,106.95,103.61,105.62,3648909.0
2015-06-05,105.01,106.09,103.67,105.74,3525710.0
2015-06-08,106.54,106.75,102.2,102.32,3533658.0
2015-06-09,101.58,102.74,98.07,102.24,6173481.0
2015-06-10,103.44,105.97,103.28,105.54,3549357.0
2015-06-11,105.85,106.54,104.93,105.67,2518870.0
2015-06-12,104.49,105.71,103.98,104.95,1665192.0
2015-06-15,104.04,106.28,102.84,106.11,2456716.0
2015-06-16,105.59,107.0,105.25,106.33,1891448.0
2015-06-17,106.34,107.03,105.55,106.57,1854346.0
2015-06-18,107.07,110.21,107.07,109.98,3596564.0
2015-06-19,110.76,112.88,109.43,110.21,4036035.0
2015-06-22,110.72,112.23,109.54,110.92,2246981.0
2015-06-23,111.52,111.6,109.03,110.28,1856152.0
2015-06-24,108.6,109.73,108.07,108.4,1975963.0
2015-06-25,109.09,110.89,108.55,109.87,1921856.0
2015-06-26,109.5,109.65,106.13,106.9,3772095.0
2015-06-29,102.89,105.8,100.33,102.08,6041104.0
2015-06-30,104.13,105.1,102.6,104.11,3835623.0
2015-07-01,106.0,106.74,103.6,103.9,2391579.0
2015-07-02,104.68,105.0,103.42,104.85,1798990.0
2015-07-06,103.13,104.15,101.25,101.94,2936605.0
2015-07-07,101.34,101.43,94.21,100.47,8419432.0
2015-07-08,97.4,98.48,94.7,95.61,7200233.0
2015-07-09,98.16,98.66,93.27,94.5,6757448.0
2015-07-10,97.05,101.05,96.51,100.19,5536785.0
2015-07-13,102.93,103.0,99.56,100.49,4003080.0
2015-07-14,101.18,102.4,100.13,102.03,2411182.0
2015-07-15,102.26,102.37,100.29,100.9,1927645.0
2015-07-16,101.48,102.53,100.11,102.39,2377568.0
2015-07-17,102.9,103.32,101.5,102.91,2305605.0
2015-07-20,104.19,105.41,102.98,103.14,3129248.0
2015-07-21,103.13,104.14,102.07,103.97,2420193.0
2015-07-22,97.47,100.13,96.0,99.64,6491183.0
2015-07-23,102.49,105.0,100.5,103.12,5537074.0
2015-07-24,106.43,106.5,97.44,97.67,10438531.0
2015-07-27,96.1,96.3,92.26,93.48,6163102.0
2015-07-28,94.82,96.53,93.21,95.68,3608858.0
2015-07-29,95.74,96.1,93.65,95.19,3236524.0
2015-07-30,95.19,97.05,93.56,96.77,4301693.0
2015-07-31,96.83,97.21,95.18,95.67,7081265.0
2015-08-03,95.17,95.75,91.63,92.78,5207789.0
2015-08-04,90.89,91.0,85.07,88.69,12130525.0
2015-08-05,86.63,90.57,86.63,88.93,4778908.0
2015-08-06,89.99,89.99,84.33,85.98,6839494.0
2015-08-07,85.25,88.4,85.01,88.36,5151372.0
2015-08-10,89.9,91.45,88.58,91.03,4540840.0
2015-08-11,88.53,91.14,87.68,88.98,4761841.0
2015-08-12,86.88,90.59,86.5,89.9,4187789.0
2015-08-13,90.12,91.53,89.42,89.64,2632158.0
2015-08-14,89.04,89.37,87.6,89.1,2819126.0
2015-08-17,88.59,91.0,88.15,90.93,2566149.0
2015-08-18,90.8,90.9,85.15,85.7,5766738.0
2015-08-19,86.54,88.22,85.35,87.23,5605147.0
2015-08-20,85.89,86.88,82.42,82.45,5422885.0
2015-08-21,80.17,82.0,78.22,79.08,7243966.0
2015-08-24,71.01,84.8,70.8,80.51,11986625.0
2015-08-25,85.38,86.65,80.31,80.56,5977033.0
2015-08-26,83.52,86.28,81.56,86.15,5331616.0
2015-08-27,88.94,90.08,86.62,89.73,5546962.0
2015-08-28,88.37,89.97,87.57,88.64,3817523.0
2015-08-31,87.87,89.79,87.29,87.35,3040961.0
2015-09-01,84.48,86.33,82.4,83.05,4740660.0
2015-09-02,85.45,85.74,83.51,85.74,2885695.0
2015-09-03,86.31,87.44,85.04,85.34,2251946.0
2015-09-04,84.03,85.55,83.08,83.37,2864529.0
2015-09-08,85.74,87.9,84.87,87.73,3598996.0
2015-09-09,88.8,89.77,86.17,86.47,3762324.0
2015-09-10,86.99,89.43,86.51,88.07,3926731.0
2015-09-11,87.4,88.64,86.55,88.16,2147911.0
2015-09-14,90.06,90.67,89.09,89.5,3036317.0
