Date,open,high,low,close,volume
2015-04-27,21.08,21.18,20.95,20.96,287900.0
2015-04-28,21.0,21.15,20.96,21.15,681300.0
2015-04-29,21.14,21.29,21.05,21.14,333800.0
2015-04-30,20.7,20.74,20.6,20.62,420500.0
2015-05-01,20.7,20.7,20.43,20.45,1092300.0
2015-05-04,20.52,20.59,20.37,20.56,382800.0
2015-05-05,20.4,20.4,20.05,20.1,245700.0
2015-05-06,20.04,20.12,19.8,19.86,362700.0
2015-05-07,19.85,19.93,19.79,19.93,421800.0
2015-05-08,20.06,20.19,19.92,20.19,270900.0
2015-05-11,20.53,20.59,20.34,20.35,341000.0
2015-05-12,20.13,20.2,20.07,20.07,456400.0
2015-05-13,20.92,21.1,20.81,20.9,849000.0
2015-05-14,20.96,20.98,20.89,20.93,466300.0
2015-05-15,20.99,21.06,20.94,21.03,261600.0
2015-05-18,20.92,20.93,20.8,20.89,442500.0
2015-05-19,20.89,20.9,20.75,20.76,768200.0
2015-05-20,20.36,20.53,20.35,20.5,442700.0
2015-05-21,20.27,20.4,20.15,20.39,311500.0
2015-05-22,20.54,20.74,20.47,20.69,504000.0
2015-05-26,20.46,20.62,20.3,20.32,351500.0
2015-05-27,20.57,20.57,20.22,20.43,308900.0
2015-05-28,20.09,20.16,19.96,20.07,668200.0
2015-05-29,20.0,20.15,19.93,19.96,248100.0
2015-06-01,20.15,20.24,19.92,19.97,583300.0
2015-06-02,20.2,20.23,20.05,20.2,752400.0
2015-06-03,20.46,20.5,20.25,20.48,500400.0
2015-06-04,20.46,20.46,20.17,20.24,217900.0
2015-06-05,20.04,20.07,19.85,20.07,550800.0
2015-06-08,20.08,20.11,19.85,19.86,296000.0
2015-06-09,19.95,20.09,19.8,19.99,220000.0
2015-06-10,19.89,20.03,19.7,20.02,567300.0
2015-06-11,20.03,20.14,19.98,20.11,244400.0
2015-06-12,20.29,20.29,20.11,20.22,170100.0
2015-06-15,19.82,20.07,19.81,19.84,286500.0
2015-06-16,19.96,19.96,19.76,19.87,120600.0
2015-06-17,19.9,20.14,19.78,19.89,867100.0
2015-06-18,19.91,20.08,19.84,20.05,1079700.0
2015-06-19,19.9,20.04,19.84,19.91,730800.0
2015-06-22,20.14,20.3,20.14,20.23,620100.0
2015-06-23,20.4,20.52,20.36,20.5,646400.0
2015-06-24,20.96,21.15,20.95,21.07,486200.0
2015-06-25,20.95,20.99,20.81,20.85,418100.0
2015-06-26,20.61,20.79,20.42,20.43,2724300.0
2015-06-29,19.76,19.82,19.46,19.48,401800.0
2015-06-30,20.15,20.15,19.9,20.05,642300.0
2015-07-01,20.19,20.19,19.92,19.97,419400.0
2015-07-02,20.25,20.35,19.98,20.19,238300.0
2015-07-06,19.0,19.15,18.55,19.01,475600.0
2015-07-07,18.64,18.68,17.91,18.42,1333000.0
2015-07-08,17.27,17.4,17.17,17.2,1538200.0
2015-07-09,18.82,18.9,18.54,18.64,5167600.0
2015-07-10,19.3,19.35,19.0,19.19,2007300.0
2015-07-13,19.24,19.5,19.24,19.45,214000.0
2015-07-14,19.45,19.8,19.43,19.72,271000.0
2015-07-15,19.5,19.5,19.11,19.11,479800.0
2015-07-16,19.24,19.45,19.24,19.45,368400.0
2015-07-17,19.74,19.92,19.73,19.91,141400.0
2015-07-20,19.97,20.21,19.93,20.17,405000.0
2015-07-21,20.16,20.2,20.09,20.15,292300.0
2015-07-22,20.15,20.15,19.75,19.86,275800.0
2015-07-23,19.75,20.0,19.65,19.66,238800.0
2015-07-24,19.55,19.55,19.19,19.26,1014300.0
2015-07-27,18.63,18.65,18.33,18.34,720300.0
2015-07-28,19.0,19.0,18.67,18.81,519100.0
