Date,open,high,low,close,volume
2015-04-27,14.88,14.96,14.83,14.83,731255.0
2015-04-28,14.88,15.1,14.81,15.08,1943115.0
2015-04-29,15.1,15.24,14.99,15.03,1803605.0
2015-04-30,15.14,15.3,15.11,15.16,1197521.0
2015-05-01,15.23,15.34,15.19,15.32,856294.0
2015-05-04,15.31,15.38,15.27,15.28,1527439.0
2015-05-05,15.15,15.16,15.01,15.05,1252385.0
2015-05-06,15.26,15.35,15.08,15.16,2133802.0
2015-05-07,14.6,14.78,14.57,14.71,1350689.0
2015-05-08,14.81,15.02,14.81,14.98,1462216.0
2015-05-11,15.03,15.1,14.89,14.93,950848.0
2015-05-12,14.91,14.95,14.83,14.86,591863.0
2015-05-13,15.05,15.09,14.95,14.96,890183.0
2015-05-14,14.81,14.95,14.81,14.93,815667.0
2015-05-15,14.78,14.91,14.72,14.88,787715.0
2015-05-18,14.67,14.78,14.64,14.72,960309.0
2015-05-19,14.71,14.78,14.65,14.68,785656.0
2015-05-20,14.64,14.77,14.61,14.7,683859.0
2015-05-21,14.64,14.8,14.63,14.79,581587.0
2015-05-22,14.55,14.55,14.48,14.52,820833.0
2015-05-26,14.19,14.19,13.99,14.07,1419488.0
2015-05-27,14.01,14.23,13.98,14.19,780440.0
2015-05-28,14.14,14.29,14.04,14.28,1108727.0
2015-05-29,14.2,14.23,14.08,14.16,819162.0
2015-06-01,14.15,14.15,13.98,14.09,783366.0
2015-06-02,14.39,14.46,14.34,14.36,701524.0
2015-06-03,14.5,14.64,14.5,14.54,860258.0
2015-06-04,14.49,14.65,14.23,14.26,1058819.0
2015-06-05,14.06,14.17,14.01,14.08,926258.0
2015-06-08,14.08,14.13,13.96,14.08,1573388.0
2015-06-09,14.06,14.13,13.96,14.07,667535.0
2015-06-10,14.31,14.52,14.29,14.42,995307.0
2015-06-11,14.51,14.59,14.41,14.53,634270.0
2015-06-12,14.6,14.67,14.5,14.57,1213295.0
2015-06-15,14.25,14.4,14.23,14.39,590474.0
2015-06-16,14.24,14.35,14.21,14.31,487018.0
2015-06-17,14.32,14.34,14.14,14.26,879889.0
2015-06-18,14.4,14.9,14.38,14.61,1682716.0
2015-06-19,14.59,14.6,14.49,14.55,886801.0
2015-06-22,15.03,15.25,14.99,15.12,1372752.0
2015-06-23,15.07,15.11,14.97,14.99,1472886.0
2015-06-24,14.98,15.04,14.92,14.95,876228.0
2015-06-25,14.96,14.99,14.84,14.94,950846.0
2015-06-26,15.05,15.11,14.93,15.01,921550.0
2015-06-29,14.5,14.57,14.33,14.36,1430885.0
2015-06-30,14.48,14.48,14.11,14.2,1024924.0
2015-07-01,14.31,14.33,14.17,14.22,886389.0
2015-07-02,14.27,14.31,14.21,14.27,1066931.0
2015-07-06,13.76,13.87,13.65,13.7,2100645.0
2015-07-07,13.51,13.78,13.35,13.72,2989621.0
2015-07-08,13.51,13.57,13.41,13.46,1476147.0
