Date,open,high,low,close,volume
2015-04-27,68.39,68.61,66.93,67.1,6182173.0
2015-04-28,67.31,67.5,66.41,66.77,6287899.0
2015-04-29,66.86,68.46,66.78,67.34,9721739.0
2015-04-30,67.18,67.5,65.42,66.05,11546964.0
2015-05-01,65.22,66.66,65.15,65.77,10123634.0
2015-05-04,66.05,66.14,65.47,65.58,7422947.0
2015-05-05,65.77,66.39,65.6,65.96,7848339.0
2015-05-06,66.15,66.65,65.23,65.67,7068445.0
2015-05-07,65.58,66.78,65.53,66.58,6643872.0
2015-05-08,67.14,70.16,67.01,69.47,18260625.0
2015-05-11,69.3,69.7,68.79,69.02,10974110.0
2015-05-12,68.55,69.0,67.97,68.69,7398780.0
2015-05-13,68.75,68.88,68.19,68.65,5033728.0
2015-05-14,68.96,70.03,68.85,70.0,6461300.0
2015-05-15,70.1,70.69,69.31,69.57,7053572.0
2015-05-18,69.74,70.24,69.13,70.0,5528444.0
2015-05-19,70.14,70.56,70.0,70.16,4347499.0
2015-05-20,70.25,70.32,69.48,69.78,4851434.0
2015-05-21,69.55,69.87,69.28,69.37,6462684.0
2015-05-22,69.3,69.85,69.3,69.62,4505652.0
2015-05-26,69.31,69.49,68.31,68.54,6109930.0
2015-05-27,68.85,69.74,68.5,69.49,7037784.0
2015-05-28,69.48,69.78,68.8,69.56,3887229.0
2015-05-29,69.33,69.6,68.51,68.68,6516337.0
2015-06-01,69.13,69.45,68.43,69.11,6301800.0
2015-06-02,68.73,69.46,68.01,69.04,4457441.0
2015-06-03,69.26,69.5,68.89,68.95,4875462.0
2015-06-04,68.63,69.14,68.02,68.21,6433190.0
2015-06-05,68.29,68.7,68.0,68.37,4373975.0
2015-06-08,68.19,68.29,67.62,67.68,4833661.0
2015-06-09,67.67,68.09,67.52,67.95,4429579.0
2015-06-10,68.22,69.67,68.11,69.63,6788135.0
2015-06-11,69.7,70.02,69.41,69.64,5230493.0
2015-06-12,69.43,69.73,69.02,69.33,4882658.0
2015-06-15,68.72,68.99,68.17,68.57,5979978.0
2015-06-16,68.45,69.17,68.29,69.01,5011810.0
2015-06-17,69.11,69.41,68.51,68.75,6324866.0
2015-06-18,68.9,69.84,68.88,69.5,7550408.0
2015-06-19,69.27,69.33,68.48,68.69,8455487.0
2015-06-22,69.32,69.44,68.9,69.09,5493283.0
2015-06-23,69.1,69.59,69.09,69.42,3854963.0
2015-06-24,69.11,69.4,68.76,68.86,4642842.0
2015-06-25,69.38,69.38,68.51,68.62,4640920.0
2015-06-26,68.7,69.21,68.41,68.75,6617669.0
2015-06-29,67.99,68.49,66.69,66.72,9419703.0
2015-06-30,67.34,67.48,66.76,67.15,6762165.0
2015-07-01,67.94,68.3,67.53,67.85,6224824.0
2015-07-02,68.15,68.32,67.62,68.24,4978655.0
2015-07-06,67.55,68.12,67.36,68.12,5223582.0
2015-07-07,68.11,68.2,66.53,67.77,6482771.0
2015-07-08,67.01,67.32,66.65,66.73,5657726.0
2015-07-09,67.65,67.94,67.02,67.05,4818171.0
2015-07-10,67.98,68.54,67.91,68.42,5015405.0
2015-07-13,69.05,69.6,68.83,69.52,6712039.0
2015-07-14,69.97,70.3,69.47,70.1,5587409.0
2015-07-15,70.13,70.28,69.69,70.02,4500098.0
2015-07-16,70.43,70.59,69.97,70.57,6489359.0
2015-07-17,70.4,70.96,70.28,70.88,6260725.0
2015-07-20,71.29,73.0,71.23,72.7,10096670.0
2015-07-21,72.84,72.88,71.76,72.02,10821395.0
2015-07-22,71.94,72.15,71.62,71.97,6269299.0
2015-07-23,72.2,72.25,71.2,71.75,9857281.0
2015-07-24,76.78,76.92,74.4,74.8,21077942.0
2015-07-27,74.28,74.71,73.58,73.86,10245015.0
2015-07-28,74.3,75.18,73.85,74.74,9966290.0
2015-07-29,74.95,76.43,74.67,76.01,13693295.0
2015-07-30,75.89,76.76,75.24,76.38,6381400.0
2015-07-31,76.45,76.51,75.32,75.34,8424361.0
2015-08-03,75.59,76.04,75.01,75.77,5788850.0
2015-08-04,75.53,76.08,75.03,75.27,6932126.0
2015-08-05,76.05,76.17,74.92,74.98,6773501.0
2015-08-06,75.3,75.42,73.55,73.58,7656402.0
2015-08-07,73.68,74.31,73.32,74.21,6448052.0
2015-08-10,74.89,75.18,73.85,74.38,6121681.0
2015-08-11,73.81,74.27,73.22,73.36,6321038.0
2015-08-12,72.87,73.83,72.39,73.54,7625127.0
2015-08-13,73.43,74.42,73.38,73.93,5971453.0
2015-08-14,73.85,74.4,73.45,74.22,3851317.0
2015-08-17,74.0,74.44,73.5,74.41,3292298.0
2015-08-18,74.26,74.73,74.01,74.47,6321460.0
2015-08-19,74.2,74.96,73.67,74.4,5818126.0
2015-08-20,73.56,74.53,72.81,73.95,11978885.0
2015-08-21,72.5,73.62,70.96,71.19,15367270.0
2015-08-24,64.16,71.06,60.0,68.36,20755869.0
2015-08-25,71.69,71.8,66.6,66.97,14336959.0
2015-08-26,69.37,70.99,67.9,70.69,12050502.0
2015-08-27,71.94,72.49,70.8,72.4,8920164.0
2015-08-28,72.1,72.66,71.6,72.46,6390286.0
2015-08-31,71.91,72.08,70.82,71.3,8238436.0
2015-09-01,69.41,70.39,68.5,68.96,11230359.0
2015-09-02,69.94,69.95,68.7,69.62,9142728.0
2015-09-03,70.45,71.08,69.99,70.4,8989555.0
2015-09-04,69.29,69.91,68.64,69.16,9420302.0
2015-09-08,70.75,71.01,69.55,70.53,7891495.0
2015-09-09,70.75,71.37,69.43,69.6,8938369.0
2015-09-10,69.5,70.65,69.46,70.23,7214869.0
2015-09-11,69.86,70.81,69.45,70.76,6326570.0
2015-09-14,70.72,70.8,69.61,70.01,7002417.0
2015-09-15,70.48,70.74,69.51,70.51,6956824.0
2015-09-16,70.45,71.11,70.05,70.99,8066607.0
2015-09-17,71.3,72.32,70.5,70.96,7542700.0
2015-09-18,69.82,70.81,69.71,69.79,14300570.0
2015-09-21,70.62,71.32,70.22,70.78,7124254.0
2015-09-22,70.0,70.39,69.31,70.25,9264349.0
2015-09-23,70.16,71.14,69.9,70.95,8528971.0
2015-09-24,70.35,70.63,69.64,70.24,8177220.0
2015-09-25,71.19,71.46,70.21,70.69,7709990.0
2015-09-28,70.19,70.28,67.03,67.2,14758095.0
2015-09-29,67.52,68.7,67.2,68.53,11274266.0
2015-09-30,69.32,69.66,68.26,69.66,16922528.0
2015-10-01,70.09,70.77,68.98,69.99,8601948.0
2015-10-02,68.8,70.73,68.36,70.67,7360799.0
2015-10-05,71.06,72.34,70.92,72.23,7121206.0
2015-10-06,72.22,72.54,71.83,72.08,5727341.0
2015-10-07,72.68,73.23,72.45,73.22,6208905.0
2015-10-08,73.0,73.93,72.83,73.9,5674544.0
2015-10-09,74.04,74.09,73.4,73.98,5923831.0
2015-10-12,73.74,75.43,73.67,74.99,5512679.0
2015-10-13,74.46,75.25,74.15,75.0,7417397.0
2015-10-14,74.84,75.26,73.72,74.2,7510101.0
2015-10-15,74.96,75.41,74.58,75.34,6802990.0
2015-10-16,75.33,76.54,74.79,76.0,9078564.0
