Date,open,high,low,close,volume
2015-04-27,196.67,200.18,196.67,197.83,1975118.0
2015-04-28,182.54,187.5,179.12,183.7,4732867.0
2015-04-29,182.94,183.24,177.24,179.03,1631019.0
2015-04-30,179.69,180.59,174.75,175.6,1537923.0
2015-05-01,175.87,180.37,175.39,179.31,1243704.0
2015-05-04,179.4,181.18,178.77,180.15,1036903.0
2015-05-05,180.27,181.58,179.55,179.6,929378.0
2015-05-06,179.82,180.75,177.88,178.84,840465.0
2015-05-07,179.54,182.82,179.16,182.52,955652.0
2015-05-08,184.92,188.48,184.02,185.65,1214229.0
2015-05-11,185.8,188.94,185.02,186.98,1557018.0
2015-05-12,186.9,187.81,185.09,186.45,939576.0
2015-05-13,185.9,188.28,185.17,187.66,1039949.0
2015-05-14,189.01,190.24,188.09,189.3,933610.0
2015-05-15,189.0,189.39,185.01,187.83,1224761.0
2015-05-18,187.64,189.35,186.99,188.71,658372.0
2015-05-19,189.75,190.93,187.92,190.03,990599.0
2015-05-20,189.85,190.04,187.86,189.1,772553.0
2015-05-21,187.77,192.52,187.61,192.05,1013310.0
2015-05-22,192.06,193.02,191.84,192.01,892522.0
2015-05-26,191.5,192.95,187.83,188.31,650030.0
2015-05-27,188.33,188.84,185.2,187.56,962259.0
2015-05-28,187.51,188.39,186.34,187.52,577725.0
2015-05-29,187.24,188.35,184.03,184.25,872033.0
2015-06-01,184.64,188.25,183.27,186.96,902541.0
2015-06-02,186.13,188.97,185.56,188.23,770789.0
2015-06-03,188.31,189.46,186.79,189.25,717068.0
2015-06-04,187.86,189.08,187.32,187.99,706064.0
2015-06-05,187.49,188.35,185.8,187.77,485711.0
2015-06-08,187.86,188.91,185.24,185.4,639842.0
2015-06-09,185.64,185.64,182.72,182.99,1135953.0
2015-06-10,184.14,186.42,183.44,185.98,828597.0
2015-06-11,186.85,189.5,186.22,186.73,672190.0
2015-06-12,185.48,187.07,184.77,185.99,481830.0
2015-06-15,184.8,185.31,183.0,184.01,608700.0
2015-06-16,183.45,185.29,182.67,183.89,644104.0
2015-06-17,183.99,185.89,183.34,185.55,465218.0
