Date,open,high,low,close,volume
2015-04-27,79.77,79.86,79.29,79.37,6437251.0
2015-04-28,79.46,79.48,78.77,79.1,4856013.0
2015-04-29,78.7,78.78,77.79,77.88,6994597.0
2015-04-30,77.83,78.48,77.59,78.05,7904491.0
2015-05-01,78.2,78.76,78.17,78.6,4999390.0
2015-05-04,78.98,79.54,78.46,79.18,6632968.0
2015-05-05,79.01,79.01,78.06,78.13,5817263.0
2015-05-06,77.92,78.12,77.17,77.65,5451204.0
2015-05-07,77.73,78.34,77.3,78.03,5524617.0
2015-05-08,78.6,79.25,78.4,78.53,5337599.0
2015-05-11,78.32,78.61,78.03,78.1,3731759.0
2015-05-12,78.02,79.48,77.87,78.96,8433928.0
2015-05-13,79.18,79.43,77.98,78.16,7399930.0
2015-05-14,78.37,78.77,78.02,78.72,6125689.0
2015-05-15,78.71,79.25,78.57,79.24,6571554.0
2015-05-18,79.37,79.94,79.16,79.92,8220925.0
2015-05-19,78.18,78.36,76.23,76.43,22359351.0
2015-05-20,76.48,76.5,75.83,75.9,10481216.0
2015-05-21,75.8,76.42,75.56,76.11,6164754.0
2015-05-22,76.2,76.38,75.86,75.86,6803937.0
2015-05-26,75.77,75.83,74.81,74.9,10464050.0
2015-05-27,75.01,75.51,75.0,75.19,6953536.0
2015-05-28,75.07,75.16,74.65,74.84,4999029.0
2015-05-29,74.82,74.88,74.15,74.27,6276717.0
2015-06-01,74.69,75.08,74.41,74.73,5617696.0
2015-06-02,74.54,75.0,74.42,74.53,5761057.0
2015-06-03,74.7,75.2,74.47,74.89,6062405.0
2015-06-04,74.46,74.98,73.95,74.15,8884619.0
2015-06-05,74.17,74.27,72.98,73.06,10533145.0
2015-06-08,73.43,73.49,72.6,72.61,9539021.0
2015-06-09,72.7,72.85,72.36,72.47,8261607.0
2015-06-10,72.71,73.33,72.33,72.93,11211938.0
2015-06-11,73.23,73.67,72.84,72.94,7068047.0
2015-06-12,72.74,72.9,72.4,72.43,7121296.0
2015-06-15,72.2,72.4,71.7,71.93,7427941.0
2015-06-16,72.22,72.58,71.72,72.35,5909557.0
2015-06-17,72.63,72.9,72.34,72.73,5659721.0
2015-06-18,72.74,73.48,72.74,72.98,8347244.0
2015-06-19,72.8,73.22,72.7,72.74,13074292.0
2015-06-22,72.98,73.19,72.69,72.79,6468998.0
2015-06-23,72.89,72.94,72.34,72.57,7514885.0
2015-06-24,72.56,72.65,72.14,72.38,5949607.0
2015-06-25,72.45,72.63,71.83,71.86,5279254.0
2015-06-26,71.96,72.46,71.87,72.12,6169297.0
2015-06-29,71.8,72.0,71.41,71.42,8138098.0
