Date,open,high,low,close,volume
2015-04-27,15.59,15.74,15.525,15.62,1641100.0
2015-04-28,15.57,15.61,15.4,15.49,930900.0
2015-04-29,15.4,15.43,15.17,15.21,2652700.0
2015-04-30,15.13,15.192,14.89,15.0,2272500.0
2015-05-01,15.02,15.16,15.02,15.06,722900.0
2015-05-04,15.08,15.16,14.98,15.08,1510600.0
2015-05-05,15.01,15.11,14.79,14.81,2188000.0
2015-05-06,14.8,14.92,14.62,14.72,1984100.0
2015-05-07,14.73,14.95,14.42,14.6,1701000.0
2015-05-08,14.76,14.94,14.6,14.64,1806500.0
2015-05-11,14.6,14.75,14.48,14.49,1762700.0
2015-05-12,14.41,14.575,14.3,14.46,1247100.0
2015-05-13,14.48,14.62,14.41,14.6,2272200.0
2015-05-14,14.7,14.95,14.61,14.92,1273700.0
2015-05-15,14.96,14.96,14.74,14.77,1487800.0
2015-05-18,14.72,14.8,14.64,14.68,1067200.0
2015-05-19,14.66,14.66,14.53,14.55,1188300.0
2015-05-20,14.54,14.6,14.36,14.37,1209200.0
2015-05-21,14.38,14.49,14.255,14.28,738300.0
2015-05-22,14.25,14.31,14.19,14.28,1843300.0
2015-05-26,14.25,14.3,14.14,14.19,1789600.0
2015-05-27,14.18,14.31,14.132,14.2,3069400.0
2015-05-28,14.21,14.29,14.09,14.15,969700.0
2015-05-29,14.15,14.19,14.02,14.07,3653600.0
2015-06-01,13.83,13.98,13.75,13.94,1500400.0
2015-06-02,13.88,13.95,13.825,13.87,1841400.0
2015-06-03,13.78,13.9,13.53,13.55,2505000.0
2015-06-04,13.55,13.68,13.489,13.67,1531600.0
2015-06-05,13.54,13.64,13.52,13.57,1415700.0
2015-06-08,13.56,13.59,13.47,13.47,1013700.0
2015-06-09,13.49,13.51,13.2,13.23,1442000.0
2015-06-10,13.25,13.34,12.98,13.02,1749800.0
2015-06-11,13.03,13.32,12.98,13.29,2054600.0
2015-06-12,13.28,13.45,13.24,13.4,1516300.0
2015-06-15,13.38,13.53,13.32,13.33,4218000.0
2015-06-16,13.32,13.52,13.28,13.5,1607700.0
2015-06-17,13.49,14.15,13.49,14.09,3189700.0
2015-06-18,14.11,14.4,14.01,14.31,3459300.0
2015-06-19,14.3,14.3,14.04,14.27,2398400.0
2015-06-22,14.26,14.36,14.13,14.13,1230600.0
2015-06-23,14.03,14.03,13.77,13.81,1679800.0
2015-06-24,13.82,13.84,13.65,13.7,2284700.0
2015-06-25,13.68,13.78,13.53,13.54,1977900.0
2015-06-26,13.51,13.83,13.47,13.8,3268400.0
2015-06-29,13.78,13.87,13.63,13.65,1920700.0
2015-06-30,13.65,13.77,13.48,13.53,2703700.0
2015-07-01,13.57,13.89,13.46,13.87,2113600.0
2015-07-02,13.93,14.08,13.86,13.9,2861700.0
2015-07-06,13.8,13.92,13.76,13.91,1359100.0
2015-07-07,13.93,14.29,13.87,14.24,1840500.0
2015-07-08,14.16,14.24,14.06,14.15,1454000.0
2015-07-09,14.18,14.22,13.88,13.88,1340000.0
2015-07-10,13.94,14.06,13.89,13.92,1261600.0
2015-07-13,13.98,14.11,13.83,13.9,1250100.0
2015-07-14,13.91,13.96,13.845,13.92,837100.0
2015-07-15,13.88,14.1,13.82,14.06,845100.0
2015-07-16,14.11,14.18,13.96,14.04,671700.0
2015-07-17,14.03,14.085,13.92,13.94,534100.0
2015-07-20,13.94,13.97,13.82,13.91,552500.0
2015-07-21,13.9,14.05,13.8,13.85,643800.0
2015-07-22,13.86,13.98,13.84,13.87,446100.0
2015-07-23,13.87,13.87,13.5,13.58,1112100.0
2015-07-24,13.58,13.72,13.54,13.67,623200.0
2015-07-27,13.66,13.82,13.55,13.61,723500.0
2015-07-28,13.62,13.72,13.54,13.57,612500.0
2015-07-29,13.91,13.91,13.615,13.85,1478000.0
2015-07-30,13.82,13.83,13.34,13.43,1469000.0
2015-07-31,13.52,13.79,13.49,13.54,1177200.0
2015-08-03,13.55,13.83,13.46,13.8,1288100.0
2015-08-04,13.79,14.07,13.57,13.6,1384100.0
2015-08-05,13.61,13.69,13.26,13.27,1300000.0
2015-08-06,13.26,13.27,12.98,13.14,1508400.0
2015-08-07,13.11,13.15,12.96,13.11,1029800.0
2015-08-10,13.15,13.23,13.0,13.01,790100.0
2015-08-11,12.98,13.28,12.98,13.07,958600.0
2015-08-12,13.05,13.42,12.995,13.4,2074700.0
2015-08-13,13.37,13.658,13.28,13.44,903900.0
2015-08-14,13.41,13.54,13.33,13.47,680000.0
2015-08-17,13.48,13.62,13.36,13.62,967000.0
2015-08-18,13.58,13.61,13.48,13.57,528200.0
2015-08-19,13.5,13.578,13.27,13.35,1319100.0
2015-08-20,13.29,13.376,13.16,13.22,732000.0
2015-08-21,13.17,13.21,12.99,13.03,1371300.0
2015-08-24,12.66,12.66,12.18,12.22,1592800.0
2015-08-25,12.4,12.49,12.12,12.12,2153100.0
2015-08-26,12.31,12.414,12.156,12.35,1712400.0
2015-08-27,12.44,12.93,12.39,12.73,1803800.0
2015-08-28,12.7,12.84,12.57,12.73,1609900.0
2015-08-31,12.36,12.5,12.092,12.11,2493500.0
2015-09-01,11.94,12.04,11.71,11.74,1118100.0
2015-09-02,11.82,11.85,11.555,11.69,1107200.0
2015-09-03,11.73,11.9,11.72,11.81,582600.0
2015-09-04,11.75,11.8,11.525,11.57,646700.0
2015-09-08,11.68,11.73,11.56,11.61,1360400.0
2015-09-09,11.69,11.75,11.52,11.56,837200.0
2015-09-10,11.48,11.655,11.39,11.41,759600.0
2015-09-11,11.4,11.58,11.35,11.57,1282900.0
2015-09-14,11.61,11.7,11.53,11.67,621600.0
2015-09-15,11.69,11.86,11.615,11.82,465700.0
2015-09-16,11.85,12.07,11.849,11.98,1268300.0
2015-09-17,11.98,12.28,11.89,12.06,1110700.0
