# Failed stock tickers for later analysis (126 tickers)
# Format: original_ticker | akshare_symbol | error_reason
1COV.DE | 1COV | data_error_IndexError
ABF.L | ABF | data_error_IndexError
ABI.BR | ABI | data_error_SyntaxError
ACS.MC | ACS | data_error_IndexError
ADYEN.AS | ADYEN | data_error_IndexError
AEX.AS | AEX | data_error_IndexError
AIRF.PA | AIRF | data_error_IndexError
AKZA.AS | AKZA | data_error_IndexError
ALVG.DE | ALVG | data_error_IndexError
ANA.MC | ANA | data_error_IndexError
BARC.L | BARC | data_error_IndexError
BAYN.DE | BAYN | data_error_IndexError
BDEV.L | BDEV | no_data_in_range
BEIG.DE | BEIG | data_error_IndexError
BMW.DE | BMW | data_error_IndexError
BNP.PA | BNP | data_error_IndexError
BNPP.PA | BNPP | data_error_IndexError
BPOST.BR | BPOST | data_error_IndexError
BRBY.L | BRBY | data_error_IndexError
CAP.PA | CAP | data_error_SyntaxError
CBKG.DE | CBKG | data_error_IndexError
CLNX.MI | CLNX | data_error_IndexError
COFB.BR | COFB | data_error_IndexError
COLR.BR | COLR | data_error_IndexError
CONG.DE | CONG | data_error_SyntaxError
DANO.PA | DANO | data_error_IndexError
DBK.DE | DBK | data_error_IndexError
DGE.L | DGE | data_error_IndexError
DOGE.OQ | DOGE | data_error_IndexError
ENEL.MI | ENEL | data_error_IndexError
ENGI.PA | ENGI | data_error_IndexError
ENI.MI | ENI | data_error_SyntaxError
EONGn.DE | EONGn | data_error_IndexError
EXPN.L | EXPN | data_error_IndexError
FME.DE | FME | data_error_IndexError
FORTUM.HE | FORTUM | data_error_IndexError
FREG.DE | FREG | data_error_IndexError
GBLB.BR | GBLB | data_error_IndexError
GLEN.L | GLEN | data_error_IndexError
HEIA.AS | HEIA | data_error_IndexError
HEIG.DE | HEIG | data_error_IndexError
HEN3.DE | HEN3 | data_error_IndexError
HLMA.L | HLMA | data_error_IndexError
HSBA.L | HSBA | data_error_IndexError
IBE.MC | IBE | data_error_IndexError
ICP.L | ICP | data_error_KeyError
IFX.DE | IFX | data_error_IndexError
INGA.AS | INGA | data_error_IndexError
ITV.L | ITV | data_error_IndexError
ITX.MC | ITX | data_error_IndexError
JET2.L | JET2 | data_error_IndexError
KBC.BR | KBC | data_error_IndexError
KER.PA | KER | data_error_IndexError
KGF.L | KGF | data_error_IndexError
KPN.AS | KPN | data_error_IndexError
LDO.MI | LDO | data_error_IndexError
LHA.DE | LHA | data_error_IndexError
LHAG.DE | LHAG | data_error_IndexError
LLOY.L | LLOY | data_error_IndexError
LR.PA | LR | data_error_IndexError
LVMH.PA | LVMH | data_error_IndexError
MAP.MC | MAP | data_error_IndexError
MKS.L | MKS | data_error_IndexError
MNDI.L | MNDI | data_error_IndexError
MONC.MI | MONC | data_error_IndexError
MTS.MC | MTS | data_error_SyntaxError
MUV2.DE | MUV2 | data_error_IndexError
NDA.DE | NDA | data_error_IndexError
NDA.HE | NDA | data_error_IndexError
NESTE.HE | NESTE | data_error_IndexError
OCDO.L | OCDO | data_error_IndexError
OML.L | OML | data_error_IndexError
ORIONB.HE | ORIONB | data_error_IndexError
PHIA.AS | PHIA | data_error_IndexError
PROX.BR | PROX | data_error_IndexError
PRY.MI | PRY | data_error_SyntaxError
PUMG.DE | PUMG | data_error_IndexError
RDSA.AS | RDSA | data_error_IndexError
REL.L | REL | data_error_IndexError
REP.MC | REP | data_error_IndexError
RMS.PA | RMS | data_error_IndexError
RRTL.DE | RRTL | data_error_IndexError
RWE.DE | RWE | data_error_IndexError
RWEG.DE | RWEG | data_error_IndexError
SAMPO.HE | SAMPO | data_error_IndexError
SAPG.DE | SAPG | data_error_IndexError
SBRY.L | SBRY | data_error_IndexError
SGO.PA | SGO | data_error_IndexError
SGRE.MC | SGRE | data_error_IndexError
SHL.DE | SHL | data_error_IndexError
SIE.DE | SIE | data_error_IndexError
SOGN.PA | SOGN | data_error_IndexError
SOLB.BR | SOLB | data_error_IndexError
SPM.MI | SPM | data_error_IndexError
SPX.L | SPX | data_error_IndexError
SSE.L | SSE | data_error_SyntaxError
SVS.L | SVS | data_error_IndexError
TELIA1.HE | TELIA1 | data_error_IndexError
TEVA.P | TEVA.P | data_error_IndexError
TIT.MI | TIT | data_error_IndexError
TKWY.AS | TKWY | data_error_IndexError
TOTF.PA | TOTF | data_error_IndexError
TUI.L | TUI | data_error_IndexError
UCG.MI | UCG | data_error_IndexError
ULVR.L | ULVR | data_error_IndexError
UMIC.BR | UMIC | data_error_IndexError
UNA.AS | UNA | data_error_IndexError
UNI.MI | UNI | data_error_IndexError
UPM.HE | UPM | data_error_IndexError
UTX.N | UTX | data_error_KeyError
UU.L | UU | data_error_IndexError
VALMT.HE | VALMT | data_error_IndexError
VAR1.DE | VAR1 | data_error_IndexError
VGP.BR | VGP | data_error_IndexError
VOW3.DE | VOW3 | data_error_IndexError
VPK.AS | VPK | data_error_IndexError
VTY.L | VTY | data_error_IndexError
WCR.PA | WCR | data_error_IndexError
WDP.AS | WDP | data_error_IndexError
WDP.BR | WDP | data_error_IndexError
WEIR.L | WEIR | data_error_IndexError
WIZZ.L | WIZZ | data_error_IndexError
WKL.AS | WKL | data_error_IndexError
WRT1V.HE | WRT1V | data_error_IndexError
WTB.L | WTB | data_error_IndexError
ZALG.DE | ZALG | data_error_IndexError
