ticker,name,category,marketCap
1COV.DE,1COV,large,
AAL.L,AAL,unclassified,
AAL.OQ,AAL,unclassified,
AAPL.OQ,AAPL,large,
ABBV.N,ABBV,unclassified,
ABF.L,ABF,unclassified,
ABI.BR,ABI,unclassified,
ABNB.OQ,ABNB,large,
ABT.N,ABT,large,
ACS.MC,ACS,large,
ADBE.OQ,ADBE,large,
ADI.OQ,ADI,unclassified,
ADM.N,ADM,large,
ADP.OQ,ADP,large,
ADS.DE,ADS,large,
ADSK.OQ,ADSK,unclassified,
ADYEN.AS,ADYEN,unclassified,
AEP.OQ,AEP,mid,
AEX.AS,AEX,unclassified,
AGN.AS,AGN,unclassified,
AHT.L,AHT,large,
AIG.N,AIG,unclassified,
AIR.PA,AIR,large,
AIRF.PA,AIRF,unclassified,
AKZA.AS,AKZA,unclassified,
ALGN.OQ,ALGN,unclassified,
ALL.N,ALL,unclassified,
ALV.DE,ALV,large,
ALV.PA,ALV,large,
ALVG.DE,ALVG,unclassified,
AMAT.OQ,AMAT,unclassified,
AMD.OQ,AMD,large,
AMGN.OQ,AMGN,large,
AMZN.OQ,AMZN,large,
ANA.MC,ANA,large,
ANSS.OQ,ANSS,unclassified,
ARGX.BR,ARGX,unclassified,
ASML.AS,ASML,large,
ASML.OQ,ASML,large,
ATVI.OQ,ATVI,unclassified,
AVGO.OQ,AVGO,large,
AXP.N,AXP,unclassified,
AZN.L,AZN,large,
AZN.N,AZN,large,
BA.L,BA,large,
BA.N,BA,large,
BABA.N,BABA,large,
BAC.N,BAC,large,
BARC.L,BARC,large,
BAS.DE,BAS,large,
BAYN.DE,BAYN,large,
BBVA.MC,BBVA,large,
BDEV.L,BDEV,large,
BDX.N,BDX,unclassified,
BEIG.DE,BEIG,unclassified,
BHP.L,BHP,unclassified,
BIDU.OQ,BIDU,large,
BIIB.OQ,BIIB,unclassified,
BKNG.OQ,BKNG,large,
BLND.L,BLND,large,
BMW.DE,BMW,large,
BNP.PA,BNP,unclassified,
BNPP.PA,BNPP,large,
BP.L,BP,large,
BPOST.BR,BPOST,unclassified,
BRBY.L,BRBY,unclassified,
BT.L,BT,large,
C.N,C,large,
CAP.PA,CAP,large,
CAT.N,CAT,large,
CB.N,CB,unclassified,
CBKG.DE,CBKG,large,
CCL.L,CCL,large,
CDNS.OQ,CDNS,unclassified,
CDW.OQ,CDW,unclassified,
CERN.OQ,CERN,unclassified,
CGC.N,CGC,mid,
CHKP.OQ,CHKP,unclassified,
CHTR.OQ,CHTR,large,
CLNX.MI,CLNX,unclassified,
CMCSA.OQ,CMCSA,large,
CNA.L,CNA,large,
COFB.BR,COFB,unclassified,
COLR.BR,COLR,unclassified,
CONG.DE,CONG,unclassified,
COST.OQ,COST,large,
CPG.L,CPG,large,
CPRT.OQ,CPRT,mid,
CQQQ.OQ,CQQQ,mid,
CRH.L,CRH,unclassified,
CRON.OQ,CRON,unclassified,
CRWD.OQ,CRWD,large,
CS.PA,CS,large,
CSCO.OQ,CSCO,large,
CTAS.OQ,CTAS,unclassified,
CTSH.OQ,CTSH,unclassified,
CVS.N,CVS,large,
CVX.N,CVX,unclassified,
DANO.PA,DANO,unclassified,
DBK.DE,DBK,large,
DD.N,DD,unclassified,
DE.N,DE,large,
DELL.N,DELL,unclassified,
DGE.L,DGE,large,
