Date,open,high,low,close,volume
2024-07-23,26.59,26.61,25.75,26.24,9857916.0
2024-07-24,26.31,26.33,25.47,25.5,10092762.0
2024-07-25,23.95,24.09,23.51,23.7,9141645.0
2024-07-26,24.62,24.94,24.42,24.87,8300466.0
2024-07-29,25.57,25.57,24.71,25.12,6590375.0
2024-07-30,25.4,25.49,24.725,24.82,4890940.0
2024-07-31,25.28,25.419,24.62,24.79,5588766.0
2024-08-01,24.13,24.25,23.36,23.75,4079584.0
2024-08-02,23.89,24.1497,22.66,22.84,5554653.0
2024-08-05,16.61,19.13,16.58,18.25,11492117.0
2024-08-06,18.66,19.39,18.3803,18.92,5592595.0
2024-08-07,18.74,18.88,17.66,17.84,6881853.0
2024-08-08,18.72,19.78,18.31,19.55,7559083.0
2024-08-09,19.89,20.22,19.385,19.67,1746353.0
2024-08-12,20.35,20.65,19.68,20.19,2615534.0
2024-08-13,20.05,20.72,19.9699,20.58,1715372.0
2024-08-14,20.66,20.7,19.98,20.25,1660358.0
2024-08-15,20.16,20.29,19.13,19.35,2870291.0
2024-08-16,19.8,19.95,19.36,19.89,2462276.0
2024-08-19,19.7,19.945,19.46,19.79,1057241.0
2024-08-20,20.05,20.13,19.38,19.73,1650118.0
2024-08-21,19.53,20.1,19.24,20.08,2131489.0
2024-08-22,19.91,19.9399,19.65,19.76,955412.0
2024-08-23,20.17,20.88,19.98,20.86,3211776.0
2024-08-26,20.75,20.77,20.29,20.33,2216008.0
2024-08-27,19.88,19.9,19.4,19.6,2201250.0
2024-08-28,19.13,19.315,18.6201,19.0,2559354.0
2024-08-29,19.49,19.6899,19.03,19.16,1208997.0
2024-08-30,19.17,19.2652,18.44,19.01,2439036.0
2024-09-03,19.01,19.01,18.455,18.54,2004735.0
2024-09-04,18.15,18.87,18.13,18.6,1811366.0
2024-09-05,18.17,18.3,17.81,17.92,1477086.0
2024-09-06,18.17,18.19,16.73,16.83,2677574.0
2024-09-09,17.51,17.85,17.2397,17.84,1321548.0
