Date,open,high,low,close,volume
2015-04-27,44.02,44.12,43.93,44.02,41728513.0
2015-04-28,44.04,44.18,43.89,44.09,32434222.0
2015-04-29,43.65,43.77,43.42,43.54,45059268.0
2015-04-30,43.19,43.2,42.87,42.88,95857063.0
2015-05-01,43.09,43.26,42.87,43.14,44366598.0
2015-05-04,43.16,43.46,43.13,43.39,30802938.0
2015-05-05,43.19,43.25,42.91,42.92,37802136.0
2015-05-06,42.98,43.02,42.31,42.39,51357093.0
2015-05-07,42.14,42.34,42.06,42.33,44223252.0
2015-05-08,42.82,43.07,42.69,42.87,54965455.0
2015-05-11,42.82,42.89,42.42,42.46,34383904.0
2015-05-12,42.13,42.43,42.1,42.32,37355500.0
2015-05-13,42.71,42.79,42.37,42.4,39029854.0
2015-05-14,42.69,42.89,42.63,42.82,36620890.0
2015-05-15,42.79,43.16,42.69,43.15,39127602.0
2015-05-18,42.91,42.93,42.69,42.71,34721650.0
2015-05-19,42.81,42.84,42.7,42.78,31935828.0
2015-05-20,42.69,42.87,42.54,42.75,35228984.0
2015-05-21,42.44,42.63,42.38,42.6,26985174.0
2015-05-22,42.82,42.87,42.65,42.74,37377651.0
2015-05-26,42.47,42.47,41.93,42.06,50364944.0
2015-05-27,41.73,42.1,41.66,42.07,35242638.0
2015-05-28,41.43,41.57,41.28,41.52,40656693.0
2015-05-29,41.45,41.49,41.07,41.12,55645106.0
2015-06-01,41.14,41.16,40.87,40.96,51057551.0
2015-06-02,40.92,41.3,40.86,41.12,40485183.0
2015-06-03,40.94,41.06,40.81,40.91,38618552.0
2015-06-04,40.55,40.68,40.27,40.29,45444234.0
2015-06-05,39.98,40.31,39.9,40.11,50840691.0
2015-06-08,40.17,40.22,40.06,40.11,30425726.0
2015-06-09,39.94,39.97,39.81,39.86,32875387.0
2015-06-10,40.24,40.49,40.22,40.42,62924229.0
2015-06-11,40.34,40.35,40.13,40.27,32556371.0
2015-06-12,40.25,40.29,40.12,40.24,40633889.0
2015-06-15,39.76,39.84,39.66,39.8,33986235.0
2015-06-16,39.65,39.86,39.57,39.8,33465275.0
2015-06-17,39.81,40.27,39.58,40.04,69267362.0
2015-06-18,40.35,40.56,40.28,40.42,56854832.0
2015-06-19,40.22,40.36,40.06,40.06,47757846.0
2015-06-22,40.75,40.77,40.59,40.61,43905099.0
2015-06-23,40.8,41.06,40.79,41.05,39989383.0
2015-06-24,41.0,41.07,40.75,40.75,55541470.0
2015-06-25,40.5,40.52,40.28,40.3,32710765.0
2015-06-26,39.95,40.15,39.89,39.96,33832530.0
2015-06-29,39.29,39.44,39.03,39.04,57164517.0
2015-06-30,39.74,39.76,39.48,39.62,60004069.0
2015-07-01,39.84,39.86,39.5,39.62,37701772.0
2015-07-02,39.83,40.02,39.75,39.78,33451301.0
2015-07-06,38.72,38.94,38.51,38.67,66796066.0
2015-07-07,37.94,38.16,37.41,38.1,100176380.0
2015-07-08,37.08,37.25,36.71,36.76,93096475.0
2015-07-09,37.9,38.03,37.48,37.49,72258899.0
2015-07-10,38.43,38.57,38.18,38.44,61772558.0
2015-07-13,38.69,38.79,38.59,38.71,43336865.0
