Date,open,high,low,close,volume
2015-04-27,67.77,68.06,67.66,67.73,18320601.0
2015-04-28,67.56,67.82,67.35,67.81,13755865.0
2015-04-29,67.3,67.51,66.96,67.22,18844354.0
2015-04-30,66.75,66.92,66.43,66.51,26720148.0
2015-05-01,66.86,67.4,66.65,67.25,28705904.0
2015-05-04,67.21,67.3,67.05,67.18,18313104.0
2015-05-05,66.9,66.91,66.08,66.18,21287033.0
2015-05-06,66.6,66.7,66.07,66.35,15979357.0
2015-05-07,66.06,66.22,65.85,66.13,17690996.0
2015-05-08,67.28,67.76,67.26,67.66,18503602.0
2015-05-11,67.16,67.38,67.04,67.07,14474257.0
2015-05-12,66.95,67.2,66.83,67.03,11998737.0
2015-05-13,67.72,67.9,67.43,67.53,14486635.0
2015-05-14,68.13,68.36,68.0,68.34,16925633.0
2015-05-15,68.11,68.48,67.98,68.42,13832317.0
2015-05-18,68.1,68.25,67.99,68.19,11751869.0
2015-05-19,67.92,68.09,67.84,67.93,11241251.0
2015-05-20,67.9,68.28,67.8,68.06,13758895.0
2015-05-21,68.16,68.51,68.11,68.42,11254655.0
2015-05-22,68.07,68.13,67.92,67.98,12159188.0
2015-05-26,67.36,67.39,66.63,66.76,20119280.0
2015-05-27,66.84,67.48,66.81,67.41,17786091.0
2015-05-28,67.06,67.36,66.75,67.29,12742260.0
2015-05-29,66.95,67.08,66.32,66.64,23009140.0
2015-06-01,66.8,66.84,66.19,66.46,18062887.0
2015-06-02,66.64,67.08,66.51,66.77,14230978.0
2015-06-03,67.03,67.48,67.03,67.14,21228574.0
2015-06-04,66.7,67.19,66.21,66.42,17012354.0
2015-06-05,65.47,65.88,65.24,65.63,14586287.0
2015-06-08,65.53,65.59,65.29,65.54,14611182.0
2015-06-09,65.2,65.36,64.87,65.18,13107294.0
2015-06-10,66.15,66.73,66.07,66.55,17257945.0
2015-06-11,66.81,66.95,66.43,66.73,20501753.0
2015-06-12,66.04,66.45,65.82,66.2,15107587.0
2015-06-15,65.39,65.85,65.34,65.8,15116699.0
2015-06-16,65.47,65.84,65.36,65.78,11991180.0
2015-06-17,65.54,65.78,64.99,65.64,17100248.0
2015-06-18,65.83,66.78,65.77,66.22,24465172.0
2015-06-19,66.16,66.26,66.02,66.05,13807721.0
2015-06-22,67.33,67.72,67.19,67.34,27540629.0
2015-06-23,67.42,67.6,67.4,67.49,13500356.0
2015-06-24,67.13,67.3,66.86,66.9,21193324.0
2015-06-25,66.07,66.07,65.72,65.77,16383944.0
2015-06-26,65.87,66.02,65.58,65.74,18962790.0
2015-06-29,64.43,64.67,63.56,63.68,33689766.0
2015-06-30,64.37,64.37,63.26,63.49,32148209.0
2015-07-01,64.23,64.32,63.65,63.9,31411554.0
2015-07-02,64.08,64.1,63.82,63.98,20594248.0
2015-07-06,62.64,63.24,62.49,62.69,21101790.0
2015-07-07,62.25,62.82,61.43,62.71,36420965.0
2015-07-08,61.72,61.75,61.12,61.25,32569775.0
2015-07-09,62.65,62.72,62.13,62.23,19793762.0
2015-07-10,64.18,64.39,63.86,64.3,28029691.0
2015-07-13,64.51,64.67,64.44,64.56,14266169.0
