Date,open,high,low,close,volume
2015-04-27,126.21,126.91,124.04,124.47,32192939.0
2015-04-28,124.54,125.37,123.25,125.16,34298610.0
2015-04-29,124.47,124.9,123.63,123.8,26195084.0
2015-04-30,123.06,123.44,120.66,121.18,65454997.0
2015-05-01,121.52,122.16,120.9,121.97,43429963.0
2015-05-04,122.13,123.34,121.79,122.41,35756603.0
2015-05-05,122.35,122.62,120.28,120.85,53735335.0
2015-05-06,121.11,121.49,120.24,121.27,32102102.0
2015-05-07,121.14,122.23,120.57,121.73,28338782.0
2015-05-08,122.93,123.25,122.4,122.64,25283407.0
2015-05-11,122.6,123.66,122.44,122.71,27940368.0
2015-05-12,122.35,122.92,120.87,122.49,33084950.0
2015-05-13,122.76,123.21,122.0,122.48,26685238.0
2015-05-14,123.08,123.86,122.45,123.79,23111828.0
2015-05-15,123.56,123.72,122.94,123.65,21687736.0
2015-05-18,123.4,125.16,123.17,125.05,28923204.0
2015-05-19,124.8,125.05,124.31,124.88,22659243.0
2015-05-20,125.17,125.46,124.34,125.11,19857765.0
2015-05-21,124.98,125.47,124.48,124.97,15425984.0
2015-05-22,124.76,125.24,124.0,124.43,22079677.0
2015-05-26,123.94,124.04,122.52,123.24,40490527.0
2015-05-27,123.36,124.87,122.79,124.75,29317040.0
2015-05-28,124.45,124.71,123.77,124.64,18440660.0
2015-05-29,124.61,124.73,123.32,123.89,31385581.0
2015-06-01,124.69,124.9,123.03,124.28,35352281.0
2015-06-02,123.8,125.31,123.48,124.52,25294186.0
2015-06-03,124.76,125.93,124.42,125.76,28642009.0
2015-06-04,125.08,125.62,124.08,124.5,24488705.0
2015-06-05,124.23,125.52,123.32,125.4,34734405.0
2015-06-08,125.28,125.62,124.57,124.82,18559033.0
2015-06-09,124.71,124.86,123.5,124.41,23747334.0
2015-06-10,124.93,126.48,124.85,125.99,40982610.0
2015-06-11,126.17,126.54,125.91,126.35,17303989.0
2015-06-12,125.92,126.15,125.43,125.92,23206663.0
2015-06-15,125.11,125.8,123.94,125.53,30370541.0
2015-06-16,125.38,126.65,125.32,126.42,30752453.0
2015-06-17,126.74,126.96,125.97,126.22,27808065.0
2015-06-18,126.82,128.24,126.74,127.86,36757634.0
2015-06-19,127.82,128.16,127.6,127.83,21961711.0
