Date,open,high,low,close,volume
2015-04-27,12.33,12.44,12.28,12.39,7338499.0
2015-04-28,12.5,12.56,12.39,12.5,3925497.0
2015-04-29,12.66,12.9,12.64,12.78,6582926.0
2015-04-30,12.72,13.67,12.64,13.46,13455078.0
2015-05-01,13.57,13.83,13.54,13.71,5700116.0
2015-05-04,13.65,13.95,13.59,13.9,4301575.0
2015-05-05,13.79,13.93,13.66,13.79,4918081.0
2015-05-06,13.74,13.93,13.66,13.67,3444749.0
2015-05-07,13.84,13.92,13.38,13.55,5527377.0
2015-05-08,14.13,14.26,13.97,14.13,8606547.0
2015-05-11,14.15,14.25,13.81,13.91,4431905.0
2015-05-12,14.24,14.47,14.21,14.32,5972269.0
2015-05-13,14.21,14.67,14.13,14.48,5160700.0
2015-05-14,14.34,14.9,14.27,14.84,6055417.0
2015-05-15,14.83,14.98,14.68,14.88,2883980.0
2015-05-18,14.98,15.03,14.74,14.9,2386808.0
2015-05-19,15.2,15.28,14.47,14.62,9659867.0
2015-05-20,14.7,14.76,14.29,14.46,3379834.0
2015-05-21,14.56,14.91,14.45,14.57,6506711.0
2015-05-22,14.35,14.44,14.13,14.15,3139128.0
2015-05-26,13.83,13.88,13.67,13.82,4691920.0
2015-05-27,13.79,13.88,13.69,13.78,4329266.0
2015-05-28,13.51,13.58,13.1,13.17,9872455.0
2015-05-29,12.98,13.01,12.77,12.87,7708540.0
2015-06-01,12.77,12.95,12.77,12.89,4112943.0
2015-06-02,12.77,13.12,12.61,13.08,8238125.0
2015-06-03,12.9,12.94,12.73,12.8,6692180.0
2015-06-04,12.73,12.93,12.42,12.75,8952859.0
2015-06-05,12.55,12.67,12.52,12.54,7107768.0
2015-06-08,12.96,13.15,12.89,13.12,6945447.0
2015-06-09,13.57,13.81,13.52,13.74,11306979.0
2015-06-10,13.92,14.07,13.7,14.02,8992331.0
2015-06-11,14.03,14.12,13.65,13.68,8185601.0
2015-06-12,13.56,13.66,13.3,13.38,5928366.0
2015-06-15,13.73,14.06,13.68,14.03,11373737.0
2015-06-16,13.87,14.05,13.7,14.04,8370850.0
2015-06-17,14.16,14.3,13.77,13.86,6800978.0
2015-06-18,13.74,13.91,13.44,13.51,9013767.0
2015-06-19,13.36,13.72,13.34,13.6,4457044.0
2015-06-22,13.21,13.31,13.19,13.27,5949336.0
2015-06-23,13.47,13.51,13.13,13.21,4321554.0
2015-06-24,13.28,13.41,13.2,13.38,2589593.0
2015-06-25,13.54,13.77,13.44,13.72,10657443.0
2015-06-26,13.44,13.57,13.28,13.33,13459675.0
2015-06-29,13.51,13.64,13.28,13.46,7026072.0
2015-06-30,13.22,13.62,13.22,13.56,6047980.0
2015-07-01,13.51,13.53,13.25,13.34,4808275.0
2015-07-02,13.56,13.84,13.5,13.56,8279860.0
2015-07-06,13.21,13.36,13.2,13.22,8745333.0
2015-07-07,13.06,13.09,12.9,13.07,5279251.0
2015-07-08,13.18,13.19,12.84,12.9,7062631.0
2015-07-09,12.87,13.13,12.7,13.1,8154411.0
2015-07-10,13.34,13.46,13.24,13.3,7728858.0
2015-07-13,13.65,13.83,13.61,13.71,6557934.0
2015-07-14,13.89,13.92,13.54,13.61,4897269.0
2015-07-15,13.88,14.05,13.79,13.94,6365013.0
2015-07-16,13.9,14.0,13.65,13.74,7001046.0
2015-07-17,13.75,13.86,13.62,13.86,3560543.0
2015-07-20,13.47,13.81,13.44,13.59,6064882.0
