Date,open,high,low,close,volume
2015-04-27,49.26,49.28,48.89,48.92,6862037.0
2015-04-28,48.92,49.03,48.71,48.97,3665120.0
2015-04-29,48.81,48.91,48.46,48.53,9409328.0
2015-04-30,48.41,48.6,48.18,48.37,8256453.0
2015-05-01,48.55,48.83,48.41,48.81,5143108.0
2015-05-04,48.81,49.01,48.8,48.88,6693670.0
2015-05-05,48.86,48.92,48.41,48.49,6509550.0
2015-05-06,48.59,48.76,48.34,48.64,6229996.0
2015-05-07,48.48,48.86,48.37,48.76,6423961.0
2015-05-08,49.01,49.36,49.01,49.17,6922689.0
2015-05-11,49.03,49.33,48.95,48.97,3973988.0
2015-05-12,48.51,49.02,48.51,48.86,4897103.0
2015-05-13,48.85,49.19,48.78,48.84,3657631.0
2015-05-14,49.04,49.61,49.04,49.59,6160699.0
2015-05-15,49.6,49.75,49.55,49.75,5014344.0
2015-05-18,49.7,49.71,49.51,49.59,6185947.0
2015-05-19,49.62,49.62,49.3,49.46,5139024.0
2015-05-20,49.39,49.59,49.35,49.35,5445659.0
2015-05-21,49.36,49.52,49.19,49.46,4305059.0
2015-05-22,49.23,49.4,49.22,49.25,5314346.0
2015-05-26,49.19,49.21,48.76,48.86,8775410.0
2015-05-27,48.96,49.25,48.91,49.17,7572026.0
2015-05-28,49.12,49.17,48.89,49.1,5734278.0
2015-05-29,49.02,49.07,48.69,48.79,6638650.0
2015-06-01,48.89,48.99,48.62,48.79,5982427.0
2015-06-02,48.65,48.77,48.42,48.66,4988630.0
2015-06-03,48.72,48.86,48.56,48.63,5890451.0
2015-06-04,48.54,48.66,48.18,48.28,7075841.0
2015-06-05,48.15,48.27,47.56,47.59,9459988.0
2015-06-08,47.56,47.73,47.46,47.57,10934780.0
2015-06-09,47.63,47.97,47.55,47.8,7085511.0
2015-06-10,47.92,48.37,47.92,48.27,7091188.0
2015-06-11,48.31,48.46,48.2,48.25,7456681.0
2015-06-12,48.13,48.17,47.89,48.06,6718424.0
2015-06-15,47.87,47.96,47.68,47.71,7554616.0
2015-06-16,47.84,48.26,47.77,48.23,5036366.0
2015-06-17,48.38,48.57,48.12,48.49,10500982.0
2015-06-18,48.64,49.22,48.6,49.0,8803731.0
2015-06-19,48.76,48.91,48.66,48.66,8867099.0
2015-06-22,48.93,49.05,48.8,48.85,4438387.0
2015-06-23,48.87,48.88,48.54,48.64,5099468.0
2015-06-24,48.62,48.69,48.42,48.42,6765086.0
2015-06-25,48.61,48.61,48.33,48.33,6383934.0
2015-06-26,48.4,48.59,48.34,48.43,4508613.0
2015-06-29,48.18,48.27,47.66,47.68,8090052.0
2015-06-30,48.18,48.18,47.59,47.6,10014744.0
2015-07-01,47.92,48.21,47.72,48.21,6857523.0
