Date,open,high,low,close,volume
2015-04-27,109.57,110.91,109.25,109.71,4075608.0
2015-04-28,109.75,110.04,108.87,109.79,1074404.0
2015-04-29,108.79,109.19,107.09,107.64,2159494.0
2015-04-30,108.02,108.68,106.44,107.04,1987780.0
2015-05-01,107.5,108.54,107.41,108.38,637363.0
2015-05-04,109.47,109.47,107.76,107.89,676441.0
2015-05-05,107.33,107.33,105.02,105.42,1632581.0
2015-05-06,107.19,107.33,105.56,105.8,1305479.0
2015-05-07,105.73,106.57,105.31,106.22,1104584.0
2015-05-08,107.27,108.31,107.14,107.7,951947.0
2015-05-11,107.52,108.88,107.47,108.62,459824.0
2015-05-12,108.35,108.93,107.87,108.63,481862.0
2015-05-13,108.89,109.31,107.9,108.58,468877.0
2015-05-14,109.9,111.06,109.4,110.58,729095.0
2015-05-15,111.09,111.49,110.59,111.05,792661.0
2015-05-18,109.96,111.25,109.61,111.02,554735.0
2015-05-19,110.97,111.74,110.58,111.22,476452.0
2015-05-20,111.45,112.28,111.15,111.64,531632.0
2015-05-21,111.33,111.82,111.05,111.53,365861.0
2015-05-22,110.99,111.37,110.45,110.98,253224.0
2015-05-26,110.38,110.52,108.4,108.97,539942.0
2015-05-27,109.61,112.91,109.52,112.53,588455.0
2015-05-28,113.69,114.13,112.5,113.8,582643.0
2015-05-29,113.27,113.88,111.5,112.33,532140.0
2015-06-01,112.19,112.35,110.41,111.63,854042.0
2015-06-02,111.37,111.41,110.05,110.05,726671.0
2015-06-03,112.25,112.92,111.44,111.69,1026872.0
2015-06-04,112.07,113.68,110.37,110.59,1370970.0
2015-06-05,109.6,110.01,108.75,109.1,994148.0
2015-06-08,108.17,108.6,107.13,107.8,797645.0
2015-06-09,108.52,108.68,107.25,108.25,692836.0
2015-06-10,108.93,110.07,108.35,108.96,497047.0
2015-06-11,111.0,111.8,109.47,109.96,869366.0
2015-06-12,107.65,108.64,106.96,107.91,582357.0
2015-06-15,106.48,108.54,106.19,108.38,841735.0
2015-06-16,108.28,109.55,107.73,109.21,538430.0
2015-06-17,107.97,108.42,107.26,107.82,557561.0
2015-06-18,107.15,110.26,107.1,108.96,1376529.0
2015-06-19,108.96,109.15,108.37,108.87,464963.0
2015-06-22,111.97,113.0,111.3,111.91,707503.0
2015-06-23,111.94,112.13,110.97,111.01,478371.0
