Date,open,high,low,close,volume
2015-04-27,23.98,24.02,23.65,23.72,3435218.0
2015-04-28,23.65,23.8,23.37,23.47,4603764.0
2015-04-29,23.3,23.58,23.1,23.19,6498039.0
2015-04-30,23.2,23.32,22.62,22.81,7333491.0
2015-05-01,22.79,23.09,22.79,23.04,3608355.0
2015-05-04,23.11,23.27,22.92,23.19,3452949.0
2015-05-05,23.16,23.16,22.71,22.72,4129794.0
2015-05-06,22.77,23.21,22.66,23.2,8107833.0
2015-05-07,23.24,24.6,23.13,24.41,15088572.0
2015-05-08,24.65,25.15,24.53,25.04,8461517.0
2015-05-11,25.0,25.06,24.62,24.64,5650516.0
2015-05-12,24.54,24.68,24.27,24.61,5965669.0
2015-05-13,24.8,24.97,24.57,24.63,3478358.0
2015-05-14,24.79,25.28,24.72,25.17,5639108.0
2015-05-15,25.32,25.66,25.15,25.42,8220082.0
2015-05-18,25.36,25.62,25.28,25.42,3806814.0
2015-05-19,25.6,25.65,25.36,25.48,3499404.0
2015-05-20,25.49,25.77,25.4,25.75,4756560.0
2015-05-21,25.64,25.72,25.46,25.62,4636777.0
2015-05-22,25.5,25.75,25.38,25.49,2892591.0
2015-05-26,25.39,25.45,25.17,25.41,3127643.0
2015-05-27,25.49,25.76,25.33,25.71,3720126.0
2015-05-28,25.67,25.88,25.56,25.72,4346612.0
2015-05-29,25.89,25.95,25.19,25.26,7859645.0
2015-06-01,25.44,25.65,25.15,25.39,4281031.0
2015-06-02,25.31,25.76,25.27,25.53,3872009.0
2015-06-03,25.76,26.05,25.66,25.96,5347455.0
2015-06-04,25.77,26.09,25.61,25.68,3672753.0
2015-06-05,25.63,25.83,25.55,25.77,2612532.0
2015-06-08,25.77,25.78,25.23,25.44,6260670.0
2015-06-09,25.45,25.88,25.2,25.52,7858915.0
2015-06-10,25.5,25.6,25.15,25.49,5321922.0
2015-06-11,25.08,25.39,24.93,25.29,13166496.0
2015-06-12,25.25,25.44,25.06,25.4,8221611.0
2015-06-15,25.26,25.27,24.48,24.54,11409031.0
2015-06-16,24.79,24.9,24.65,24.74,8906454.0
2015-06-17,24.88,24.97,24.67,24.87,6197062.0
2015-06-18,24.91,25.27,24.9,25.12,7216789.0
2015-06-19,25.19,25.2,24.88,25.03,6650837.0
2015-06-22,25.16,25.26,25.11,25.23,4433306.0
2015-06-23,25.24,25.47,25.16,25.42,3643390.0
2015-06-24,25.39,25.56,25.24,25.43,6548800.0
2015-06-25,25.46,25.65,25.34,25.4,3253116.0
2015-06-26,25.57,25.65,24.96,25.05,6238473.0
2015-06-29,24.71,24.87,24.44,24.49,4749652.0
2015-06-30,24.65,24.68,24.15,24.21,6918837.0
2015-07-01,24.4,24.96,24.32,24.73,8766707.0
2015-07-02,24.7,24.75,24.47,24.63,4760317.0
2015-07-06,24.41,25.0,24.36,24.83,3735313.0
2015-07-07,25.01,25.25,24.37,25.05,7117069.0
2015-07-08,24.84,25.14,24.75,24.8,8633951.0
2015-07-09,25.09,25.24,24.9,25.12,9879800.0
2015-07-10,25.37,25.61,25.23,25.36,5420788.0
2015-07-13,25.54,25.89,25.48,25.89,6138086.0
2015-07-14,25.82,26.21,25.68,26.05,9036032.0
2015-07-15,25.94,26.09,25.56,25.76,5550145.0
2015-07-16,25.89,26.0,25.74,25.85,3601132.0
2015-07-17,25.98,26.02,25.64,25.8,3543455.0
2015-07-20,25.81,26.41,25.76,26.25,5666680.0
2015-07-21,26.25,26.45,26.08,26.09,4689981.0
2015-07-22,25.99,26.09,25.84,25.96,3233803.0
2015-07-23,25.95,26.25,25.81,25.94,3523794.0
2015-07-24,26.03,26.27,25.84,26.19,5555220.0
2015-07-27,26.04,26.1,25.5,25.61,8084435.0
2015-07-28,25.8,25.87,25.38,25.71,4397355.0
2015-07-29,25.62,26.03,25.5,25.98,3242614.0
2015-07-30,25.85,26.18,25.7,26.08,5135412.0
2015-07-31,26.04,26.14,25.66,25.79,5167985.0
2015-08-03,25.88,25.98,25.33,25.52,5900349.0
2015-08-04,25.57,25.83,25.44,25.67,7689623.0
2015-08-05,27.73,29.2,27.68,28.72,24979453.0
2015-08-06,28.8,29.08,28.49,28.7,9266560.0
2015-08-07,28.66,28.83,28.24,28.78,6945209.0
2015-08-10,28.88,29.18,28.79,28.81,5991460.0
2015-08-11,28.6,28.85,28.27,28.45,5690248.0
2015-08-12,28.21,28.76,27.82,28.66,8294105.0
2015-08-13,28.57,29.06,28.42,28.85,7350308.0
2015-08-14,28.74,28.89,28.47,28.68,2596529.0
2015-08-17,28.68,29.42,28.44,29.3,5874204.0
2015-08-18,29.5,29.7,29.09,29.22,4305935.0
2015-08-19,29.21,29.34,28.76,28.98,4980323.0
2015-08-20,28.64,28.73,27.93,27.98,5876692.0
2015-08-21,27.54,27.76,27.17,27.22,8353121.0
2015-08-24,25.01,27.07,24.04,26.17,8078333.0
2015-08-25,27.35,27.35,26.03,26.18,6893061.0
2015-08-26,26.86,27.4,26.16,27.3,7990413.0
2015-08-27,27.52,28.33,27.25,27.93,7167009.0
2015-08-28,29.69,30.0,28.91,29.23,132728965.0
2015-08-31,29.34,29.35,28.54,28.63,13975784.0
2015-09-01,27.86,28.28,27.51,27.85,12014800.0
2015-09-02,28.75,28.77,27.99,28.38,14284876.0
2015-09-03,28.38,29.04,28.38,28.6,10313907.0
2015-09-04,28.21,28.72,27.97,28.1,10435196.0
2015-09-08,28.63,28.89,28.35,28.88,8084802.0
2015-09-09,29.1,29.24,28.62,28.7,6639742.0
2015-09-10,28.51,29.26,28.35,29.06,5471626.0
2015-09-11,28.83,29.16,28.51,29.14,4465505.0
2015-09-14,29.15,29.28,28.98,29.21,4771401.0
2015-09-15,29.33,30.08,29.27,29.8,7900404.0
2015-09-16,29.8,30.59,29.79,30.52,8172031.0
2015-09-17,30.37,31.47,30.37,30.98,9842396.0
2015-09-18,30.61,31.24,30.47,31.13,10916447.0
2015-09-21,31.11,31.65,31.11,31.52,8408961.0
2015-09-22,31.26,31.46,31.1,31.41,7997548.0
2015-09-23,31.33,31.69,31.0,31.62,7782562.0
2015-09-24,31.36,31.7,30.97,31.49,9798555.0
2015-09-25,31.71,32.5,31.59,32.06,11780930.0
2015-09-28,32.22,32.45,31.2,31.31,12010598.0
2015-09-29,31.25,31.27,30.31,30.66,11298876.0
2015-09-30,31.01,31.24,30.43,30.88,9386671.0
2015-10-01,31.39,31.46,30.62,30.9,8496441.0
2015-10-02,30.57,31.46,30.25,31.46,9420032.0
2015-10-05,31.82,32.06,31.55,31.97,8428586.0
2015-10-06,31.85,32.24,31.51,31.91,6608657.0
2015-10-07,32.08,32.29,31.37,31.92,6126866.0
2015-10-08,31.76,31.85,31.01,31.73,8722677.0
2015-10-09,31.63,32.09,31.33,32.07,6246287.0
2015-10-12,31.88,32.9,31.81,32.58,5195761.0
2015-10-13,32.5,33.19,32.2,32.88,12488523.0
2015-10-14,32.77,33.41,32.68,33.02,9075682.0
2015-10-15,33.18,33.81,32.97,33.8,10556124.0
2015-10-16,34.06,34.31,33.79,34.16,7475914.0
2015-10-19,33.94,34.17,33.34,33.75,5298756.0
2015-10-20,33.76,33.85,33.49,33.82,5260701.0
2015-10-21,34.0,34.11,33.67,33.78,4699861.0
2015-10-22,33.88,35.13,33.88,34.75,9612833.0
2015-10-23,35.26,35.44,34.75,34.89,9137415.0
2015-10-26,35.01,35.05,34.75,34.88,3782978.0
2015-10-27,34.9,35.13,34.69,34.89,5692131.0
2015-10-28,35.0,35.41,34.8,35.28,6110161.0
2015-10-29,35.2,35.39,34.52,34.99,5620806.0
2015-10-30,34.84,35.2,34.2,34.76,8656343.0
2015-11-02,34.25,34.86,33.83,34.57,7356145.0
2015-11-03,33.35,37.8,32.39,35.82,43472468.0
